Abu Mazen: To the extent , that when Abu Mazen came to power , he had no power . ||| Bis zu dem Grad , dass , als Abu Masen an die Macht kam , er keine Macht hatte .
Agni: Now , with a smile , we remember old problems “ – Agnieszka , 62 years old . ||| Jetzt erinnern wir uns mit einem Lächeln an alte Probleme “ – Agnieszka , 62 Jahre alt .

Agni: At least they can purify their own houses with the help of Agnihotra . ||| Zumindest können sie ihre eigenen Häuser mit Hilfe von Agnihotra reinigen .

Agni: Agnieszka Salamon : In the free scene I am a Polish actress . ||| Agnieszka Salamon : In der freien Szene bin ich eine polnische Schauspielerin .

Agni: It is possible , especially if Agni is acting . ||| Es ist möglich , besonders wenn Agni wirkt .

Agni: In the same way We repeat about the various qualities and analogies of the great Agni . ||| Auf dieselbe Weise wiederholen Wir die verschiedenen Qualitäten und Analogien des großen Agni .

Agni: Agnihotra has many positive effects that we and our earth are in need of : ||| Agnihotra hat viele positive Wirkungen – wir und unsere Erde brauchen es :

Agni: This is why it is important , especially at the present moment , to direct attention to Agni Yoga . ||| Daher ist es besonders im gegenwärtigen Augenblick wichtig , die Aufmerksamkeit auf Agni Yoga zu lenken .

Agni: When an understanding of Agni was attained , this was reflected in science and also in problems of state . ||| Wenn ein Verständnis von Agni erlangt worden war , wurde dies in der Wissenschaft und auch in Staatsproblemen widergespiegelt .

Agni: Now , with a smile , we remember old problems “ – Agnieszka , 62 years old . ||| Jetzt erinnern wir uns mit einem Lächeln an alte Probleme „ – Agnieszka , 62 Jahre alt .

Agni: An African Negro can not do Agnihotra in his hot country in summer . ||| Ein afrikanischer Schwarzer kann im Sommer in seinem heißen Land nicht Agnihotra betreiben .

Agni: Feeling the thoughts of the driver , I called on Shiva and Agni . ||| Die Gedanken des Fahrers fühlend , rief ich Shiva und Agni an .

Agni: A person can not be judged until he goes through this Agni Pariksha . ’ ||| Ein Mensch kann nicht gerichtet werden , bevor er nicht durch dieses Agni Pariksha geht . “

Agni: Let us reverence the Mother of Agni Yoga—I have spoken . ||| Lasst uns die Mutter des Agni Yoga verehren - Ich habe gesprochen .

