café Café | w_freq: 82 - 139 | wiki_freq: 10709 - 11741 | sentence_idx: 438 | align_1: 8-6 | align_2: 9-11 |    For instance , think of a small neighborhood café that you love . ||| Denken Sie beispielsweise an ein kleines Café in der Nachbarschaft , das sie lieben . 

Público Público | w_freq: 2 - 3 | wiki_freq: 646 - 248 | sentence_idx: 252376 | align_1: 8-6 | align_2: 9-13 |    In December , 1976 the Tribunal de Orden Público ( TOP ) , a sort of Francoist secret police , was dissolved . ||| Im Dezember 1976 Tribunal de Orden Público ( Tribunal de Orden Público ) ( SPITZE ) , eine Art Francoist Geheimpolizei ( Geheimpolizei ) , war aufgelöst . 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 253325 | align_1: 0-0 | align_2: 1-4 |    Remember that much lower amounts might make you sick . ||| Denken Sie daran , dass viel niedrigere Mengen Sie krank machen könnten . 

resurrection Untergang | w_freq: 179 - 78 | wiki_freq: 7663 - 10429 | sentence_idx: 254262 | align_1: 6-4 | align_2: 7-10 |    Some of them were denying the resurrection . ||| Und einige leugneten den Untergang , bis er endgültig wurde . 

jewelers Juwelieren | w_freq: 5 - 3 | wiki_freq: 664 - 95 | sentence_idx: 254516 | align_1: 8-7 | align_2: 9-11 |    He went around the city to all the jewelers he could remember . ||| Er ging durch die Stadt zu allen Juwelieren , an die er sich erinnern konnte . 

borrowing leihen | w_freq: 28 - 134 | wiki_freq: 7923 - 807 | sentence_idx: 254550 | align_1: 3-2 | align_2: 4-6 |    “ We ’re borrowing what we do n’t have to buy things we do n’t need , ” he said earlier this year , in a remark aimed not just at ordinary citizens but at the government itself . ||| " Wir leihen uns aus , was wir nicht brauchen , um Dinge zu kaufen , die wir nicht brauchen " , sagte er Anfang des Jahres in einer Bemerkung , die sich nicht nur an normale Bürger , sondern an die Regierung selbst richtete . 

debating diskutieren | w_freq: 66 - 862 | wiki_freq: 5259 - 3076 | sentence_idx: 254681 | align_1: 5-2 | align_2: 6-7 |    Even central bankers are actively debating what to do to for the climate . ||| Sogar Zentralbanker diskutieren heute aktiv darüber , was sie für das Klima tun können . 

grip Grip | w_freq: 60 - 19 | wiki_freq: 12866 - 489 | sentence_idx: 254807 | align_1: 11-12 | align_2: 12-17 |    Tomorrow the aim is to increase the feeling in acceleration and grip but I ’m confident . ||| Morgen ist das Ziel , das Gefühl bei der Beschleunigung und den Grip noch zu verbessern , aber ich bin zuversichtlich . 

cursed verfluchte | w_freq: 36 - 15 | wiki_freq: 5885 - 340 | sentence_idx: 255050 | align_1: 14-15 | align_2: 15-19 |    And the son of the Israelite woman pronounced the [ divine ] name and cursed . ||| 11 Und der Sohn der israelitischen Frau lästerte den Namen [ des HERRN ] und verfluchte [ ihn ] . 

Remember Erinnern | w_freq: 1149 - 201 | wiki_freq: 9753 - 488 | sentence_idx: 255301 | align_1: 0-0 | align_2: 1-4 |    Remember how all the donors from Europe were saying how careful they are now to make sure that there is transparency and accountability to ensure that their aid would make it to the people who need it ? ||| Erinnern Sie sich , wie all die Spender aus Europa sagte , wie sehr sie aufpassen würden , um sicherzustellen , dass es Transparenz und Verantwortlichkeit gibt , damit ihre Hilfe bei denen ankommt , die sie brauchen ? 

Mothers Mothers | w_freq: 56 - 9 | wiki_freq: 6052 - 475 | sentence_idx: 255324 | align_1: 9-7 | align_2: 10-14 |    The group was first called the National Congress for Mothers . ||| Die Gruppe wurde zunächst National Congress for Mothers ( Nationalkongress für Mütter ) genannt . 

Remember Erinnern | w_freq: 1149 - 201 | wiki_freq: 9753 - 488 | sentence_idx: 256760 | align_1: 1-1 | align_2: 2-5 |    " Remember when NATO was accused by the international media and public of not being able to prevent 8,000 Muslim Bosnians from being murdered in front of the world 's eyes ? ||| " Erinnern Sie sich , wie die NATO von den internationalen Medien und Öffentlichkeit beschuldigt wurde , nicht in der Lage gewesen zu sein die Ermordung von 8.000 muslimischen Bosniern vor den Augen der Welt zu verhindern ? 

Recall Erinnern | w_freq: 40 - 201 | wiki_freq: 2267 - 488 | sentence_idx: 257711 | align_1: 0-0 | align_2: 1-4 |    Recall that slaves sometimes converted , while their master did not . ||| Erinnern sie sich , dass sklaven manchmal konvertiert haben , während ihr meister nicht . 

apps Apps | w_freq: 673 - 475 | wiki_freq: 12494 - 2421 | sentence_idx: 257995 | align_1: 8-9 | align_2: 9-14 |    You should always consider uninstalling bloatware and those apps you never use to increase system performance : ||| Sie sollten immer in Betracht ziehen , Bloatware und Apps zu deinstallieren , die Sie nie verwenden , um die Systemleistung zu erhöhen : 

grateful dankbar | w_freq: 1115 - 1650 | wiki_freq: 6250 - 1283 | sentence_idx: 258917 | align_1: 10-14 | align_2: 11-19 |    liketh not ingratitude from His servants : if ye are grateful , He is ||| Er hat kein Wohlgefallen am Undank und Unglauben Seiner Diener ; seid ihr jedoch dankbar ( und glaubt ) , dann hat Er deshalb Wohlgefallen an euch . 

hype Hype | w_freq: 88 - 66 | wiki_freq: 2842 - 578 | sentence_idx: 258956 | align_1: 9-8 | align_2: 10-13 |    Some questioned whether the subject deserved all of the hype it received in the 1990s . ||| Einige fragten , ob das Thema den ganzen Hype verdient hatte , den es in den 1990er Jahren erlebt hatte . 

checks Hintergrundkontrollen | w_freq: 220 - 1 | wiki_freq: 14380 - 2 | sentence_idx: 259630 | align_1: 11-10 | align_2: 12-15 |    " We will work with the government to establish clear background checks currently absent in their commercial transportation licensing programs . " ||| “ Wir werden mit der Regierung zusammenarbeiten , um klare Hintergrundkontrollen zu erstellen , die derzeit in ihren kommerziellen Transportlizenzprogrammen nicht vorhanden sind . ” 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 261024 | align_1: 0-0 | align_2: 1-4 |    Remember that it usually costs extra to sit inside . ||| Denken Sie daran , dass es normalerweise extra kostet , drinnen zu sitzen . 

Designer Designer | w_freq: 58 - 471 | wiki_freq: 6000 - 6692 | sentence_idx: 262100 | align_1: 4-5 | align_2: 5-11 |    We used Roxtec Transit Designer to make sure we had enough space . " ||| Wir haben den Roxtec Transit Designer für die Planung verwendet , um sicherzustellen , dass wir genügend Platz haben . “ 

disbelievers Ungläubigen | w_freq: 35 - 123 | wiki_freq: 253 - 753 | sentence_idx: 262629 | align_1: 4-6 | align_2: 5-11 |    151 These are truly disbelievers and We have prepared for the disbelievers an abasing chastisement . ||| Vers 151 , diese sind die Ungläubigen im wahren Sinne , und bereitet haben Wir den Ungläubigen eine Strafe . 

glad freue | w_freq: 490 - 565 | wiki_freq: 5614 - 346 | sentence_idx: 262947 | align_1: 11-10 | align_2: 12-14 |    It led him into a new love , and I am glad because I still love him as the father of my children . ||| Es führte ihn in eine neue Liebe , und ich freue mich darüber , weil ich ihn immer noch liebe , als den Vater meiner Kinder . 

useless nutzlos | w_freq: 256 - 152 | wiki_freq: 8262 - 990 | sentence_idx: 263543 | align_1: 9-7 | align_2: 10-12 |    David ’s years in the field might have seemed useless but God used them to prepare him to fight Goliath . ||| Davids Jahre auf dem Feld schienen vielleicht nutzlos gewesen zu sein , aber Gott verwendete sie , um ihn auf den Kampf gegen Goliath vorzubereiten . 

pray bete | w_freq: 668 - 110 | wiki_freq: 10155 - 221 | sentence_idx: 263918 | align_1: 1-1 | align_2: 2-5 |    I pray we will not let these children of God suffer in silence and that we will be endowed with His capacity to hear the songs they can not now sing . ||| Ich bete darum , dass wir diese Kinder Gottes nicht schweigend leiden lassen und dass wir mit seiner Fähigkeit ausgestattet werden , die Lieder zu hören , die sie jetzt nicht singen können . 

Smile Denk | w_freq: 49 - 69 | wiki_freq: 8349 - 637 | sentence_idx: 264347 | align_1: 14-15 | align_2: 15-20 |    I also think of Dr. Seuss 's advice to all of us , " Smile that it happened . " ||| Und ich denke auch an den Rat von Dr. Seuss an uns alle , " Denk daran zu lächeln , dass es passiert ist . " 

Imagine Stell | w_freq: 325 - 66 | wiki_freq: 5922 - 171 | sentence_idx: 264367 | align_1: 0-0 | align_2: 1-4 |    Imagine how awesome it 'd be if she ever hung out with Oprah , America 's first black female billionaire . ||| Stell dir vor , wie toll es gewesen wäre , wenn sie jemals Oprah , Amerikas erste schwarze Milliardärin , getroffen hätte . 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 264792 | align_1: 0-0 | align_2: 1-4 |    Remember that your decision may surprise your friend . ||| Denken Sie daran , dass Ihre Entscheidung Ihren Freund überraschen kann . 

Lambrinidis Lambrinidis | w_freq: 1 - 1 | wiki_freq: 34 - 20 | sentence_idx: 265029 | align_1: 3-13 | align_2: 4-18 |    26/03/2009 - Rapport Lambrinidis on strengthening security and fundamental freedoms on the Internet 62.5/100 ||| – in Kenntnis des Vorschlags für eine Empfehlung an den Rat von Stavros Lambrinidis im Namen der PSE-Fraktion zur Stärkung der Sicherheit und der Grundfreiheiten im Internet ( B6 - 0302 / 2008 ) , 

Crocodiles Crocodiles | w_freq: 3 - 1 | wiki_freq: 1063 - 425 | sentence_idx: 265113 | align_1: 7-7 | align_2: 8-17 |    * I Can Read about Alligators and Crocodiles ( 1999 ) ||| * I Can Read about Alligators and Crocodiles (= Ich kann über Alligatoren und Krokodile lesen ) ( 1999 ) 

alternatives Fleischalternativen | w_freq: 568 - 4 | wiki_freq: 14795 - 8 | sentence_idx: 267889 | align_1: 14-11 | align_2: 15-16 |    Over the next year we plan to develop a range of wholly Australian meat alternatives to be sold in supermarkets and restaurants across the country . ||| Für das nächste Jahr planen wir die Entwicklung einer Reihe von Fleischalternativen aus ganz Australien , die in Supermärkten und Restaurants im ganzen Land verkauft werden sollen . 

guess raten | w_freq: 641 - 173 | wiki_freq: 8827 - 640 | sentence_idx: 267966 | align_1: 1-1 | align_2: 2-5 |    And guess who was the Trilateral ’s intellectual architect ? ||| Und raten Sie mal , wer der intellektuelle Architekt der Trilateralen war ? 

hardest härteste | w_freq: 191 - 56 | wiki_freq: 5869 - 434 | sentence_idx: 268085 | align_1: 18-20 | align_2: 19-25 |    I can safely say that successfully launching and growing SkyeTeam during the last eight years has been the hardest I have ever worked . ||| Ich kann mit Sicherheit sagen , dass das erfolgreiche Starten und Wachsen von SkyeTeam in den letzten acht Jahren das härteste war , an dem ich jemals gearbeitet habe . 

Forgiving hiess | w_freq: 12 - 8 | wiki_freq: 125 - 1162 | sentence_idx: 269882 | align_1: 1-2 | align_2: 2-7 |    Be Forgiving : Life is hard . ||| Bei mir hiess es noch ( wörtlich ): Das Leben ist hart . 

raped vergewaltigt | w_freq: 140 - 130 | wiki_freq: 13735 - 2652 | sentence_idx: 270535 | align_1: 10-10 | align_2: 11-15 |    Anyone who supports this girl who claims to have been raped is the dirtiest person on earth . " ||| Jeder , der dieses Mädchen unterstützt , das behauptet , vergewaltigt worden zu sein , ist der dreckigste Mensch auf Erden . “ 

reminder Mahnung | w_freq: 234 - 12 | wiki_freq: 7367 - 983 | sentence_idx: 272099 | align_1: 3-4 | align_2: 4-8 |    Indicate in the reminder that you have noticed the irregular payments . ||| Weisen Sie in der Mahnung darauf hin , dass Sie die unregelmäßigen Zahlungen festgestellt haben . 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 272673 | align_1: 0-0 | align_2: 1-4 |    Remember this is all outside of the LatAm business , which is taken as the head office business . ||| Denken Sie daran , dies alles außerhalb des LatAm-Geschäft ist , das als Hauptsitz Geschäft genommen wird . 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 273364 | align_1: 0-0 | align_2: 1-4 |    Remember that it is impossible to cure the disease only with the help of Yoga . ||| Denken Sie daran , dass es unmöglich ist , die Krankheit nur mit Hilfe von Yoga zu heilen . 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 273439 | align_1: 0-0 | align_2: 1-4 |    Remember how some mathematical questions in high school were stated as real-life situations ? ||| Denken Sie daran , wie einige mathematische Fragen in der Schule als realen Situationen angegeben wurden ? 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 273845 | align_1: 0-0 | align_2: 1-4 |    Remember that when you make these same healthy lifestyle choices , you benefit too . ||| Denken Sie daran , dass Sie , wenn Sie dieselben gesunden Lebensstil-Entscheidungen treffen , auch davon profitieren . 

please bitte | w_freq: 937 - 1151 | wiki_freq: 10803 - 1693 | sentence_idx: 273889 | align_1: 11-14 | align_2: 12-19 |    Not even 75 percent of what I make U earn please please reconsider coming here . ||| Nicht einmal 75 prozent von dem , was ich verdiene , bitte , überlege bitte , ob du hierher kommst . 

complain beschweren | w_freq: 285 - 191 | wiki_freq: 5283 - 507 | sentence_idx: 274546 | align_1: 11-9 | align_2: 12-14 |    The children do n’t necessarily challenge the rules but do often complain that they already know it all , says Sharon . ||| Die Kinder fordern nicht unbedingt die Regeln heraus , beschweren sich aber oft , dass sie schon alles wissen , sagt Sharon . 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 275095 | align_1: 0-0 | align_2: 1-4 |    Remember how essentially all online modafinil is sourced from India ? ||| Denken Sie daran , wie im Wesentlichen alle online Modafinil kommt aus Indien ? 

astonished Erstaunt | w_freq: 50 - 3 | wiki_freq: 2602 - 85 | sentence_idx: 275412 | align_1: 4-2 | align_2: 5-7 |    SPIEGEL : Are you astonished that nature obeys laws that we humans are able to understand ? ||| SPIEGEL : Erstaunt es Sie eigentlich , dass die Natur Gesetzen gehorcht , die wir Menschen begreifen können ? 

improbable unwahrscheinlich | w_freq: 32 - 389 | wiki_freq: 3046 - 5202 | sentence_idx: 275435 | align_1: 6-7 | align_2: 7-12 |    I pointed out why it was improbable Iran would attack these particular ships . ||| Ich habe bereits erläutert , warum es unwahrscheinlich ist , dass der Iran gerade diese Schiffe angreifen würde . 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 275442 | align_1: 0-0 | align_2: 1-4 |    Remember that 3063.34 is his ATEE and since his ATEE minus a 1,000 is above the minimum level , we will just use the actual numbers and do not have to use the min of 1,000 . ||| Denken Sie daran , dass 3063.34 sein ATEE ist und da sein ATEE minus 1.000 über dem Mindestlevel liegt , werden wir nur die tatsächlichen Zahlen verwenden und müssen nicht das Minimum von 1.000 verwenden . 

wonder Wunder | w_freq: 1132 - 973 | wiki_freq: 10438 - 7763 | sentence_idx: 275731 | align_1: 3-1 | align_2: 4-5 |    It 's no wonder young people are demonstrating again , speaking of a " stolen revolution " . ||| Kein Wunder , dass die jungen Leute wieder demonstrieren und von einer " gestohlenen Revolution " sprechen . 

friendships freundschaften | w_freq: 89 - 21 | wiki_freq: 5860 - 0 | sentence_idx: 276410 | align_1: 23-24 | align_2: 24-29 |    She can not count the number of schools she attended , a few months here or there , or the number of childhood friendships that slipped away . ||| Sie kann nicht die anzahl der schulen zählen , die sie besucht hat , ein paar monate hier oder dort oder die zahl der freundschaften in der kindheit , die weggerutscht sind . 

Whether Egal | w_freq: 848 - 727 | wiki_freq: 12677 - 485 | sentence_idx: 276515 | align_1: 0-0 | align_2: 1-5 |    Whether for creation , layout or translation of your documentation , 4 Words is your flexible and reliable partner . ||| Egal , ob es dabei um die Erstellung , Gestaltung oder Übersetzung Ihrer Dokumentation geht , 4 Words ist Ihr flexibler und zuverlässiger Partner . 

wise Schuld | w_freq: 360 - 557 | wiki_freq: 11303 - 11601 | sentence_idx: 276859 | align_1: 9-9 | align_2: 10-17 |    God uses the wisdom of fools to confound the wise . ||| Gott benutzt das Gewissen , um Menschen auf ihre Schuld ( vor Gott ) aufmerksam zu machen . 

Darth Darth | w_freq: 10 - 11 | wiki_freq: 2012 - 365 | sentence_idx: 277385 | align_1: 6-8 | align_2: 7-13 |    We never see the moment where Darth realizes he actually has a son . ||| Wir sehen nie den Moment , in dem Darth [ sic ! ] erkennt , dass er tatsächlich einen Sohn hat . 

enjoyment Nutznießung | w_freq: 150 - 28 | wiki_freq: 6917 - 217 | sentence_idx: 277506 | align_1: 15-9 | align_2: 16-17 |    Yet the life of this world , compared to the Hereafter , is only fleeting enjoyment . ” ||| Und das diesseitige Leben ist nichts anderes als eine Nutznießung , durch die man sich betören läßt . " 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 278058 | align_1: 0-0 | align_2: 1-4 |    Remember that these tiny steps are just the beginning and have the faith that you can succeed . ||| Denken Sie daran , dass diese kleinen Schritte sind nur der Anfang und haben den Glauben , dass Sie Erfolg haben kann . 

nectar Nektar | w_freq: 9 - 8 | wiki_freq: 7689 - 2639 | sentence_idx: 278340 | align_1: 7-8 | align_2: 8-13 |    Its only aim is to reach the nectar it smells . ||| Sein einziges Ziel ist es , an den Nektar zu kommen , den es riecht . 

thank danke | w_freq: 1159 - 423 | wiki_freq: 7826 - 296 | sentence_idx: 278350 | align_1: 26-27 | align_2: 27-32 |    Now when people tell me I look good for my age ( I ’m 41 ) , I do n’t just thank my genes — I thank giving up soda . ||| Wenn die Leute mir sagen , dass ich für mein Alter gut aussehe ( ich bin 41 ) , danke ich nicht nur meinen Genen - ich danke , dass ich Soda aufgegeben habe . 

emoticons emoticons | w_freq: 12 - 10 | wiki_freq: 282 - 0 | sentence_idx: 279410 | align_1: 8-5 | align_2: 9-9 |    For example , never use a lot of emoticons unless a girl uses them a lot in her texts to you . ||| Verwende zum beispiel nie viele emoticons , es sei denn , ein mädchen benutzt sie in ihren texten oft . 

tendencies Tendenzen | w_freq: 129 - 134 | wiki_freq: 10164 - 5248 | sentence_idx: 279835 | align_1: 10-11 | align_2: 11-15 |    In short , as a soul with specific inclinations and tendencies requiring delicate handling , Frank never had a chance . ||| Kurz gesagt : als eine Seele , die spezifische Neigungen und Tendenzen innehatte , die nach delikater Handhabe verlangten , hatte Frank niemals eine Chance . 

Ethics Ethics | w_freq: 48 - 9 | wiki_freq: 14615 - 626 | sentence_idx: 279854 | align_1: 4-5 | align_2: 5-9 |    In her Code of Ethics , Rachel explains why each of us should set up a code of conduct for his life and how it helps us go through life better . ||| In ihren „ Code of Ethics “ ( Verhaltenskodex ) erläutert Rachel , warum jeder von uns einen Verhaltenskodex für sein Leben aufstellen sollte und wie es uns hilft , besser durch das Leben zu gehen . 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 280209 | align_1: 0-0 | align_2: 1-4 |    Remember that there are consequences in mistreating a national flag and this also depends to the country and their laws . ||| Denken Sie daran , dass es Konsequenzen bei der Misshandlung einer Nationalflagge gibt und dies auch vom Land und ihren Gesetzen abhängt . 

imagine stell | w_freq: 1110 - 29 | wiki_freq: 9379 - 61 | sentence_idx: 280227 | align_1: 21-23 | align_2: 22-27 |    Yes , he may be looking for a Christian but if his wife took 8 yeara to find this out then imagine how he can fool women . ||| Ja , er sucht vielleicht nach einem christen , aber wenn seine frau 8 jahre gebraucht hat , um das herauszufinden , dann stell dir vor , wie er frauen täuschen kann . 

wonder Wunder | w_freq: 1132 - 973 | wiki_freq: 10438 - 7763 | sentence_idx: 280243 | align_1: 3-1 | align_2: 4-5 |    Is it any wonder the two disciplines go together like popcorn and a good movie ? ||| Kein Wunder also , dass die beiden Disziplinen zusammenpassen wie Popcorn und ein guter Film , oder ? 

Bubbly sprudelnde | w_freq: 1 - 3 | wiki_freq: 198 - 88 | sentence_idx: 280315 | align_1: 11-10 | align_2: 12-15 |    You Have the Founding Mothers of Champagne to Thank for the Bubbly You Drink Today ||| Sie haben die Gründermütter des Champagners , zum für das sprudelnde zu danken , das Sie heute trinken 

disarmament Abrüstung | w_freq: 125 - 95 | wiki_freq: 4231 - 1401 | sentence_idx: 280485 | align_1: 6-6 | align_2: 7-10 |    We need a new decade of disarmament now . ||| Wir brauchen ein neues Jahrzehnt der Abrüstung , und zwar jetzt . 

Novorossiya Noworossija | w_freq: 2 - 3 | wiki_freq: 336 - 8 | sentence_idx: 280903 | align_1: 11-9 | align_2: 12-17 |    Do you really think that Russia is n’t giving the so-called Novorossiya military and financial help ? ” ||| Glauben Sie wirklich , dass Russland dem sogenannten ‘ Noworossija ’ ( ‘ Neurussland ’ ) keine militärische und finanzielle Hilfe gibt ? ” 

Suppose Nehmen | w_freq: 121 - 569 | wiki_freq: 5239 - 469 | sentence_idx: 281003 | align_1: 0-0 | align_2: 1-4 |    Suppose that 2 candidates appear only in 2 cells of a region . ||| Nehmen wir an , dass 2 Kandidaten nur in 2 Zellen einer Region erscheinen . 

pray bete | w_freq: 668 - 110 | wiki_freq: 10155 - 221 | sentence_idx: 281663 | align_1: 3-3 | align_2: 4-9 |    I hope and pray such violence never takes place , but I also know that there are horrendously evil people ( and nations ) in our world , and I know that America has many enemies which are trying to destroy her . ||| Ich hoffe und bete , dass es nie zu solcher Gewalt kommt , aber ich weiß auch , dass es auf unserer Welt entsetzlich böswillige Menschen ( und Staaten ) gibt , und ich weiß , dass Amerika viele Feinde hat , die versuchen , es zu zerstören . 

pray bete | w_freq: 668 - 110 | wiki_freq: 10155 - 221 | sentence_idx: 282959 | align_1: 1-1 | align_2: 2-5 |    I pray we will not let these children of god suffer in silence and that we will be endowed with his capacity to hear the songs they can not now sing . ||| Ich bete darum , dass wir diese Kinder Gottes nicht schweigend leiden lassen und dass wir mit seiner Fähigkeit ausgestattet werden , die Lieder zu hören , die sie jetzt nicht singen können . 

crises Krisen | w_freq: 324 - 265 | wiki_freq: 8531 - 2801 | sentence_idx: 283210 | align_1: 16-15 | align_2: 17-19 |    “ In my opinion that [ erosion of public trust ] is one of the biggest crises we face . ||| „ Meiner Meinung nach ist [ die Erosion des öffentlichen Vertrauens ] eine der größten Krisen , mit denen wir konfrontiert sind . 

wonder Wunder | w_freq: 1132 - 973 | wiki_freq: 10438 - 7763 | sentence_idx: 283600 | align_1: 1-1 | align_2: 2-5 |    No wonder many US voters are suspicious of Obama ’s past ; they have every right not to trust him . ||| Kein Wunder also , dass viele US-Wähler bezüglich Obamas Vergangenheit argwöhnisch sind ; sie haben jedes Recht , ihm nicht zu vertrauen . 

announce mitteilen | w_freq: 318 - 202 | wiki_freq: 14722 - 1383 | sentence_idx: 284427 | align_1: 4-6 | align_2: 5-10 |    Mintos is proud to announce that we have joined the Czech Fintech Association ( CFA ) . ||| Mintos ist stolz darauf , Ihnen mitteilen zu können , dass wir der Czech FinTech Association ( CFA ) beigetreten sind . 

Beard Bart | w_freq: 4 - 60 | wiki_freq: 8650 - 5029 | sentence_idx: 285035 | align_1: 9-11 | align_2: 10-16 |    Is There Anything I Can Do To Grow The Beard I Want ? ||| Gibt es alles , was ich tun kann , um den Bart zu wachsen , den ich will ? ? 

vampires Vampire | w_freq: 96 - 86 | wiki_freq: 6128 - 3161 | sentence_idx: 285394 | align_1: 14-12 | align_2: 15-17 |    Therefore , I write these articles and provide you with an antiserum against these vampires who want to suck the blood of the innocent children of God . ||| Deshalb schreibe ich diese Artikel und gebe euch ein Antiserum gegen diese Vampire an die Hand , die das Blut der unschuldigen Kinder Gottes aussaugen wollen . 

Verily Fürwahr | w_freq: 107 - 6 | wiki_freq: 279 - 37 | sentence_idx: 285446 | align_1: 1-0 | align_2: 2-6 |    ' Verily , this is a certain truth . ||| Fürwahr , was dieses Recht ist , das ist die Wahrheit ( satyam ) . 

assassins Attentäter | w_freq: 30 - 29 | wiki_freq: 4737 - 2665 | sentence_idx: 286157 | align_1: 5-5 | align_2: 6-9 |    Zetler carefully selected four professional assassins who he knew would not talk . ||| Zetler suchte sorgfältig vier professionelle Attentäter aus , von denen er wusste , dass sie nicht reden würden . 

Chirac Chirac | w_freq: 21 - 20 | wiki_freq: 2294 - 1032 | sentence_idx: 286961 | align_1: 2-2 | align_2: 3-7 |    President Jacques Chirac ( UMP ) repealed the controversial law at the beginning of 2006 . ||| Präsident Jacques Chirac ( Jacques Chirac ) ( UMP ) hob das umstrittene Gesetz am Anfang 2006 auf . 

Imagine Stell | w_freq: 325 - 66 | wiki_freq: 5922 - 171 | sentence_idx: 287294 | align_1: 0-0 | align_2: 1-5 |    Imagine your country is barricaded , blocked , besieged to keep you from exporting your most dangerous product to the poor people of the continent : hope . ||| Stell ' dir vor , dein Land wird ausgesperrt , blockiert , belagert , um dich daran zu hindern , dein gefährlichstes Produkt an die Armen des Kontinents zu exportieren : die Hoffnung . 

Looks Sieht | w_freq: 69 - 59 | wiki_freq: 1850 - 379 | sentence_idx: 288201 | align_1: 0-0 | align_2: 1-4 |    Looks like we 've caught these two gentlemen here . ||| Sieht so aus , als hätten wir diese beiden Herren hier , ertappt . 

Remember Erinnere | w_freq: 1149 - 66 | wiki_freq: 9753 - 36 | sentence_idx: 289668 | align_1: 0-0 | align_2: 1-4 |    Remember that change can be scary , so it ’s important to be loving and supportive of your partner . ||| Erinnere dich daran , dass Veränderung beängstigend sein kann , also ist es wichtig , deinen Partner zu lieben und zu unterstützen . 

Prepare Bereiten | w_freq: 68 - 31 | wiki_freq: 525 - 17 | sentence_idx: 290504 | align_1: 0-0 | align_2: 1-8 |    Prepare to spend time alone , you are not “ part of a family ” but definitely a guest . ||| Bereiten Sie sich darauf vor , Zeit alleine zu verbringen , Sie sind nicht “ Teil einer Familie ” , sondern definitiv ein Gast . 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 291540 | align_1: 0-0 | align_2: 1-4 |    Remember that the most important rule on forums is to show respect for other members at all times . ||| Denken Sie daran , dass die wichtigste Regel in Foren ist , jederzeit Respekt für andere Mitglieder zu zeigen . 

Remember Erinnern | w_freq: 1149 - 201 | wiki_freq: 9753 - 488 | sentence_idx: 292708 | align_1: 0-0 | align_2: 1-6 |    Remember what Siege Media found ? ||| Erinnern Sie sich noch daran , was Siege Media herausfand ? 

proclamation Proklamation | w_freq: 41 - 16 | wiki_freq: 13050 - 1910 | sentence_idx: 293431 | align_1: 7-5 | align_2: 8-10 |    In 1995 , the Church issued a proclamation stating that gender is an essential , eternal part of individual identity . ||| 1995 veröffentlichte die Kirche eine Proklamation , in der sie erklärte , dass Geschlecht ein wesentlicher , ewiger Teil der individuellen Identität ist . 

Remember Denken | w_freq: 1149 - 1801 | wiki_freq: 9753 - 11243 | sentence_idx: 294433 | align_1: 0-0 | align_2: 1-4 |    Remember though I only invested $ 90 on this trade so let 's see how much money I made . ||| Denken Sie daran , obwohl ich nur investiert 90 auf diesen Handel so sehen konnen , wie viel Geld ich gemacht habe . 

fearless kannte | w_freq: 32 - 531 | wiki_freq: 2857 - 9216 | sentence_idx: 295724 | align_1: 0-1 | align_2: 1-14 |    fearless - before the Dark Lord came from the Outside . " ||| Er kannte das Dunkel unter den Sternen , als es noch ohne Schrecken war - ehe der Dunkle Herrscher von Außen kam . " 

fearless Dunkel | w_freq: 32 - 36 | wiki_freq: 2857 - 1835 | sentence_idx: 295724 | align_1: 0-3 | align_2: 1-14 |    fearless - before the Dark Lord came from the Outside . " ||| Er kannte das Dunkel unter den Sternen , als es noch ohne Schrecken war - ehe der Dunkle Herrscher von Außen kam . " 

140:5.21 140:5.21 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 295753 | align_1: 0-0 | align_2: 1-4 |    140:5.21 So often persecution does follow peace . ||| 140:5.21 ( 1575.6 ) So oft folgt auf Frieden Verfolgung . 

