FAADE token | w_freq: 1 - 11 | wiki_freq: 0 - 61 | sentence_idx: 3148 | align_1: 3-5 | align_2: 4-10 | ner_entity: FAADE-none |    So , [ FAADE ] will surface that . ||| by this [ that ] token 照 这个 [ 那个 ] 看来 。
WEISMAN 魏斯曼 | w_freq: 2 - 3 | wiki_freq: 2 - 26 | sentence_idx: 729368 | align_1: 3-3 | align_2: 4-8 | ner_entity: ALAN WEISMAN-艾伦 ． 魏斯曼 |    Speaker : ALAN WEISMAN , Author , The World Without Us . ||| 」 艾伦 ． 魏斯曼 （ Alan Weisman ） ， 《 没有 我们 的 世界 》 （ The World without Us ） 作者

ACUMEN ACUMEN | w_freq: 2 - 4 | wiki_freq: 4 - 0 | sentence_idx: 736678 | align_1: 8-11 | align_2: 9-16 | ner_entity: ACUMEN-ACUMEN 劳动力 智能 ( ACUMEN Workforce Intelligence ) 平台 |    Allegis Global Solutions developed its analytics program , ACUMEN Workforce Intelligence , with the goal of understanding three things : How are programs performing ? ||| Allegis Global Solutions 公司 开发 了 一个 分析 项目 ， 即 ACUMEN 劳动力 智能 ( ACUMEN Workforce Intelligence ) 平台 ， 其 目标 是 掌握 三 件 事情 ： 项目 是 如何 执行 的 ?

Healthcare.gov gov | w_freq: 3 - 16 | wiki_freq: 44 - 30 | sentence_idx: 739087 | align_1: 9-11 | align_2: 10-16 | ner_entity: Healthcare.gov-HealthCare . gov |    " His experience at Microsoft , recent work on Healthcare.gov and work with startups here in Seattle give him a unique perspective for this new role . " ||| “ 他 在 微软 的 经历 ， 最近 在 HealthCare . gov 上 的 工作 ， 以及 在 西雅图 与 创业 公司 合作 ， 为 他 的 这 一 新 角色 提供 了 独特 的 视角 。

Project-Write Write | w_freq: 1 - 22 | wiki_freq: 8 - 84 | sentence_idx: 742237 | align_1: 25-26 | align_2: 26-31 | ner_entity: Genome Project-Write-none |    And just two years ago , scientists officially announced that they wanted to start to ‘ write ’ new genomes as part of the Genome Project-Write . ||| 而 就 在 2 年前 ， 科学家 正式 宣布 他们 希望 开始 ‘ 编写 ’ 新 的 基因组 作为 基因组 编写 计划 （ Genome Project - Write ） 的 一 环 。

non-Gaussian non-Gaussian | w_freq: 1 - 1 | wiki_freq: 95 - 0 | sentence_idx: 764653 | align_1: 5-4 | align_2: 6-8 | ner_entity: non-Gaussian-none |    It is able to recover non-Gaussian independent signals : ||| 该 方法 能够 恢复 non-Gaussian （ 非高斯 ） 独立 信号 :

FFXV FFXV | w_freq: 3 - 3 | wiki_freq: 4 - 3 | sentence_idx: 768689 | align_1: 11-13 | align_2: 12-18 | ner_entity: FFXV-none |    I can not talk about the details , but like “ FFXV , ” I will create a game based on a new world drawn with high quality , high end . ||| “ 我 不 能 谈论 细节   ， 但 就 像 《 FFXV 》 一样   ， 我 将 创造 一 款 基于 全新 世界 的 高 质量 高端 游戏   。

PIMFA PIMFA | w_freq: 3 - 3 | wiki_freq: 1 - 0 | sentence_idx: 769527 | align_1: 0-0 | align_2: 1-4 | ner_entity: PIMFA-none |    PIMFA calls upon the government , EU member states , and the European Commission and Parliament , to ensure that a proper phase 2 with a minimum transition period , as enshrined in the March 2018 version of the draft Withdrawal Agreement , is retained and not sacrificed in negotiations on the principles of the phase 3 agreement . ||| PIMFA 表示 ， 它 呼吁 政府 ， 欧盟 成员国 以及 欧盟 委员会 和 议会 确保 保留 适用 于 2018年 3月 版本 的 退出 协议 草案 所 规定 的 最 短 过渡期 的 第2 阶段 ， 而 不是 在 关于 第3 阶段 协议 原则 的 谈判 中 牺牲 了 。

Tawwaab 凯里目 | w_freq: 1 - 2 | wiki_freq: 2 - 0 | sentence_idx: 771787 | align_1: 1-1 | align_2: 2-7 | ner_entity: Tawwaab-凯里目 |    At Tawwaab is one of the Names of Allah . ||| “ 凯里目 ” （ 尊贵 的 ） 是 真主 的 尊名 之一 。

Q-CAT Q-CAT | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 787559 | align_1: 4-4 | align_2: 5-9 | ner_entity: none-“ Q-CAT |    When you use the Q-CAT , it 'll help you to decide when to bring others into the process and what steps need to be taken to help you make better decisions . ||| 当 你 使用 “ Q-CAT ” 体系 的 时候 ， 它 会 帮助 你 决定 何时 让 别人 参与 流程 、 需要 采取 什么 步骤 帮 你 做出 更 好的 决策 。

alayhis-Salam 麦尔彦章 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 795002 | align_1: 7-5 | align_2: 8-14 | ner_entity: none-麦尔彦章 |    So ‘ Isa Ibn Maryam ( ‘ alayhis-Salam ) will descend and lead them . ||| 鲁达基 根据 《 古兰经 》 麦尔彦章 第76 节 经文 （ 真主 将 为 遵循 正道者 增加 其 引导 。

Kӧstenberger 斯滕贝里耶 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 808482 | align_1: 1-1 | align_2: 2-5 | ner_entity: Kӧstenberger-斯滕贝里耶 |    As Kӧstenberger points out , “ Jesus ’ ‘ sheep ’ listen to his voice ; he knows them , and they follow him ( 10:3 , 4 , 8 , 14 , 16 ) . ||| 如 斯滕贝里耶 （ Kostenberger ） 指 「 耶稣 的 『 羊 』 听祂 的 声音 ； 祂 认识 他们 ， 他们 跟 从祂 （ 约 10:3,4,8,14,16 ） 。

Gallat Gallat | w_freq: 2 - 2 | wiki_freq: 8 - 0 | sentence_idx: 828546 | align_1: 4-4 | align_2: 5-10 | ner_entity: Seith " Gallat-none |    Lionel " Seith " Gallat creates 90 % of the art , design and coding . ||| Lionel " Seith " Gallat 是 本 游戏 创造者 ， 负责 90% 的 艺术 、 设计 和 编码 。

VDMA VDMA | w_freq: 4 - 5 | wiki_freq: 66 - 24 | sentence_idx: 833578 | align_1: 14-2 | align_2: 15-7 | ner_entity: VDMA Foreign Trade-VDMA 外贸 协会 （ VDMA Foreign Trade |    However , this also has a major drawback , Ulrich Ackermann , Head of VDMA Foreign Trade mentions : " These subsidised or non-market-oriented mechanical engineering companies are increasingly conquering the global export markets including the EU and distorting international competition . " ||| 然而 ， VDMA 外贸 协会 （ VDMA Foreign Trade ） 主席 乌尔里希•阿克曼 ( Ulrich Ackermann ) 提到 ， 这 也 是 一个 大 缺陷 : “ 这些 获得 补贴 或 非 市场化 的 机械 工程 公司 正 日益 征服 包括 欧盟 在内 的 全球 出口 市场 ， 扭曲 国际 竞争 。

Anmary Anmary | w_freq: 1 - 2 | wiki_freq: 19 - 0 | sentence_idx: 834348 | align_1: 2-2 | align_2: 3-8 | ner_entity: Anmary-none |    Latvia English Anmary " Beautiful Song " — 16 17 ||| 拉脱维亚 英语 Anmary （ 英语 ： Anmary ） " Beautiful Song （ 英语 ： Beautiful Song ） " — 16 17

VARK vark | w_freq: 2 - 2 | wiki_freq: 21 - 0 | sentence_idx: 834496 | align_1: 8-11 | align_2: 9-16 | ner_entity: VARK-none |    Today , 16 questions like this comprise the VARK questionnaire that Fleming developed to determine someone ’s “ learning style . ” ||| 今天 ， 有 16 个 类似 的 问题 组成 了 “ vark 问卷 ” ， 这个 问卷 是 Fleming 为了 确定 一个 人 的 “ 学习 风格 ” 而 开发 出来 的 。

Fabbrico Fabbrico | w_freq: 1 - 1 | wiki_freq: 14 - 0 | sentence_idx: 837754 | align_1: 11-13 | align_2: 12-18 | ner_entity: Fabbrico-法布 理科 ( Fabbrico |    Thanks to this pioneering foresight , besides his company located in Fabbrico , he has created strong trade and industrial relations in several countries . ||| 由于 这 一 开创性 的 远见 ， 除了 其 位于 法布 理科 ( Fabbrico ) 的 公司 以外 ， 他 已 在 几 个 国家 建立 了 强大 的 贸易 和 工业 关系 。

Tufekci Tufekci | w_freq: 1 - 1 | wiki_freq: 75 - 0 | sentence_idx: 845529 | align_1: 0-0 | align_2: 1-5 | ner_entity: Tufekci-none |    Tufekci : What was the most important role the Internet played in helping people launch the Egyptian revolution in 2011 ? ||| Tufekci （ 以下 简称T ） ： 在 帮助 人们 发起 2011年 的 埃及 革命 中 ， 互联网 所 扮演 的 最 重要 的 角色 是 什么 ？

al-Nasaa’i 於穆 | w_freq: 3 - 1 | wiki_freq: 0 - 0 | sentence_idx: 847151 | align_1: 2-0 | align_2: 3-5 | ner_entity: al-Nasaa’i-none |    Narrated by al-Nasaa’i . ||| 於穆 不已 ， 诞兹 柔惠 。

Isil DAESH | w_freq: 3 - 2 | wiki_freq: 33 - 0 | sentence_idx: 858491 | align_1: 12-15 | align_2: 13-21 | ner_entity: Isil-none |    He warned that the fighting will be " fierce because Daesh [ Isil ] will die to defend their so-called capital " . ||| 这 场 战役 将 会 极其 艰难 ， 因为 『 达 伊 沙 』 （ DAESH ， ISIS 的 阿文 缩写 ） 必将 誓死 防卫 他们 所谓 的 『 首都 』 。

RoC RoC | w_freq: 1 - 1 | wiki_freq: 72 - 1 | sentence_idx: 864109 | align_1: 7-9 | align_2: 8-14 | ner_entity: RoC-none |    “ Today , we ’re updating the RoC with regard to Adult Only ( AO ) games . ||| “ 如今 ， 我们 对 用户 行为 守则 ( RoC ) 进行 了 更新 ， 增加 了 对 仅 限 成人级 ( AO ) 游戏 的 规定 。

Sitrick 西特里克 | w_freq: 2 - 1 | wiki_freq: 43 - 4 | sentence_idx: 865340 | align_1: 1-3 | align_2: 2-7 | ner_entity: Sitrick-西特里克 |    Eventually Sitrick had single-handedly captured 21 enemy soldiers . ||| 最终 ， 根据 西特里克 的 描述 ， 他 单枪匹马 俘获 了 21 名 敌军 士兵 。

Centineo Centineo | w_freq: 4 - 4 | wiki_freq: 75 - 3 | sentence_idx: 865705 | align_1: 1-3 | align_2: 2-12 | ner_entity: Noah Centineo-none |    Noah Centineo ( To All The Boys I 've Loved Before ) ||| 诺阿圣特尼欧 （ Noah Centineo ） － 《 爱 的 过去 进行式 》 （ To All the Boys I've Loved Before ）

H-1B2 H-1B2 | w_freq: 2 - 1 | wiki_freq: 0 - 0 | sentence_idx: 867641 | align_1: 0-0 | align_2: 1-8 | ner_entity: none-H-1B2 |    H-1B2 DOD Researcher and Development Project Worker ||| H-1B2 国防部 研究 与 开发 项目 工作者 ( DOD Researcher and Development Project Worker )

StackOverflow StackOverflow | w_freq: 3 - 2 | wiki_freq: 12 - 1 | sentence_idx: 876366 | align_1: 11-9 | align_2: 12-15 | ner_entity: StackOverflow-none |    Most of us spend a lot of time on pages like StackOverflow or researching google because there are so many resources out there . ||| 我们 大多数 人 花 了 很多 时间 在 像 StackOverflow 这样 的 页面 上 ， 或者 搜索 谷歌 ， 因为 那里 有 太 多 的 资源 。

EB-1 EB-1 | w_freq: 6 - 8 | wiki_freq: 79 - 3 | sentence_idx: 891284 | align_1: 20-22 | align_2: 21-26 | ner_entity: EB-1-none |    A : If you decide to retain us to do your EB-1(a ) , please read a copy of our EB-1 agreement , sign it , and mail it to us , along a check for $ 2,500 as the initial attorney 's fee . ||| A ： 如果 您 决定 委托 我们 公司 为 您 进行 EB-1 （ a ） 申请 ， 请 先 阅读 我们 的 EB-1 （ a ） 合同 ， 签字 后 寄 给 我们 ， 并 附上 2500 美元 的 支票 ， 这笔 费用 包括 最初 的 费用 。

K[sytycd ful | w_freq: 1 - 1 | wiki_freq: 0 - 2 | sentence_idx: 895070 | align_1: 3-9 | align_2: 4-17 | ner_entity: K[sytycd-none |    [ 18:04:28 ] K[sytycd ] and oddly enough ||| （ 例如 ， - ed ， -ing ， - ful ， - less ， -ous ， -ive ） 。

Samasource Samasource | w_freq: 7 - 10 | wiki_freq: 13 - 0 | sentence_idx: 904836 | align_1: 15-15 | align_2: 16-21 | ner_entity: Samasource-none |    Other companies , such as Crowdflower ( now Figure Eight ) , Mighty AI and Samasource label data and clean it up for algorithmic use . ||| 其他 公司 ， 如 Crowdflower ( 如今 的 Figure Eight ) 、 Mighty AI 和 Samasource ， 会 对 数据 进行 标签化 ， 并 对 其 进行 清理 以 供 算法 使用 。

Bastoy Bastoy | w_freq: 1 - 2 | wiki_freq: 4 - 0 | sentence_idx: 921840 | align_1: 27-29 | align_2: 28-34 | ner_entity: Bastoy Prison Island-none |    If you ’re looking for more special jails around the world , you might be interested in Bolivia ’s San Pedro prison community or Norway ’s relaxing Bastoy Prison Island . ||| 假如 你 在 全世界 寻找 更 特别 的 监狱 ， 你 可能 对 玻利维亚 的 圣佩德罗 监狱 社区 （ San Pedro prison community ） 和 挪威 轻松 自在 的 Bastoy 监狱 岛 （ Bastoy Prison Island ） 感 兴趣 。

Gtel Gtel | w_freq: 1 - 1 | wiki_freq: 3 - 0 | sentence_idx: 924970 | align_1: 7-4 | align_2: 8-11 | ner_entity: Gtel-none |    Up to now , all except for Gtel have officially offered 4 G services to users . ||| 截至 目前 ， 除 Gtel 外 ， 四 家 电信 集团 已 正式 向 用户 提供 了 4G 网络 服务 。

Cibulkova Cibulkova | w_freq: 1 - 1 | wiki_freq: 21 - 3 | sentence_idx: 926897 | align_1: 13-12 | align_2: 14-18 | ner_entity: Cibulkova-none |    “ We planned this [ the wedding ] nine months ago , ” Cibulkova said to the Daily Mail . ||| “ 咱们 谋划 正在 九 个 月 前 举办 婚礼 ， ” Cibulkova 对 “ 逐日 信息 ” 说 邮件 。

ho'oponopono oponopono | w_freq: 3 - 3 | wiki_freq: 2 - 0 | sentence_idx: 927879 | align_1: 24-27 | align_2: 25-32 | ner_entity: none-oponopono |    Blaming is much easier than total responsibility , but speaking with Dr. Len , I started to realize that healing for him and in ho'oponopono means loving yourself . ||| 责怪 比 “ 完全 负责 ” 容易 得 多 ， 但是 当 我 与 Len医师 谈话 时 ， 我 开始 了解 ， 对 他 与 “ ho oponopono ” 而言 ， 治愈 意味着 “ 爱 你 自己 ” 。

Yubitsume Yubitsume | w_freq: 1 - 1 | wiki_freq: 5 - 0 | sentence_idx: 928280 | align_1: 6-5 | align_2: 7-10 | ner_entity: Yubitsume-none |    The Yakuza had a ritual called Yubitsume where they would chop off part of one ’s pinky finger as punishment . ||| The Yakuza 有 一个 叫做 Yubitsume 的 仪式 ， 在 那里 他们 会 砍掉 一个 小 指 的 一部分 作为 惩罚 。

Atatürkism Ataturkism | w_freq: 1 - 1 | wiki_freq: 7 - 0 | sentence_idx: 932631 | align_1: 18-22 | align_2: 19-26 | ner_entity: Atatürkism-none |    The New Turkey 's ideology was , and remains , " Kemalism " , later known as " Atatürkism " . ||| 土耳其 共和国 的 意识 形态 过去 是 并且 将 永远 是 “ Kemalism （ Kemal主义 ） ” ， 后来 也 称为 “ Ataturkism （ Ataturk主义 ） ” 。

PuTTY PuTTY | w_freq: 3 - 4 | wiki_freq: 35 - 16 | sentence_idx: 935997 | align_1: 7-10 | align_2: 8-15 | ner_entity: PuTTY-none |    To test the connection we will use PuTTY . ||| 使用 PuTTY 测试 To test the connection we will use PuTTY . S [ … ]

Kartavtsev Kartavtsev | w_freq: 1 - 2 | wiki_freq: 4 - 0 | sentence_idx: 940288 | align_1: 10-8 | align_2: 11-15 | ner_entity: Valeriy Kartavtsev-none |    December 1 , 1993 - August 5 , 1994 Valeriy Kartavtsev ( Secretary of National Security Council ) ||| 1993年 12月 1日 - 1994年 8月 5日 Valeriy Kartavtsev （ 英语 ： Valeriy Kartavtsev ） （ 国家 安全 委员会 秘书 ）

Beej Beej | w_freq: 1 - 2 | wiki_freq: 59 - 0 | sentence_idx: 952334 | align_1: 0-1 | align_2: 1-8 | ner_entity: Beej-none |    Beej 's Guide to C Programming ||| 《 Beej 的 C 语言 教程 Beej ’ s Guide to C Programming 》

Manderlay Manderlay | w_freq: 1 - 1 | wiki_freq: 46 - 0 | sentence_idx: 954970 | align_1: 1-5 | align_2: 2-10 | ner_entity: Manderlay-none |    In Manderlay , slavery seems to be justified , which insulted many American critics . ||| 在 《 曼德勒 》 （ Manderlay ， 2005 ） 中 ， 奴隶制 似乎 是 合理 的 ， 这 侮辱 了 许多 美国 的 评论家 。

Blankson Blankson | w_freq: 1 - 2 | wiki_freq: 87 - 0 | sentence_idx: 958184 | align_1: 1-1 | align_2: 2-10 | ner_entity: Amy Blankson-Amy Blankson |    Amy Blankson is the only person to be named a Point of Light by two Presidents . ||| Amy Blankson ( 艾咪‧布兰克森 ) 艾咪‧布兰克森 ( Amy Blankson ) 是 唯一 一 位 被 两 位 总统 ( 布希 总统 和 柯林顿 总统 ) 名 为 光点 ( a Point of Light ) 的 人 。

Saganne Saganne | w_freq: 1 - 1 | wiki_freq: 25 - 0 | sentence_idx: 996944 | align_1: 4-4 | align_2: 5-9 | ner_entity: Saganne-none |    In the Sahara , Saganne earns the respect of the Arabs , including Amajan , an independent warrior . ||| 在 沙漠 中 ， Saganne 是 一个 领导者 ， 受到 阿拉伯人 的 尊重 ， 包括 一个 独立 的 战士 Amajan 。

Babushki Babushki | w_freq: 1 - 2 | wiki_freq: 34 - 1 | sentence_idx: 999261 | align_1: 5-5 | align_2: 6-12 | ner_entity: Buranovskiye Babushki-none |    Russia Udmurt , English Buranovskiye Babushki " Party For Everybody " — 1 152 ||| 俄罗斯 乌德穆尔特语 、 英语 Buranovskiye Babushki （ 英语 ： Buranovskiye Babushki ） " Party for Everybody （ 英语 ： Party for Everybody ） " — 1 152

