Jurij Jurijus | w_freq: 1 - 2 | wiki_freq: 607 - 1 | sentence_idx: 1040 | align_1: 1-1 | align_2: 2-6 | entity: Jurij Veklenko - none |    Lithuania Jurij Veklenko " Run with the Lions " English 11 93 ||| 立陶宛 Jurijus （ 英语 ： Jurijus Veklenko ） " Run with the Lions （ 英语 ： Run with the Lions ） " 英语 11 93 
BreakPoint BreakPoint | w_freq: 1 - 1 | wiki_freq: 7 - 0 | sentence_idx: 202443 | align_1: 2-4 | align_2: 3-8 | entity: BreakPoint - ( BreakPoint ) 网站 |    Recently on BreakPoint , I said that it took a lot of courage to be a Christian in Iraq . ||| 最近 在 突破点 ( BreakPoint ) 网站 上 ， 我 曾 说 在 伊拉克 当 一 名 基督徒 需要 很 大 的 勇气 。 

Forstall Forstall | w_freq: 4 - 3 | wiki_freq: 120 - 6 | sentence_idx: 203560 | align_1: 4-7 | align_2: 5-11 | entity: Scott Forstall - Scott Forstall |    When Apple Fired Scott Forstall , It Fired Its Most Prolific Inventor ||| 当 苹果 解雇 了 斯科特·福斯托 （ Scott Forstall ） 的 时候 ， 它 也 解雇 了 其 最多 产 的 发明家 

Alanya 阿拉尼亚 | w_freq: 3 - 2 | wiki_freq: 532 - 54 | sentence_idx: 203720 | align_1: 14-10 | align_2: 15-18 | entity: Alanya - 阿拉尼亚 |    You may want to spend couple of months of the year or none in Alanya . ||| 你 可能 想 每年 花 几 个 月 时间 在 阿拉尼亚 生活 ， 或者 什么 都 不 想 。 

Samalavicius 阿曼达·萨马拉 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 204249 | align_1: 1-0 | align_2: 2-7 | entity: Almantas Samalavicius - 阿曼达·萨马拉 维西斯 |    Almantas Samalavicius : The neoliberal agenda that came into being a few decades ago in the northern hemisphere , and was eventually globalized , now seems to threaten systems of higher education worldwide . ||| 阿曼达·萨马拉 维西斯 ( 以下 简称 问 ) ： 几十 年前 在 北半球 形成 的 新 自由主义 议程 最终 实现 了 全球化 ， 现在 似乎 正在 威胁 全世界 的 高等 。 

Samalavicius 维西斯 | w_freq: 1 - 1 | wiki_freq: 0 - 9 | sentence_idx: 204249 | align_1: 1-1 | align_2: 2-7 | entity: Almantas Samalavicius - 阿曼达·萨马拉 维西斯 |    Almantas Samalavicius : The neoliberal agenda that came into being a few decades ago in the northern hemisphere , and was eventually globalized , now seems to threaten systems of higher education worldwide . ||| 阿曼达·萨马拉 维西斯 ( 以下 简称 问 ) ： 几十 年前 在 北半球 形成 的 新 自由主义 议程 最终 实现 了 全球化 ， 现在 似乎 正在 威胁 全世界 的 高等 。 

WNBR WNBR | w_freq: 1 - 1 | wiki_freq: 43 - 4 | sentence_idx: 207104 | align_1: 21-15 | align_2: 22-19 | entity: WNBR - none |    “ If you are coming just to be a pain in the neck and to be the one to end this WNBR we ’d rather you stayed at home . ” ||| “ 如果 你 只是 为了 成为 一个 痛苦 的 脖子 ， 并 成为 结束 这个 WNBR 的 人 ， 我们 宁愿 你 呆 在 家里 

Harari Harari | w_freq: 10 - 8 | wiki_freq: 842 - 11 | sentence_idx: 208836 | align_1: 9-7 | align_2: 10-15 | entity: Yuval Noah Harari - none |    But a recent book by Israeli historian Yuval Noah Harari offers an opportunity to correct this imbalance . ||| 但 以色列 历史学家 尤瓦尔·诺亚·哈里里 （ Yuval Noah Harari ） 的 近著  ， 为 我们 提供 了 纠正 这 一 失衡 的 机会   。 

Arbesman Arbesman | w_freq: 3 - 3 | wiki_freq: 8 - 0 | sentence_idx: 209590 | align_1: 14-23 | align_2: 15-28 | entity: Samuel Arbesman - none |    The Half-life of Facts Why everything we know has an expiration date by Samuel Arbesman ( 2012 ) ||| 《 半生 所 知 》 （ The Half-life of Facts : Why Everything We Know Has an Expiration Date ） 萨缪尔·阿布斯曼 （ Samuel Arbesman ） 著 Current Hardcover 2012年 9月 

Norlela 诺莱拉 | w_freq: 1 - 1 | wiki_freq: 6 - 0 | sentence_idx: 212003 | align_1: 6-5 | align_2: 7-10 | entity: Norlela - 诺莱拉 |    One commented , “ Good job Norlela , I believe what u have been doing is extremely important in improving racial harmony in Malaysia . ||| 有人 评论 说 ： “ 诺莱拉 ， 做 得 好 ， 我 相信 你 所 做 的 对 改善 马来西亚 的 种族 和谐 非常 重要 。 

Gramsci Gramsci狱 | w_freq: 4 - 2 | wiki_freq: 797 - 0 | sentence_idx: 215548 | align_1: 9-8 | align_2: 10-17 | entity: Antonio Gramsci - Gramsci狱 |    “ So I ’ve come lately to cite Antonio Gramsci : “ I am a pessimist because of intelligence , but an optimist because of will . ” ||| 最近 阅读 文章 ， 看到 意大利 哲学家 Antonio Gramsci狱 中 书信 里 发人深省 的 一句话 ， 写道 ： I ’ m a pessimist be cause of intelligence , but an optimist be cause of will 。 

DDoS DDoS | w_freq: 172 - 169 | wiki_freq: 818 - 138 | sentence_idx: 220969 | align_1: 9-9 | align_2: 10-14 | entity: DDoS - none |    For instance , they should be familiar with the DDoS Quick Guide from the Department of Homeland Security and also be implementing advice provided by projects such as the Open Resolver Project . ||| 比如说 ， 他们 应该 熟悉 国土 安全部 颁布 的 DDoS 快速 指南 ( DDoS Quick Guide ) ， 还 应该 落实 开放 解析器 项目 ( Open Resolver Project ) 等 项目 给予 的 建议 。 

DVCS DVCS | w_freq: 1 - 1 | wiki_freq: 41 - 4 | sentence_idx: 221507 | align_1: 9-2 | align_2: 10-10 | entity: DVCS - none |    It ’s pretty early days for our use of DVCS but I like it and also find it the easiest way to set up workspaces . ||| 我们 使用 DVCS 的 时间 已经 很 早 了 ， 但 我 喜欢 它 ， 并且 发现 它 是 设置 工作 空间 的 最 简单 方法 。 

ETF ETF | w_freq: 51 - 69 | wiki_freq: 945 - 288 | sentence_idx: 222094 | align_1: 14-9 | align_2: 15-17 | entity: ETF - none |    For example , when one would like to physically posses the gold underlying the ETF they must first own 100,000 GLD shares . ||| 例如   ， 当 人们 想要 实物 拥有 ETF 的 黄金 时    ， 他们 必须 首先 持有 10万 股 GLD 股份   。 

al-Mutakabbir 穆吉布 | w_freq: 1 - 1 | wiki_freq: 0 - 5 | sentence_idx: 227654 | align_1: 5-3 | align_2: 6-9 | entity: al-Mutakabbir - 穆吉布 |    No doubt , Allah is al-Mutakabbir . ||| 真主 是 “ 穆吉布 ” （ 有求必应 的 ） 。 

Townend Townend | w_freq: 1 - 1 | wiki_freq: 644 - 3 | sentence_idx: 233119 | align_1: 0-2 | align_2: 1-6 | entity: Townend - none |    Townend concluded that European providers are investing in international services to grow their own markets . ||| 汤恩德 （ Townend ） 得出 的 结论 是 ， 欧洲 供应商 正在 投资 国际 服务 ， 以 扩大 自己 的 市场 。 

Self-care Self-care | w_freq: 2 - 1 | wiki_freq: 58 - 1 | sentence_idx: 241462 | align_1: 8-9 | align_2: 9-17 | entity: none - “ Self-care |    According to Pinterest researcher Larkin Brown , “ Self-care searches are up 121 percent . ” ||| 据 Pinterest 研究员 Lark in Brown 说 ， “ Self-care （ ‘ 照顾 自己 ’ ） 的 搜索量 增长 了 121% 。 

10.1.x 10.1.x | w_freq: 1 - 1 | wiki_freq: 1 - 0 | sentence_idx: 248249 | align_1: 20-19 | align_2: 21-24 | entity: 10.1.x - none |    Note : After extensive testing , Adobe has determined that Dreamweaver 4 runs in Classic Mode on Mac OS X 10.1.x without any new problems . ||| 注意 ： 进行 大量 测试 之后 ， Adobe 判定 Dreamweaver 4 能 以 传统 模式 在 Mac OS X 10.1.x 上 执行 ， 而 不 会 发生 任何 新 问题 。 

CoBC CoBC | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 251759 | align_1: 18-18 | align_2: 19-22 | entity: CoBC - none |    We strive to maintain an environment that demonstrates strong business ethics and our Code of Business Conduct ( CoBC ) conveys our values and expectations . ||| 我们 致力 于 维护 能 展现 良好 企业 道德 的 环境 ， 公司 的 商业 行为 准则 ( CoBC ) ( 英文 ) 表达 了 我们 的 价值观 和 期望 。 

Surah 名篇 | w_freq: 20 - 1 | wiki_freq: 983 - 201 | sentence_idx: 252081 | align_1: 5-3 | align_2: 6-11 | entity: Surah Nisa - none |    And the Qur’an says in Surah Nisa , Ch . ||| ① 济慈 诗作 名篇 《 夜莺颂 》 ( Ode to a Nightingale ) 中 的 一 句 。 

TIAA TIAA | w_freq: 4 - 10 | wiki_freq: 317 - 9 | sentence_idx: 254702 | align_1: 7-0 | align_2: 8-7 | entity: TIAA Global Asset Management - TIAA 全球 资产 管理 公司 |    Brian Nick , chief investment strategist at TIAA Global Asset Management , told " Closing Bell " the U.S. has n't had to deal with some of the policy issues other countries have faced — until now . ||| TIAA 全球 资产 管理 公司 （ TIAA Global Asset Management ） 首席 投资 策略师 布赖恩•尼克 （ Brian Nick ） 告诉 “ 闭幕钟 ” ， 美国 没有 必要 处理 其他 国家 面临 的 一些 政策 问题 - 直到 现在 。 

Belmonts Belmonts | w_freq: 2 - 2 | wiki_freq: 257 - 0 | sentence_idx: 257771 | align_1: 3-3 | align_2: 4-12 | entity: Belmonts - none |    Dion and the Belmonts , “ I Wonder Why . ” ||| Dion and the Belmonts （ 英语 ： Dion and the Belmonts ） （ " I Wonder Why （ 英语 ： I Wonder Why ） " ） 

MAHAVIR 摩诃 | w_freq: 1 - 6 | wiki_freq: 0 - 695 | sentence_idx: 260446 | align_1: 3-2 | align_2: 4-11 | entity: MAHAVIR - 摩诃 毗罗 |    I SPEAK ON MAHAVIR as a part of my duty -- my heart is never with him . ||| 我 谈论 摩诃 毗罗 （ Mahavira ） ， 我 把 这 当作 我 的 责任 的 一部分 ── 我 的 心 从来 不和 他 在一起 。 

MAHAVIR 毗罗 | w_freq: 1 - 1 | wiki_freq: 0 - 22 | sentence_idx: 260446 | align_1: 3-3 | align_2: 4-11 | entity: MAHAVIR - 摩诃 毗罗 |    I SPEAK ON MAHAVIR as a part of my duty -- my heart is never with him . ||| 我 谈论 摩诃 毗罗 （ Mahavira ） ， 我 把 这 当作 我 的 责任 的 一部分 ── 我 的 心 从来 不和 他 在一起 。 

Dusha Dusha | w_freq: 1 - 2 | wiki_freq: 39 - 0 | sentence_idx: 261511 | align_1: 9-10 | align_2: 10-18 | entity: Dusha - none |    In 2007 , he published his first book , Dusha , Russian Soul . ||| 2007年 他 出版 了 他 的 第一 本 摄影集 《 Dusha ， 俄罗斯 的 灵魂 》 （ Dusha , Russian Soul ） 

ReplyTo ReplyTo | w_freq: 1 - 1 | wiki_freq: 2 - 2 | sentence_idx: 264621 | align_1: 14-16 | align_2: 15-20 | entity: ReplyTo - none |    As mentioned , any response from the web service should be sent to the ReplyTo EPR . ||| 正如 所 提到 的 ， 来自于 Web 服务 的 任何 响应 都 应该 被 发送 给 ReplyTo 端点 引用 （ EPR ） 。 

LaVey LaVey | w_freq: 2 - 1 | wiki_freq: 672 - 1 | sentence_idx: 264733 | align_1: 1-5 | align_2: 2-9 | entity: Anton LaVey - Anton LaVey |    Anton LaVey , the founder of the Church of Satan , said : " I am glad that Christian parents let their children worship the ... ||| （ 博主 译 ） Anton LaVey ( 安东·拉维 ) ， 撒旦 教会 的 创始人 ， 说 “ 我 很 高兴 基督徒 父母们 让 他们 的 孩子们 至 … 

Stutland Stutland | w_freq: 1 - 1 | wiki_freq: 8 - 0 | sentence_idx: 268879 | align_1: 10-10 | align_2: 11-17 | entity: Brian Stutland - Brian Stutland |    But for some , including Equity Armor Investments ’ Brian Stutland , bitcoin seems like an even better investment than silver . ||| 但 对 包括 Equity Armor Investments 的 布莱恩·斯塔兰德 ( Brian Stutland ) 在内 的 一些 人 来说 ， 比特币 似乎 是 比 白银 更 好的 投资 。 

BOSNIA-HEZEGOVINA 哥维 | w_freq: 1 - 22 | wiki_freq: 0 - 657 | sentence_idx: 273227 | align_1: 1-6 | align_2: 2-11 | entity: BOSNIA-HEZEGOVINA - 黑塞 哥维 那 |    2001 BOSNIA-HEZEGOVINA [ 7 ] abolished the death penalty for all crimes . ||| 2001 年 ： 波斯尼亚 和 黑塞 哥维 那 （ 波黑 ） ( 7 ) 对 所有 罪行 废除 了 死刑 。 

Bosson Bosson | w_freq: 1 - 3 | wiki_freq: 230 - 2 | sentence_idx: 275568 | align_1: 7-19 | align_2: 8-25 | entity: Bosson - none |    " One in a Million " - Bosson ( 3:30 ) ||| " One in a Million （ 英语 ： One in a Million ( Bosson song ) ） " - Bosson （ 英语 ： Bosson ） ( 3:30 ) 

Inhofe Inhofe | w_freq: 3 - 2 | wiki_freq: 404 - 4 | sentence_idx: 277709 | align_1: 5-3 | align_2: 6-8 | entity: Inhofe - none |    Do we agree with Senator Inhofe that global warming is a " hoax " and that we do not want the EPA , the Department of Energy or any other agency of the federal government to address that issue ? ||| 我们 是否 同意 Inhofe 参议员 的 观点 ， 即 全球 变暖 是 一个 “ 恶作剧 ” ， 我们 不 希望 美国 环保署 ， 能源部 或 联邦政府 的 任何 其他 机构 解决 这个 问题 

Hiroshige Hiroshige | w_freq: 3 - 3 | wiki_freq: 552 - 0 | sentence_idx: 290092 | align_1: 10-12 | align_2: 11-17 | entity: Utagawa Hiroshige - none |    Night view of Saruwaka Street ( 1856 ) by Utagawa Hiroshige . ||| 《 Night view of Saruwaka Street 》 ( 1856 ) — Utagawa Hiroshige （ 歌川 广重 ） 。 

Shafaq—revealed Shafaq | w_freq: 1 - 1 | wiki_freq: 0 - 1 | sentence_idx: 297660 | align_1: 24-28 | align_2: 25-32 | entity: Shafaq—revealed - none |    One should also bear in mind that back in 2003 , Iran unveiled an earlier , more convincing fake subsonic stealth fighter called the Shafaq—revealed in 2014 to be a mock-up made of wood . ||| 人们 还 应该 记住 ， 早 在 2003年 ， 伊朗 就 推出 了 一 款 早期 的 ， 更 具 说服力 的 伪亚 音速 隐形 战斗机 ， 称为 Shafaq ， 但 该机 在 2014年 被 公开 是 木制 模型 。 

CHIP CHIP | w_freq: 7 - 6 | wiki_freq: 458 - 32 | sentence_idx: 299627 | align_1: 9-7 | align_2: 10-14 | entity: CHIP - none |    About one in eight children are covered only by CHIP . ” ||| “ 大约 八分之一 的 孩子 只 被 CHIP 所 覆盖 ， 并 没有 争议 。 

Maisel 麦瑟尔 | w_freq: 4 - 1 | wiki_freq: 592 - 4 | sentence_idx: 305633 | align_1: 3-3 | align_2: 4-8 | entity: Maisel - 麦瑟尔 |    The Marvelous Mrs. Maisel , " We 're Going to the Catskills ! " ||| 《 了不起 的 麦瑟尔 夫人 》 “ Simone ， ” “ We’re Going to the Catskills ！ ” 

Al-Qadir 凯里目 | w_freq: 1 - 2 | wiki_freq: 54 - 0 | sentence_idx: 315567 | align_1: 0-1 | align_2: 1-7 | entity: Al-Qadir - 凯里目 |    Al-Qadir is one of the names of Allah . ||| “ 凯里目 ” （ 尊贵 的 ） 是 真主 的 尊名 之一 。 

I.R.S. I.R.S | w_freq: 2 - 2 | wiki_freq: 543 - 19 | sentence_idx: 316160 | align_1: 13-12 | align_2: 14-16 | entity: I.R.S. - none |    Subsequent changes in the federal tax law , such as Congressional amendments or I.R.S. interpretations , may change some of the material covered . ||| 联邦 税法 的 后续 更改 ， 如 国会 修正案 或 国税局 （ I.R.S . ） 的 解释 ， 可能 会 改变 一些 涵盖 的 内容 。 

Fuzzylime fuzzylime | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 316172 | align_1: 0-0 | align_2: 1-4 | entity: none - fuzzylime |    Fuzzylime is the easiest way for you to run your site and keep it up-to-date . ||| fuzzylime （ CMS ） 是 最 简单 的 方法 ， 您 可以 运行 您 的 网站 ， 并 保持 最新 。 

Sze Sze | w_freq: 3 - 3 | wiki_freq: 947 - 36 | sentence_idx: 317155 | align_1: 5-6 | align_2: 6-10 | entity: David Sze - David Sze |    According to Venture Capitalist David Sze , Hoffman " is arguably the most successful angel investor in the past decade . " ||| 根据 风险 投资人 大卫·斯泽 （ David Sze ） 的 说法 ， 霍夫曼 “ 可以 说 是 过去 十 年中 最 成功 的 天使 投资人 ” 。 

Goyesca Goyesca | w_freq: 1 - 1 | wiki_freq: 5 - 0 | sentence_idx: 319250 | align_1: 15-12 | align_2: 16-18 | entity: Goyesca - none |    The town ’s bullfighting ring is only used once a year , at the Feria Goyesca , but it ’s also a museum where you can learn about the history of this traditional ( yet controversial ) sport . ||| 这 座 城镇 的 斗牛场 一 年 仅 在 戈耶斯卡节 ( Feria Goyesca ) 时 启用 一 次 ， 但 它 也 是 你 可以 了解 这项 传统 ( 且 充满 争议性 ) 运动 历史 的 博物馆 。 

Emacs Emacs | w_freq: 36 - 38 | wiki_freq: 952 - 287 | sentence_idx: 320626 | align_1: 23-35 | align_2: 24-54 | entity: Emacs Lisp - none |    I recently read Joel McCracken ’s blog “ 5 Reasons Why You Should Learn Emacs Lisp Today ” , which mentioned that “ Emacs Lisp is still the most popular Lisp language on github ” . ||| 最近 读 到 Joel McCracken 的 博客 《 5 Reasons Why You Should Learn Emacs Lisp Today 》 （ 五 个 你 应该 今天 就 开始 学习 Emacs Lisp 的 原因 ） ， 里面 提到 Emacs Lisp （ 以下 简称 为 Elisp ） 是 Github 上 最 流行 的 Lisp 方言 （ ” Emacs Lisp is still the most popular Lisp language on github ” ） 。 

Rencken Rencken | w_freq: 3 - 3 | wiki_freq: 11 - 0 | sentence_idx: 322597 | align_1: 4-4 | align_2: 5-8 | entity: Dieter Rencken - Rencken |    Q : ( Dieter Rencken ) Lance , on the topic that Felipe 's just mentioned about a four-year-old car , you 've done a lot of testing with a four-year-old car and you 're obviously driving the current car . ||| 问 : ( Dieter Rencken - Racing Lines ） Lance ， 关于 Felipe 刚刚 提到 的 关于 一 辆 有 四 年 历史 的 汽车 的 话题 ， 你 已经 用 一 辆 四 年 的 汽车 做 了 很多 测试 ， 你 显然 是 在 开车 目前 的 车 。 

HAVANA 哈瓦那 | w_freq: 3 - 87 | wiki_freq: 22 - 907 | sentence_idx: 327397 | align_1: 0-0 | align_2: 1-4 | entity: HAVANA - 哈瓦那 |    HAVANA — Cuban lawmakers approved a law on Saturday intended to make Cuba more attractive to foreign investors , a measure seen as vital for the island ’s struggling economy . ||| 哈瓦那 （ 美联社 ） - 古巴 立法者 周六 批准 了 一 项 法律 ， 旨在 使 古巴 对 外国 投资者 更 具 吸引力 ， 这 一 措施 对 该岛 经济 陷入 困境 至关重要 。 

Norvig Norvig | w_freq: 7 - 5 | wiki_freq: 101 - 5 | sentence_idx: 327560 | align_1: 0-2 | align_2: 1-11 | entity: Norvig - none |    Norvig ’s Teach yourself programming in ten years : ||| 就 像 Norvig （ 谷歌 的 研发 总监 ） 说 的 ， Teach Yourself Programming in Ten Years 。 

Rio+20 里约+20 | w_freq: 9 - 2 | wiki_freq: 158 - 0 | sentence_idx: 333201 | align_1: 2-3 | align_2: 3-8 | entity: Rio+20 - 里约+20 |    “ Since Rio+20 , an increasing number of countries are embarking on pathways towards inclusive green economies . ||| “ 自 ‘ 里约+20 ’ 峰会 召开 以来 ， 越来越 多 的 国家 走向 包容性 绿色 经济 之 路 。 

YORK YORK | w_freq: 64 - 8 | wiki_freq: 199 - 16 | sentence_idx: 334804 | align_1: 1-2 | align_2: 2-6 | entity: NEW YORK - none |    NEW YORK — Political junkies have plenty of choices on Sunday-morning television . ||| N EW YORK （ 美联社 ） - 政治 迷们 在 周日 早上 的 电视 上 有 很多 选择 ... 

CHICKEN 鸡汤 | w_freq: 2 - 16 | wiki_freq: 15 - 205 | sentence_idx: 348438 | align_1: 3-3 | align_2: 4-11 | entity: WEB CHICKEN - none |    9 - WEB CHICKEN Soup for the Preteen Soul : 101 Stories of Changes , Choices and Growing Up for Kids Ages 9 - 13 ||| 30 . 心灵 鸡汤 ： 纯真 年代 （ 文库版 ） Chicken Soup For The Preteen Soul : 101 Stories Of Changes , Choices , And Growing Up For Kids Ages 9-13 

Dalhart 达尔哈特 | w_freq: 1 - 1 | wiki_freq: 391 - 5 | sentence_idx: 354045 | align_1: 33-29 | align_2: 34-34 | entity: Dalhart - 达尔哈特 |    Bam decided to find a house of his own , a place to get established , to give the family some certainty , some place to prove that when the horse died in Dalhart it meant God was telling them to settle here 'cause good things had to come . ||| 巴姆 决定 自己 找 一 所 房子 ， 一个 建立 的 地方 ， 给 家人 一定 的 把握 ， 有些 地方 可以 证明 ， 当 这 匹 马 在 达尔哈特 死去 的 时候 ， 它 意味着 上帝 告诉 他们 定居 在 这里 ， 因为 好事 必须 到来 。 

Disco–Don't Disco | w_freq: 1 - 11 | wiki_freq: 0 - 155 | sentence_idx: 354100 | align_1: 2-2 | align_2: 3-12 | entity: The Disco–Don't - At The Disco |    At The Disco–Don't Threaten Me With A Good Time ||| At The Disco 向 大家 分享 他们 的 新 歌 〈 Don’t Threaten Me With A Good Time 〉 

Antipodes Antipodes[ | w_freq: 1 - 1 | wiki_freq: 565 - 0 | sentence_idx: 356891 | align_1: 4-4 | align_2: 5-9 | entity: Antipodes - none |    ^ Omerta in the Antipodes , Time , 31 January 1964 ||| ^ Omerta in the Antipodes[ 永久 失效 连结 ] ， Time ， 1964年 1月 31日 

SmugMug SmugMug | w_freq: 3 - 3 | wiki_freq: 30 - 6 | sentence_idx: 359167 | align_1: 21-19 | align_2: 22-24 | entity: SmugMug - none |    “ If we make any changes , we ’re going to make sure the changes are for the better , ” SmugMug ’s FAQ page says . ||| “ 如果 进行 任何 更改 ， 我们 将 确保 所 做 的 更 改变 得 更 好 ， ” SmugMug 的 “ 常见 问题 ” 页面 说 。 

al-Quran 法藏 | w_freq: 2 - 4 | wiki_freq: 109 - 154 | sentence_idx: 369040 | align_1: 3-1 | align_2: 4-6 | entity: al-Quran - none |    I swear by al-Quran al-majeed ... " ||| 系心于 法藏 菩萨 ， 因位 之 本 誓 。 

bonnie 邦尼 | w_freq: 8 - 11 | wiki_freq: 99 - 199 | sentence_idx: 369287 | align_1: 8-9 | align_2: 9-17 | entity: none - 邦尼 |    My Bonnie lies over the ocean , my bonnie lies over the sea . my bonnie lies over the ocean so bring back my bonnie to me . ||| My Bonnie lies over the ocean , 我 的 邦尼 躺 在 大洋 中 ， My Bonnie lies over the sea , 我 的 帮 你 躺 在 大海 里 ， My Bonnie lies over the ocean , 我 的 邦尼 躺 在 大洋 中 ， Oh , bring back my Bonnie to me . 喔 ， 把 我 的 邦尼 还给 我 。 

bonnie 邦尼 | w_freq: 8 - 11 | wiki_freq: 99 - 199 | sentence_idx: 369288 | align_1: 8-9 | align_2: 9-17 | entity: none - 邦尼 |    My Bonnie lies over the ocean , my bonnie lies over the sea . my bonnie lies over the ocean so bring back my bonnie to me . ||| My Bonnie lies over the ocean , 我 的 邦尼 躺 在 大洋 中 ， My Bonnie lies over the sea , 我 的 帮 你 躺 在 大海 里 ， My Bonnie lies over the ocean , 我 的 邦尼 躺 在 大洋 中 ， Oh , bring back my Bonnie to me . 喔 ， 把 我 的 邦尼 还给 我 。 

Antananarivo—have 塔那那利佛 | w_freq: 2 - 2 | wiki_freq: 0 - 140 | sentence_idx: 370077 | align_1: 6-6 | align_2: 7-11 | entity: Antananarivo—have - 塔那那利佛 |    The residents of urban areas—in particular Antananarivo—have been hardest hit by economic downturns and economic policy shifts . ||| 城区 的 居民 — 特别 是 塔那那利佛 的 城区 居民 — 受到 了 经济 衰退 和 经济 政策 改变 的 冲击 。 

Dworkin Dwork | w_freq: 2 - 1 | wiki_freq: 878 - 13 | sentence_idx: 377614 | align_1: 2-4 | align_2: 3-9 | entity: Ronald Dworkin - none |    46 Ronald Dworkin , Is Democracy Possible Here ? ||| 朗诺 ‧德沃金 （ Ronald Dwork in ） ， 2007 ， ＜ 人权 与 民主 生活 ＞ ( Is Democracy Possible here ? 

I'tura 阿弥陀佛 | w_freq: 2 - 8 | wiki_freq: 0 - 554 | sentence_idx: 378104 | align_1: 8-10 | align_2: 9-15 | entity: I'tura - none |    He called himself the Savior,--the wicked monster , I'tura ! ||| 这个 正觉 就是 佛 的 名号 ， 「 南 无 阿弥陀佛 」 ， 名号 功德不可思议 ! 

CommonWell CommonWell | w_freq: 1 - 2 | wiki_freq: 5 - 1 | sentence_idx: 381338 | align_1: 5-4 | align_2: 6-9 | entity: CommonWell Health Alliance - CommonWell 健康 联盟 |    However , Rathore stated the CommonWell Health Alliance is Cerner ’s solution to this issue . ||| 然而 ， Rathore 认为 CommonWell 健康 联盟 （ CommonWell Health Alliance ） 就是 Cerner 针对 这 一 问题 提出 的 解决 方案 。 

›LUCAH 卢卡 | w_freq: 1 - 15 | wiki_freq: 0 - 334 | sentence_idx: 383464 | align_1: 1-1 | align_2: 2-8 | entity: none - 卢卡 |    Next ›LUCAH : Born of a Dream ||| 《 卢卡 ： 梦 之 子 \ Lucah : Born of a Dream 》 

98/2019 第98/2019 | w_freq: 2 - 2 | wiki_freq: 1 - 0 | sentence_idx: 383837 | align_1: 8-6 | align_2: 9-11 | entity: 98/2019 - none |    Secondly , the Draft Legislative Decree No . 98/2019 establishes Spanish and English as the possible languages for a trademark application filed through the Madrid System . ||| 其次    ， 《 第98/2019 号 法令 草案 》 规定 人们 在 通过 马德里 体系 提交 商标 申请 时 可以 使用 西班牙语 和 英语 这 两 种 语言    。 

98/2019 第98/2019 | w_freq: 2 - 2 | wiki_freq: 1 - 0 | sentence_idx: 383838 | align_1: 8-3 | align_2: 9-8 | entity: 98/2019 - none |    Secondly , the Draft Legislative Decree No . 98/2019 establishes Spanish and English as the possible languages for a trademark application filed through the Madrid System . ||| 其次 ， 《 第98/2019 号 法令 草案 》 规定 人们 在 通过 马德里 体系 提交 商标 申请 时 可以 使用 西班牙语 和 英语 这 两 种 语言 。 

Bayán OOo,汪汪队 | w_freq: 2 - 1 | wiki_freq: 80 - 0 | sentence_idx: 384720 | align_1: 6-1 | align_2: 7-5 | entity: Bayán - none |    Say : O people of the Bayán ! ||| 汪汪队 OOo,汪汪队 oooo ， 汪汪队 。 

Bayán 汪汪队 | w_freq: 2 - 2 | wiki_freq: 80 - 33 | sentence_idx: 384720 | align_1: 6-0 | align_2: 7-5 | entity: Bayán - 汪汪队 |    Say : O people of the Bayán ! ||| 汪汪队 OOo,汪汪队 oooo ， 汪汪队 。 

Ke-i'lah 振起 | w_freq: 1 - 3 | wiki_freq: 0 - 42 | sentence_idx: 386141 | align_1: 6-5 | align_2: 7-11 | entity: Ke-i'lah - none |    So David delivered the inhabitants of Ke-i'lah . ||| 邓颖超 就 发出 了 “ 振起 精神 ， 供 后人 敬祀 。 

Twink Twink | w_freq: 1 - 2 | wiki_freq: 306 - 1 | sentence_idx: 392982 | align_1: 18-19 | align_2: 19-26 | entity: The Age Of The Twink - none |    Earlier this year The New York Times published an article titled ‘ Welcome To The Age Of The Twink ’ . ||| 今年 早些时候 ， 《 纽约 时报 》 发表 了 一 篇 名为 “ Welcome To The Age Of The Twink （ 欢迎 来到 Twink 时代 ） ” 的 文章 。 

Kaafir 伪物 | w_freq: 1 - 1 | wiki_freq: 23 - 11 | sentence_idx: 394551 | align_1: 10-9 | align_2: 11-44 | entity: Kaafir - none |    That is why the rejecter of the Qur'an is a Kaafir . ||| 《 伪物语 》     是 “ 伪物     的 物语 ( 伪即 不 真实     ， 不 成熟     ， 虚伪     的 ) ”     。 

Handa Handa | w_freq: 1 - 2 | wiki_freq: 890 - 4 | sentence_idx: 395891 | align_1: 0-0 | align_2: 1-6 | entity: Handa Opera - none |    Handa Opera on Sydney Harbour is not just an opera , it ’s a complete night ’s entertainment under the summer night sky . ||| Handa 悉尼 海港 歌剧节 （ Handa Opera on Sydney Harbour ） 不只 是 歌剧 ， 而是 夏季 夜空 下 持续 整晚 的 娱乐 享受 。 

