Qi'da Qi'da | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 4806 | align_1: 8-6 | align_2: 9-11 | entity: Zhil Qi'da - none |    Thus Sunday will be the 30th of Zhil Qi'da and Monday the first day of Zhil Hijjah . ||| 因此 ， 星期天 将 是 Zhil Qi'da 的 第30 天 ， 而 星期一 是 Zhil Hijjah 的 第一 天 。 
Critchley Critchley | w_freq: 2 - 2 | wiki_freq: 642 - 2 | sentence_idx: 225836 | align_1: 12-22 | align_2: 13-28 | entity: Simon Critchley - none |    What We Think About When We Think About Soccer , by Simon Critchley . ||| 当 我们 想到 足球 时 ， 我们 在 想 些 什么 What We Think About When We Think About Soccer by Simon Critchley （ 足球 ） 英文 原版 书 

Yustinus Yustinus | w_freq: 1 - 1 | wiki_freq: 12 - 0 | sentence_idx: 228726 | align_1: 16-15 | align_2: 17-21 | entity: Yustinus - none |    The cut will cost the government around Rp 2.5 trillion a year , which according to Yustinus should be seen as an investment , as the policy is expected to increase the tax base . ||| 这 一 削减 将 使 政府 每年 损失 约 2.5万亿 卢比   ， 根据 Yustinus 的 说法  ， 这 应该 被 视为 一 项 投资  ， 因为 该 政策 预计 将 增加 税收 基础  。 

Donnellys Donnellys | w_freq: 1 - 2 | wiki_freq: 173 - 1 | sentence_idx: 231663 | align_1: 3-4 | align_2: 4-12 | entity: Donnellys - Black Donnellys |    2007 The Black Donnellys Sean " Seanny " Donnelly Main cast ; 13 episodes ||| 2007 - The Black Donnellys （ 英语 ： The Black Donnellys ） Sean " Seanny " Donnelly 主要 角色 ； 13 集 

LISZT 梅菲斯特 | w_freq: 1 - 2 | wiki_freq: 4 - 134 | sentence_idx: 236596 | align_1: 0-2 | align_2: 1-11 | entity: LISZT Mephisto Waltz - 梅菲斯特 |    LISZT Mephisto Waltz No . 1 , “ The Dance in the Village Inn ” ||| 名曲 ： 梅菲斯特 第一 圆 舞曲 《 乡村 客栈 舞蹈 》 Mephisto Waltz No.1 " The Dance in the Village Inn " 

Gujarats 古吉拉特 | w_freq: 2 - 3 | wiki_freq: 5 - 161 | sentence_idx: 239412 | align_1: 4-4 | align_2: 5-10 | entity: Gujarats - 古吉拉特 |    Even just a few Gujarats should be enough gradually to force other state governments to change policies , while strong growth will also force the wider state to respond – even if weakly and intermittently . ||| 即使 只有 几 个 古吉拉特 这样 的 邦 ， 也 应该 足以 逐渐 迫使 其它 邦 政府 改变 政策 ， 而 强劲 的 增长 也 会 迫使 更 多 的 邦 做出 反应 —— 即使 动作 力度 不大 ， 且 时断时续 。 

mansabdar 曼萨卜达尔 | w_freq: 1 - 1 | wiki_freq: 73 - 1 | sentence_idx: 242886 | align_1: 1-1 | align_2: 2-6 | entity: none - 曼萨卜达尔 |    Each mansabdar was required to maintain a certain number of cavalrymen and twice that number of horses . ||| 每个 曼萨卜达尔 （ 骑兵 指挥官 ） 被 要求 保持 一定 数量 的 骑兵 和 两 倍 数量 的 马 。 

ANGELES ANGELES | w_freq: 12 - 2 | wiki_freq: 26 - 1 | sentence_idx: 246877 | align_1: 1-2 | align_2: 2-6 | entity: LOS ANGELES - none |    LOS ANGELES – Four new films could n't catch " Gone Girl " at theaters this weekend . ||| L OS ANGELES （ 美联社 ） - 本周末 四 部 新 电影 无法 在 剧院 看到 “ Gone Girl ” 。 

F4F F4F | w_freq: 5 - 7 | wiki_freq: 355 - 231 | sentence_idx: 248543 | align_1: 2-2 | align_2: 3-8 | entity: F4F - none |    We created F4F as a platform that helps children around the globe make their voices heard , and we are happy to see more than 200 countries from every continent contributing to the project this year . ||| 我们 开展 F4F 计划 ， 并 让 其 成为 一个 平台 ， 帮助 世界 各地 的 孩子们 ， 让 他们 的 声音 能够 被 听到 ， 我们 很 高兴 看到 来自 各 大洲 的 200多 个 国家 在 今年 参加 了 F4F 计划 。 

F4F F4F | w_freq: 5 - 7 | wiki_freq: 355 - 231 | sentence_idx: 248544 | align_1: 2-2 | align_2: 3-8 | entity: F4F - none |    We created F4F as a platform that helps children around the globe make their voices heard , and we are happy to see more than 200 countries from every continent contributing to the project this year . ||| 我们 开展 F4F 计划 ， 并 让 其 成为 一个 平台 ， 帮助 世界 各地 的 孩子们 ， 让 他们 的 声音 能够 被 听到 ， 我们 很 高兴 看到 来自 各 大洲 的 200多 个 国家 在 今年 参加 了 F4F 计划 。 

Keifitz Keifitz | w_freq: 1 - 1 | wiki_freq: 2 - 0 | sentence_idx: 258994 | align_1: 0-0 | align_2: 1-4 | entity: Keifitz - none |    Keifitz wrote that as women become fewer , their relative position in society will increase . ||| Keifitz （ 1983 ） 写道 ， 随着 女性 越来越 少 ， 她们 在 社会 中 的 相对 地位 将 会 增加 。 

R’hllor 拉赫洛 | w_freq: 2 - 1 | wiki_freq: 0 - 12 | sentence_idx: 259168 | align_1: 0-1 | align_2: 1-9 | entity: R’hllor - 拉赫洛 |    R’hllor is the god of life and heat , opposite to him , the Great Other is the god of death and cold . ||| 真主 拉赫洛 ， 称 作光 之 王 ， 也 是 热量 和 生命 之 神 ； 他 的 死敌 ， 寒神 ， 则 是 黑暗 、 冰冷 与 死亡 之 神 。 

Lacerta Lacerta | w_freq: 1 - 1 | wiki_freq: 332 - 11 | sentence_idx: 265778 | align_1: 4-5 | align_2: 5-12 | entity: Lacerta - none |    Please call me " Lacerta " , this is the name I generally use when I 'm among humans and talk with them . ||| 请 叫 我 「勒斯塔 （ Lacerta ， 意 为 蜥蜴 属 ） 」 好 了 ， 这是 当 我 在 人类 当中 走动 并 和 他们 谈话 的 时候 通常 用 的 名字 。 

Decency Decency | w_freq: 5 - 3 | wiki_freq: 652 - 4 | sentence_idx: 269458 | align_1: 10-22 | align_2: 11-28 | entity: Decency - none |    Yes , Randi Zuckerberg , Please Lecture Us About Human Decency . ||| 想 知道 网路 乡民 火 从 何 来 ， 不妨 拜读 《 Yes , Randi Zuckerberg , Please Lecture Us About `Human Decency ' 》 这 篇 文章 。 

Yaw Yaw | w_freq: 4 - 4 | wiki_freq: 962 - 22 | sentence_idx: 275088 | align_1: 10-9 | align_2: 11-15 | entity: Eric Yaw - 美国 GI Eric Yaw |    Phillips : The car was owned by American GI Eric Yaw , now a family friend . ||| PHILLIPS ： 这 辆 车 由 美国 GI Eric Yaw （ sp ？ ） 拥有 ， 现在 是 家庭 朋友 。 

Louboutin Loubout | w_freq: 6 - 6 | wiki_freq: 257 - 4 | sentence_idx: 276341 | align_1: 6-3 | align_2: 7-11 | entity: Christian Louboutin - Christian Loubout in |    At that time , Mr. Christian Louboutin studied himself carefully and thought that he was full of Egyptian qualities because he loved Pharaoh very much . ||| 当时 的 Christian Loubout in 还 表示 说 ， 他 仔细 研究 自己 ， 认为 由于 非常 喜爱 法老 ， 他 充满 了 埃及人 的 特质 。 

IHE IHE | w_freq: 3 - 3 | wiki_freq: 123 - 5 | sentence_idx: 279876 | align_1: 23-33 | align_2: 24-53 | entity: IHE - none |    Therefore , it is specially invited some experts and teachers who are more active in the field to write their own understanding of IHE as a ... ||| 因此        ， 特地 邀请 国内 在 该 领域 较为 活跃        的 一些 专家 老师 百忙 中 把 自己 对 IHE        的 理解 写 出来        ， 作为 ... 

BlackRock BlackRock | w_freq: 7 - 5 | wiki_freq: 643 - 5 | sentence_idx: 280309 | align_1: 6-7 | align_2: 7-12 | entity: BlackRock - none |    To most Main Street investors , BlackRock is basically invisible . ||| 对于 大多数 主要 街道 投资者 而言 ， BlackRock （ blk ） 基本上 是 看 不见 的 

Unbelievers 安拉 | w_freq: 21 - 159 | wiki_freq: 73 - 280 | sentence_idx: 282073 | align_1: 7-5 | align_2: 8-12 | entity: Unbelievers - 安拉 |    Everything has been locked up by the Unbelievers . ||| —— 万物 都 在 服从 安拉 ， 即使 他 是 不 信道者 。 

Wahb 米彦泽 | w_freq: 1 - 1 | wiki_freq: 285 - 0 | sentence_idx: 289607 | align_1: 4-3 | align_2: 5-8 | entity: Abu Wahb Al-Jushami - 米彦泽 |    [ An-Nasa'ee by Abu Wahb Al-Jushami ] ||| [ 作者 : 米彦泽 郝赫 责任 编辑 : 袁丽娜 ] 

Al-Jushami 郝赫 | w_freq: 1 - 1 | wiki_freq: 1 - 0 | sentence_idx: 289607 | align_1: 5-4 | align_2: 6-9 | entity: Abu Wahb Al-Jushami - 郝赫 |    [ An-Nasa'ee by Abu Wahb Al-Jushami ] ||| [ 作者 : 米彦泽 郝赫 责任 编辑 : 袁丽娜 ] 

Cygwin Cygwin | w_freq: 3 - 3 | wiki_freq: 242 - 52 | sentence_idx: 290667 | align_1: 8-6 | align_2: 9-11 | entity: Cygwin - none |    It has been tested on Linux x86 and Cygwin but may work on any little-endian system . ||| 它 已经 在 Linux x86 和 Cygwin 上 测试 过 ， 但是 可以 在 任何 小端 系统 上 运行 。 

Sa’id 世尊 | w_freq: 3 - 50 | wiki_freq: 55 - 229 | sentence_idx: 293939 | align_1: 8-10 | align_2: 9-16 | entity: Sa’id - none |    Referring to the ground and the earth , Sa’id then recited Allah ’s saying : ||| >    念佛 、 念法 ， 是 十念 其中 之二 ， 世尊 在 教导 时 ， 都会 先 提及 ： 

FIRRMA FIRRMA | w_freq: 4 - 3 | wiki_freq: 2 - 0 | sentence_idx: 294326 | align_1: 8-5 | align_2: 9-12 | entity: FIRRMA - none |    The government set a deadline to fully implement FIRRMA and clear up a number of ambiguities early next year . ||| 政府 设置 了 完全 实施 FIRRMA 的 最后 期限   ， 并 将 在 明年初 澄清 一些 含糊 之 处    。 

FIRRMA FIRRMA | w_freq: 4 - 3 | wiki_freq: 2 - 0 | sentence_idx: 294327 | align_1: 8-5 | align_2: 9-10 | entity: FIRRMA - none |    The government set a deadline to fully implement FIRRMA and clear up a number of ambiguities early next year . ||| 政府 设置 了 完全 实施 FIRRMA 的 最后 期限 ， 并 将 在 明年初 澄清 一些 含糊 之 处 。 

FIRRMA firrma | w_freq: 4 - 1 | wiki_freq: 2 - 0 | sentence_idx: 294328 | align_1: 8-5 | align_2: 9-10 | entity: FIRRMA - none |    The government set a deadline to fully implement FIRRMA and clear up a number of ambiguities early next year . ||| 政府 设置 了 完全 实施 firrma 的 最后 期限 ， 并 将 在 明年初 澄清 一些 含糊 之 处 。 

chungo 福伊特 | w_freq: 2 - 1 | wiki_freq: 0 - 74 | sentence_idx: 301256 | align_1: 1-1 | align_2: 2-5 | entity: none - 福伊特 ( |    At chungo , you 'll find many professionals listening and really understanding what your business needs . ||| 在 福伊特 ( VOITH ) , 您 会 发现 有 许多     的 专业 人员 倾听 并 真正 了解 您     的 业务 所需     。 

Tammam Tammam | w_freq: 1 - 1 | wiki_freq: 131 - 2 | sentence_idx: 307711 | align_1: 5-7 | align_2: 6-11 | entity: Hussam Tammam - Hussam Tammam |    According to Egyptian researcher Hussam Tammam , the Muslim Brotherhood influenced Salafism through at least two channels . ||| 根据 埃及 研究 人员 胡萨姆·塔马姆 （ Hussam Tammam ） 的 说法 ， 穆斯林 兄弟会 至少 通过 两 条 渠道 影响 了 萨拉菲派 教义 。 

Ametora 牛仔 | w_freq: 1 - 70 | wiki_freq: 2 - 728 | sentence_idx: 312317 | align_1: 0-1 | align_2: 1-8 | entity: none - 原宿 牛仔 |    Ametora : How Japan Saved American Style ||| 原宿 牛仔 : 日本 街头 时尚 五十 年 : how Japan saved American style 

Ametora 原宿 | w_freq: 1 - 2 | wiki_freq: 2 - 244 | sentence_idx: 312317 | align_1: 0-0 | align_2: 1-8 | entity: none - 原宿 牛仔 |    Ametora : How Japan Saved American Style ||| 原宿 牛仔 : 日本 街头 时尚 五十 年 : how Japan saved American style 

O’Sullivan‘s Sullivan | w_freq: 1 - 32 | wiki_freq: 0 - 242 | sentence_idx: 313099 | align_1: 1-2 | align_2: 2-10 | entity: O’Sullivan‘s - none |    Gilbert O’Sullivan‘s “ Alone Again ( Naturally ) . ” ||| Gilbert O' Sullivan （ 英语 ： Gilbert O' Sullivan ） 「 Alone Again （ 英语 ： Alone Again ( Naturally ) ） 」 

O’Sullivan‘s O' | w_freq: 1 - 68 | wiki_freq: 0 - 393 | sentence_idx: 313099 | align_1: 1-1 | align_2: 2-10 | entity: O’Sullivan‘s - none |    Gilbert O’Sullivan‘s “ Alone Again ( Naturally ) . ” ||| Gilbert O' Sullivan （ 英语 ： Gilbert O' Sullivan ） 「 Alone Again （ 英语 ： Alone Again ( Naturally ) ） 」 

non-DRM DRM[ | w_freq: 2 - 1 | wiki_freq: 21 - 0 | sentence_idx: 315904 | align_1: 4-4 | align_2: 5-8 | entity: non-DRM - none |    I was looking for non-DRM material , so I chose Project Gutenberg as my source . ||| 我 正在 寻找 非 DRM[ 5 ] 的 材料 ， 所以 我 选择 Project Gutenberg[6 ] 作为 我 的 源 。 

TortureFreeWorld FreeWorld | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 318760 | align_1: 6-5 | align_2: 7-12 | entity: # TortureFreeWorld - none |    For more information about the # TortureFreeWorld campaign : WEB ||| 更 多 关于 # Torture FreeWorld （ 无 酷刑 的 世界 ） 运动 的 信息 ： WEB 

TortureFreeWorld Torture | w_freq: 1 - 1 | wiki_freq: 0 - 18 | sentence_idx: 318760 | align_1: 6-4 | align_2: 7-12 | entity: # TortureFreeWorld - none |    For more information about the # TortureFreeWorld campaign : WEB ||| 更 多 关于 # Torture FreeWorld （ 无 酷刑 的 世界 ） 运动 的 信息 ： WEB 

Rajagopalan Rajagopalan | w_freq: 2 - 2 | wiki_freq: 194 - 1 | sentence_idx: 323500 | align_1: 7-8 | align_2: 8-14 | entity: Shiva Rajagopalan - Shiva Rajagopalan |    I spoke with Seven Lakes CEO Shiva Rajagopalan about emerging trends , adopting new technologies and how these shifts are shaping the future of big oil and gas companies in 2018 . ||| 我 同 Seven Lakes 公司 的 执行官 Shiva Rajagopalan 进行 了 交谈 ， 谈 到 了 新兴 的 趋势 ， 新 技术 的 采用 以及 这些 转变 在 2018年 将 如何 塑造 大型 石油 和 天然气 公司 的 未来 。 

Florencio 弗洛伦西奥 | w_freq: 3 - 1 | wiki_freq: 946 - 2 | sentence_idx: 323503 | align_1: 10-8 | align_2: 11-14 | entity: Florencio - 弗洛伦西奥 |    “ I know that you ’ve come to tell me Florencio is dead , but I already know that . ||| “ 我 知道 你 是 来 告诉 我 弗洛伦西奥 （ 她 的 前夫 ） 已经 死 了 ， 不过 ， 这 件 事 我 已经 知道 了 。 

MyCoolProgram MyCoolProgram | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 326643 | align_1: 3-7 | align_2: 4-11 | entity: MyCoolProgram - none |    If I wrote MyCoolProgram and distributed it under a copyleft license , you would have the freedom to use and modify it . ||| 如果 我 写 了 一个 名 为 MyCoolProgram 的 程序 ， 并且 使用 copyleft 许可 来 发布 ， 你 将 有 使用 和 修改 它 的 自由 。 

M1A1SA M1A1-SA | w_freq: 1 - 2 | wiki_freq: 1 - 0 | sentence_idx: 331242 | align_1: 7-7 | align_2: 8-11 | entity: M1A1SA - none |    Back in 2008 , Iraq ordered 140 M1A1SA tanks , along with over a hundred support vehicles ( for maintenance and transportation , like 35 tank transporters ) . ||| 2008年 ， 伊拉克 订购 了 140 辆 M1A1-SA “ 艾布拉姆斯 ” 坦克 ， 还有 100多 辆 后勤 车辆 ( 用于 保养 和 运输 ， 比如说 有 35 辆 坦克 运输车 ) 。 

IJLS ijls | w_freq: 1 - 1 | wiki_freq: 1 - 0 | sentence_idx: 333404 | align_1: 7-5 | align_2: 8-10 | entity: IJLS - none |    Her role , as chairperson of the IJLS , means that she is responsible for all the professional development of lawyers in Mauritius . ||| 她 的 角色 ， 作为 ijls ， 手段 的 主席 ， 她 是 负责 所有 律师 在 毛里求斯 的 专业 发展 。 

Comins Comins | w_freq: 1 - 1 | wiki_freq: 129 - 3 | sentence_idx: 339930 | align_1: 3-10 | align_2: 4-27 | entity: Neil Comins - none |    Source : Neil Comins ’ What if the Earth had Two Moons ? ||| 缅因 大学 （ University of Maine ） 的 天文学家 Neil Comins 写 了 一 本 名为 《 如果 地球 有 两 个 月亮 会 怎样 ？ 》 （ What if Earth Had Two Moons ? 

Travelport Travelport | w_freq: 1 - 1 | wiki_freq: 70 - 0 | sentence_idx: 348204 | align_1: 2-1 | align_2: 3-5 | entity: Travelport - none |    According to Travelport this “ can lead to confusion and indecision . ” ||| 根据 Travelport 的 说法 ， 这 “ 可能 导致 混乱 和 优柔寡断 。 

Wormhole Wormhole | w_freq: 1 - 1 | wiki_freq: 199 - 9 | sentence_idx: 354359 | align_1: 1-1 | align_2: 2-6 | entity: Magic Wormhole - Magic Wormhole |    Magic Wormhole – Get things from one computer to another , safely . ||| Magic Wormhole 的 箴言 是 ： 「 在 电脑 之间 安全 地 取用 资料 ( Get things from one computer to another , safely . 」 

Ash’ath 鲍叔 | w_freq: 1 - 1 | wiki_freq: 1 - 17 | sentence_idx: 358862 | align_1: 9-8 | align_2: 10-12 | entity: Ash’ath - 鲍叔 |    He ( the narrator ) said : There came Ash’ath b. ||| 东方朔 就 曾 说 过 ： “ 廉如 鲍叔 ， 信若 尾生 。 

Dusha Dusha | w_freq: 2 - 3 | wiki_freq: 39 - 0 | sentence_idx: 368098 | align_1: 9-10 | align_2: 10-18 | entity: Dusha - none |    In 2007 , he published his first book , Dusha , Russian Soul . ||| 2007年 他 出版 了 他 的 第一 本 摄影集 《 Dusha ， 俄罗斯 的 灵魂 》 ( Dusha , Russian Soul ) 。 

InnoXcell InnoXcell | w_freq: 1 - 2 | wiki_freq: 0 - 0 | sentence_idx: 369481 | align_1: 12-11 | align_2: 13-18 | entity: InnoXcell - none |    “ Conducting investigations and collecting data for cross border cases , ” InnoXcell Legal Big Data Symposium , Hong Kong ( April 2014 ) ||| “ Conducting investigations and collecting data for cross border cases, ” InnoXcell 法律 大型 数据 研讨会 （ InnoXcell Legal Big Data Symposium ） ， 香港 （ 2014年 4月 ） 

VRX X大会 | w_freq: 1 - 1 | wiki_freq: 37 - 0 | sentence_idx: 373048 | align_1: 17-16 | align_2: 18-22 | entity: VRX Conference & Expo - none |    We are , of course , coming closer to the end of the year and their annual VRX Conference & Expo event in San Francisco this December . ||| 当然 ， 我们 离 今年 年底 以及 他们 今年 12月 在 旧金山 举行 的 年度 VR X大会 和 博览会 ( VR X Conference & Expo ) 越来越 近 了 。 

Fishburne Fishburne | w_freq: 1 - 1 | wiki_freq: 695 - 5 | sentence_idx: 383782 | align_1: 1-3 | align_2: 2-11 | entity: Laurence Fishburne - none |    Laurence Fishburne What 's Love Got to Do with It ‡ ||| 劳伦斯·菲什伯恩 （ Laurence Fishburne ） 《 与 爱 何干 》 （ What's Love Got to Do with It ） 

IE6 IE | w_freq: 13 - 64 | wiki_freq: 81 - 589 | sentence_idx: 386434 | align_1: 22-20 | align_2: 23-25 | entity: IE6 - none |    If you use " margin-left : 20 px " instead of " margin-left : 20px " it will only work properly in IE6 but it will not work in Mozilla / Firefox or Netscape . ||| 假如 你 使用 “ margin-left : 20 px ” 而 不是 “ margin-left : 20px ” ， 它 仅 在 IE 6 中 有效 ， 但是 在 Mozilla/Firefox 或 Netscape 中 却 无法 正常 工作 。 

YORK YORK | w_freq: 54 - 5 | wiki_freq: 199 - 16 | sentence_idx: 395894 | align_1: 1-2 | align_2: 2-6 | entity: NEW YORK - N EW YORK |    NEW YORK — As a New York City firefighter , Sarinya Srisakul did n’t work with another woman for five years , and when she did , she took pictures because it was so rare . ||| N EW YORK （ 美联社 ） - 作为 一 名 纽约市 消防员 ， Sarinya Srisakul五年 没 与 另 一 位 女士 合作 ， 当 她 这样 做 时 ， 她 拍照 是 因为 它 非常 罕见 。 

SIGKILL SIGKILL | w_freq: 6 - 6 | wiki_freq: 14 - 15 | sentence_idx: 396618 | align_1: 4-3 | align_2: 5-7 | entity: SIGKILL - none |    For example , on SIGKILL you would see 128 + SIGKILL = 137 ( Calculating the exit codes for other deadly signals is left as an exercise to the reader . ) . ||| 例如 ， 在 SIGKILL 信号 上 ， 你 会 看到 128 + SIGKILL = 137 （ 计算 其他 致命 信号 的 退出 码 作为 读者 的 练习 ） 。 

Lynche- Lynche | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 399831 | align_1: 4-11 | align_2: 5-16 | entity: Michael Lynche- - Michael Lynche |    Casey James with Michael Lynche- “ Have You Ever Really Loved a Woman ” ||| 凯西 - 詹姆斯 （ Casey James ） + 迈克尔-林奇 （ Michael Lynche ） 表演 曲目 ： 《 Have You Ever Really Loved A Woman 》 

ToeJam 托杰 | w_freq: 1 - 1 | wiki_freq: 128 - 5 | sentence_idx: 403439 | align_1: 0-1 | align_2: 1-11 | entity: none - 托杰 |    ToeJam and Earl : Back in the Groove ! ||| 《 托杰 与 厄尔 ： 找回 状态 》 （ Toe Jam & Earl : Back in the Groove ! 

690:1987 690：1987 | w_freq: 1 - 1 | wiki_freq: 2 - 0 | sentence_idx: 404107 | align_1: 1-1 | align_2: 2-6 | entity: ISO 690:1987 - none |    ISO 690:1987 Documentation – Bibliographic references – Content , form and structure . ||| ISO 690：1987 （ E ） ， Documentation一Bibliographic references-content ， form and structure . 

Hersi Hersi | w_freq: 3 - 3 | wiki_freq: 376 - 0 | sentence_idx: 405178 | align_1: 0-0 | align_2: 1-4 | entity: Hersi - none |    Hersi has seen hundreds of students drop out due to the drought . ||| Hersi 表示 ， 他 已经 看 过 上百 位 学生 因为 旱灾 而 辍学 。 

Eurodad Eurodad | w_freq: 1 - 1 | wiki_freq: 12 - 0 | sentence_idx: 415494 | align_1: 15-11 | align_2: 16-19 | entity: Eurodad - none |    [ 11 ] We are not in the habit of engaging in lobbying – unlike Eurodad , another organisation that is mobilised around the issue of debt . ||| [ 11 ] 我们 不 习惯 搞 游说 　 ── 不 像 Eurodad （ 债务 和 发展 欧洲 网路 ） ， 它 是 围绕 债务 问题 动员 起来 的 另 一个 组织 。 

Haddish 蒂凡尼·哈迪斯 | w_freq: 4 - 1 | wiki_freq: 244 - 0 | sentence_idx: 416414 | align_1: 1-0 | align_2: 2-11 | entity: Haddish - 蒂凡尼·哈迪斯 |    Tiffany Haddish Presents : They Ready Season 1 ||| 蒂凡尼·哈迪斯 巨献 ： 新秀 辈出 第一 季 TIF FANY HADDIS H PRESENTS : THEY READY Season 1 

Momofuku Momofuku | w_freq: 1 - 1 | wiki_freq: 182 - 1 | sentence_idx: 426805 | align_1: 4-7 | align_2: 5-12 | entity: Momofuku - none |    He named his restaurant Momofuku because it means “ lucky peach ” in Japanese , but also in part because it sounds like “ motherfucker . ” ||| 他 之所以 将 餐厅 命名 为 “ Momofuku ” ， 一方面 是 因为 它 在 日语 中意 为 “ 幸运 的 桃子 ” ， 但 另外 一方面 ， 也 是 由于 它 听 起来 很 像 “ motherfucker ” 。 

POSB POSB | w_freq: 1 - 1 | wiki_freq: 67 - 21 | sentence_idx: 431300 | align_1: 17-13 | align_2: 18-19 | entity: POSB Invest - none |    OK , firstly , if you are going to put money in the OCBC BCIP or the POSB Invest Saver Plan , you have to understand that these are with long term investors in mind . ||| 首先 ， 如果 你 计划 把 钱 投资于 华侨 银行 的 BCIP 或 POSB 的 投资 储蓄 计划 ( Invest Saver Scheme ) ， 你 必须 了解 这些 投资 计划 是 针对 长期 投资者 而 设 。 

Airbnb Airbnb | w_freq: 163 - 176 | wiki_freq: 845 - 97 | sentence_idx: 432754 | align_1: 3-3 | align_2: 4-9 | entity: Airbnb - none |    When I found Airbnb I was a nobody in the investing world , but I spent the next year afterward traveling around the US meeting founders and investors . ||| 当 我 发现 Airbnb 时    ， 我 在 投资界 还是 一个 无名 小 卒   ， 但是 第二 年  ， 我 走遍 了 美国 的 各地   ， 与 创始人 和 投资者 见面 。 

Qur’an 古兰 | w_freq: 192 - 36 | wiki_freq: 541 - 198 | sentence_idx: 436182 | align_1: 1-3 | align_2: 2-7 | entity: Qur’an - 古兰 |    The Qur’an states , “ Do they not travel through the earth , learn with their hearts , and listen with their ears ? ||| ’ ” ( 古兰 10:101 ) 又 说 ： “ 难道 他们 没有 在 大地 卜 旅行 ， 因而 有心 可以 了解 ， 或 有 耳 可以 听闻 吗 ？ 因为 肉眼 不 盲 ， 胸中 的 心眼 却 盲 了 。 

LEARN LEARN | w_freq: 3 - 3 | wiki_freq: 77 - 0 | sentence_idx: 441735 | align_1: 4-3 | align_2: 5-7 | entity: none - [ EAT,MOVE AND LEARN ] — |    MOVE , EAT , LEARN by Rick Mereki ||| [ EAT,MOVE AND LEARN ] — 导演 ： Rick Mereki 

IRENA IRENA | w_freq: 19 - 18 | wiki_freq: 146 - 13 | sentence_idx: 442664 | align_1: 2-1 | align_2: 3-5 | entity: IRENA - IRENA |    Led by IRENA under the guidance of the G20 Energy Sustainability Working Group , the toolkit focuses on five areas . ||| 由 IRENA 的 带领 ， 在 G20 能源 永续 发展 工作组 的 指导 下 ， 该 工具 包著 重于 五 个 方面 。 

Rajagopalan Rajagopalan | w_freq: 2 - 2 | wiki_freq: 194 - 1 | sentence_idx: 448396 | align_1: 7-9 | align_2: 8-15 | entity: Shiva Rajagopalan - Shiva Rajagopalan |    I spoke with Seven Lakes CEO Shiva Rajagopalan about emerging trends , adopting new technologies and how these shifts are shaping the future of big oil and gas companies in 2018 . ||| 我 同 Seven Lakes 公司 的 首席 执行官 Shiva Rajagopalan 进行 了 交谈 ， 谈 到 了 新兴 的 趋势 ， 新 技术 的 采用 以及 这些 转变 在 2018年 将 如何 塑造 大型 石油 和 天然气 公司 的 未来 。 

Qur’aan 显忠节 | w_freq: 11 - 1 | wiki_freq: 2 - 0 | sentence_idx: 452705 | align_1: 5-6 | align_2: 6-11 | entity: Qur’aan - none |    So , the recitation of Qur’aan has to be maintained throughout the year . ||| 然而 ， 今年 韩国 传统 的 显忠节 （ 현 충일 ） 却 发生 大事 。 

HeForShe HeForShe | w_freq: 6 - 5 | wiki_freq: 92 - 6 | sentence_idx: 453407 | align_1: 20-20 | align_2: 21-30 | entity: HeForShe - none |    Can you tell us more about your career journey , as well as your current role with UN Women and HeForShe ? ||| 您 能 和 我们 更 多 地 谈谈 您 的 职业 经历 ， 以及 您 目前 在 联合国 妇女署 和 HeForShe （ 他 为 她 ） 负责 的 工作 吗 ？ 

HESA HESA | w_freq: 1 - 1 | wiki_freq: 159 - 19 | sentence_idx: 455934 | align_1: 2-1 | align_2: 3-5 | entity: HESA - none |    According to HESA nearly 20,000 computer science students come from aboard . ||| 根据 HESA 的 数据 ， 近 20 ， 000 名 计算机 科学 专业 的 学生 来自 海外 。 

Duato Duato | w_freq: 2 - 2 | wiki_freq: 130 - 1 | sentence_idx: 456296 | align_1: 27-41 | align_2: 28-46 | entity: Joaquin Duato - 华金•杜阿托 （ Joaquin Duato ）    |    So my wish is that we can continue to raise awareness and increase access to treatments for everyone to ‘ Beat Diabetes ’ ! ” – Joaquin Duato , Executive Vice President , Worldwide Chairman , Pharmaceuticals ||| 因此   ， 我 的 愿望 是   ， 我们 可以 继续 提高 认识   ， 增加 所有人 获得 治疗 的 机会  ， 从而 ' 战胜 糖尿病 '    ！ " —— 华金•杜阿托 （ Joaquin Duato ）    ， 制药部 执行 副总裁  、 全球 董事长 

Yous Yous | w_freq: 1 - 1 | wiki_freq: 36 - 2 | sentence_idx: 458538 | align_1: 15-13 | align_2: 16-19 | entity: Yous - none |    On the contrary , le mur des je t'aime ( The Wall of I love Yous ) is a link , a place of reconciliation , a mirror which reflects an image of love and peace . ' ||| 相反 ， LE MUR DES JE T'AIME ( The Wall of I love Yous ) （ 爱 之 墙 ） 是 一 条 纽带 ， 一个 和解 的 地方 ， 一面 反射 出 爱 与 和平 的 镜子 。 

