Moody 穆迪 | w_freq: 54 - 38 | wiki_freq: 13986 - 245 | sentence_idx: 394 | align_1: 17-14 | align_2: 18-18 | entity: Moody - 穆迪 |    Vance said he had to make peace with his father 's death , but has no doubt Moody is guilty . ||| 万斯 说 , 他 与 他 父亲 的 死使 和平 , 但 毫无疑问 , 穆迪 说 , 他 是 有罪 的 。 
Door Door | w_freq: 60 - 32 | wiki_freq: 12761 - 186 | sentence_idx: 193667 | align_1: 4-6 | align_2: 5-18 | entity: Next Door - none |    Mr. Jolly Lives Next Door ( 1987 ) ||| 《 Mr . Jolly Lives Next Door （ 英语 ： Mr . Jolly Lives Next Door ） 》 （ 1987 ） 

Allāh 安拉〔 | w_freq: 26 - 1 | wiki_freq: 665 - 0 | sentence_idx: 193735 | align_1: 10-16 | align_2: 11-20 | entity: Allāh - 安拉〔 |    “ O you who have believed , if you support Allāh , He will support you and plant firmly your feet . ”[10 ] ||| ” （ 3 ： 139 ） 、 “ 信道 的 人们 啊 ！ 如果 你们 相助 安拉〔 的 正 教〕 ， 安拉 就 相助 你们 ， 并 使 你们 的 脚步 稳固 。 

Chorus Chorus | w_freq: 7 - 4 | wiki_freq: 9292 - 80 | sentence_idx: 194937 | align_1: 10-21 | align_2: 11-28 | entity: Chorus - none |    In Ireland , since 1990,[3 ] UPC Ireland ( previously Chorus and NTL Ireland ) offer MMDS TV services almost nationwide . ||| 在 爱尔兰 ， 自 1990年 起 [ 6 ] ， UPC Ireland （ 英语 ： UPC Ireland ） （ 以前 为 Chorus （ 英语 ： Chorus Communications ） 和 NTL Ireland （ 英语 ： NTL Ireland ） ） 为 几乎 全国 提供 MMDS TV 服务 。 

Programming Programming | w_freq: 82 - 34 | wiki_freq: 13883 - 161 | sentence_idx: 197740 | align_1: 9-10 | align_2: 10-16 | entity: Programming - none |    I also started working on an AOP ( Aspect-Oriented Programming ) framework but got stuck due to some ActionScript 3 limitations . ||| 我 还 准备 开发 一个 AOP （ Aspect - Oriented Programming ， 面向 方面 的 编程 ） 框架 ， 但 遇到 了 一些 麻烦 ， 这些 麻烦 是 由 ActionScript 3 的 一些 限制 导致 的 。 

Mintzberg 明茨伯格 | w_freq: 3 - 2 | wiki_freq: 98 - 1 | sentence_idx: 199739 | align_1: 7-8 | align_2: 8-16 | entity: Mintzberg - 明茨伯格 |    One of the original management thinkers , Mintzberg concludes that strategy can not be planned because planning is about analysis and strategy is about synthesis . ||| 作为 最 早 的 管理 思想家 之一 ， 明茨伯格 对 战略 规划 进行 了 总结 ， 认为 战略 不 能够 规划 ， 因为 规划 是 分析 ， 而 战略 是 综合 。 

LGBTQ LGBTQ | w_freq: 68 - 23 | wiki_freq: 6975 - 73 | sentence_idx: 200568 | align_1: 11-7 | align_2: 12-12 | entity: LGBTQ - none |    “ One in five kids today identify with some sort of LGBTQ identity , ” he said . ||| “ 今天 有 五分之一 的 孩子 拥有 LGBTQ （ 酷儿 ） 的 身分 识别 ” 他 说 。 

Gauthier Gauthier | w_freq: 5 - 4 | wiki_freq: 2393 - 37 | sentence_idx: 202083 | align_1: 26-25 | align_2: 27-31 | entity: Daniel Gauthier - none |    That reminds me of another story , about a client who did not know myfather was Jewish , because he had changed his name to Daniel Gauthier . ||| 这 让 我 想起 另外 一个 故事 ， 关于 一个 不 知道 我 的 父亲 是 犹太人 （ 因为 他 将 名字 改成 了 Daniel Gauthier ） 的 顾客 的 事情 。 

Silence 寂静 | w_freq: 51 - 89 | wiki_freq: 9873 - 533 | sentence_idx: 202929 | align_1: 4-3 | align_2: 5-33 | entity: One Square Inch of Silence - none |    One Square Inch of Silence : One Man ’s Quest for Natural Silence in a Noisy World ||| 一 平方英寸 的 寂静 ： 走向 寂静 的 万里 路 ， 追寻 自然 消失 前 的 最后 乐音 （ 附赠 珍贵 录音 和 精采 照片 CD ） ONE SQUARE IN CH OF SILENCE : One Man ’ s Search for Natural Silence in a Noisy World 

Ordinance Ordinance | w_freq: 39 - 1 | wiki_freq: 7876 - 82 | sentence_idx: 203968 | align_1: 13-11 | align_2: 14-21 | entity: Ordinance - none |    In 2013 , San Francisco passed the “ Due Process for All ” Ordinance . ||| 2013年 ， 旧金山 通过 了 ” Due Process for All ” Ordinance ， 即 「 人人 享有 正当 程序 」 条例 。 

WNBR WNBR | w_freq: 1 - 1 | wiki_freq: 43 - 4 | sentence_idx: 207104 | align_1: 21-15 | align_2: 22-19 | entity: WNBR - none |    “ If you are coming just to be a pain in the neck and to be the one to end this WNBR we ’d rather you stayed at home . ” ||| “ 如果 你 只是 为了 成为 一个 痛苦 的 脖子 ， 并 成为 结束 这个 WNBR 的 人 ， 我们 宁愿 你 呆 在 家里 

Flemming Flemming | w_freq: 1 - 1 | wiki_freq: 1859 - 20 | sentence_idx: 207178 | align_1: 2-1 | align_2: 3-5 | entity: Flemming - none |    According to Flemming in 2009 , Pavlopetri is thousands of years older than most of the ancient underwater ruins that have already been discovered . ||| 根据 Flemming （ 人名 ） 2009年 的 说法 ， Pavlopetri 比 大多数 已经 被 发现 的 古代 水下 遗迹 要 早 几千 年 。 

Hen Hen | w_freq: 4 - 4 | wiki_freq: 3417 - 23 | sentence_idx: 210598 | align_1: 6-3 | align_2: 7-12 | entity: The Wise Little Hen - The Wise Little Hen |    First Appearance : The Wise Little Hen ( 1934 ) ||| The Wise Little Hen （ 英语 ： The Wise Little Hen ） ( 1934 ) 

Gallup Gallup | w_freq: 51 - 14 | wiki_freq: 3918 - 29 | sentence_idx: 220953 | align_1: 3-3 | align_2: 4-7 | entity: Gallup - none |    According to the Gallup , more than two in three people worldwide said in 2018 that they feel safe walking alone at night where they live ( 69 % ) and have confidence in their local police ( 68 % ) . ||| 根据 盖洛普 （ Gallup ） 的 数据 ， 2018年 全球 有 超过 三分之二 的 人 说 ， 他们 觉得 自己 一个 人 可以 在 夜晚 独自 行走 感到 安全 （ 69％ ） ， 并 对 当地 警察 充满 信心 （ 68％ ） 。 

DDoS DDoS | w_freq: 172 - 169 | wiki_freq: 818 - 138 | sentence_idx: 220969 | align_1: 9-9 | align_2: 10-14 | entity: DDoS - none |    For instance , they should be familiar with the DDoS Quick Guide from the Department of Homeland Security and also be implementing advice provided by projects such as the Open Resolver Project . ||| 比如说 ， 他们 应该 熟悉 国土 安全部 颁布 的 DDoS 快速 指南 ( DDoS Quick Guide ) ， 还 应该 落实 开放 解析器 项目 ( Open Resolver Project ) 等 项目 给予 的 建议 。 

DVCS DVCS | w_freq: 1 - 1 | wiki_freq: 41 - 4 | sentence_idx: 221507 | align_1: 9-2 | align_2: 10-10 | entity: DVCS - none |    It ’s pretty early days for our use of DVCS but I like it and also find it the easiest way to set up workspaces . ||| 我们 使用 DVCS 的 时间 已经 很 早 了 ， 但 我 喜欢 它 ， 并且 发现 它 是 设置 工作 空间 的 最 简单 方法 。 

IATA IATA | w_freq: 23 - 19 | wiki_freq: 3758 - 461 | sentence_idx: 224754 | align_1: 0-1 | align_2: 1-8 | entity: IATA - none |    IATA Resolution 753 goes into effect in 2018 . ||| 《 IATA 第753 号 决议 》 （ IATA Resolution 753 ） 将 于 2018年 生效 。 

Khazar 卡扎尔 | w_freq: 2 - 2 | wiki_freq: 1752 - 260 | sentence_idx: 229721 | align_1: 18-17 | align_2: 19-21 | entity: Khazar - 卡扎尔 |    “ The large majority of surviving Jews in the world is of Eastern European-and thus perhaps mainly of Khazar origin . ||| 世界 上 幸存 下来 的 犹太人 绝大部分 都 属于 东欧 —— 这样 说来 ， 也许 主要 属于 卡扎尔 人 的 —— 血统 。 

Brethren 弟兄 | w_freq: 22 - 187 | wiki_freq: 7258 - 794 | sentence_idx: 230856 | align_1: 4-3 | align_2: 5-8 | entity: Brethren - none |    This solidified the Swiss Brethren and resulted in their persecution by all other reformers as well as the Catholic Church . ||| 这 使得 瑞士 弟兄 会 具体化 了 ， 并且 因此 导致 他们 对 其他 所有 宗教 改革者 进行 如同 对 天主教 一样 的 迫害 。 

Childe Childe | w_freq: 3 - 1 | wiki_freq: 1208 - 7 | sentence_idx: 231831 | align_1: 3-4 | align_2: 4-8 | entity: Gordon Childe - none |    According to Gordon Childe , every single food plant of any importance , as well as other plants such as flax and cotton , was discovered by the women in the pre-civilized epoch . ||| 据 戈登·柴尔德 （ Gordon Childe ） 所 说 ， 每 一 种 比较 重要 的 食用 植物 ， 以及 其他 植物 例如 亚麻 、 棉花 ， 都 是 在 前 文明 时期 由 女性 发现 的 。 

Townend Townend | w_freq: 1 - 1 | wiki_freq: 644 - 3 | sentence_idx: 233119 | align_1: 0-2 | align_2: 1-6 | entity: Townend - none |    Townend concluded that European providers are investing in international services to grow their own markets . ||| 汤恩德 （ Townend ） 得出 的 结论 是 ， 欧洲 供应商 正在 投资 国际 服务 ， 以 扩大 自己 的 市场 。 

Meier Meier | w_freq: 14 - 10 | wiki_freq: 4451 - 37 | sentence_idx: 243895 | align_1: 9-9 | align_2: 10-13 | entity: Deborah Meier - Deborah Meier |    In 2001 , I met an educator named Deborah Meier who had a big impact on me . ||| 2001年 ， 我 曾 与 教育家 黛布拉迈耶 （ Deborah Meier ） 会面 ， 她 对 我 产生 了 很 大 影响 。 

Pliny Pliny | w_freq: 3 - 3 | wiki_freq: 6648 - 13 | sentence_idx: 244870 | align_1: 4-3 | align_2: 5-7 | entity: Pliny - none |    The classical Roman scholar Pliny wrote : “ Maximum in rebus humanis , non solum inter gemmas , pretium habet adamas ” ( Among all human things , not only among gems , the diamond is the most precious ) . ||| 罗马 古典主义 学者 Pliny （ 普林尼 ） 写道 ： “ Maximum in rebus humanis , non solum inter gemmas , pretium habet adamas ” （ 钻石 不仅 是 宝石 中 ， 更 是 人类 所有 事物 中 最 珍贵 的 东西 ） 。 

CoBC CoBC | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 251759 | align_1: 18-18 | align_2: 19-22 | entity: CoBC - none |    We strive to maintain an environment that demonstrates strong business ethics and our Code of Business Conduct ( CoBC ) conveys our values and expectations . ||| 我们 致力 于 维护 能 展现 良好 企业 道德 的 环境 ， 公司 的 商业 行为 准则 ( CoBC ) ( 英文 ) 表达 了 我们 的 价值观 和 期望 。 

Belmonts Belmonts | w_freq: 2 - 2 | wiki_freq: 257 - 0 | sentence_idx: 257771 | align_1: 3-3 | align_2: 4-12 | entity: Belmonts - none |    Dion and the Belmonts , “ I Wonder Why . ” ||| Dion and the Belmonts （ 英语 ： Dion and the Belmonts ） （ " I Wonder Why （ 英语 ： I Wonder Why ） " ） 

Javid 伟德 | w_freq: 14 - 1 | wiki_freq: 1097 - 87 | sentence_idx: 258553 | align_1: 37-33 | align_2: 38-41 | entity: Javid - 贾 伟德 |    " I am absolutely confident as we get to the June council meeting that the prime minister will have a good set of proposals , and our colleagues in Europe will respond positively to them , " Javid told the BBC . ||| “ 我 绝对 有 信心 在 6月 的 会议 时 ， 首相 将 会 有 一 套 可靠 的 提案 ， 我们 的 欧洲 同僚 将 对此 做出 正面 回应 ， ” 贾 伟德 对 英国 广播 公司 ( BBC ) 表示 。 

Scrooge 史高治 | w_freq: 6 - 1 | wiki_freq: 4392 - 8 | sentence_idx: 259355 | align_1: 2-2 | align_2: 3-9 | entity: Scrooge - 史高治 |    Your Uncle Scrooge asks for your help , but some friendly Christmas ghosts have other plans for him ... and you . ||| 你 的 史高治 叔叔 ( 又 名 吝啬鬼 ) 寻求 你 的 帮助 ， 但是 一些 友善 的 圣诞 鬼魂 却 对 他 和 你 有着 另外 的 计划 。 

MAHAVIR 摩诃 | w_freq: 1 - 6 | wiki_freq: 0 - 695 | sentence_idx: 260446 | align_1: 3-2 | align_2: 4-11 | entity: MAHAVIR - 摩诃 毗罗 |    I SPEAK ON MAHAVIR as a part of my duty -- my heart is never with him . ||| 我 谈论 摩诃 毗罗 （ Mahavira ） ， 我 把 这 当作 我 的 责任 的 一部分 ── 我 的 心 从来 不和 他 在一起 。 

MAHAVIR 毗罗 | w_freq: 1 - 1 | wiki_freq: 0 - 22 | sentence_idx: 260446 | align_1: 3-3 | align_2: 4-11 | entity: MAHAVIR - 摩诃 毗罗 |    I SPEAK ON MAHAVIR as a part of my duty -- my heart is never with him . ||| 我 谈论 摩诃 毗罗 （ Mahavira ） ， 我 把 这 当作 我 的 责任 的 一部分 ── 我 的 心 从来 不和 他 在一起 。 

Dusha Dusha | w_freq: 1 - 2 | wiki_freq: 39 - 0 | sentence_idx: 261511 | align_1: 9-10 | align_2: 10-18 | entity: Dusha - none |    In 2007 , he published his first book , Dusha , Russian Soul . ||| 2007年 他 出版 了 他 的 第一 本 摄影集 《 Dusha ， 俄罗斯 的 灵魂 》 （ Dusha , Russian Soul ） 

Keynes 凯恩斯 | w_freq: 27 - 28 | wiki_freq: 10390 - 802 | sentence_idx: 261990 | align_1: 0-0 | align_2: 1-6 | entity: Keynes - 凯恩斯 |    Keynes said that when everything is automated , we will essentially have no material needs and no need for work . ||| 凯恩斯 （ 英国 经济学家 ） 曾经 说 过 ， 当 所有 事物 都 变成 自动化 的 了 ， 我们 本质 上 就 没有 任何 物质 需求 了 ， 也 不 需要 工作 了 。 

Turnbull 特恩布尔 | w_freq: 40 - 25 | wiki_freq: 7808 - 68 | sentence_idx: 267973 | align_1: 13-11 | align_2: 14-19 | entity: Turnbull - 特恩布尔 |    Grattan on Friday : Hanson 's ' outsider ' politics a challenge for Turnbull as he sits in ' sensible centre ' ||| Grattan 周五  ： 汉森 的 “ 局外人 ” 政治 对 特恩布尔 来说 是 一个 挑战   ， 因为 他 坐 在 ' 明智 的 中心 ' 

Stutland Stutland | w_freq: 1 - 1 | wiki_freq: 8 - 0 | sentence_idx: 268879 | align_1: 10-10 | align_2: 11-17 | entity: Brian Stutland - Brian Stutland |    But for some , including Equity Armor Investments ’ Brian Stutland , bitcoin seems like an even better investment than silver . ||| 但 对 包括 Equity Armor Investments 的 布莱恩·斯塔兰德 ( Brian Stutland ) 在内 的 一些 人 来说 ， 比特币 似乎 是 比 白银 更 好的 投资 。 

Lick Lick | w_freq: 6 - 2 | wiki_freq: 3749 - 12 | sentence_idx: 272866 | align_1: 10-8 | align_2: 11-16 | entity: French Lick - none |    Larry loves to portray himself as the Hick from French Lick . ||| Larry 喜欢 把 自己 描绘 成 是 French Lick ( 他 的 出生地 ) 的 乡巴佬 。 

Mencken 门肯 | w_freq: 3 - 1 | wiki_freq: 1007 - 9 | sentence_idx: 273935 | align_1: 9-9 | align_2: 10-13 | entity: Mencken - 门肯 |    For example , some religious and business leaders attacked Mencken as a dangerous person whose words were treason against the United States . ||| 例如 ， 有些 宗教 人士 和 企业界 领导人 攻击 门肯 ， 说 他 是 一个 危险 的 人 ， 他 的 文字 是 对 美国 的 背叛 。 

Million Million | w_freq: 157 - 27 | wiki_freq: 14624 - 189 | sentence_idx: 275568 | align_1: 4-4 | align_2: 5-17 | entity: One in a Million - none |    " One in a Million " - Bosson ( 3:30 ) ||| " One in a Million （ 英语 ： One in a Million ( Bosson song ) ） " - Bosson （ 英语 ： Bosson ） ( 3:30 ) 

Bosson Bosson | w_freq: 1 - 3 | wiki_freq: 230 - 2 | sentence_idx: 275568 | align_1: 7-19 | align_2: 8-25 | entity: Bosson - none |    " One in a Million " - Bosson ( 3:30 ) ||| " One in a Million （ 英语 ： One in a Million ( Bosson song ) ） " - Bosson （ 英语 ： Bosson ） ( 3:30 ) 

Inhofe Inhofe | w_freq: 3 - 2 | wiki_freq: 404 - 4 | sentence_idx: 277709 | align_1: 5-3 | align_2: 6-8 | entity: Inhofe - none |    Do we agree with Senator Inhofe that global warming is a " hoax " and that we do not want the EPA , the Department of Energy or any other agency of the federal government to address that issue ? ||| 我们 是否 同意 Inhofe 参议员 的 观点 ， 即 全球 变暖 是 一个 “ 恶作剧 ” ， 我们 不 希望 美国 环保署 ， 能源部 或 联邦政府 的 任何 其他 机构 解决 这个 问题 

Hiroshige Hiroshige | w_freq: 3 - 3 | wiki_freq: 552 - 0 | sentence_idx: 290092 | align_1: 10-12 | align_2: 11-17 | entity: Utagawa Hiroshige - none |    Night view of Saruwaka Street ( 1856 ) by Utagawa Hiroshige . ||| 《 Night view of Saruwaka Street 》 ( 1856 ) — Utagawa Hiroshige （ 歌川 广重 ） 。 

Paz 多纳•帕斯 | w_freq: 19 - 1 | wiki_freq: 13250 - 0 | sentence_idx: 293162 | align_1: 5-5 | align_2: 6-10 | entity: Doña Paz - “ 多纳•帕斯 ” 号 |    Only 24 passengers from Doña Paz and two of Vector ’s crew survived . ||| 只有 24 名 来自 “ 多纳•帕斯 ” 号 的 乘客 和 两 名 “ 维克托 ” 号 的 船员 幸存 下来 。 

Joh 一言而丧 | w_freq: 5 - 7 | wiki_freq: 1015 - 1 | sentence_idx: 294241 | align_1: 24-13 | align_2: 25-18 | entity: Joh - none |    The rewards he received were all given by the Father ; namely , the Spirit , { Ac 2:33 } his people , { Joh 17:9 } and his exaltation , Ac 2:33,36 . ||| ’如其善而莫之违 也 ， 不 亦 善乎 ？ 如 不善而莫之违 也 ， 不 几乎 一言而丧 邦乎 ？ ” ( 13.15 ) 

Thinking Thinking | w_freq: 132 - 21 | wiki_freq: 7277 - 76 | sentence_idx: 299428 | align_1: 4-10 | align_2: 5-20 | entity: Thinking - none |    The Year of Magical Thinking ( 2007 ) ( based on her novel ) ||| 《 奇想 之 年 》 （ The Year of Magical Thinking （ 英语 ： The Year of Magical Thinking ） ， 2007年 ） ( 根据 她 的 小说 ) 

CHIP CHIP | w_freq: 7 - 6 | wiki_freq: 458 - 32 | sentence_idx: 299627 | align_1: 9-7 | align_2: 10-14 | entity: CHIP - none |    About one in eight children are covered only by CHIP . ” ||| “ 大约 八分之一 的 孩子 只 被 CHIP 所 覆盖 ， 并 没有 争议 。 

Ruiz RUIZ | w_freq: 18 - 1 | wiki_freq: 10844 - 0 | sentence_idx: 300342 | align_1: 8-9 | align_2: 9-15 | entity: Miguel Ruiz - none |    One of the Four Agreements by Don Miguel Ruiz is to not take anything personally . ||| 在 这 本书 The Four Agreements BY DON MIGUEL RUIZ 里 ， 第二 个 承诺 是 DON ’ T TAKE ANYTHING PERSONALLY 。 

Garner 愕 | w_freq: 14 - 1 | wiki_freq: 8992 - 9 | sentence_idx: 302870 | align_1: 5-8 | align_2: 6-21 | entity: Garner - none |    But the story , for Garner , was and is the game they watched together . ||| ） （ 他 ） （ 错 ） （ 愕 ） （ 地 ） （ 望 ） （ 着 ） （ 眼 ） （ 前 ） （ 的 ） （ 青 ） （ 年 ） （ ， ） （ 微 ） （ 微 ） （ 张 ） （ 了 ） （ 张 ） （ 嘴 ） （ ： ） （ 你 ） （ a ） （ a ） （ a ） （ a ） （ a ） （ a ） （ a ） （ a ） 

Maisel 麦瑟尔 | w_freq: 4 - 1 | wiki_freq: 592 - 4 | sentence_idx: 305633 | align_1: 3-3 | align_2: 4-8 | entity: Maisel - 麦瑟尔 |    The Marvelous Mrs. Maisel , " We 're Going to the Catskills ! " ||| 《 了不起 的 麦瑟尔 夫人 》 “ Simone ， ” “ We’re Going to the Catskills ！ ” 

Sinai 秦国 | w_freq: 47 - 6 | wiki_freq: 11395 - 3579 | sentence_idx: 307461 | align_1: 3-0 | align_2: 4-9 | entity: Sinai - none |    ← Moses at Sinai – God ’s Partner or Adversary ? ||| 秦国 名将 白起 简介 ： 我们 该 称 白起 是 战神 还是 杀神 ？ 

I.R.S. I.R.S | w_freq: 2 - 2 | wiki_freq: 543 - 19 | sentence_idx: 316160 | align_1: 13-12 | align_2: 14-16 | entity: I.R.S. - none |    Subsequent changes in the federal tax law , such as Congressional amendments or I.R.S. interpretations , may change some of the material covered . ||| 联邦 税法 的 后续 更改 ， 如 国会 修正案 或 国税局 （ I.R.S . ） 的 解释 ， 可能 会 改变 一些 涵盖 的 内容 。 

Sze Sze | w_freq: 3 - 3 | wiki_freq: 947 - 36 | sentence_idx: 317155 | align_1: 5-6 | align_2: 6-10 | entity: David Sze - David Sze |    According to Venture Capitalist David Sze , Hoffman " is arguably the most successful angel investor in the past decade . " ||| 根据 风险 投资人 大卫·斯泽 （ David Sze ） 的 说法 ， 霍夫曼 “ 可以 说 是 过去 十 年中 最 成功 的 天使 投资人 ” 。 

ISIS ISIS | w_freq: 295 - 219 | wiki_freq: 6089 - 231 | sentence_idx: 326048 | align_1: 15-19 | align_2: 16-25 | entity: ISIS - none |    " Now , Russia likes us being there for two reasons , because we kill ISIS . ||| 现在 ， 俄罗斯 喜欢 我们 在 那里 出现 ， 是 因为 两 个 原因 ， 因为 我们 杀死 了 ISIS ， 杀死 了 恐怖 分子 。 

Norvig Norvig | w_freq: 7 - 5 | wiki_freq: 101 - 5 | sentence_idx: 327560 | align_1: 0-2 | align_2: 1-11 | entity: Norvig - none |    Norvig ’s Teach yourself programming in ten years : ||| 就 像 Norvig （ 谷歌 的 研发 总监 ） 说 的 ， Teach Yourself Programming in Ten Years 。 

Anthropologist Anthropologist | w_freq: 8 - 5 | wiki_freq: 1235 - 4 | sentence_idx: 327807 | align_1: 16-16 | align_2: 17-21 | entity: Anthropologist - One Anthropologist |    Clifford Geertz , 1995 , After the Fact : Two Countries , Four Decades , One Anthropologist . ||| Clifford Geertz ， 1995 ， After the Fact ： Two Countries ， Four Decades ， One Anthropologist ， Harvard University Press . 

Rio+20 里约+20 | w_freq: 9 - 2 | wiki_freq: 158 - 0 | sentence_idx: 333201 | align_1: 2-3 | align_2: 3-8 | entity: Rio+20 - 里约+20 |    “ Since Rio+20 , an increasing number of countries are embarking on pathways towards inclusive green economies . ||| “ 自 ‘ 里约+20 ’ 峰会 召开 以来 ， 越来越 多 的 国家 走向 包容性 绿色 经济 之 路 。 

YORK YORK | w_freq: 64 - 8 | wiki_freq: 199 - 16 | sentence_idx: 334804 | align_1: 1-2 | align_2: 2-6 | entity: NEW YORK - none |    NEW YORK — Political junkies have plenty of choices on Sunday-morning television . ||| N EW YORK （ 美联社 ） - 政治 迷们 在 周日 早上 的 电视 上 有 很多 选择 ... 

Yahoo 雅虎 | w_freq: 179 - 142 | wiki_freq: 10475 - 1030 | sentence_idx: 336742 | align_1: 2-5 | align_2: 3-10 | entity: Yahoo - 雅虎 （ YAHOO |    Amazon and Yahoo are n't just e-commerce sites ; they are extremely analytical and follow a " test and learn " approach to business changes . ||| 亚马逊 （ AMAZON ） 和 雅虎 （ YAHOO ） 不仅仅 是 电子 商务 网站 ， 他们 忙于 分析 和 遵循 一 种 “ 测试 和 学习 ” 的 方法 转变 商业 。 

NYT 时报 | w_freq: 11 - 549 | wiki_freq: 545 - 12844 | sentence_idx: 343532 | align_1: 3-5 | align_2: 4-10 | entity: NYT - 纽约 时报 |    Yeah , that NYT article was full of complaints from low-expectation having women . ||| 是 啊 ， 《 纽约 时报 》 的 那 篇 文章 充满 了 对 女性 期望 很 低 的 抱怨 。 

Corinthians 哥林 | w_freq: 48 - 37 | wiki_freq: 6043 - 377 | sentence_idx: 352373 | align_1: 4-4 | align_2: 5-10 | entity: Corinthians - 哥林 多 |    In his Commentary on Corinthians , he wrote , “ All the wisdom of believers is comprehended in the cross of Christ ” ( I:74 ) . ||| 在 他 的 《 哥林 多 前后 书 注释 》 中 他 写道 ： ” 信徒 所有 的 智慧 都 包含 在 基督 的 十字架 中 ” ( I:74 ) 。 

ITOM IT | w_freq: 3 - 1004 | wiki_freq: 18 - 1980 | sentence_idx: 354015 | align_1: 3-3 | align_2: 4-9 | entity: ITOM - none |    Today , many ITOM practices and their valuable information is trapped in siloes , but that is starting to change . ||| 今天 ， 许多 IT 运维 管理 （ ITOM） 的 实践 和 他们 的 有 价值 信息 处在 一个 尴尬 的 境地 ， 但是 他 已经 开始 改变 。 

Dalhart 达尔哈特 | w_freq: 1 - 1 | wiki_freq: 391 - 5 | sentence_idx: 354045 | align_1: 33-29 | align_2: 34-34 | entity: Dalhart - 达尔哈特 |    Bam decided to find a house of his own , a place to get established , to give the family some certainty , some place to prove that when the horse died in Dalhart it meant God was telling them to settle here 'cause good things had to come . ||| 巴姆 决定 自己 找 一 所 房子 ， 一个 建立 的 地方 ， 给 家人 一定 的 把握 ， 有些 地方 可以 证明 ， 当 这 匹 马 在 达尔哈特 死去 的 时候 ， 它 意味着 上帝 告诉 他们 定居 在 这里 ， 因为 好事 必须 到来 。 

Sodom 菩提 | w_freq: 10 - 15 | wiki_freq: 1742 - 660 | sentence_idx: 359074 | align_1: 10-1 | align_2: 11-7 | entity: Sodom - none |    Violations of this law , as in the case of Sodom , are therefore considered transgressions of God ’s will . ” ||| 须 菩提 ， 我 再 问 你 ， 色受 想 行识 等 的 诸法 是 菩萨义 吗 ？ ” 

Scripture 信 | w_freq: 233 - 1670 | wiki_freq: 5477 - 10414 | sentence_idx: 359681 | align_1: 3-4 | align_2: 4-9 | entity: Scripture - none |    That 's what Scripture means . ||| 这就 是 本 于 信 ， 以至于 信 的 意思 。 

Spaniard 西班牙人 | w_freq: 27 - 107 | wiki_freq: 3686 - 2946 | sentence_idx: 360637 | align_1: 3-3 | align_2: 4-7 | entity: Spaniard - 西班牙人 |    He was a Spaniard named Juan Pujol Garcia . ||| 他 是 个 西班牙人   ， 叫 Juan Pujol Garci  。 

Fifa 足联 | w_freq: 18 - 71 | wiki_freq: 363 - 3806 | sentence_idx: 363844 | align_1: 12-13 | align_2: 13-17 | entity: Fifa - 国际 足联 |    In their tender , which has been seen by the BBC , Fifa say its objective is to find partners to create " the world 's greatest club football experience " . ||| 在 英国 广播 公司 （ BBC ） 观看 的 招标 中 ， 国际 足联 （ FIFA ） 表示 ， 其 目标 是 寻找 合作 伙伴 ， 以 创造 “ 世界 上 最 伟大 的 俱乐部 足球 体验 ” 。 

SPS SPS | w_freq: 11 - 14 | wiki_freq: 3048 - 57 | sentence_idx: 366828 | align_1: 17-13 | align_2: 18-19 | entity: SPS - none |    Trinidad and Tobacco 13 12 Financed by the European Union 10th European Development Fund ( EDF ) SPS project , the IPPC Trust Fund and the IPPC Secretariat . ||| 特立尼达和多巴哥 13 12 由 欧盟 第10 届 欧洲 发展 基金 ( EDF ) SPS （ 动植物 检疫 措施 ） 项目 、 IPPC 信托 基金 和 IPPC 秘书处 资助 。 

Yeung Yeung | w_freq: 5 - 4 | wiki_freq: 2991 - 76 | sentence_idx: 367697 | align_1: 18-40 | align_2: 19-45 | entity: Bernice Yeung - none |    In a Day?s Work : The Fight to End Sexual Violence Against America?s Most Vulnerable Workers BY Bernice Yeung . ||| 《 一 天 的 工作 ： 结束 对 美国 最 弱势 工人 的 性 暴力 的 斗争 In a Day ’ s Work : The Fight to End Sexual Violence Against America ’ s Most Vulnerable Workers 》 by Bernice Yeung ( The New Press ) 

Montecassino 那不勒斯 | w_freq: 1 - 70 | wiki_freq: 423 - 2699 | sentence_idx: 368267 | align_1: 13-9 | align_2: 14-14 | entity: Montecassino - 那不勒斯 |    In 1739 he returned to Italy , perhaps to Naples and surely to Montecassino , in whose Abbey existed two canvases ( destroyed during World War II ) . ||| 在 1739年 ， 他 回到 意大利 ， 也许 到 那不勒斯 ， 肯定 到 蒙特卡西诺 ， 在 其 修道院 存在 两 个 画布 （ 在 二次大战 期间 被 摧毁 ） 。 

al-Quran 法藏 | w_freq: 2 - 4 | wiki_freq: 109 - 154 | sentence_idx: 369040 | align_1: 3-1 | align_2: 4-6 | entity: al-Quran - none |    I swear by al-Quran al-majeed ... " ||| 系心于 法藏 菩萨 ， 因位 之 本 誓 。 

