Dawes Dawes | w_freq: 4 - 4 | wiki_freq: 4708 - 537 | sentence_idx: 2576 | align_1: 5-5 | align_2: 6-9 | entity: Dawes - Dawes |    Someday Never Comes ( with Dawes ) ||| Someday Never Comes ( avec Dawes ( en ) ) 
Portfolio Portfolio | w_freq: 15 - 7 | wiki_freq: 4151 - 155 | sentence_idx: 278227 | align_1: 5-4 | align_2: 6-9 | entity: none - All Weather Portfolio |    How has the All Weather Portfolio done in the past ? ||| Comment le All Weather Portfolio a -t -il été réalisé dans le passé ? 

Expect Attendez | w_freq: 72 - 136 | wiki_freq: 746 - 47 | sentence_idx: 279386 | align_1: 0-0 | align_2: 1-6 | entity: none - Attendez |    Expect wine and beer pours to be smaller than in your home country , but also expect them to be cheaper . ||| Attendez -vous à ce que le vin et la bière soient plus petits que dans votre pays d’ origine , mais attendez -vous également à ce qu’ ils soient moins chers . 

Furs Furs | w_freq: 1 - 1 | wiki_freq: 763 - 107 | sentence_idx: 280398 | align_1: 5-5 | align_2: 6-12 | entity: Venus in Furs - Venus in Furs |    A book like Venus in Furs reminds us of what we are – blackness and light . ||| Un livre comme Venus in Furs ( Vénus en Fourrures ) nous rappelle ce que nous sommes - noirceur et lumière . 

Marley Marley | w_freq: 30 - 31 | wiki_freq: 7385 - 1729 | sentence_idx: 280900 | align_1: 15-16 | align_2: 16-20 | entity: Bob Marley - Bob Marley |    It ’s a deeper and more compelling paean to “ Ja ” than even Bob Marley ever produced . ||| C’ est un paean plus profond et plus irrésistible à « Ja » que même Bob Marley n’ en a jamais produit . 

Skopje Skopje | w_freq: 20 - 20 | wiki_freq: 6914 - 2313 | sentence_idx: 289149 | align_1: 5-5 | align_2: 6-9 | entity: Skopje - Skopje |    Among the great men of Skopje is a little lady : Mother Teresa was born here . ||| Parmi les grands hommes de Skopje , il y a une petite femme : Mère Teresa est née ici . 

DOD DOD | w_freq: 12 - 10 | wiki_freq: 1645 - 89 | sentence_idx: 289545 | align_1: 0-1 | align_2: 1-9 | entity: DOD - DOD |    DOD kept the program in a research and development phase rather than approve an operational system in 1962 . ||| Le DOD ( Department of Defense ) a néanmoins maintenu le programme dans une phase de recherche et de développement plutôt que d' approuver un autre système opérationnel en 1962 . 

Maybe Peut | w_freq: 1233 - 2696 | wiki_freq: 6736 - 3705 | sentence_idx: 293641 | align_1: 4-4 | align_2: 5-8 | entity: none - Peut |    And who knows … Maybe you ’ll meet someone in front of the pub , smoking a cigarette . ||| Et qui sait … Peut - être que vous rencontrerez quelqu’ un devant le pub , en train de fumer une cigarette . 

Navarro Navarro | w_freq: 6 - 6 | wiki_freq: 8627 - 2663 | sentence_idx: 294548 | align_1: 4-5 | align_2: 5-10 | entity: Navarro - Navarro |    First , how was Navarro recruited ? ||| Tout d’ abord , comment Navarro a -t -il été recruté ? 

TECHNOLOGY TECHNOLOGY | w_freq: 5 - 6 | wiki_freq: 69 - 3 | sentence_idx: 296691 | align_1: 4-3 | align_2: 5-8 | entity: none - PEOPLE AND TECHNOLOGY |    Why was PEOPLE AND TECHNOLOGY selected ? ||| Pourquoi PEOPLE AND TECHNOLOGY a -t -il été sélectionné ? 

Cargoroo Cargoroo | w_freq: 3 - 3 | wiki_freq: 0 - 0 | sentence_idx: 301021 | align_1: 1-0 | align_2: 2-5 | entity: Cargoroo - Cargoroo |    Will Cargoroo expand to other countries too ? ||| Cargoroo va -t -il s' étendre à d' autres pays également ? 

Lemire Lemire | w_freq: 9 - 9 | wiki_freq: 730 - 408 | sentence_idx: 306303 | align_1: 1-1 | align_2: 2-5 | entity: Vincent Lemire - Vincent Lemire |    Vincent Lemire is impressed by the political maturity of Palestinian civil society .... ||| Vincent Lemire , lui , est impressionné par la maturité politique de la société civile palestinienne … . 

Agatha Agatha | w_freq: 3 - 3 | wiki_freq: 6533 - 2194 | sentence_idx: 307244 | align_1: 5-6 | align_2: 6-11 | entity: Agatha - Agatha |    To be near you , Agatha is also a community . ||| Pour être près de vous , Agatha se doit aussi d’ être une communauté . 

Shazam Shazam | w_freq: 8 - 8 | wiki_freq: 2097 - 235 | sentence_idx: 307714 | align_1: 0-0 | align_2: 1-4 | entity: Shazam - Shazam |    Shazam began as a crazy idea between friends in 1999 . ||| Shazam était à l’ origine une idée folle entre amis en 1999 . 

Prophet prophète | w_freq: 229 - 420 | wiki_freq: 9638 - 5125 | sentence_idx: 311797 | align_1: 7-8 | align_2: 8-12 | entity: Prophet - none |    And what do you know of the Prophet ? ||| Et toi que veux tu savoir sur le prophète ( saaws ) ? 

YOUR VOTRE | w_freq: 69 - 38 | wiki_freq: 279 - 6 | sentence_idx: 317001 | align_1: 1-1 | align_2: 2-6 | entity: none - VOTRE |    Remove YOUR copyright strike against me and I will do the same . ||| Supprimez VOTRE frappe de droit d’ auteur contre moi et je ferai de même . 

Matters Matters | w_freq: 37 - 17 | wiki_freq: 7957 - 370 | sentence_idx: 317526 | align_1: 10-12 | align_2: 11-26 | entity: none - What Really Matters |    2 Google , “ Women Who Choose Computer Science—What Really Matters , ” 2014 ||| 2 Google , " Women who Choose Computer Science — What Really Matters " ( Facteurs déterminants qui incitent les femmes à choisir l' informatique ) , 2014 

Dory Dory | w_freq: 43 - 42 | wiki_freq: 1543 - 268 | sentence_idx: 325940 | align_1: 4-4 | align_2: 5-8 | entity: Dory - Dory |    In the hospital , Dory never complained . ||| À l’ hôpital , Dory ne s’ est jamais plainte . 

unequal banni | w_freq: 70 - 41 | wiki_freq: 6524 - 2162 | sentence_idx: 325977 | align_1: 12-15 | align_2: 13-20 | entity: none - Attention mot banni |    Nay ; for if this were true , it would he very unequal . ||| Si cela est vrai ( declarations offensantes ) , ce serait vraiment [ Attention mot banni ] de sa part . 

Cisco Cisco | w_freq: 45 - 46 | wiki_freq: 6090 - 934 | sentence_idx: 328807 | align_1: 6-6 | align_2: 7-11 | entity: Cisco - Cisco |    Why was a private company like Cisco allowed to become an associate member ? ||| Pourquoi une entreprise privée telle que Cisco a -t -elle été autorisée à devenir un membre associé ? 

Umayr Imra | w_freq: 7 - 1 | wiki_freq: 233 - 5 | sentence_idx: 334042 | align_1: 1-0 | align_2: 2-5 | entity: Umayr - Imra ’ al - Qays |    ' Umayr was among the old companions of Imam al-Husayn ( a).[11 ] ||| Imra ’ al - Qays , l’ une des épouses de l’ Imam al - Husayn ( a)[2 ] 

A1.1 A1.1 | w_freq: 2 - 3 | wiki_freq: 11 - 4 | sentence_idx: 337768 | align_1: 7-7 | align_2: 8-16 | entity: none - A1.1 |    ( Relates to Index for Inclusion , A1.1 Everyone is welcomed . ) ||| ( Relates to Index for Inclusion , A1.1 Concerne indice d' intégration , A1.1 Tout le monde est la bienvenue . ) 

Hamdan Hamdan | w_freq: 2 - 1 | wiki_freq: 1987 - 351 | sentence_idx: 339233 | align_1: 5-6 | align_2: 6-10 | entity: Hamdan - Hamdan |    For almost a decade , Hamdan was banned from visiting her husband on security grounds . ||| Pendant près d’ une décennie , Hamdan n’ a pas été autorisée à rendre visite à son mari pour des raisons de sécurité . 

Wahhabism wahhabisme | w_freq: 6 - 6 | wiki_freq: 667 - 272 | sentence_idx: 347933 | align_1: 1-1 | align_2: 2-6 | entity: Wahhabism - none |    Was Wahhabism founded by outside agencies as a long-term plan to corrupt Islam ? ||| Le wahhabisme a -t -il été fondé par des organismes extérieurs comme un plan à long terme pour corrompre l’ islam ? 

E-285 E-285 | w_freq: 3 - 4 | wiki_freq: 0 - 0 | sentence_idx: 348846 | align_1: 0-0 | align_2: 1-4 | entity: none - E-285 |    E-285 Remember , I can't--I ca n't force you to come against your own will . ||| E-285 ( 214 ) Souvenez -vous , je ne peux pas - je ne peux pas vous obliger à venir contre votre gré . 

Expanding Étendre | w_freq: 11 - 6 | wiki_freq: 1905 - 19 | sentence_idx: 356707 | align_1: 1-1 | align_2: 2-7 | entity: none - Étendre |    “ Expanding Employment Equity beyond the four designated groups … this is ancient ” ||| « Étendre l’ équité en matière d’ emploi au-delà des 4 groupes désignés ... c’ est ancien . » 

Dental Dentiste | w_freq: 15 - 2 | wiki_freq: 9811 - 64 | sentence_idx: 357757 | align_1: 3-2 | align_2: 4-7 | entity: Budapest Top Dental - Top Dentiste Budapest |    „ Budapest Top Dental saved me thousands of £ and quality was first class ! ||| « Top Dentiste Budapest m’ a fait économiser des milliers de livres et la qualité était de première classe ! 

meth meth | w_freq: 7 - 6 | wiki_freq: 1398 - 59 | sentence_idx: 357848 | align_1: 2-2 | align_2: 3-7 | entity: none - La crystal meth |    Was crystal meth used by the military after 1945 ? ||| La crystal meth a -t -elle été utilisée par l' armée après 1945 ? 

Masculine Masculin | w_freq: 5 - 3 | wiki_freq: 470 - 345 | sentence_idx: 359441 | align_1: 2-1 | align_2: 3-5 | entity: none - Masculin Divin |    The Divine Masculine within each soul and especially on the Earth has become somewhat separated . ||| Le Masculin Divin à l’ intérieur de chaque âme et surtout sur la Terre s’ est quelque peu séparé . 

Blazing Heure | w_freq: 7 - 25 | wiki_freq: 1126 - 2710 | sentence_idx: 359687 | align_1: 7-9 | align_2: 8-14 | entity: a Blazing Fire - l’ Heure de mensonge |    “ ... and We have prepared a Blazing Fire for him who denies the Hour . ” ||| Nous avons cependant préparé , pour quiconque qualifie l’ Heure de mensonge , une flamme brûlante 

Meir Meir | w_freq: 8 - 8 | wiki_freq: 4779 - 1011 | sentence_idx: 368335 | align_1: 2-1 | align_2: 3-6 | entity: Meir - Mme Meir |    Does Mrs Meir agree that these problems , which are basic to the Middle East , can be solved only by the governments of the Middle East and not by the United Nations or by the major powers ? ||| Mme Meir est-elle d’ accord pour admettre que ces problèmes , vitaux pour le Moyen-Orient , ne peuvent être résolus que par les gouvernements du Moyen-Orient , et non par les Nations Unies ou par les grandes puissances ? 

Maybe Peut | w_freq: 1233 - 2696 | wiki_freq: 6736 - 3705 | sentence_idx: 368624 | align_1: 7-7 | align_2: 8-11 | entity: none - Peut |    The Most Common Birds in the City Maybe you have ignored the most common birds in the city where you are at the moment . ||| Oiseaux les plus communs dans la ville Peut - être que vous avez négligé les oiseaux les plus communs dans la ville où vous êtes en ce moment . 

Aoun Aoun | w_freq: 7 - 6 | wiki_freq: 1013 - 589 | sentence_idx: 371010 | align_1: 13-14 | align_2: 14-19 | entity: Aoun - général Aoun |    The question of the Presidency of FPM has become a priority for General Aoun two months ago . ||| La question de la présidence du CPL est devenue une priorité pour le général Aoun , il y a deux mois . 

Secondly Deuxièmement | w_freq: 434 - 870 | wiki_freq: 5254 - 989 | sentence_idx: 371294 | align_1: 0-0 | align_2: 1-5 | entity: Secondly - none |    Secondly only through sacrifice – the willingness to be arrested and go to prison – do people take seriously what you are saying . ||| Deuxièmement , ce n’ est que par le sacrifice – la volonté d’ être arrêté et d’ aller en prison – que les gens prennent au sérieux ce que vous dites . 

Marlon Marlon | w_freq: 6 - 6 | wiki_freq: 5178 - 1201 | sentence_idx: 374761 | align_1: 13-16 | align_2: 14-20 | entity: Marlon - Marlon |    " He does n’t have to do much to make Jessie 's husband Marlon feel insecure . ||| " Il n’ a pas à faire grand chose pour que le mari de Jessie , Marlon , ne se sente pas en sécurité . 

Humankind Humankind | w_freq: 4 - 1 | wiki_freq: 339 - 12 | sentence_idx: 375320 | align_1: 16-18 | align_2: 17-24 | entity: none - Cradle of Humankind |    It is also within one of the most important archaeological sites in Africa , Cradle of Humankind , that history awaits you ! ||| C’ est également au sein de l’ un des plus importants sites archéologiques d’ Afrique , Cradle of Humankind ( Berceau de l’ humanité ) que l’ Histoire vous attend ! 

Goffin Goffin | w_freq: 3 - 3 | wiki_freq: 1077 - 626 | sentence_idx: 377580 | align_1: 1-1 | align_2: 2-6 | entity: Philippe Goffin - Philippe Goffin |    Philippe Goffin did not like the provocations of Francken during his years as Secretary of State for Asylum and Immigration . ||| Philippe Goffin , lui , n' a pas aimé les provocations de Francken pendant ses années en tant que secrétaire d' État à l' Asile et à l' Immigration . 

O’Leary Leary | w_freq: 9 - 17 | wiki_freq: 244 - 935 | sentence_idx: 380231 | align_1: 11-12 | align_2: 12-17 | entity: O’Leary - M. O’ Leary |    What interest and added value can the controversies initiated by Mr O’Leary have for his clients ? ||| Quel intérêt et quelle valeur ajoutée les polémiques initiées par M. O’ Leary peuvent - elles bien avoir pour ses clients ? 

E-131 E-131 | w_freq: 10 - 12 | wiki_freq: 0 - 0 | sentence_idx: 380704 | align_1: 0-0 | align_2: 1-4 | entity: none - E-131 |    E-131 How is Sarah going to have this baby ? ||| E-131 ( 60 ) Comment Sarah va -t -elle avoir ce bébé ? 

Maryam Maryam | w_freq: 28 - 26 | wiki_freq: 2582 - 690 | sentence_idx: 385798 | align_1: 10-11 | align_2: 11-15 | entity: Maryam - Maryam |    34This is Eisa ( Jesus ) , the son of Maryam ; a true statement , in which they doubt . ||| 34 Tel est ' Issa ( Jésus ) , fils de Maryam ( Marie ) : parole de vérité , dont ils doutent . 

Ecozone+ Écozone+ | w_freq: 2 - 2 | wiki_freq: 2 - 0 | sentence_idx: 388038 | align_1: 2-1 | align_2: 3-6 | entity: The Arctic Ecozone+ - Écozone+ de l’ Arctique |    The Arctic Ecozone+ was excluded from this analysis . ||| L’ Écozone+ de l’ Arctique a été exclue de cette analyse . 

Remember Rappelez | w_freq: 1154 - 791 | wiki_freq: 9753 - 54 | sentence_idx: 388782 | align_1: 0-0 | align_2: 1-4 | entity: none - Rappelez |    Remember this : for 1 openly promotional content , you should have 4/5 posts to engage your audience . ||| Rappelez -vous bien de ceci : pour 1 contenu ouvertement promotionnel , vous devriez avoir 4/5 publications destinées à engager votre audience . 

Fackelmann Fackelmann | w_freq: 1 - 1 | wiki_freq: 2 - 0 | sentence_idx: 389901 | align_1: 17-19 | align_2: 18-23 | entity: A. Fackelmann - A. Fackelmann |    The seemingly hopeless task of restoring the codex was successfully completed a few months later by A. Fackelmann in Vienna . ||| La tâche apparemment désespérée de rétablir le codex a été effectuée avec succès quelques mois plus tard par A. Fackelmann ( de ) à Vienne . 

Arafat Arafat | w_freq: 106 - 108 | wiki_freq: 3355 - 1303 | sentence_idx: 393562 | align_1: 1-0 | align_2: 2-5 | entity: Arafat - Arafat |    Has Arafat in fact fulfilled his obligations or not ? ||| Arafat , a -t -il en fait rempli ou non ses obligations ? 

KeepFighting KeepFighting | w_freq: 2 - 2 | wiki_freq: 0 - 0 | sentence_idx: 394179 | align_1: 7-7 | align_2: 8-15 | entity: Michael # KeepFighting - Michael # KeepFighting |    We ’re all with you Michael # KeepFighting . ” ||| Nous sommes tous avec toi Michael # KeepFighting ( Continue à te battre ) » . 

O'kanada kanada | w_freq: 1 - 1 | wiki_freq: 0 - 4 | sentence_idx: 395474 | align_1: 3-8 | align_2: 4-12 | entity: Simon O'kanada - Simon O’ kanada |    My friend Simon O'kanada wondered why his son was always sick . ||| « Une de mes amies , Simon O’ kanada , s’ est demandé pourquoi son fils était toujours malade . 

O'kanada O’ | w_freq: 1 - 133 | wiki_freq: 0 - 1917 | sentence_idx: 395474 | align_1: 3-7 | align_2: 4-12 | entity: Simon O'kanada - Simon O’ kanada |    My friend Simon O'kanada wondered why his son was always sick . ||| « Une de mes amies , Simon O’ kanada , s’ est demandé pourquoi son fils était toujours malade . 

Gaia Gaïa | w_freq: 164 - 84 | wiki_freq: 4660 - 1275 | sentence_idx: 395835 | align_1: 4-3 | align_2: 5-8 | entity: Gaia - Gaïa |    5 ) Where is Gaia most needing our assistance ? ||| 5 ) Où Gaïa a -t -elle le plus besoin de notre aide ? 

Syrians Syriens | w_freq: 193 - 195 | wiki_freq: 3109 - 940 | sentence_idx: 397392 | align_1: 5-7 | align_2: 6-11 | entity: Syrians - Syriens |    During the conflict , many Syrians themselves evolved . ||| Au cours du conflit , beaucoup de Syriens ont eux - mêmes évolué . 

ETIAS ETIAS | w_freq: 33 - 33 | wiki_freq: 37 - 14 | sentence_idx: 401383 | align_1: 7-7 | align_2: 8-12 | entity: none - ETIAS |    Like the US ESTA or the EU ETIAS , the electronic visa India has been introduced by the local authorities since May 2015 . ||| Comme l’ ESTA des États-Unis ou l’ ETIAS de l’ Union européenne , le visa électronique Inde a été instauré par les autorités locales depuis mai 2015 . 

orangs—men orangs | w_freq: 1 - 4 | wiki_freq: 0 - 284 | sentence_idx: 402000 | align_1: 2-2 | align_2: 3-7 | entity: none - Combien d’ orangs ! |    How many orangs—men , I mean , marry without knowing what a woman is ! ||| Combien d’ orangs ! ... d’ hommes , veux -je dire , se marient sans savoir ce qu’ est une femme ! 

E-99 E-99 | w_freq: 13 - 15 | wiki_freq: 24 - 1 | sentence_idx: 407354 | align_1: 0-0 | align_2: 1-4 | entity: none - E-99 |    E-99 If I could , tonight , I ’d heal every person in here . ||| E-99 ( 37 ) Si je le pouvais , ce soir , je guérirais chaque personne ici présente . 

Filipinos Philippins | w_freq: 27 - 30 | wiki_freq: 7096 - 506 | sentence_idx: 412789 | align_1: 1-1 | align_2: 2-7 | entity: Filipinos - Philippins |    Are Filipinos joining this alliance ? ||| Les Philippins sont -ils en train de rejoindre cette alliance ? 

Rudd Rudd | w_freq: 12 - 12 | wiki_freq: 7338 - 876 | sentence_idx: 413199 | align_1: 1-1 | align_2: 2-6 | entity: Louis Rudd - Louis Rudd |    Louis Rudd being a day or two behind him . ||| Louis Rudd , lui , se trouve un jour ou deux derrière lui . 

Maybe Peut | w_freq: 1233 - 2696 | wiki_freq: 6736 - 3705 | sentence_idx: 414050 | align_1: 4-6 | align_2: 5-10 | entity: none - Peut |    Someone suggested , ‘ Maybe your real success is in your personal life . ’ ” ||| Quelqu’ un m’ a suggéré ‘ Peut - être que ta vraie réussite est dans ta vie personnelle . ’ » 

E-387 E-387 | w_freq: 2 - 2 | wiki_freq: 0 - 0 | sentence_idx: 423176 | align_1: 0-0 | align_2: 1-4 | entity: none - E-387 |    E-387 Do n't be like the First Lady of the land . ||| E-387 ( 386 ) Ne soyez pas comme la première dame du pays . 

WTO OMC | w_freq: 258 - 261 | wiki_freq: 3840 - 1280 | sentence_idx: 426090 | align_1: 25-25 | align_2: 26-29 | entity: WTO - OMC |    The link between the House of Parliament [ the IPU ] and the House of Trade [ the WTO ] is extremely important to the WTO for one simple reason which is that we believe we are accountable to parliamentarians . ||| Le lien entre la Chambre du Parlement [ l' UIP ] et la Chambre du commerce [ l' OMC ] est extrêmement important pour l' OMC , et ce pour une raison bien simple : nous croyons que nous devons rendre des comptes aux parlementaires . 

Lying Lying | w_freq: 16 - 3 | wiki_freq: 2639 - 84 | sentence_idx: 428452 | align_1: 0-0 | align_2: 1-5 | entity: none - Lying |    Lying through their teeth and laughing like clowns behind closed doors . ||| Lying , par le biais de leurs dents et rire comme clowns derrière des portes closes . 

EV1 EV1 | w_freq: 7 - 7 | wiki_freq: 333 - 75 | sentence_idx: 430878 | align_1: 3-2 | align_2: 4-7 | entity: EV1 - EV1 |    Why was the EV1 canceled ? ||| Pourquoi la EV1 a -t -elle été annulée ? 

AM-2201 AM-2201 | w_freq: 1 - 1 | wiki_freq: 22 - 0 | sentence_idx: 433037 | align_1: 7-9 | align_2: 8-13 | entity: none - AM-2201 |    However , it is the analogue of AM-2201 meaning the characteristics are similar . ||| Cependant , il s’ agit de l’ analogue de AM-2201 , ce qui signifie que les caractéristiques sont similaires . 

loyalists serviteurs | w_freq: 8 - 206 | wiki_freq: 5036 - 3869 | sentence_idx: 447988 | align_1: 4-2 | align_2: 5-7 | entity: none - Chers serviteurs des vampires d’ Helsinki |    “ Dear Helsinki vampires loyalists , how 's your summer been ? ||| « Chers serviteurs des vampires d’ Helsinki , comment se passe votre été ? 

Continue Continuez | w_freq: 109 - 110 | wiki_freq: 652 - 24 | sentence_idx: 449168 | align_1: 0-0 | align_2: 1-5 | entity: none - Continuez |    Continue your teaching however ; you have only told me half what I must know . ||| Continuez , cependant , à m’ instruire ; vous ne m’ avez dit que la moitié de ce que je dois savoir . 

yuan yuans | w_freq: 82 - 52 | wiki_freq: 6168 - 809 | sentence_idx: 450017 | align_1: 2-3 | align_2: 3-8 | entity: One-hundred billion yuan - none |    One-hundred billion yuan sounds like a huge sum , but I do not think it will solve problems for everyone . ” ||| Cent milliards de yuans ont l’ air d’ être une somme énorme , mais je ne pense pas que cela va résoudre les problèmes pour tout le monde . » 

Ancestor Ancêtre | w_freq: 9 - 3 | wiki_freq: 770 - 170 | sentence_idx: 452507 | align_1: 5-4 | align_2: 6-12 | entity: none - La Montée D' Un Ancêtre Humain Ancien A - T |    Did Rise of Ancient Human Ancestor Lead to New Stone Tools ? ||| La Montée D' Un Ancêtre Humain Ancien A - T - Elle Conduit À De Nouveaux Outils De Pierre ? 

Arisa Arisa | w_freq: 3 - 3 | wiki_freq: 640 - 105 | sentence_idx: 454339 | align_1: 10-11 | align_2: 11-17 | entity: Arisa - Arisa |    I conversed with Mia in elf language too , did Arisa not hear it ? ||| J’ ai parlé avec Mia en langage des elfes aussi , Arisa ne l’ a -t -elle pas entendu ? 

chastisement châtiment | w_freq: 33 - 161 | wiki_freq: 197 - 2028 | sentence_idx: 465679 | align_1: 8-7 | align_2: 9-13 | entity: none - Son châtiment } |    They hope for His grace and fear His chastisement . ||| Ils espèrent Sa miséricorde et craignent Son châtiment } [ al Isrâ':57 ] . 

18k 18k | w_freq: 1 - 1 | wiki_freq: 80 - 1 | sentence_idx: 466352 | align_1: 8-9 | align_2: 9-14 | entity: better than 18k - none |    Nevertheless , this result was far better than 18k a month ago . ||| Néanmoins , ce résultat a été bien meilleur que 18k , il y a un mois . 

meteor Météore | w_freq: 19 - 2 | wiki_freq: 2945 - 133 | sentence_idx: 470333 | align_1: 3-2 | align_2: 4-8 | entity: none - Un Météore A - T |    How did a meteor make hundreds of people sick ? ||| Comment Un Météore A - T - Il Rendu Des Centaines De Personnes Malades ? 

seventy-five soixante-quinze | w_freq: 7 - 5 | wiki_freq: 1789 - 656 | sentence_idx: 472668 | align_1: 8-8 | align_2: 9-14 | entity: seventy-five - none |    The UNESCO and the Chinese authorities will select seventy-five most qualified candidates . ||| L' UNESCO et les autorités chinoises sélectionneront les soixante-quinze ( 75 ) candidats les plus qualifiés . 

Skype Skype | w_freq: 142 - 111 | wiki_freq: 2516 - 509 | sentence_idx: 479309 | align_1: 3-3 | align_2: 4-7 | entity: Skype - Skype |    The founders of Skype have created Atomico , their own funds . ||| Les fondateurs de Skype , eux , ont créé Atomico , leur propre fonds . 

Syrians syriens | w_freq: 193 - 189 | wiki_freq: 3109 - 2303 | sentence_idx: 480211 | align_1: 20-21 | align_2: 21-25 | entity: Syrians - none |    However , any initiative , whether this one or any other , must be the result of a dialogue between Syrians . ||| Mais toute initiative , qu’ elle soit celle-ci ou une autre doit absolument être le résultat d’ un dialogue entre les syriens eux - mêmes . 

Dunham Dunham | w_freq: 3 - 3 | wiki_freq: 4598 - 517 | sentence_idx: 487500 | align_1: 2-2 | align_2: 3-6 | entity: Jonathan Dunham - Jonathan Dunham |    Brother Jonathan Dunham can swear to the contrary . ||| Frère Jonathan Dunham { 26 } peut jurer le contraire . 

Anglophone anglophones | w_freq: 29 - 47 | wiki_freq: 2112 - 6666 | sentence_idx: 490263 | align_1: 4-6 | align_2: 5-12 | entity: Anglophone West Africa - none |    “ In Francophone and Anglophone West Africa regions we delivered sustainable growth and value for shareholders . ||| « Dans les régions francophones et anglophones de l’ Afrique de l’ Ouest , nous avons apporté une croissance durable et de la valeur aux actionnaires . 

GVIDO GVIDO | w_freq: 1 - 2 | wiki_freq: 0 - 0 | sentence_idx: 491033 | align_1: 11-11 | align_2: 12-17 | entity: " Play with GVIDO " - Play with GVIDO |    What is the song played in the video " Play with GVIDO " ? ||| Quelle est la chanson jouée dans la vidéo « Play with GVIDO ( Jouer avec GVIDO ) » ? 

Brukins Brukins | w_freq: 1 - 1 | wiki_freq: 1 - 0 | sentence_idx: 494328 | align_1: 15-17 | align_2: 16-21 | entity: Kara Brukins - Kara Brukins |    A difficult family life I do not think that when a US citizen named Kara Brukins married for the first time , she knew in advance all the difficulties that life had prepared for her . ||| Une vie de famille difficile , je ne pense pas que lorsqu' un citoyen américain , Kara Brukins , se soit marié pour la première fois , elle connaissait d' avance toutes les difficultés que la vie lui avait préparées . 

Capulets Capulet | w_freq: 2 - 2 | wiki_freq: 132 - 142 | sentence_idx: 497855 | align_1: 6-6 | align_2: 7-10 | entity: Capulets - Capulet |    The day is hot , the Capulets abroad . ||| La journée est chaude , les Capulet , à l’ étranger ; 

Consider Prenons | w_freq: 314 - 125 | wiki_freq: 6355 - 662 | sentence_idx: 499034 | align_1: 1-1 | align_2: 2-6 | entity: none - Prenons |    10.30 Consider the updating done for the January 1999 index . ||| 10.30 Prenons , par exemple , la mise à jour faite pour l’ indice de janvier 1999 . 

iPod iPod | w_freq: 38 - 37 | wiki_freq: 3707 - 1244 | sentence_idx: 501473 | align_1: 12-11 | align_2: 13-16 | entity: none - iPod |    coconutIdentityCard [ via ] : when and where was your Mac or iPod built ? ||| coconutIdentityCard [ via ] : où et quand votre Mac ou iPod a -t -il été fabriqué ? 

Merciful Miséricordieux | w_freq: 16 - 21 | wiki_freq: 572 - 104 | sentence_idx: 503640 | align_1: 8-10 | align_2: 9-14 | entity: none - Miséricordieux [ Dieu |    Because they attribute a son to the Most Merciful . ||| « Ils ont attribué un fils [ Jésus ] au Miséricordieux [ Dieu ] ! 

Remember Souviens | w_freq: 1154 - 37 | wiki_freq: 9753 - 330 | sentence_idx: 511228 | align_1: 5-6 | align_2: 6-10 | entity: none - Souviens |    We must not say , Remember our merit , but , Lord , remember thy own mercy . ||| Nous ne devons pas dire , Souviens - toi de notre mérite , mais , Seigneur , ta miséricorde , souviens - même . 

Moriah Moriyya | w_freq: 11 - 7 | wiki_freq: 946 - 3 | sentence_idx: 516401 | align_1: 6-5 | align_2: 7-10 | entity: Moriah - Moriyya |    “ Go to the land of Moriah … on one of the mountains that I shall show you . ” ||| Pars pour le pays de Moriyya et là , tu l’ offriras en holocauste sur celle des montagnes que je t’ indiquerai . ” 

Moriah Moriyya | w_freq: 11 - 7 | wiki_freq: 946 - 3 | sentence_idx: 516402 | align_1: 6-5 | align_2: 7-10 | entity: Moriah - Moriyya |    “ Go to the land of Moriah … on one of the mountains that I shall show you . ” ||| Pars pour le pays de Moriyya et là , tu l’ offriras en holocauste sur celle des montagnes que je t’ indiquerai » . 

Remember Rappelez | w_freq: 1154 - 791 | wiki_freq: 9753 - 54 | sentence_idx: 519865 | align_1: 0-0 | align_2: 1-4 | entity: none - Rappelez |    Remember this : for 1 openly promotional content , you should have 4/5 publications to engage your audience . ||| Rappelez -vous bien de ceci : pour 1 contenu ouvertement promotionnel , vous devriez avoir 4/5 publications destinées à engager votre audience . 

Remember Souviens | w_freq: 1154 - 37 | wiki_freq: 9753 - 330 | sentence_idx: 523895 | align_1: 0-0 | align_2: 1-4 | entity: none - Souviens |    Remember you have enough memory , why worry ? ||| Souviens - toi que tu as assez de mémoire , pourquoi t’ inquiéter ? 

FAB FAB | w_freq: 1 - 4 | wiki_freq: 816 - 181 | sentence_idx: 525885 | align_1: 13-16 | align_2: 14-21 | entity: FAB - FAB |    For the first reference period , there shall be no mandatory national / FAB environment KPI . ||| Pour la première période de référence , il n’ y a pas de KPI national / FAB obligatoire en matière d’ environnement . 

E-112 E-112 | w_freq: 10 - 12 | wiki_freq: 5 - 3 | sentence_idx: 532954 | align_1: 0-0 | align_2: 1-4 | entity: none - E-112 |    E-112 I remember in school , we had a debate on that . ||| E-112 ( 41 ) Je me souviens qu’ à l’ école nous avons eu un débat là - dessus . 

