vigilant vigilant | w_freq: 119 - 66 | wiki_freq: 1325 - 526 | sentence_idx: 1173 | align_1: 8-10 | align_2: 9-15 |    NS : Firstly , we need to be vigilant in all spaces . ||| NS : En premier lieu , nous devons rester très vigilant - e - s dans tous les espaces . 

E-36 E-36 | w_freq: 27 - 30 | wiki_freq: 2 - 2 | sentence_idx: 204811 | align_1: 0-0 | align_2: 1-4 |    E-36 And there was an old fisherman . ||| E-36 ( 56 ) Et il y avait là un vieux pêcheur . 

Please S’ | w_freq: 1238 - 1406 | wiki_freq: 10571 - 5625 | sentence_idx: 206174 | align_1: 0-0 | align_2: 1-5 |    Please bless me by putting your third step on my head . ” ||| S’ il te plaît , bénis -moi en posant ton troisième pas sur ma tête . » 

Remember Souviens | w_freq: 1056 - 34 | wiki_freq: 9753 - 330 | sentence_idx: 206910 | align_1: 1-1 | align_2: 2-5 |    “ Remember how it felt , I had my chances . ||| " Souviens - toi de ce que j' ai ressenti , j' ai eu mes chances . 

Anyway Quoi | w_freq: 205 - 506 | wiki_freq: 1705 - 4268 | sentence_idx: 206971 | align_1: 0-0 | align_2: 1-5 |    Anyway , they will be more than happy to direct you to the counter or platform you are looking for . ||| Quoi qu’ il en soit , ils seront plus qu’ heureux de vous diriger vers le comptoir ou la plate - forme que vous recherchez . 

synchronizing synchronisation | w_freq: 4 - 49 | wiki_freq: 667 - 2216 | sentence_idx: 208093 | align_1: 3-3 | align_2: 4-8 |    The process of synchronizing the memory state with the database , usually only at the end of a unit of work , is called flushing . ||| Le processus de synchronisation de l’ état de la mémoire avec la base de données , généralement seulement à la fin d’ une unité de travail , est appelé flushing . 

Anyway Quoi | w_freq: 205 - 506 | wiki_freq: 1705 - 4268 | sentence_idx: 208688 | align_1: 0-0 | align_2: 1-5 |    Anyway , two original baccarat games were not forgotten because Europeans were not in a hurry to accept a new baccarat game and continued playing Chemin de Fer and Baccarat en Banque in casinos . ||| Quoi qu’ il en soit , deux jeux originaux de baccara n’ ont pas été oubliés car les Européens n’ étaient pas pressés d’ accepter un nouveau jeu de baccara et continuaient à jouer au Chemin de Fer et au Baccarat en Banque dans les casinos . 

Yolande Yolande | w_freq: 1 - 3 | wiki_freq: 1339 - 2051 | sentence_idx: 208762 | align_1: 4-5 | align_2: 5-9 |    What has changed in Yolande is not what she sees . ||| Ce qui a changé en Yolande , ce n’ est pas ce qu’ elle voit . 

yachting yachting | w_freq: 8 - 7 | wiki_freq: 1469 - 178 | sentence_idx: 209278 | align_1: 4-5 | align_2: 5-9 |    Because the future of yachting is a little greener every day . ||| Parce que l’ avenir du yachting se doit d’ être un peu plus vert chaque jour . 

appreciate apprécieront | w_freq: 871 - 55 | wiki_freq: 9240 - 73 | sentence_idx: 209418 | align_1: 2-2 | align_2: 3-6 |    Users will appreciate having a similar experience on an external display . ||| Les utilisateurs apprécieront le fait d’ avoir une expérience similaire sur un affichage externe . 

non-discrimination non-discrimination | w_freq: 43 - 46 | wiki_freq: 941 - 212 | sentence_idx: 209570 | align_1: 21-27 | align_2: 22-31 |    Invites its special mechanisms , as part of their respective mandates , to address the relevant aspects of the safety and non-discrimination of persons with albinism ; and ||| Invite ses mécanismes spéciaux à prendre en charge , dans le cadre de leurs mandats respectifs , les aspects pertinents touchant à la sécurité et à la non-discrimination à l’ égard des personnes souffrant d’ albinisme ; et 

cried crié | w_freq: 96 - 52 | wiki_freq: 3949 - 528 | sentence_idx: 209959 | align_1: 9-11 | align_2: 10-16 |    Allah has give you good news ! ” she cried , pulling off what little jewelry she had and giving it to the smiling girl . ||| Allah a vous donné de bonnes nouvelles ! " elle a crié , elle a pleuré , en tirant de quelle petite bijouterie elle les avait donné à la fille souriante . 

babysitters sitters | w_freq: 2 - 1 | wiki_freq: 175 - 51 | sentence_idx: 210005 | align_1: 2-3 | align_2: 3-8 |    Will the babysitters stick to the rules and the routines set by the parent ? ||| Les baby - sitters vont -ils s’ en tenir aux règles et aux routines définies par le parent ? 

CAP PAC | w_freq: 107 - 121 | wiki_freq: 3916 - 1256 | sentence_idx: 210078 | align_1: 9-8 | align_2: 10-14 |    On the issue of pesticides , will the new CAP reduce their use ? ||| Sur la question des pesticides , la nouvelle PAC va -t -elle permettre de réduire leur usage   ? 

aliens extraterrestre | w_freq: 194 - 91 | wiki_freq: 12541 - 3160 | sentence_idx: 210113 | align_1: 8-7 | align_2: 9-12 |    The year was 2004 , and no space aliens were involved . ||| L’ année était 2004 , et aucun extraterrestre de l’ espace n’ étaient impliqués . 

Islamists islamistes | w_freq: 107 - 151 | wiki_freq: 2538 - 3389 | sentence_idx: 211028 | align_1: 5-3 | align_2: 6-9 |    Some of the radical young Islamists will instinctively support the struggle . ||| Certains des jeunes islamistes radicaux , au contraire , soutiendront instinctivement la lutte . 

Expect Attendez | w_freq: 57 - 117 | wiki_freq: 746 - 47 | sentence_idx: 211802 | align_1: 0-0 | align_2: 1-7 |    Expect rival firms to start copying it soon . ||| Attendez -vous à ce que les entreprises rivales commencent à le copier bientôt . 

assaults assauts | w_freq: 37 - 11 | wiki_freq: 10235 - 3709 | sentence_idx: 212106 | align_1: 13-12 | align_2: 14-17 |    Hamas refused to play this Machiavellian game and in the face of Israeli assaults maintained a ceasefire for 18 months . ||| Hamas a refusé de jouer ce jeu machiavélien et , face aux assauts israéliens , il a maintenu un cessez le feu pendant 18 mois . 

Extinction Extinction | w_freq: 13 - 11 | wiki_freq: 2201 - 534 | sentence_idx: 212538 | align_1: 2-0 | align_2: 3-5 |    Polar Bear Extinction – actually they are increasing ! ||| Extinction de l’ ours blanc – en fait , ils augmentent ! 

warming réchauffement | w_freq: 283 - 269 | wiki_freq: 14976 - 7047 | sentence_idx: 212946 | align_1: 25-23 | align_2: 26-28 |    In fact , in practical terms , if global ecosocialist revolution , in the next two or three decades , is the solution to global warming then there is no solution to global warming . ||| En fait , concrètement , si la révolution écosocialiste mondiale , dans les deux ou trois prochaines décennies , est la solution au réchauffement de la planète , alors il n' y a pas de solution au réchauffement de la planète . 

Maybe Peut | w_freq: 1086 - 2306 | wiki_freq: 6736 - 3705 | sentence_idx: 213526 | align_1: 7-7 | align_2: 8-11 |    Said Maloney to the opponents , “ Maybe someone in the medical establishment will show me why this study is a bad idea , but they have n’t done it yet . ” ||| Maloney a dit aux opposants : » Peut - être que quelqu’ un dans l’ establishment médical me montrera pourquoi cette étude est une mauvaise idée , mais ils ne l’ ont pas encore fait . 

hopefully espérons | w_freq: 189 - 1025 | wiki_freq: 3850 - 195 | sentence_idx: 214524 | align_1: 2-3 | align_2: 3-7 |    You have hopefully already begun a savings account for the other financial goals in your life . ||| Vous avez , espérons - le , déjà ouvert un compte d’ épargne pour les autres objectifs financiers de votre vie . 

Landscapes Landscapes | w_freq: 3 - 1 | wiki_freq: 1773 - 61 | sentence_idx: 214545 | align_1: 10-10 | align_2: 11-18 |    In parnership with Olam and ISLA ( Initiative for Sustainable Landscapes ) . ||| En partenariat avec Olam et ISLA ( Initiative for Sustainable Landscapes [ Initiative pour des paysages durables ] ) . 

E-51 E-51 | w_freq: 24 - 25 | wiki_freq: 13 - 2 | sentence_idx: 214596 | align_1: 0-0 | align_2: 1-5 |    E-51 Another hand or two before we go further ? ||| E-51 Y a -t -il encore une ou deux mains avant que nous allions plus loin ? 

poker poker | w_freq: 223 - 232 | wiki_freq: 11679 - 2259 | sentence_idx: 215347 | align_1: 6-7 | align_2: 7-11 |    If I put enough time into poker I might be a world champion again . ||| Si je consacre assez de temps au poker , peut-être que je pourrai devenir à nouveau champion du monde . 

rigidity rigidité | w_freq: 29 - 31 | wiki_freq: 3406 - 2093 | sentence_idx: 215663 | align_1: 26-27 | align_2: 27-32 |    Even the European Union , which the Britain yearns to leave , has a more progressive attitude towards the problem and only partially shares UK ’s rigidity in this regard . ||| Même l' Union européenne , que la Grande-Bretagne a envie de partir , a une attitude plus progressive envers le problème et ne partage que partiellement la rigidité du Royaume - Uni à cet égard . 

Antarik Antarik | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 216051 | align_1: 24-24 | align_2: 25-28 |    I did not expect , however , that the most beautiful week of my life will be on your course of Spiritual Regression in Antarik ! ||| Je ne me attendais pas , cependant , que la plus belle semaine de ma vie sera sur votre cours de régression spirituelle dans Antarik ( Cz ) ! 

Lac-Mégantic Mégantic | w_freq: 9 - 10 | wiki_freq: 265 - 595 | sentence_idx: 217192 | align_1: 9-12 | align_2: 10-16 |    The fact that 47 people were burned alive in Lac-Mégantic is not a conspiracy . ||| Le fait que 47 personnes aient été brûlées vives à Lac - Mégantic , ce n' est pas un complot . 

advancement avancement | w_freq: 127 - 135 | wiki_freq: 14954 - 4802 | sentence_idx: 217717 | align_1: 13-13 | align_2: 14-17 |    Question 4 of the five questions has been modified to explicitly allow for advancement not yet achieved . ||| La question 4 des cinq questions a été modifiée pour ajouter explicitement l’ avancement qui n’ a pas encore été réalisé . 

MBS MBS | w_freq: 17 - 18 | wiki_freq: 1474 - 283 | sentence_idx: 218101 | align_1: 0-0 | align_2: 1-5 |    MBS also failed to contain the loss he “ inherited ” from the failures of previous Saudi policies in Lebanon and Iraq . ||| MBS n’ a pas non plus réussi à contenir la perte qu’ il a « hérité » des échecs des précédentes politiques saoudiennes au Liban et en Irak . 

mighty Puissant | w_freq: 142 - 16 | wiki_freq: 5690 - 451 | sentence_idx: 220324 | align_1: 10-10 | align_2: 11-15 |    For a nation has come up into my land , mighty and without number . ||| Car un peuple est venu fondre sur mon pays , Puissant [ ` atsuwm ] et innombrable . 

E-195 E-195 | w_freq: 7 - 8 | wiki_freq: 11 - 1 | sentence_idx: 222930 | align_1: 0-0 | align_2: 1-4 |    E-195 Now if He was here tonight , how would He identify Himself ? ||| E-195 ( 97 ) Eh bien , s’ Il était ici ce soir , comment s’ identifierait - Il ? 

optimistic optimiste | w_freq: 300 - 232 | wiki_freq: 7497 - 1633 | sentence_idx: 223341 | align_1: 3-3 | align_2: 4-8 |    He is less optimistic concerning his own nation : “ Money and arms are pouring into the arms of the allies of Syria . ” ||| Il est moins optimiste , en ce qui concerne son propre pays : " L’ argent et les armes se déversent dans les bras des alliés de la Syrie " . 

Priority Priority | w_freq: 65 - 3 | wiki_freq: 4585 - 126 | sentence_idx: 223388 | align_1: 2-2 | align_2: 3-10 |    Name Resolution Priority : This refers to the name resolution on the Windows network . ||| Name Resolution Priority ( Priorité de résolution de nom ) : Cela concerne la résolution de nom sur le réseau Windows . 

E-95 E-95 | w_freq: 13 - 15 | wiki_freq: 3 - 1 | sentence_idx: 223424 | align_1: 0-0 | align_2: 1-5 |    E-95 Not long ago , an old Baptist preacher out there ... ||| E-95 Il n’ y a pas longtemps , un vieux prédicateur baptiste là - bas ... 

Maybe Peut | w_freq: 1086 - 2306 | wiki_freq: 6736 - 3705 | sentence_idx: 224642 | align_1: 13-14 | align_2: 14-19 |    He ’s not going to get away with it ! ” or “ Maybe he had good reason to drive like that , a medical emergency for example . “ . ||| Il ne va pas s’ en tirer comme ça ! » ou bien « Peut - être a -t -il de bonnes raisons de conduire ainsi , une urgence médicale par exemple . » . 

procrastinators procrastinateurs | w_freq: 4 - 4 | wiki_freq: 27 - 1 | sentence_idx: 225344 | align_1: 1-1 | align_2: 2-6 |    Do procrastinators tend to show others that they are busy all the time ? ||| Les procrastinateurs n’ ont -ils pas tendance à montrer aux autres qu’ ils sont occupés tout le temps ? 

inhibitor inhibiteur | w_freq: 7 - 11 | wiki_freq: 9980 - 1765 | sentence_idx: 227022 | align_1: 6-7 | align_2: 7-12 |    Debt is not necessarily a retirement inhibitor but you do want to be careful about the type of debt you have , Anastasio said . ||| La dette n' est pas nécessairement un inhibiteur de la retraite , mais vous voulez faire attention au type de dette que vous avez , a déclaré Anastasio . 

Modi Modi | w_freq: 46 - 45 | wiki_freq: 7988 - 710 | sentence_idx: 227025 | align_1: 4-2 | align_2: 5-7 |    Why could n’t Nirav Modi just pay it back ? ||| Pourquoi Nirav Modi ne pourrait -il pas simplement le rembourser ? 

Applying Faire | w_freq: 27 - 369 | wiki_freq: 2376 - 1584 | sentence_idx: 227483 | align_1: 0-0 | align_2: 1-5 |    Applying for COCo Membership A new approach to membership at COCo ||| Faire une demande d’ adhésion au COCo A new approach to membership at COCo 

SARPS SARPS | w_freq: 1 - 1 | wiki_freq: 2 - 0 | sentence_idx: 227499 | align_1: 12-10 | align_2: 13-14 |    Only 24 African states comply with at least 60 % of ICAO SARPS . ||| Seuls 24 États africains respectent au moins 60 % des SARPS de l’ OACI . 

Ernman Ernman | w_freq: 2 - 2 | wiki_freq: 100 - 36 | sentence_idx: 227553 | align_1: 2-1 | align_2: 3-6 |    Did Malena Ernman not publish a book with her husband just a few days before the start of Greta 's strike ? ||| Malena Ernman n’ a -t -elle pas publié un livre , avec son conjoint , quelques jours à peine avant le début de la grève de Greta ? 

Abs Abs | w_freq: 8 - 7 | wiki_freq: 542 - 58 | sentence_idx: 228006 | align_1: 14-17 | align_2: 15-23 |    When I visited Yemen in September , I went to the northern city of Abs , where we support the only fully functioning hospital in a rural area . ||| Lorsque j’ ai visité le Yémen en septembre , je me suis rendu dans la ville d’ Abs , au Nord du pays , où nous soutenons le seul hôpital pleinement fonctionnel en zone rurale . 

unionists syndicalistes | w_freq: 23 - 30 | wiki_freq: 2829 - 2258 | sentence_idx: 228932 | align_1: 1-2 | align_2: 2-6 |    Other unionists have paid the high price : since 2005 , 53 of them were killed . ||| D’ autres syndicalistes , eux , ont payé le prix fort : depuis 2005 , 53 d’ entre eux ont été tués . 

Anyway Quoi | w_freq: 205 - 506 | wiki_freq: 1705 - 4268 | sentence_idx: 229096 | align_1: 0-0 | align_2: 1-5 |    Anyway , these issues mean that a fear of mass immigration from Muslim countries is to some extent justified . ||| Quoi qu’ il en soit , ces problèmes signifient que la crainte d’ une immigration massive en provenance de pays musulmans est dans une certaine mesure justifiée . 

golfers golfeurs | w_freq: 20 - 23 | wiki_freq: 3691 - 369 | sentence_idx: 230033 | align_1: 10-15 | align_2: 11-21 |    Because it is last on the priority list of most golfers you may not have sufficient knowledge or information on how to select the best golf tees . ||| Parce qu’ il est le dernier sur la liste de priorité de la plupart des golfeurs , il se peut que vous n’ ayez pas suffisamment de connaissances ou d’ informations sur la façon de sélectionner les meilleurs tees de golf . 

Palestinians Palestiniens | w_freq: 1360 - 1387 | wiki_freq: 12372 - 2644 | sentence_idx: 230116 | align_1: 4-9 | align_2: 5-13 |    Peace between Israelis and Palestinians does not need more plans or conferences such as the one to be held in Paris on Jan. 15 . ||| Pour faire la paix entre les Israéliens et les Palestiniens , il n’ est pas besoin de faire plus de plans ou d’ autres conférences comme celle qui doit se tenir à Paris le 15 janvier . 

swear jure | w_freq: 236 - 213 | wiki_freq: 5814 - 3384 | sentence_idx: 230378 | align_1: 1-5 | align_2: 2-11 |    I swear to guard the Soul of Nature , ||| Mais non ! , Je jure par l"âme qui ne cesse de se blâmer . . 

Creature créature | w_freq: 4 - 296 | wiki_freq: 2890 - 6464 | sentence_idx: 232201 | align_1: 4-5 | align_2: 5-10 |    I. And has this Creature sides , as well as Angles or what you call “ terminal Points ” ? ||| MOI : « Et cette créature a -t -elle des côtés , ainsi que des angles ou ce que vous appelez des « points terminaux » ? » 

worry inquiétez | w_freq: 878 - 267 | wiki_freq: 8490 - 38 | sentence_idx: 232366 | align_1: 12-16 | align_2: 13-20 |    Do n’t worry about France , do n’t worry about England , worry about Germany . ||| Ne vous inquiétez pas de la France , ne vous inquiétez pas de l' Angleterre , inquiétez -vous au sujet de l' Allemagne . 

apologize présentera | w_freq: 140 - 145 | wiki_freq: 5825 - 1674 | sentence_idx: 232511 | align_1: 7-8 | align_2: 8-13 |    Will the Prime Minister or the minister apologize to our friends in India for this scandalous accusation ? ||| Le premier ministre , ou le ministre , présentera -t -il des excuses à nos amis indiens pour ces accusations scandaleuses ? 

praying prier | w_freq: 281 - 587 | wiki_freq: 7172 - 3299 | sentence_idx: 233039 | align_1: 3-5 | align_2: 4-9 |    They even cease praying so that the " apparition " can be followed for a few minutes . ||| Ils peuvent même cesser de prier , de telle sorte que « l' apparition » peut se poursuivre pendant quelques minutes . 

31.12 31.12 | w_freq: 1 - 1 | wiki_freq: 28 - 1 | sentence_idx: 235639 | align_1: 4-6 | align_2: 5-10 |    A third sit-in on 31.12 was also once again violently broken up . ||| Un troisième sit - in le 31.12 . , a été une fois de plus dispersé violemment . 

unfuturoperamatrice unfuturoperamatrice | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 236534 | align_1: 13-14 | align_2: 14-21 |    We ask our friends to participate to A future for Amatrice ( # unfuturoperamatrice ) . ||| Nous demandons à nos amis d’ adhérer à Un futuro per Amatrice ( # unfuturoperamatrice ) ( Un avenir pour Amatrice ) . 

Expect Attendez | w_freq: 57 - 117 | wiki_freq: 746 - 47 | sentence_idx: 237032 | align_1: 0-0 | align_2: 1-6 |    Expect things to be a little rushed unless the girl is actually into you at least somewhat . ||| Attendez -vous à ce que les choses soient un peu pressées à moins que la fille ne soit réellement en vous au moins quelque peu . 

Fundamental fondamental | w_freq: 86 - 589 | wiki_freq: 5434 - 7551 | sentence_idx: 237688 | align_1: 17-23 | align_2: 18-27 |    Jakarta Declaration , 2005 adopted at the International Conference on the Right to Basic Education as a Fundamental human right and the Legal Framework for its Financing ( Paragraph IV ) ||| Déclaration de Jakarta , 2005 , adoptée à la conférence internationale sur le droit à l’ éducation de base en tant que droit fondamental de l’ être humain et le cadre juridique nécessaire à son financement ( paragraphe IV ) 

insists insiste | w_freq: 122 - 210 | wiki_freq: 12987 - 8137 | sentence_idx: 239890 | align_1: 9-11 | align_2: 10-16 |    Although his work might seem controversial and unusual he insists it is carried out “ scientifically ” . ||| Bien que son travail peut sembler inhabituelle et controversé , il insiste sur le fait qu’ il est effectué « scientifiquement » . 

Oriflame Oriflame | w_freq: 5 - 5 | wiki_freq: 57 - 6 | sentence_idx: 240383 | align_1: 6-6 | align_2: 7-10 |    It turns out that the company Oriflame except cosmetics produces good vitamins ! . ||| Il s' avère que la société Oriflame , à l' exception des cosmétiques , produit de bonnes vitamines ! . 

disclosure révélation | w_freq: 126 - 306 | wiki_freq: 8933 - 8488 | sentence_idx: 241540 | align_1: 6-6 | align_2: 7-11 |    If so , why was the disclosure made exactly one day after the Knesset incident ? ||| Dans ce cas , pourquoi la révélation a -t -elle été faite exactement un jour après l’ incident de la Knesset ? 

Al-Hashir Hashir | w_freq: 1 - 1 | wiki_freq: 0 - 6 | sentence_idx: 242006 | align_1: 2-4 | align_2: 3-10 |    I am Al-Hashir who will be the first to be resurrected , with the people being resurrected Hereafter . ||| je suis al - Hashir ( le rassembleur ) , qui sera le premier à être ressuscité et après qui les gens seront ressuscités ; 

dependence dépendance | w_freq: 162 - 332 | wiki_freq: 13273 - 10555 | sentence_idx: 243472 | align_1: 16-19 | align_2: 17-23 |    But south-east Asia ’s countries are now trying to diversify their outreach efforts to reduce their dependence on one or two key markets . ||| Mais les pays de l’ Asie du Sud-Est tentent maintenant de diversifier leurs efforts de sensibilisation pour réduire leur dépendance à l’ égard d’ un ou deux marchés clés . 

Oasis oasis | w_freq: 27 - 42 | wiki_freq: 7218 - 2940 | sentence_idx: 244662 | align_1: 6-7 | align_2: 7-11 |    I love animals and love the Oasis -- it 's a great project to help these tigers that are facing extinction . ” ||| Je adore les animaux et adore l' oasis [ sanctuaire ] -C' est un grand projet pour aider ces tigres qui sont menacées d' extinction " . 

valuing attacher | w_freq: 6 - 48 | wiki_freq: 1626 - 2546 | sentence_idx: 246287 | align_1: 11-17 | align_2: 12-22 |    “ Recognizing that not everyone is ( officially ) bilingual and valuing other cultures and languages ” ||| « Reconnaître que ce n’ est pas tout le monde qui est ( officiellement ) bilingue et attacher de l’ importance aux autres cultures et langues . » 

extremes extrêmes | w_freq: 67 - 359 | wiki_freq: 5388 - 7060 | sentence_idx: 246296 | align_1: 2-2 | align_2: 3-6 |    Between these extremes is the exemplary course of action demonstrated by another one of my patients , also a professor in her mid-60s . ||| Entre ces extrêmes , il y a le cours d’ action exemplaire démontré par un autre de mes patients , également professeur dans la mi-soixantaine . 

oasis oasis | w_freq: 34 - 42 | wiki_freq: 3666 - 2940 | sentence_idx: 247094 | align_1: 6-7 | align_2: 7-11 |    I love animals and love the oasis - it 's a great project to help these tigers that are facing extinction . " ||| Je adore les animaux et adore l' oasis [ sanctuaire ] -C' est un grand projet pour aider ces tigres qui sont menacées d' extinction " . 

Anyway Quoi | w_freq: 205 - 506 | wiki_freq: 1705 - 4268 | sentence_idx: 248883 | align_1: 0-0 | align_2: 1-5 |    Anyway , it was pretty nice to get on that bike and something so different that I ’ve discovered in MotoGP until now . ||| Quoi qu’ il en soit , c’ était vraiment agréable de monter sur cette moto et quelque chose de si différent que j’ ai découvert en MotoGP jusqu’ à présent . 

enhances renforce | w_freq: 41 - 235 | wiki_freq: 4706 - 7953 | sentence_idx: 249675 | align_1: 17-18 | align_2: 18-23 |    Two years after its investiture , the Constitution of Western Armenia now constitutes a real instrument which enhances Human Rights . ||| Deux ans après sa Déclaration , la Constitution de l’ Arménie Occidentale constitue désormais un véritable instrument qui renforce les Droits de l’ Homme . 

Regardless Quoi | w_freq: 231 - 506 | wiki_freq: 8260 - 4268 | sentence_idx: 249681 | align_1: 0-0 | align_2: 1-5 |    Regardless , the mission will be a test for the Air Force . ||| Quoi qu’ il en soit , la mission constituera un test pour l’ armée de l’ air . 

ECB BCE | w_freq: 271 - 279 | wiki_freq: 2989 - 1178 | sentence_idx: 249978 | align_1: 4-4 | align_2: 5-8 |    Conversely though , the ECB uses and abuses ineffective monetary policies which have terrible repercussions on our daily lives . ||| En revanche , la BCE , elle , use et abuse de politiques monétaires inefficaces qui ont de terribles conséquences sur notre quotidien . 

exemption exemption | w_freq: 116 - 106 | wiki_freq: 10746 - 1702 | sentence_idx: 250988 | align_1: 9-6 | align_2: 10-12 |    ( 29 ) In other words , the mutagenesis exemption was inserted only later and independently of recital 17 . ||| En d’ autres termes , l’ exemption de la mutagénèse n’ a été introduite qu’ ultérieurement et indépendamment du considérant 17 . 

EIONET EIONET | w_freq: 1 - 1 | wiki_freq: 1 - 6 | sentence_idx: 251586 | align_1: 13-12 | align_2: 14-25 |    According to a study of the European Environment Information and Observation Network ( EIONET ) , European countries generate high percentages of packaging waste . ||| Selon une étude de du European Environment Information and Observation Network ( EIONET ) ( Réseau d' observation et d' informations sur l' environnement européen ) , les pays européens génèrent d' importants pourcentages de déchets d' emballage . 

O'kanada kanada | w_freq: 2 - 2 | wiki_freq: 0 - 4 | sentence_idx: 251870 | align_1: 3-8 | align_2: 4-12 |    My friend Simon O'kanada wondered why his son was always sick . ||| " Une de mes amies , Simon O' kanada , s’ est demandé pourquoi son fils était toujours malade . 

O'kanada kanada | w_freq: 2 - 2 | wiki_freq: 0 - 4 | sentence_idx: 251871 | align_1: 3-8 | align_2: 4-12 |    My friend Simon O'kanada wondered why his son was always sick . ||| " Une de mes amies , Simon O' kanada , s’ est demandé pourquoi son fils était toujours malade . 

swear Jurez | w_freq: 236 - 4 | wiki_freq: 5814 - 14 | sentence_idx: 252331 | align_1: 2-0 | align_2: 3-7 |    Do you swear to tell the truth , the whole truth , and nothing but the truth ? " ||| Jurez -vous , par la présente , à dire la vérité , toute la vérité et rien que la vérité ? " 

Twyfelfontein Twyfelfontein | w_freq: 1 - 1 | wiki_freq: 33 - 16 | sentence_idx: 252476 | align_1: 3-3 | align_2: 4-8 |    The elephants at Twyfelfontein two days ago must have been one group . ||| Les éléphants de Twyfelfontein , il y a deux jours a doivent être un groupe . 

patience patience | w_freq: 448 - 489 | wiki_freq: 5878 - 1896 | sentence_idx: 252876 | align_1: 5-7 | align_2: 6-11 |    It is the month of patience , and the reward for patience is Paradise . " ||| « C' est le mois de la patience ( Sabr ) , et la récompense de la patience est le paradis . 

hopefully espérons | w_freq: 189 - 1025 | wiki_freq: 3850 - 195 | sentence_idx: 255955 | align_1: 14-14 | align_2: 15-19 |    ‘ The main aim of this initiative is to look at an alternative and hopefully better method of water purification . ||| " L' objectif principal de cette initiative est d' examiner une alternative et , espérons - le , une meilleure méthode de purification de l' eau . 

flyers Flyers | w_freq: 9 - 2 | wiki_freq: 2778 - 2204 | sentence_idx: 256371 | align_1: 28-32 | align_2: 29-36 |    The answer that many business owners , entrepreneurs and marketers ( including me ) have come up with is : yes , but they need to be good flyers . ||| La réponse que de nombreux propriétaires d`entreprises , les entrepreneurs et les commerçants ( y compris moi ) sont venus avec est : Oui , mais ils ont besoin d`être de bons Flyers ( ici ) . 

militarization militarisation | w_freq: 29 - 52 | wiki_freq: 915 - 569 | sentence_idx: 256758 | align_1: 8-13 | align_2: 9-17 |    Harmonization of consciousness through education , instead of militarization is the way to resolve armed conflicts in the 21st century . ||| L' harmonisation de la conscience par l' éducation , au lieu de la militarisation , - c' est la voie de résoudre les conflits armés du 21e siècle . 

E-7 E-7 | w_freq: 23 - 21 | wiki_freq: 243 - 16 | sentence_idx: 257369 | align_1: 0-0 | align_2: 1-4 |    E-7 And so , I 'll try to let you out each night if ... ||| E-7 ( 18 ) Et ainsi , je vais essayer de vous laisser partir chaque soir si ... 

silently silencieusement | w_freq: 49 - 45 | wiki_freq: 3115 - 417 | sentence_idx: 257655 | align_1: 4-5 | align_2: 5-10 |    But dangerous pesticides are silently accumulating here , poisoning its inhabitants . ||| Mais des pesticides dangereux sont silencieusement en train de s’ accumuler ici , empoisonnant ses habitants . 

enmaromado enmaromado | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 258408 | align_1: 13-14 | align_2: 14-19 |    During this celebration , the people ask the mayor for the “ toro enmaromado , ” which is then granted and celebrated fifty days later . ||| Au cours de cette fête , le peuple demande au maire le « Toro enmaromado » ( taureau attaché ) qui sera alors octroyé et fêté cinquante jours plus tard . 

Grubach Grubach | w_freq: 2 - 2 | wiki_freq: 6 - 3 | sentence_idx: 259554 | align_1: 4-5 | align_2: 5-12 |    At the time Paul Grubach had not shrunk from writing : “ Mark Weber is to be congratulated [ … ] . ||| A l’ époque , Paul Grubach , pour sa part , n’ avait pas craint d’ écrire : « Mark Weber is to be congratulated [ … ] . 

wallet portefeuille | w_freq: 120 - 430 | wiki_freq: 3141 - 5932 | sentence_idx: 261660 | align_1: 15-13 | align_2: 16-17 |    But how to spend two days off in the capital without special losses for a wallet is not all . ||| Mais comment passer deux jours dans la capitale sans pertes spéciales pour un portefeuille , ce n’ est pas tout . 

falsehood mensonge | w_freq: 85 - 525 | wiki_freq: 1199 - 2549 | sentence_idx: 262379 | align_1: 7-9 | align_2: 8-19 |    So I present it as a presumed falsehood . ||| Et il se trouve que j' ai horreur du mensonge ! ( et de ceux qui le colportent ) . 

Dhamma Dhamma | w_freq: 18 - 17 | wiki_freq: 1093 - 36 | sentence_idx: 264772 | align_1: 6-6 | align_2: 7-14 |    This , then , is why Dhamma is not yet an effective means to cure the world . ||| Voilà la raison pour laquelle le Dhamma , à l’ heure actuelle , n’ est pas encore un moyen efficace pour guérir le monde . 

TFEU TFUE | w_freq: 29 - 27 | wiki_freq: 445 - 278 | sentence_idx: 264970 | align_1: 2-3 | align_2: 3-8 |    Article 24 TFEU directly governs the way in which the European institutions work regarding the use of the twenty-four languages . ||| L' article 24 TFUE régit , de façon directe , le mode de travail des institutions européennes quant à l' utilisation des vingt-quatre langues . 

