WMO: ‘ Even if WMO agrees , I will still not pass on the data . ||| " Même si l' OMM est d' accord , je vais toujours pas passer sur les données .
UNHCR: The returns were carried out despite UNHCR ’s efforts and engagement with the authorities . ||| Ces retours ont été menés malgré les efforts du HCR et son engagement auprès des autorités .

UNHCR: She is often the first private donor to respond to UNHCR appeals for emergencies and forgotten refugee crises across the globe . ||| Elle est souvent le premier donateur privé à répondre aux appels du HCR pour les situations d' urgence et les crises de réfugiés oubliées partout dans le monde .

UNHCR: UNHCR is stepping up its response accordingly . ||| Le HCR intensifie sa réponse en conséquence .

UNHCR: According to UNHCR , some 350 people applied to return to Kosovo . ||| Selon le HCR , quelque 350 personnes ont demandé à retourner au Kosovo .

UNHCR: Kosovo stepped up its cooperation with UNHCR in 2015 , notably in the field of remote interpretation . ||| En 2015 , le Kosovo a intensifié sa coopération avec le HCR , notamment dans le domaine de l’ interprétation à distance .

UNHCR: “ It is important also that UNHCR — as the United Nations Refugee Agency — plays a role and has a presence , especially in the areas of return . ” ||| « Il est également important que le HCR , en tant qu' agence des Nations Unies chargée de la question des réfugiés , joue son rôle et soit présent sur place , surtout dans les zones de rapatriement . »

UNHCR: The Protection Cluster , led by UNHCR , coordinates its action with MONUC . ||| Le cluster de la protection , dirigé par UNHCR , coordonne son action avec la MONUC .

Iblis: Question – What is the difference between Satan and Iblis ? ||| quelle est la différence entre les djinns , les diables [ les démons ] et Iblisse ?

Iblis: T : ... because it is pride and arrogance that caused the fall of Iblis . ||| T : ... parce que c’ est justement l’ orgueil et l' arrogance qui ont été la cause la chute d' Iblis .

Iblis: ( Qur’an 17.81 ) “ Truth has come and falsehood ( Iblis ) can not create anything . ” ||| ( S17v81/82 ) « Et dis : La Vérité ( l’ islam ) est venue et l’ Erreur a disparu .

Iblis: ( Qur’an 17.81 ) “ Truth has come and falsehood ( Iblis ) can not create anything . ” ||| ( S17v81/82 ) « Et dis : La Vérité(l’ islam ) est venue et l’ Erreur a disparu .

Iblis: ( Qur’an 17.81 ) “ Truth has come and falsehood ( Iblis ) can not create anything . ” ||| ( S17v81/82 ) « Et dis : La Vérité ( l’ islam ) est venue et l’ Erreur a disparu .

Iblis: Iblis would come closer to his demon and say , ‘ How good you are . ' ” ||| Iblis rapproche de lui ce démon et lui dit : “ Quel bon fils es - tu ! » [ 2 ]

Slutwalk: But Slutwalk wanted popularity above all else . ||| Mais la Slutwalk voulait la popularité avant tout .

CITC: In addition , officials from the CITC have cautioned that they might block these programs if they fail to reach an acceptable solution with the owners . ||| En outre , les responsables du citc ont averti qu' ils pourraient bloquer ces programmes s' ils n' arrivent pas à trouver une solution acceptable avec les propriétaires .

CITC: While some intergovernmental agreements are merely political , the RTA and CITCA were intended to create mutually binding obligations . ||| Même si certains accords intergouvernementaux sont de nature purement politique , le RTA et le CITCA visaient à créer des obligations mutuellement contraignantes .

RCMP: The RCMP will patrol only these three ports but the rest of Canada will be protected by commissionaires . ||| La GRC patrouillera uniquement ces trois ports , mais le reste du Canada sera protégé par des commissionnaires .

RCMP: Everybody , including the RCMP , wants to know where that money has gone , everybody except the Prime Minister . ||| Tout le monde , y compris la GRC , veut savoir où est passé cet argent , tout le monde sauf le premier ministre .

Imams: Some Imams today still openly preach such false concepts . ||| Certains imams prêchent ouvertement aujourd’hui encore ces faux concepts .

Imams: Sunni Imams want us to disappear from Madura Island ; we are becoming political refugees . ||| Les imams sunnites veulent que nous disparaissions de l’ île de Madura ; nous sommes en train de devenir des réfugiés politiques .

Imams: In this sense , the communes and integration delegates should collaborate more with the Imams and Muslim institutions . ” ||| En ce sens , les communes et les délégués à l’ intégration devraient davantage collaborer avec les imams et les institutions musulmanes » .

Imams: This shows two things : our Imams had separate houses with their own family but , at the same time , they fulfilled the duty of silatu ' r-rahm . ||| Cela montre deux choses : notre imams avaient maisons indépendantes avec leur propre famille , mais , en même temps , ils ont accompli le devoir de silatu ' r - rahm .

Imams: Neither the parents , the Imams , nor the community are checking or correcting these “ youths ” . ||| Ni les parents , ni les imams , ni la communauté ne contrôlent ou corrigent ces « jeunes » .

Imams: They believe that there have been twelve Imams , starting with Ali . ||| Ils croient qu' il y a eu douze imams , à commencer par Ali .

Imams: Sunni Imams want us to disappear from Madura Island ; we are becoming political refugees . ||| Les imams sunnites veulent que nous disparaissions de l’ ile de Madura ; nous sommes en train de devenir des réfugiés politiques .

Imams: 2 ) Chapter : The Imams know when they will die , and they only die by their choice . ||| 2 Chapitre : Les imams savent quand ils mourront et ne meurent que d’ après leur choix .

KJV: The NKJV totally misses the deeper , and more amazing truth : GOD WAS the sacrifice ! ||| Le NKJV manque totalement la vérité plus profonde et plus étonnante : DIEU ÉTAIT le sacrifice !

KJV: NKJV : “ ( for it was necessary for him to release one to them at the feast ) . ” ||| NKJV : “ ( car il leur fallait en libérer un à la fête ) . ”

KJV: NKJV : “ Oh , may that night be BARREN ! ||| NKJV : « Oh , que cette nuit soit BARREN !

KJV: The Bible plainly says that not all of the Israelites rebelled against God , but the NKJV creates a contradiction . ||| La Bible dit clairement que tous les Israélites ne se sont pas rebellés contre Dieu , mais la NKJV crée une contradiction .

KJV: Matthew 13:12 MKJV For whoever has , to him shall be given , and he shall have more abundance . ||| Matthieu 13:12 à quiconque a , il sera donné , et il sera dans l' abondance ; mais à quiconque n' a pas , cela même qu' il a sera ôté .

KJV: So the NKJV makes 1 Corinthians 15:55 “ much clearer ” by changing “ GRAVE ” to “ HADES ” ! “ . . . ||| Ainsi , le NKJV rend 1 Corinthiens 15:55 “ beaucoup plus clair ” en changeant “ GRAVE ” en “ HADES ” ! “ . . .

KJV: The NKJV implies that ALL who were to be saved , HAVE BEEN saved . ||| Le NKJV implique que TOUS ceux qui devaient être sauvés , ont été sauvés .

KJV: COMMENT : The NKJV says we should ABSTAIN FROM EVERY FORM ( or kind ) OF EVIL . ||| COMMENTAIRE : Le NKJV dit que nous devrions nous abstenir de toute forme ( ou genre ) de mal .

KJV: The KJV version of the Bible used the word ‘ spirit ’ in a few places , but these were rare . ||| La version KJV de la Bible utilisait le mot « esprit » dans quelques endroits , mais ceux - ci étaient rares .

KJV: So the NKJV makes 1 Corinthians 15:55 " much clearer " by changing " grave " to " Hades " ! " . . . ||| Ainsi , le NKJV rend 1 Corinthiens 15:55 “ beaucoup plus clair ” en changeant “ GRAVE ” en “ HADES ” ! “ . . .

KJV: As often is the case , this is reflected in the New Testament , in Matthew 12 ( KJV ) . ||| Comme c`est souvent le cas , cela se reflète dans le nouveau testament , dans Matthieu 12 ( KJV ) .

