Zapatistas zapatistes | w_freq: 15 - 20 | wiki_freq: 512 - 189 | sentence_idx: 5237 | align_1: 1-3 | align_2: 2-7 | entity: Zapatistas - none |    We Zapatistas understood that there were other ways of struggling . ||| Nous , les zapatistes , nous avons compris qu’ il y avait d’ autres formes de lutte . 
AFRICA AFRIQUE | w_freq: 13 - 11 | wiki_freq: 136 - 14 | sentence_idx: 282502 | align_1: 1-1 | align_2: 2-6 | entity: SOUTH AFRICA - AFRIQUE |    SOUTH AFRICA queried if there are other sources of data , where customs data is not available . ||| L’ AFRIQUE DU SUD s’ est demandée s’ il existe d’ autres sources de données , lorsque les données des douanes ne sont pas disponibles . 

Nowhere Nulle | w_freq: 43 - 38 | wiki_freq: 4568 - 541 | sentence_idx: 283521 | align_1: 0-0 | align_2: 1-4 | entity: none - Nulle |    Nowhere would a less productive mine or a less productive field be in use if more productive mines or fields lay unused elsewhere . ||| Nulle part on n’ exploiterait une mine ou un champ moins productifs si des mines ou des champs plus productifs restaient inexploités ailleurs . 

Mentalism Mentalism | w_freq: 1 - 1 | wiki_freq: 70 - 1 | sentence_idx: 286911 | align_1: 10-10 | align_2: 11-17 | entity: The Law of Mentalism - The Law of Mentalism |    In 1902 , A. Victor Segno publishes The Law of Mentalism which obtains a global success . ||| En 1902 , A. Victor Segno publie The Law of Mentalism ( La Loi du Mentalisme ) qui obtient un succès mondial . 

OIG OIG | w_freq: 3 - 3 | wiki_freq: 609 - 58 | sentence_idx: 287252 | align_1: 3-4 | align_2: 4-8 | entity: OIG - OIG |    Possibly , the OIG selected the exact bars in 1998 that were put in in 1996 . ||| Peut - être l' OIG a -t -il choisi les barres exactes de 1998 qui ont été mises en place en 1996 . 

Xili Xili | w_freq: 1 - 1 | wiki_freq: 67 - 5 | sentence_idx: 287827 | align_1: 0-0 | align_2: 1-4 | entity: Xili - Xili |    Xili wants the authorities to “ begin tackling their own corrupt structures , ” before even thinking about providing jobs or better education . ||| Xili , lui , demande aux autorités « de commencer à lutter contre leurs propres structures corrompues » , avant même de penser à donner du travail ou une meilleure éducation . 

E-112 E-112 | w_freq: 7 - 7 | wiki_freq: 5 - 3 | sentence_idx: 288498 | align_1: 0-0 | align_2: 1-4 | entity: none - E-112 |    E-112 Brother Tom Simpson is here tonight . ||| E-112 ( 55 ) Frère Tom Simpson est ici ce soir . 

Confucius Confucius | w_freq: 26 - 26 | wiki_freq: 4267 - 1075 | sentence_idx: 290016 | align_1: 24-23 | align_2: 25-28 | entity: Confucius - Confucius |    Hence , as the problem is systemic , all sustainable solutions will imperatively require a return to the moral values proposed by Plato and Confucius twenty-five centuries ago . ||| Donc , comme le problème est systémique , toutes les solutions durables nécessitent un retour impératif aux valeurs morales proposées par Platon et Confucius , il y a vingt-cinq siècles . 

Moriah Moriyya | w_freq: 11 - 5 | wiki_freq: 946 - 3 | sentence_idx: 291614 | align_1: 6-5 | align_2: 7-10 | entity: Moriah - Moriyya |    “ Go to the land of Moriah … on one of the mountains that I shall show you . ” ||| Pars pour le pays de Moriyya et là , tu l’ offriras en holocauste sur celle des montagnes que je t’ indiquerai . » 

Matisse Matisse | w_freq: 8 - 8 | wiki_freq: 3509 - 2290 | sentence_idx: 300940 | align_1: 10-10 | align_2: 11-14 | entity: Matisse - Matisse |    A highlight of the museum is the 57 sculptures – Matisse created only 82 . ||| Un point culminant du musée est les 57 sculptures – Matisse n’ en a créé que 82 . 

Pulizzi Pulizzi | w_freq: 2 - 2 | wiki_freq: 50 - 2 | sentence_idx: 301087 | align_1: 15-16 | align_2: 16-20 | entity: Joe Pulizzi - Joe Pulizzi |    Businesses now need to produce less content and make it more engaging , as Joe Pulizzi himself admitted . ||| Les entreprises doivent désormais produire moins de contenu et le rendre plus intéressant , comme Joe Pulizzi l’ a d’ ailleurs admis . 

Grow Grow | w_freq: 33 - 12 | wiki_freq: 3664 - 279 | sentence_idx: 302259 | align_1: 18-18 | align_2: 19-43 | entity: none - How Fast Can It Grow ? |    ( R.Esser et al . Natural Gas Productive Capacity Outlook in North America – How Fast Can It Grow ? ||| ( R.Esser et al . Natural Gas Productive Capacity Outlook in North America – How Fast Can It Grow ? ( « Aperçu général sur la capacité de production du gaz naturel en Amérique du Nord – À quelle vitesse peut -elle croître ? » ) 

Check Jetez | w_freq: 280 - 61 | wiki_freq: 4482 - 32 | sentence_idx: 303019 | align_1: 0-0 | align_2: 1-4 | entity: none - Jetez |    Check out all the fun via dribble here . ||| Jetez - un œil sur tous les divertissements via dribble ici . 

Tillerson Tillerson | w_freq: 20 - 20 | wiki_freq: 508 - 74 | sentence_idx: 306115 | align_1: 0-0 | align_2: 1-4 | entity: Tillerson - Tillerson |    Tillerson failed to strike the right balance , but perhaps Pompeo , with his direct line to the White House , can do better . ||| Tillerson n’ a pas réussi à trouver le bon équilibre , mais peut-être que Pompeo , avec sa ligne directe à la Maison Blanche , peut faire mieux . 

Cordus Cordus | w_freq: 1 - 1 | wiki_freq: 114 - 39 | sentence_idx: 307360 | align_1: 1-1 | align_2: 2-5 | entity: Valerius Cordus - Valerius Cordus |    Valerius Cordus first distilled the essential oil in 1544 after the Portuguese discovered the East . ||| Valerius Cordus a d ’ abord distillé l’ huile essentielle en 1544 après que les Portugais aient découvert l’ Est . 

CERN CERN | w_freq: 52 - 52 | wiki_freq: 3474 - 1019 | sentence_idx: 307872 | align_1: 13-12 | align_2: 14-17 | entity: CERN - CERN |    “ Cypriot physicists have made up a small but very active community at CERN for many years . ||| « Les physiciens chypriotes forment une communauté petite mais très active au CERN , et ce , depuis de nombreuses années . 

Wallah Wallah | w_freq: 2 - 2 | wiki_freq: 68 - 49 | sentence_idx: 311243 | align_1: 4-5 | align_2: 5-11 | entity: Wallah - Wallah |    He declared : “ Wallah , if the Rafah crossing opened tomorrow , everyone would leave . ||| Il a déclaré : « Wallah [ Je te jure ] , si le passage de Rafah s’ ouvrait demain , tout le monde partirait . 

CITC CITC | w_freq: 2 - 2 | wiki_freq: 37 - 6 | sentence_idx: 312651 | align_1: 17-19 | align_2: 18-31 | entity: CITC - CITC |    In addition , Saudi Arabia redirects all international traffic through the Communications and Information Technology Commission ( CITC ) , to filter out “ inappropriate ” content . ||| En outre , l' Arabie saoudite redirige tout le trafic international via la Communications and Information Technology Commission ( CITC , Commission de la technologie de l' information et des communications ) afin de filtrer les contenus « inappropriés » . 

El-Sheikh Sheikh | w_freq: 1 - 13 | wiki_freq: 113 - 1657 | sentence_idx: 315952 | align_1: 6-9 | align_2: 7-14 | entity: Sharm El-Sheikh - Sharm El - Sheikh |    The reason is that in Sharm El-Sheikh fishing activities are n’t permitted . ||| La raison en est qu’ à Sharm El - Sheikh , les activités de pêche ne sont pas autorisées . 

Frankl Frankl | w_freq: 7 - 7 | wiki_freq: 567 - 151 | sentence_idx: 316978 | align_1: 3-3 | align_2: 4-7 | entity: Victor Frankl - Victor Frankl |    The psychiatrist Victor Frankl was one of the first to speak of the benefits have to accept what we can not change . ||| Le psychiatre Victor Frankl a d’ ailleurs été l’ un des premiers à parler des avantages à accepter ce que nous ne pouvons pas changer . 

A-Fund Fund | w_freq: 3 - 47 | wiki_freq: 1 - 2254 | sentence_idx: 318973 | align_1: 5-7 | align_2: 6-12 | entity: A-Fund - A - Fund |    The decision-making crew of the A-Fund unanimously decided to send her 546 euros in the hope it could alleviate the damage . ||| L’ équipe de décision du A - Fund a décidé à l’ unanimité de lui envoyer 546 euros dans l’ espoir qu’ elle puisse atténuer les dégâts . 

456 456 | w_freq: 7 - 7 | wiki_freq: 2353 - 628 | sentence_idx: 319470 | align_1: 15-16 | align_2: 16-21 | entity: 456 - none |    Yet some countries publish lists of jobs deemed too dangerous for women ( Russia ’s 456 include driving a train or steering a ship ) . ||| Pourtant , certains pays publient des listes d’ emplois jugés trop dangereux pour les femmes ( 456 en Russie , parmi lesquels la conduite d’ un train ou d’ un bateau ) . 

2009/2010 2009/2010 | w_freq: 4 - 4 | wiki_freq: 1582 - 527 | sentence_idx: 321967 | align_1: 4-3 | align_2: 5-11 | entity: The ICD Annual Report 2009/2010 - Rapport annuel 2009/2010 de l’ ICD |    The ICD Annual Report 2009/2010 profiles six cases of alleged rape by police officers . ||| Le Rapport annuel 2009/2010 de l’ ICD ( en anglais ) présente le profil de six cas d’ allégations de viols commis par des personnels de la police . 

Moriah Moriyya | w_freq: 11 - 5 | wiki_freq: 946 - 3 | sentence_idx: 322385 | align_1: 6-5 | align_2: 7-10 | entity: Moriah - Moriyya |    “ Go to the land of Moriah … on one of the mountains that I shall show you . ” ||| Pars pour le pays de Moriyya et là , tu l’ offriras en holocauste sur celle des montagnes que je t’ indiquerai » 

Tick Tique | w_freq: 2 - 1 | wiki_freq: 1912 - 23 | sentence_idx: 336809 | align_1: 3-2 | align_2: 4-8 | entity: none - Une Tique A |    How Did a Tick Temporarily Paralyze a Little Girl ? ||| Comment Une Tique A - T - Elle Temporairement Paralysé Une Petite Fille ? 

Violate viole | w_freq: 5 - 83 | wiki_freq: 29 - 2343 | sentence_idx: 340916 | align_1: 16-16 | align_2: 17-20 | entity: Does a Woman Praying in the Congregation Violate Headship - none |    [ For more information on this topic , see Does a Woman Praying in the Congregation Violate Headship ? ||| [ Pour plus d' informations sur ce sujet , voir Une femme priant dans la congrégation viole -t -elle la direction ? 

1325 1325 | w_freq: 7 - 7 | wiki_freq: 2061 - 1364 | sentence_idx: 341149 | align_1: 7-7 | align_2: 8-11 | entity: 1325 - none |    The synods of Constantinople in 1316 and 1325 again condemned the sect . ||| Les synodes de Constantinople en 1316 et 1325 ont , de nouveau , condamné la secte . 

Guidelines Lignes | w_freq: 99 - 32 | wiki_freq: 4619 - 3010 | sentence_idx: 345449 | align_1: 4-4 | align_2: 5-9 | entity: the Guidelines for Applicants - Lignes directrices |    Section 4.5 of the Guidelines for Applicants contains an indicative calendar of the whole selection procedure . ||| La section 4.5 des Lignes directrices à l’ intention des Demandeurs contient un calendrier indicatif de toute la procédure de sélection . 

Guidelines directrices | w_freq: 99 - 301 | wiki_freq: 4619 - 1452 | sentence_idx: 345449 | align_1: 4-5 | align_2: 5-9 | entity: the Guidelines for Applicants - Lignes directrices |    Section 4.5 of the Guidelines for Applicants contains an indicative calendar of the whole selection procedure . ||| La section 4.5 des Lignes directrices à l’ intention des Demandeurs contient un calendrier indicatif de toute la procédure de sélection . 

Morelos Morelos | w_freq: 2 - 2 | wiki_freq: 3670 - 784 | sentence_idx: 346012 | align_1: 9-10 | align_2: 10-15 | entity: José María Morelos - José María Morelos |    We should never forget the words of José María Morelos two hundred years ago : “ Alleviate both indigency and extravagance . ” ||| Nous ne devrions jamais oublier les paroles de José María Morelos , il y a deux cents ans : « Soulagez l’ indigence et l’ extravagance » . 

Berking Berking | w_freq: 3 - 3 | wiki_freq: 36 - 28 | sentence_idx: 352888 | align_1: 1-1 | align_2: 2-5 | entity: Willy Berking - Willy Berking |    Willy Berking there really nothing more to say about Willy Berking ? ||| Willy Berking Est -ce qu' il n' y a plus rien à dire sur Willy Berking ? 

Gerstein Gerstein | w_freq: 7 - 7 | wiki_freq: 563 - 313 | sentence_idx: 353118 | align_1: 24-26 | align_2: 25-31 | entity: Gerstein - Gerstein |    In fact , it was in the Senate that the intention of the act seemed to be more clearly stated when our colleague Senator Gerstein spoke on November 24 , 2011 . ||| En fait , c' est au Sénat que l' objectif de la loi semble avoir été énoncé plus clairement , lorsque notre collègue , le sénateur Gerstein , a pris la parole le 24 novembre 2011 . 

Illumination Illumination | w_freq: 7 - 9 | wiki_freq: 1106 - 209 | sentence_idx: 358823 | align_1: 11-10 | align_2: 12-14 | entity: Soul Illumination - Illumination de l’ Âme |    In short , that when he has succeeded in reaching Soul Illumination , he is the completed Pyramid or true Triangle . ||| En résumé , lorsqu’ il a réussi à atteindre l’ Illumination de l’ Âme , il est la Pyramide complétée ou le vrai Triangle . 

Mataji Mataji | w_freq: 8 - 8 | wiki_freq: 239 - 37 | sentence_idx: 361512 | align_1: 7-5 | align_2: 8-9 | entity: Mataji - Mataji |    They started saying , “ When is Mataji coming ? ||| Ils ont commencé à dire:"Quand Mataji va -t -elle venir ? 

Al-Bakri Bakri | w_freq: 1 - 1 | wiki_freq: 131 - 345 | sentence_idx: 363734 | align_1: 6-10 | align_2: 7-14 | entity: Al-Bakri - Al - Bakri |    It is perhaps somewhat ironic that Al-Bakri never travelled to this region and spent his entire life in Al-Andalus . ||| Ce qui est ironique , c’ est qu’ Al - Bakri ne s’ est jamais rendu dans cette région et a passé toute sa vie en Al - Andalus . 

14.06(4 14.06(2 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 377762 | align_1: 0-0 | align_2: 1-5 | entity: 14.06(4 - none |    14.06(4 ) if it wishes to demonstrate a conflict . ||| 14.06(2 ) et ( 4 ) s’ il souhaite démontrer qu’ il y a conflit . 

Pio Pio | w_freq: 25 - 24 | wiki_freq: 2757 - 1244 | sentence_idx: 383841 | align_1: 8-8 | align_2: 9-16 | entity: Padre Pio - Padre Pio |    However , since you were told by Padre Pio whom I have never seen or known , I will go to Rome for a clarification . » ||| De toutes manières , puisque c’ est Padre Pio qui te l’ a dit , lui que je n’ ai jamais vu ni connu , j’ irai à Rome pour un éclaircissement » . 

Initiatives Initiatives | w_freq: 36 - 16 | wiki_freq: 3774 - 648 | sentence_idx: 384877 | align_1: 9-7 | align_2: 10-18 | entity: Israel Energy Initiatives - Initiatives de l’ Energie d’ Israël |    A visit with the senior executives of Israel Energy Initiatives is frustrating journey into Israel ’s political pathologies . ||| Une visite avec les dirigeants exécutifs des Initiatives de l’ Energie d’ Israël ( IEI en anglais ) est un voyage frustrant au sein des pathologies politiques d’ Israël . 

ASF ASF | w_freq: 17 - 18 | wiki_freq: 961 - 521 | sentence_idx: 385829 | align_1: 5-5 | align_2: 6-12 | entity: The African Standby Force ( ASF ) - ASF |    The African Standby Force ( ASF ) , promised since 2010 , remains a dream . ||| La African Standby Force ( ASF - Force africaine prête à intervenir ) , promise depuis 2010 , reste un rêve . 

Syriza Syriza | w_freq: 98 - 105 | wiki_freq: 532 - 44 | sentence_idx: 386914 | align_1: 16-17 | align_2: 17-21 | entity: Syriza - Syriza |    I think the fundamental problem [ with Syriza 's capitulation ] was in the fact that Syriza never spoke out about an alternative to the European Union . ||| Je pense que le problème fondamental [ avec la capitulation de Syriza ] est le fait que Syriza ne s’ est jamais exprimé sur une alternative à l’ Union 

E-412 E-412 | w_freq: 2 - 2 | wiki_freq: 0 - 1 | sentence_idx: 388951 | align_1: 0-0 | align_2: 1-4 | entity: none - E-412 |    E-412 the devil is weaving it right under your nose and do n't know it . ||| E-412 la chose , le diable est en train de l’ introduire sous votre nez , et vous ne le savez pas . 

Quine Quine | w_freq: 3 - 3 | wiki_freq: 1597 - 594 | sentence_idx: 391378 | align_1: 16-18 | align_2: 17-23 | entity: none - Quine |    At this step , it appears that a preliminary question can be raised : ca n’t Quine ’s solution apply all the same to SEP(II ) ? ||| Il apparaît , à ce stade , qu’ une question préliminaire peut être posée : la solution de Quine ne peut -elle pas s’ appliquer à SEP(II ) ? 

GDPR RGPD | w_freq: 68 - 29 | wiki_freq: 653 - 261 | sentence_idx: 394610 | align_1: 2-1 | align_2: 3-7 | entity: GDPR - RGPD |    Will the GDPR reduce some of the contingent effects ( interference , etc . ) caused by Facebook ? ||| Le RGPD va -t -il permettre d' amoindrir certains des effets contingents ( ingérence , etc. ) causés par Facebook ? 

Miracles Miracles | w_freq: 45 - 13 | wiki_freq: 4337 - 775 | sentence_idx: 401192 | align_1: 10-9 | align_2: 11-18 | entity: A Course in Miracles - A Course in Miracles |    Many of you are familiar with " A Course in Miracles , " which is a large work which I dictated about 40 years ago . ||| Beaucoup d’ entre vous connaissent « A Course in Miracles » ( Un cours sur les miracles ) , qui est un gros ouvrage que j’ ai dicté il y a quelque 40 ans . 

Coyne Coyne | w_freq: 2 - 2 | wiki_freq: 3318 - 390 | sentence_idx: 401364 | align_1: 1-1 | align_2: 2-8 | entity: Andrew Coyne - Andrew Coyne |    Andrew Coyne wrote that it is quite clear now , if it was not already , that this is the most serious threat to the independence of the press in this country in decades . ||| Andrew Coyne , pour sa part , a écrit qu' il est maintenant tout à fait clair , si ce n' était pas déjà le cas , que c' est la menace la plus sérieuse pour l' indépendance de la presse dans ce pays , et ce , depuis des décennies . 

competitiveness compétitivité | w_freq: 227 - 242 | wiki_freq: 4683 - 2898 | sentence_idx: 403920 | align_1: 4-4 | align_2: 5-9 | entity: none - Autorités de la compétitivité |    The unelected authorities for competitiveness would coordinate their policies at the European level . ||| Ces Autorités de la compétitivité , non élues , coordonneraient leur politique au niveau européen . 

Duties Duties | w_freq: 7 - 1 | wiki_freq: 3290 - 33 | sentence_idx: 405047 | align_1: 7-6 | align_2: 8-10 | entity: none - General Duties |    So since I was GD [ General Duties ] , they transferred me to weaponry . ||| Comme j' étais GD [ General Duties , tâches générales ] ils m' ont transféré dans l' armement . 

E-5 E-5 | w_freq: 30 - 32 | wiki_freq: 264 - 32 | sentence_idx: 405217 | align_1: 0-0 | align_2: 1-6 | entity: none - E-5 |    E-5 Many here maybe who has already has accepted You , and has not yet been filled with Thy Spirit . ||| E-5 Il y en a peut-être beaucoup ici qui T’ ont déjà accepté , et qui n’ ont pas encore été remplis de Ton Esprit . 

Failan Failan | w_freq: 1 - 1 | wiki_freq: 10 - 7 | sentence_idx: 408266 | align_1: 5-4 | align_2: 6-10 | entity: none - Dragon Inn Failan |    Good Bye , Dragon Inn Failan What Time is it There ? ||| Goodbye , Dragon Inn Failan Et là - bas , quelle heure est -il ? 

TABST TABST | w_freq: 1 - 1 | wiki_freq: 2 - 0 | sentence_idx: 408622 | align_1: 15-15 | align_2: 16-20 | entity: none - TABST |    0,10 % of domestic carnivores are used for the Target animal batch safety test ( TABST ) still required by several countries outside of Europe in order to release vaccines . ||| 0,10 % de carnivores domestiques sont utilisés pour le Target animal batch safety test ( TABST – contrôle d’ innocuité ) encore demandé par plusieurs pays hors Europe pour la libération des vaccins . 

Petitjean Petitjean | w_freq: 1 - 1 | wiki_freq: 137 - 491 | sentence_idx: 411713 | align_1: 1-1 | align_2: 2-5 | entity: Claude Petitjean - Claude Petitjean |    Claude Petitjean prefers to talk about his role and " simple , but determined gestures . " ||| Claude Petitjean , lui , préfère parler de son rôle et de “ gestes simples , mais déterminés ” . 

Solon Solon | w_freq: 6 - 5 | wiki_freq: 2286 - 486 | sentence_idx: 416370 | align_1: 12-16 | align_2: 13-21 | entity: Solon - Solon |    One of the priests said to Solon , “ O Solon , Solon , you Greeks are never anything but children , and there is not an old man among you . ” ||| Mais l' un des plus vieux entre les prêtres de s' écrier : " Solon , Solon , vous autres Grecs , vous serez toujours des enfants ; il n' y a pas de vieillards en Grèce ! " 

Shem Sem | w_freq: 7 - 6 | wiki_freq: 1775 - 529 | sentence_idx: 418356 | align_1: 14-10 | align_2: 15-16 | entity: none - Dieu de Sem |    In Gen. 9:26 we are told , “ Blessed be the Lord God of Shem ; and Canaan shall be his servant . ” ||| Genèse 9:26 " Béni soit l' Eternel , Dieu de Sem ( FILS DE NOE ) ; et que Canaan leur soit fait serviteur . " 

prepper Prepper | w_freq: 4 - 2 | wiki_freq: 29 - 0 | sentence_idx: 422278 | align_1: 2-1 | align_2: 3-6 | entity: none - Prepper |    No sane prepper would put a big sign on their house saying “ I have emergency food , ” for example . ||| Aucun Prepper sain d’ esprit ne mettrait un gros panneau sur leur maison en disant « J’ ai de la nourriture d’ urgence » , par exemple . 

Mbeki Mbeki | w_freq: 4 - 4 | wiki_freq: 1980 - 468 | sentence_idx: 422439 | align_1: 0-0 | align_2: 1-5 | entity: Mbeki - Mbeki |    Mbeki rarely addresses scientific solutions to the AIDS epidemic . ||| Mbeki ne s’ intéresse que rarement aux solutions scientifiques à l’ épidémie de SIDA . 

E-296 E-296 | w_freq: 3 - 3 | wiki_freq: 0 - 1 | sentence_idx: 422579 | align_1: 0-0 | align_2: 1-5 | entity: E-296 - none |    E-296 Only thing that we can do , Lord , is to believe . ||| E-296 ( 255 ) La seule chose que nous pouvons faire , Seigneur , c' est de croire . 

Sarnia-Lambton Lambton | w_freq: 1 - 2 | wiki_freq: 19 - 413 | sentence_idx: 428895 | align_1: 8-14 | align_2: 9-19 | entity: Sarnia-Lambton - Lambton |    When I first started as executive director at Sarnia-Lambton five years ago , the relationships between the agency and First Nations were n’t good . ||| Lorsque je suis entrée en fonction à titre de directrice générale à Sarnia - Lambton , il y a cinq ans , les relations entre l’ agence et les Premières nations n’ étaient pas bonnes . 

Antarsya Antarsya | w_freq: 3 - 5 | wiki_freq: 4 - 4 | sentence_idx: 433593 | align_1: 0-0 | align_2: 1-4 | entity: Antarsya - Antarsya |    Antarsya is not the same but there is still wide confusion in its ranks . ||| Antarsya , ce n’ est pas la même chose , il règne cependant toujours une grande confusion dans ses rangs . 

Yesterday Hier | w_freq: 193 - 191 | wiki_freq: 4941 - 457 | sentence_idx: 434844 | align_1: 0-0 | align_2: 1-5 | entity: Yesterday - Hier |    Yesterday 800 people more than expected arrived ! ||| Hier , il est arrivé 800 personnes de plus que prévu ! 

Sow Sow | w_freq: 2 - 2 | wiki_freq: 1121 - 744 | sentence_idx: 437438 | align_1: 8-8 | align_2: 9-13 | entity: Fatou Sow - Fatou Sow |    A lady I admire a lot , Fatou Sow once told me that as a woman , we should not be afraid to speak for us . ||| Une dame que j’ admire énormément , Fatou Sow m’ a dit un jour qu’ en tant que femme , on ne devrait pas avoir peur de parler pour nous . 

Yesterday Hier | w_freq: 193 - 191 | wiki_freq: 4941 - 457 | sentence_idx: 437511 | align_1: 0-0 | align_2: 1-5 | entity: Yesterday - none |    Yesterday saw a huge defeat of the Islamic State but " western " media hardly noted it . ||| Hier , il y a eu une énorme défaite de l' État islamique mais les médias " occidentaux " ont à peine noté cela .. 

Psychopaths Psychopaths | w_freq: 10 - 1 | wiki_freq: 112 - 6 | sentence_idx: 438133 | align_1: 7-7 | align_2: 8-13 | entity: none - Women Who Love Psychopaths |    If you have read Women Who Love Psychopaths , please be an ' Ambassador for Change ' in your community by teaching youth and adults what you learned in the book . ||| Si vous avez lu Women Who Love Psychopaths , s' il vous plaît , devenez un « Ambassadeur du Changement » dans votre communauté , en apprenant aux jeunes et aux adultes ce que vous avez appris dans ce livre . 

Hair-Turkey Hair | w_freq: 1 - 16 | wiki_freq: 0 - 671 | sentence_idx: 438880 | align_1: 1-1 | align_2: 2-9 | entity: Hair-Turkey - Hair |    At Hair-Turkey , we understand that traveling for medical services is a new concept . ||| À Hair - Turkey ( cheveux - Turquie ) , nous comprenons que voyager pour des services médicaux est un nouveau concept . 

Hair-Turkey Turkey | w_freq: 1 - 7 | wiki_freq: 0 - 434 | sentence_idx: 438880 | align_1: 1-3 | align_2: 2-9 | entity: Hair-Turkey - Turkey |    At Hair-Turkey , we understand that traveling for medical services is a new concept . ||| À Hair - Turkey ( cheveux - Turquie ) , nous comprenons que voyager pour des services médicaux est un nouveau concept . 

E-67 E-67 | w_freq: 21 - 19 | wiki_freq: 1 - 2 | sentence_idx: 439288 | align_1: 0-0 | align_2: 1-5 | entity: none - E-67 |    E-67 I was saying it the other day , at Phoenix . ||| E-67 C’ est ce que je disais , l’ autre jour , à Phoenix . 

BLM BLM | w_freq: 12 - 12 | wiki_freq: 2172 - 147 | sentence_idx: 439406 | align_1: 11-16 | align_2: 12-20 | entity: BLM - BLM |    This is one of four annual environmental awards provided by the BLM nationally . ||| Il s’ agit de l’ un des quatre prix annuels de l’ environnement fourni par le BLM à l’ échelle nationale . 

42:48 Shura-48 | w_freq: 1 - 2 | wiki_freq: 1 - 0 | sentence_idx: 440254 | align_1: 0-4 | align_2: 1-9 | entity: 42:48 - none |    42:48 If then they run away , We have not sent thee as a guard over them . ||| 42 / Ash - Shura-48 : Après cela , s’ ils détournent leur visage , Nous ne t’ avons pas envoyé comme gardien sur eux . 

viva viva | w_freq: 3 - 2 | wiki_freq: 591 - 152 | sentence_idx: 440986 | align_1: 20-22 | align_2: 21-29 | entity: none - DPhil viva |    I have particular reason to be grateful to him : I met him for the first time at my DPhil viva , where he was the external examiner ( 1970 ) . ||| J’ ai des raisons particulières de lui en être reconnaissant : je l’ ai rencontré pour la première fois à mon DPhil viva ( ndt : examen oral ) , où il était examinateur externe ( 1970 ) . 

up-to-date Etre | w_freq: 89 - 128 | wiki_freq: 3779 - 96 | sentence_idx: 447025 | align_1: 1-0 | align_2: 2-4 | entity: none - Etre |    Being up-to-date could mean taking the youth of today as subject , starting with their exclusion from the public space . ||| Etre actuel , ce pourrait être carrément de prendre les jeunes d’ aujourd’hui pour sujet , à commencer par leur exclusion de l’ espace public . 

Libyans Libyens | w_freq: 42 - 47 | wiki_freq: 1248 - 499 | sentence_idx: 456204 | align_1: 7-8 | align_2: 8-13 | entity: Libyans - Libyens |    All these foreign actors should instead help Libyans themselves find a solution . ||| Toutes ces forces étrangères doivent aider plutôt les Libyens à trouver eux - mêmes la solution . 

Grismer Grismer | w_freq: 1 - 1 | wiki_freq: 90 - 31 | sentence_idx: 462539 | align_1: 2-5 | align_2: 3-9 | entity: Grismer - M. Grismer |    As Mr. Grismer also married a non-Indian , he was not able to transfer status to his children . ||| En outre , comme M. Grismer avait , lui aussi , marié une non-Indienne , il ne pouvait pas transmettre le statut à ses enfants . 

FRPC FRPC | w_freq: 1 - 1 | wiki_freq: 3 - 1 | sentence_idx: 467638 | align_1: 11-12 | align_2: 12-16 | entity: FRPC - FRPC |    However , commercial broadcasters and their associations as well as the FRPC disagreed . ||| Cependant , les radiodiffuseurs commerciaux et leurs associations , ainsi que la FRPC , sont en désaccord . 

authoritarianism autoritarisme | w_freq: 31 - 31 | wiki_freq: 1839 - 879 | sentence_idx: 471040 | align_1: 10-10 | align_2: 11-14 | entity: none - autoritarisme d’ Etat |    And in Myanmar ( No . 18 ) , state authoritarianism combines with nationalism . ||| En Birmanie ( Myanmar , n° 18 ) , l’ autoritarisme d’ Etat s’ allie au nationalisme . 

E-116 E-116 | w_freq: 7 - 8 | wiki_freq: 0 - 0 | sentence_idx: 473788 | align_1: 0-0 | align_2: 1-5 | entity: none - E-116 |    E-116 Not some system ; but a Person , Christ , the Conqueror . ||| E-116 Il ne s’ agit pas d’ un certain système ; mais il s’ agit d’ une Personne , Christ , le Conquérant . 

E-90 E-90 | w_freq: 16 - 19 | wiki_freq: 5 - 4 | sentence_idx: 474964 | align_1: 0-0 | align_2: 1-4 | entity: none - E-90 |    E-90 See , they got a horse standing at his grave . ||| E-90 ( 44 ) Voyez , ils ont un cheval placé sur sa tombe . 

Al-Anon Anon | w_freq: 16 - 28 | wiki_freq: 102 - 82 | sentence_idx: 474977 | align_1: 4-8 | align_2: 5-13 | entity: Al-Anon - Al - Anon |    We may hear “ Al-Anon has no rules , ” but we do have Legacies , policies , a Charter , and more than 60 years of experience , strength , and hope . ||| Nous entendons dire que « dans Al - Anon , il n’ y a pas de règles » , mais nous avons des Héritages , des politiques , une Charte , et plus de 60 années d’ expérience , de force et d’ espoir . 

Barometer Baromètre | w_freq: 9 - 6 | wiki_freq: 415 - 134 | sentence_idx: 475349 | align_1: 7-5 | align_2: 8-14 | entity: UEBT Biodiversity Barometer - Baromètre de la biodiversité |    However , while the 2014 UEBT Biodiversity Barometer finds that biodiversity awareness has increased since 2009 , it also reveals growth in understanding of biodiversity has slowed down since 2012 . ||| Cependant , alors que le Baromètre de la biodiversité de l ’ UEBT 2014 constate que la sensibilisation à la biodiversité a augmenté depuis 2009 , il révèle également que la compréhension de la biodiversité s’ est ralentie depuis 2012 . 

