Magento-specialists Magento-Spezialisten | w_freq: 2 - 2 | wiki_freq: 0 - 0 | sentence_idx: 1636 | align_1: 7-5 | align_2: 8-9 | entity: Magento-specialists - none |    Years of experience – We have been Magento-specialists since 2008 ! ||| Jahrelange Erfahrung – Wir sind Magento-Spezialisten , und das seit 2008 ! 
AfDB AfDB | w_freq: 2 - 2 | wiki_freq: 308 - 20 | sentence_idx: 458864 | align_1: 6-5 | align_2: 7-10 | entity: AfDB - AfDB |    Although the African Development Bank ( AfDB ) hopes to create 25 million new jobs within a decade through its Jobs for Youth in Africa initiative , it is not immediately clear where those opportunities will come from . ||| Obwohl die Afrikanische Entwicklungsbank ( AfDB , African Development Bank ) hofft , mit ihrer Initiative zur Schaffung von Arbeitsplätzen für Jugendliche innerhalb eines Jahrzehnts 25 Millionen neue Jobs zu schaffen , ist nicht wirklich klar , woher diese Möglichkeiten kommen sollen . 

DCO DCO | w_freq: 3 - 2 | wiki_freq: 356 - 25 | sentence_idx: 459190 | align_1: 17-11 | align_2: 18-16 | entity: DCO - DCO |    Over the past two decades , tens of thousands of Palestinians have sought the services of the DCO also to facilitate travel arrangements and overcome bureaucratic hurdles . ||| In den letzten zwei Jahrzehnten haben Zehntausende Palästinenser die Dienste des DCO in Anspruch genommen , auch um Reiseregelungen zu erleichtern und bürokratische Hürden zu überwinden . 

USAA USAA | w_freq: 15 - 14 | wiki_freq: 208 - 13 | sentence_idx: 466532 | align_1: 4-6 | align_2: 5-11 | entity: USAA - USAA |    When I first joined USAA I loved the company , over the last 3 - 5 years , they have really took a turn for the worst . ||| Als ich das erste Mal bei USAA angefangen habe , habe ich die Firma geliebt , in den letzten 3 - 5 Jahren haben sie wirklich das Schlimmste erlebt . 

ChemChina-Bluestar ChemChina-Bluestar | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 467473 | align_1: 10-7 | align_2: 11-13 | entity: ChemChina-Bluestar - ChemChina-Bluestar |    But the most important thing was to make acquisitions for ChemChina-Bluestar long before the Syngenta deal . ||| Das wichtigste war aber , Akquisitionen für ChemChina-Bluestar zu tätigen , und zwar lange vor dem Syngenta-Deal . 

TheCatSite TheCatSite | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 475089 | align_1: 6-5 | align_2: 7-11 | entity: TheCatSite - TheCatSite |    Did you receive an email from TheCatSite saying that someone mentioned you ? ||| Haben Sie eine E-Mail von TheCatSite erhalten , in der Sie sagten , dass jemand Sie erwähnt hat ? 

Huraira Hurairah | w_freq: 1 - 2 | wiki_freq: 49 - 4 | sentence_idx: 477880 | align_1: 1-2 | align_2: 2-6 | entity: Abu Huraira - Abu Hurairah |    Abu Huraira reported : We were in the company of Allah 's Messenger ( ﷺ ) that we heard a terrible sound . ||| 2. Abu Hurairah ( ra ) berichtete : „ Wir waren in der Gesellschaft des Gesandten Allahs ( s ) als wir ein furchtbares Geräusch hörten . 

FOC FOC | w_freq: 1 - 1 | wiki_freq: 305 - 75 | sentence_idx: 509146 | align_1: 10-10 | align_2: 11-15 | entity: none - FOC |    * The phase up to attaining full operation capability ( FOC ) of the Galileo Programme will be funded by the European Union . ||| * Die Phase bis zum Erreichen der vollen Einsatzkapazität ( FOC - full operational capability ) des Galileo-Programms wird von der Europäischen Union finanziert . 

dieu dieu | w_freq: 1 - 1 | wiki_freq: 82 - 46 | sentence_idx: 511061 | align_1: 1-1 | align_2: 2-6 | entity: none - Mon dieu |    Mon dieu , an idea which Herr Willich himself can only describe in French could not come from a Frenchman ? ||| Mon dieu < Mein Gott > , eine Idee , die Herr Willich selbst nur französisch ausdrücken kann , sollte nicht von einem Franzosen sein ? 

Acquia Acquia | w_freq: 12 - 10 | wiki_freq: 51 - 15 | sentence_idx: 518746 | align_1: 8-8 | align_2: 9-13 | entity: Acquia - Acquia |    Learn how state and local governments partner with Acquia to a build an interactive and mobile experience . ||| Erfahren Sie , wie Landes- und Lokalregierungen mit Acquia eine Partnerschaft eingehen , um ein interaktives und mobiles Erlebnis zu entwickeln . 

Klopstock Klopstock | w_freq: 1 - 1 | wiki_freq: 227 - 645 | sentence_idx: 519062 | align_1: 4-4 | align_2: 5-8 | entity: Klopstock - Klopstock |    Our teacher , Mr. Klopstock , is happy at the end of the first day , but the other participants look a bit tired . ||| Unser Trainer , Herr Klopstock ( stehend ) , freut sich am Ende des ersten Tages , aber die Teilnehmer sehen etwas müde aus . 

LORD Betrügerin | w_freq: 233 - 4 | wiki_freq: 627 - 154 | sentence_idx: 520637 | align_1: 6-4 | align_2: 7-8 | entity: LORD - Der Lord und die Betrügerin |    In transgressing and lying against the LORD , ||| Der Lord und die Betrügerin [ lit . ] 

Fir’aoun aun | w_freq: 1 - 7 | wiki_freq: 0 - 16 | sentence_idx: 528536 | align_1: 22-27 | align_2: 23-32 | entity: Fir’aoun - aun |    They said : ( ( This is a great day , Allah saved Moosaa and his people in it , and drowned Fir’aoun and his people . ||| Sie erwiderten , dass dieser ein glücklicher Tag sei , denn an diesem habe Allah seinen Propheten Musa und seine Gemeinschaft errettet , indem Er Fir ’ aun ( den Pharao ) und seine Leute ertränkt hat . 

Saqar Saqar | w_freq: 16 - 15 | wiki_freq: 30 - 1 | sentence_idx: 535722 | align_1: 7-7 | align_2: 8-12 | entity: Saqar - Saqar |    And what can let you know What Saqar is ? ||| Und wie kannst du wissen , was Saqar ( das Höllenfeuer ) ist ? 

IBS IBS | w_freq: 64 - 54 | wiki_freq: 948 - 183 | sentence_idx: 535746 | align_1: 7-6 | align_2: 8-11 | entity: IBS - none |    No specific foods have been linked to IBS so there is not " IBS diet . " ||| Es wurden keine spezifischen Lebensmittel mit IBS in Verbindung gebracht , so dass es keine " IBS-Diät " gibt . 

PHILHARMONIC PHILHARMONIC | w_freq: 1 - 1 | wiki_freq: 1 - 0 | sentence_idx: 543471 | align_1: 10-9 | align_2: 11-14 | entity: PALESTINE PHILHARMONIC - PALESTINE PHILHARMONIC |    That there was the PALESTINE FOUNDATION FUND and the PALESTINE PHILHARMONIC ? ||| Dass es den PALESTINE FOUNDATION FUND und das PALESTINE PHILHARMONIC ( Orchestra ) gab ? 

X39 X39 | w_freq: 6 - 6 | wiki_freq: 17 - 9 | sentence_idx: 550616 | align_1: 17-12 | align_2: 18-17 | entity: X39 - X39 |    I would like to say thank you to David Schmidt for giving me the opportunity to use X39 and share my results with everyone . ’ ||| Ich möchte mich bei David Schmidt für die Gelegenheit bedanken , das X39 verwenden zu können , und will meine Ergebnisse mit allen teilen . ‘ 

1019 1019 | w_freq: 2 - 2 | wiki_freq: 796 - 553 | sentence_idx: 553251 | align_1: 11-8 | align_2: 12-12 | entity: none - Technischen Reports Nr. 1019 |    With the publication of the 53nd Technical Report Series No . 1019 of the WHO , several new and revised Guidelines were adopted and recommended for use . ||| Mit der Veröffentlichung des 53. Technischen Reports Nr. 1019 ( TRS ) der WHO wurden einige neue sowie überarbeitete Leitlinien final angenommen und zur Anwendung empfohlen . 

Aristovoulou Aristovoulou | w_freq: 1 - 1 | wiki_freq: 1 - 0 | sentence_idx: 556964 | align_1: 6-5 | align_2: 7-11 | entity: Antony Aristovoulou - Antony Aristovoulou |    I was glad to meet Antony Aristovoulou who has worked for several sports collections . ||| Ich bin froh , Antony Aristovoulou kennen gelernt zu haben , der schon für einige Sportsammlungen gearbeitet hat . 

Azel Azel | w_freq: 1 - 1 | wiki_freq: 102 - 8 | sentence_idx: 566316 | align_1: 19-18 | align_2: 20-32 | entity: Azel - Azel |    You will flee by the valley of My mountains , for the valley of the mountains will reach to Azel . . . ||| Und ihr werdet gewiß zum Tal meiner Berge fliehen ; denn das Tal der Berge wird bis nach Azel [ [ ein Wadi , das zum Ölberg gehört und im Kidrontal endet ] ] hin reichen . 

Midianite al-Maslh | w_freq: 4 - 1 | wiki_freq: 165 - 0 | sentence_idx: 575602 | align_1: 7-9 | align_2: 8-21 | entity: Midianite - al-Maslh |    These were not just any Israelite and Midianite . ||| Und es gab keinen von den Israeliten , und al-Maslh ( Jesus ) miteinbegriffen , die jegliche Beziehungen zu Faran hatten . 

Scout24 Scout24 | w_freq: 5 - 5 | wiki_freq: 6 - 65 | sentence_idx: 584243 | align_1: 4-3 | align_2: 5-7 | entity: Scout24 - Scout24 |    All of this makes Scout24 what it is today : a strong partner enabling people to make the best decision of their lives . ||| All das macht Scout24 zu dem , was es heute ist : Ein starker Partner für die besten Entscheidungen des Lebens . 

Thamud Thamud | w_freq: 27 - 13 | wiki_freq: 111 - 25 | sentence_idx: 598207 | align_1: 7-4 | align_2: 8-9 | entity: Thamud - Thamud |    [ 18 ] of Pharaoh and of Thamud ? ||| 18. Pharaos und der Thamud ( zu Ohren ) ? 

Scusi Scusi | w_freq: 1 - 1 | wiki_freq: 11 - 5 | sentence_idx: 609091 | align_1: 6-8 | align_2: 7-12 | entity: Porto Scusi - Porto Scusi |    Its name probably derives from Porto Scusi which means ' hidden port . ||| Sein Name leitet sich wahrscheinlich von " Porto Scusi " ab , was " versteckter Hafen " bedeutet . 

Saint-Georges-d'Espéranche Saint-Georges-d'Espéranche | w_freq: 1 - 1 | wiki_freq: 7 - 1 | sentence_idx: 612719 | align_1: 20-19 | align_2: 21-27 | entity: Saint-Georges-d'Espéranche - Saint-Georges-d'Espéranche |    Legends were discredited , and in the case of James of Saint George it was proven that he came from Saint-Georges-d'Espéranche , in France . ||| Legenden wurden bezweifelt , und im Fall von James von Saint George wurde es bewiesen , dass er aus Saint-Georges-d'Espéranche ( Heiliger - Georges-d ' Espéranche ) , in Frankreich kam . 

Jannah Jannah | w_freq: 3 - 2 | wiki_freq: 226 - 32 | sentence_idx: 613497 | align_1: 7-6 | align_2: 8-10 | entity: Jannah - Jannah |    2 ) He sees his status in Jannah . ||| 2. Er erkennt seinen Status in Jannah ( Paradies ) . 

Tortillerias Tortillerias | w_freq: 1 - 1 | wiki_freq: 2 - 0 | sentence_idx: 628137 | align_1: 10-10 | align_2: 11-15 | entity: Tortillerias - none |    If you ’re in Mexico , Lesage recommends visiting the Tortillerias where they often throw out the day ’s cold tortillas . ||| Wenn Sie in Mexiko sind , empfiehlt Lesage , die Tortillerias zu besuchen , in denen die kalten Tortillas des Tages häufig weggeworfen werden . 

CCBA CCBA | w_freq: 1 - 1 | wiki_freq: 117 - 5 | sentence_idx: 631266 | align_1: 14-11 | align_2: 15-16 | entity: CCBA - CCBA |    The company has chosen to exercise its right to acquire ABI ’s stake in CCBA because it intends to implement its long-term strategic plan in these markets with other partners . ||| Das Unternehmen hat beschlossen , seinen Anspruch auf die ABI-Anteile in CCBA geltend zu machen , weil es plant , seinen langfristigen strategischen Plan in diesen Märkten mit anderen Partnern zu implementieren . 

NaNo NaNo | w_freq: 1 - 1 | wiki_freq: 1 - 0 | sentence_idx: 642545 | align_1: 3-3 | align_2: 4-8 | entity: NaNo - NaNo |    When I did NaNo I thought to myself , “ Why is n’t there such a thing for songwriters ? ” ||| Als ich an NaNo teilgenommen habe , dachte ich so bei mir : " Warum gibt es sowas nicht für Songwriter ? " 

Eurofighter Eurofighters | w_freq: 6 - 3 | wiki_freq: 922 - 89 | sentence_idx: 642620 | align_1: 30-19 | align_2: 31-25 | entity: Eurofighter - Eurofighters |    The more than 150 hours in the air carried out in the first month of the mission once again confirmed the operational flexibility and the effective multi-role capability of the Eurofighter capable of successfully completing a wide range of missions . ||| Die über 150 Flugstunden im ersten Monat der Mission haben erneut die operative Flexibilität und die effektive Mehrrollenfähigkeit des Eurofighters bestätigt , der in der Lage ist , eine Vielzahl von Missionen erfolgreich abzuschließen . 

ECIU ECIU | w_freq: 1 - 1 | wiki_freq: 20 - 3 | sentence_idx: 667297 | align_1: 26-28 | align_2: 27-35 | entity: ECIU - ECIU |    [ 18 ] An example of an emerging positive interrelation between universities and their " hinterland " is the so-called European Consortium of Innovative Universities ( ECIU ) . ||| [ 18 ] Ein Beispiel für den Aufbau eines guten Zusammenspiels zwischen Hochschulen und ihrem , Hinterland " ist das sogenannte , European Consortium of Innovative Universities ( ECIU ) " ( Konsortium innovativer Universitäten ) . 

Rick—joining rick | w_freq: 1 - 10 | wiki_freq: 0 - 6 | sentence_idx: 676042 | align_1: 15-18 | align_2: 16-23 | entity: Rick—joining - rick |    But none of it prepared her to find Sean—along with herself and her husband , Rick—joining the cast of a TV series . ||| Aber nichts davon bereitete sie darauf vor , sean zu finden - zusammen mit ihr und ihrem ehemann rick - , die sich der besetzung einer fernsehserie anschlossen . 

F-15J F-15J | w_freq: 1 - 1 | wiki_freq: 71 - 8 | sentence_idx: 694798 | align_1: 3-2 | align_2: 4-6 | entity: F-15J - F-15J |    As for the F-15J whose Japan is equipped , they are different from the F-15C only by some transformations of the electronics components . ||| Was das F-15J betrifft , mit dem Japan sich ausstattet , unterscheiden sie sich vom F-15C nur durch einige Umwandlungen der elektronischen Ausstattungen . 

Hammad Hammad | w_freq: 3 - 3 | wiki_freq: 668 - 133 | sentence_idx: 704932 | align_1: 14-13 | align_2: 15-18 | entity: Fathi Hammad - Fathi Hammad |    Hamas ’s true intentions were expressed by one of its senior leaders , Fathi Hammad . ||| Die wahren Absichten der Hamas wurden von einem ihrer führenden Führer , Fathi Hammad , zum Ausdruck gebracht . 

saleeeeee Salam | w_freq: 1 - 11 | wiki_freq: 0 - 569 | sentence_idx: 720424 | align_1: 4-2 | align_2: 5-9 | entity: none - Salam |    And it was on saleeeeee . ) ||| Er ist Salam ( der Friede und Friedensstifter ) . 

Bosnians Bosniern | w_freq: 3 - 1 | wiki_freq: 560 - 44 | sentence_idx: 740664 | align_1: 7-6 | align_2: 8-11 | entity: Bosnians - none |    The language is also associated with the Bosnians who live near and inside the country . ||| Die Sprache wird auch mit den Bosniern in Verbindung gebracht , die in der Nähe und im Landesinneren leben . 

Tunisians Tunesier | w_freq: 16 - 14 | wiki_freq: 797 - 288 | sentence_idx: 760820 | align_1: 13-15 | align_2: 14-20 | entity: Tunisians - none |    “ He used to send us small sums of money regularly like most Tunisians working abroad . ||| „ Er schickte uns ab und zu kleine Geldbeträge , wie auch die Mehrheit der Tunesier , die im Ausland arbeiten . 

Tunisians Tunesier | w_freq: 16 - 14 | wiki_freq: 797 - 288 | sentence_idx: 760821 | align_1: 13-15 | align_2: 14-20 | entity: Tunisians - none |    " He used to send us small sums of money regularly like most Tunisians working abroad . ||| „ Er schickte uns ab und zu kleine Geldbeträge , wie auch die Mehrheit der Tunesier , die im Ausland arbeiten . 

Wario Wario | w_freq: 1 - 1 | wiki_freq: 734 - 231 | sentence_idx: 761598 | align_1: 25-26 | align_2: 26-31 | entity: Game & Wario - none |    I really feel that it ’s a ground-breaking game , and about eighty or ninety percent of the energy that I put into Game & Wario was focused on ‘ GAMER ’ . ||| Ich finde wirklich , dass es ein wegweisendes Spiel ist ; und ca. achtzig oder neunzig Prozent der Mühe , die ich in „ Game & Wario “ gesteckt habe , konzentrierten sich auf „ GAMER “ . 

Σ Σ | w_freq: 2 - 2 | wiki_freq: 850 - 72 | sentence_idx: 781054 | align_1: 13-8 | align_2: 14-13 | entity: none - Σ |    Then , a distribution of the same kind will exist in the system Σ ' with which we are concerned in the last integral of ( 22 ) . ||| Dann besteht eine Verteilung derselben Art im System Σ ′ { \displaystyle \Sigma ' } , mit dem wir es in dem letzten Integral von ( 22 ) zu tun haben . 

EASA EASA | w_freq: 18 - 18 | wiki_freq: 950 - 396 | sentence_idx: 793477 | align_1: 6-6 | align_2: 7-10 | entity: EASA - EASA |    The European Aviation Safety Agency ( EASA ) has also approved AerSafe on Airbus 321 aircraft ( 10065226 ) as a Flammability Reduction System ( FRS ) . ||| Die European Aviation Safety Agency ( EASA , Europäische Luftfahrtaufsichtsbehörde ) hat ebenfalls AerSafe in Airbus 321 Flugzeugen ( 10065226 ) als System zur Reduzierung der Entflammbarkeit ( Flammability Reduction System , FRS ) zugelassen . 

AACC AACC | w_freq: 1 - 1 | wiki_freq: 242 - 35 | sentence_idx: 794440 | align_1: 9-7 | align_2: 10-11 | entity: AACC - AACC |    The PECG is not yet a member of the AACC for the simple reason that it did not know about its existence . ||| Die EPEG ist noch nicht Mitglied des AACC , und zwar aus dem einfachen Grund , weil sie nichts von dessen Existenz wusste . 

donepezil Donepezil | w_freq: 5 - 5 | wiki_freq: 74 - 35 | sentence_idx: 794699 | align_1: 7-12 | align_2: 8-19 | entity: none - Donepezil |    We observed that patients who continued taking donepezil were better able to remember , understand , communicate and perform daily tasks for at least a year longer than those who stopped taking the drugs . ||| " Wir haben festgestellt , dass Patienten , die sich weiter mit Donepezil befanden , sich in der Lage waren , sich zu erinnern , zu verstehen , zu kommunizieren und tägliche Aufgaben für mindestens ein Jahr länger zu leisten , als diejenigen , die die Drogen nicht mehr aufgaben . 

Tsiklauri Tsiklauri | w_freq: 2 - 2 | wiki_freq: 34 - 17 | sentence_idx: 816592 | align_1: 3-5 | align_2: 4-9 | entity: Nini Tsiklauri - Nini Tsiklauri |    Unterberger asked Nini Tsiklauri why she believes in a common Europe . ||| Nun stellte Unterberger an Nini Tsiklauri die Frage , warum sie an ein gemeinsames Europa glaube . 

Ishinomaki Ishinomaki | w_freq: 1 - 1 | wiki_freq: 229 - 113 | sentence_idx: 819407 | align_1: 42-41 | align_2: 43-46 | entity: Ishinomaki - Ishinomaki |    He could n’t hope to give them anything other than his sympathy and presence , he said ; as soon as he heard about the disaster , he knew he had to come here , if only to remind the people of Ishinomaki that they were not alone . ||| Er konnte nicht hoffen , ihnen etwas anderes als seine Sympathie und Präsenz zu geben , sagte er ; sobald er von der Katastrophe hörte , wusste er , dass er hierher kommen musste , auch nur um die Menschen von Ishinomaki daran zu erinnern , dass sie nicht allein waren . 

Yeshua Jeschua | w_freq: 25 - 11 | wiki_freq: 361 - 58 | sentence_idx: 819809 | align_1: 7-8 | align_2: 8-13 | entity: Yeshua - Jeschua |    Do you remember all the prophecies about Yeshua when He was born ? ||| Erinnerst du dich an all die Prophetien über Jeschua ( Jesus ) , als er geboren wurde ? 

Probiotics Probiotika | w_freq: 10 - 43 | wiki_freq: 111 - 79 | sentence_idx: 829579 | align_1: 4-4 | align_2: 5-8 | entity: LS-66 Probiotics - none |    A : “ LS-66 Probiotics ” is suitable for everyone , except the following : ||| A : " LS-66 Probiotika , probiotische Bakterien " ist für alle geeignet , außer den folgenden : 

Hijr al-Hidschr | w_freq: 1 - 1 | wiki_freq: 39 - 4 | sentence_idx: 833686 | align_1: 5-8 | align_2: 6-16 | entity: Hijr - al-Hidschr |    80And the people of the Hijr ( rocks ) denied the Noble Messengers . ||| 80 Und ( auch ) die Leute von al-Hidschr haben doch ( seinerzeit ) die Gesandten ( Allahs ) der Lüge geziehen . 

FIP FIP | w_freq: 4 - 6 | wiki_freq: 856 - 177 | sentence_idx: 834575 | align_1: 20-19 | align_2: 21-24 | entity: none - FIP |    As well as our commitment to making sustainable fishing the only option , we actively support fishery improvement projects ( FIP ) in some of the main fishing grounds in the world , such as Mauritania and Mexico . ||| Bei unserm Engagement , aus der nachhaltigen Fischerei die einzige Option zu machen , unterstützen wir aktiv Fischereiverbesserungsprojekte ( FIP , Fishery Improvement Projects ) , in einigen der wichtigsten Fangebiete der Welt wie Mauretanien und Mexiko . 

Satanists Satanists | w_freq: 29 - 2 | wiki_freq: 407 - 4 | sentence_idx: 838071 | align_1: 8-7 | align_2: 9-12 | entity: Satanists - none |    Araya also denied rumors that Slayer members are Satanists , but they find the subject of Satanism interesting and “ we are all on this planet to learn and experience . ” ||| Araya bestritt auch Gerüchte , dass Mörder-Mitglieder Satanists ( Satanists ) sind , aber sie finden das Thema des Satanismus interessant , und " wir sind alle auf diesem Planeten , um zu erfahren und zu erfahren . " 

Seydel Seydel | w_freq: 2 - 3 | wiki_freq: 104 - 358 | sentence_idx: 842138 | align_1: 4-4 | align_2: 5-11 | entity: C.A. Seydel - C.A. Seydel |    Currently , only C.A. Seydel is still in business . ||| Zurzeit , nur C.A. Seydel ( C. A. Seydel Söhne ) ist noch im Geschäft . 

OMFScienceWednesday OMFScienceWednesday | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 873190 | align_1: 3-3 | align_2: 4-9 | entity: OMFScienceWednesday - OMFScienceWednesday |    On this # OMFScienceWednesday we are happy to introduce a wonderful addition to our team , Michael Sikora . ||| An diesem # OMFScienceWednesday ( OMF Wissenschafts-Mittwoch ) freuen wir uns Ihnen eine wunderbare Ergänzung für unser Team vorzustellen , Michael Sikora . 

Casumo Casumo | w_freq: 9 - 7 | wiki_freq: 18 - 0 | sentence_idx: 879300 | align_1: 17-16 | align_2: 18-21 | entity: Casumo - Casumo |    This is another reason why it is so beneficial to practice on the regular table games at Casumo where you can sit and think and play at your own pace . ||| Dies ist ein weiterer Grund , warum es so vorteilhaft ist , die regulären Tischspiele bei Casumo zu üben , bei denen Sie in Ihrem eigenen Tempo sitzen und nachdenken und spielen können . 

Apprentices Apprentices | w_freq: 3 - 1 | wiki_freq: 689 - 7 | sentence_idx: 889499 | align_1: 11-9 | align_2: 12-19 | entity: Working Group on Mobility for Apprentices - Working Group on Mobility for Apprentices |    [ 15 ] Report from the Working Group on Mobility for Apprentices , February 2010 ( European Commission ) . ||| 15. Bericht der " Working Group on Mobility for Apprentices " ( Arbeitsgruppe für die Mobilität von Auszubildenden ) , Februar 2010 ( Europäische Kommission ) . 

Moresnet Moresnet | w_freq: 2 - 2 | wiki_freq: 144 - 92 | sentence_idx: 899025 | align_1: 15-12 | align_2: 16-17 | entity: Neutral Moresnet - Moresnet |    However , there were plans at the beginning of the 20th century to establish Neutral Moresnet as the world 's first Esperanto state . ||| Jedoch gab es Pläne am Anfang des 20. Jahrhunderts , um Neutralen Moresnet ( Neutraler Moresnet ) als der erste Esperanto-Staat in der Welt zu gründen . 

UdK UdK | w_freq: 2 - 2 | wiki_freq: 66 - 383 | sentence_idx: 899207 | align_1: 21-16 | align_2: 22-23 | entity: UdK - UdK |    … That ’s true , but I want to say to young artists : When I was still studying at the UdK , many thought that I was a very talented painter . ||| Das ist wahr , aber ich möchte jungen Künstlern sagen : Als ich noch an der UdK ( Universität der Künste ) studierte , dachten viele , dass ich eine sehr talentierte Malerin sei . 

7I Shep | w_freq: 2 - 3 | wiki_freq: 6 - 222 | sentence_idx: 905237 | align_1: 0-0 | align_2: 1-5 | entity: none - Shep |    7I shall give thanks to You with uprightness of heart , ||| Shep ( und Femshep ) werden dir sicher dankbar sein . 

LuAnne LuAnne | w_freq: 1 - 1 | wiki_freq: 15 - 0 | sentence_idx: 912709 | align_1: 20-18 | align_2: 21-23 | entity: LuAnne - LuAnne |    And thank God I got to grow up a little bit , because I was a much younger 16-year-old than LuAnne . ||| Und Gott sei Dank durfte ich ein bisschen erwachsener werden , weil ich eine viel jüngere 16-Jährige als LuAnne [ Henderson ] war . 

Ndlovu Ndlovu | w_freq: 1 - 1 | wiki_freq: 547 - 78 | sentence_idx: 913071 | align_1: 15-16 | align_2: 16-21 | entity: Ndlovu - Ndlovu |    He credits his recovery and his good health today to the care he received at Ndlovu . ||| Er führt seine Genesung und seine gute Gesundheit heute auf die Pflege , die er bei Ndlovu erhalten hat , zurück . 

Solidarnoscalthough Solidarność | w_freq: 1 - 6 | wiki_freq: 0 - 948 | sentence_idx: 922660 | align_1: 9-9 | align_2: 10-13 | entity: Solidarnosc—although - Solidarność |    The American Revolutionary Workers League ( RWL ) defends Solidarnoscalthough with a slightly different rationalization . ||| Die amerikanische Revolutionary Workers League ( RWL ) verteidigt Solidarność , wenn auch mit einer etwas anderen rationalen Erklärung . 

NaNos NaNos | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 928454 | align_1: 18-15 | align_2: 19-19 | entity: NaNos - none |    So I raise my glass of prosecco – unfortunately we ’re out of champagne – to all the NaNos still struggling to reach the finish line and to … ||| Also erhebe ich mein Prosecco-Glas - leider ist uns der Champagner ausgegangen - auf alle NaNos , die sich noch abmühen , die Ziellinie zu erreichen und auf ... 

PRIORITIES PRIORITIES | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 944855 | align_1: 6-6 | align_2: 7-13 | entity: THE SUPREME PRIORITIES - THE SUPREME PRIORITIES |    That book - " THE SUPREME PRIORITIES - was published in 1970 . ||| Dieses Buch - „ THE SUPREME PRIORITIES " [ Die höchsten Prioritäten ] - wurde im Jahre 1970 herausgegeben . 

Orbs Orbs | w_freq: 3 - 4 | wiki_freq: 203 - 38 | sentence_idx: 955832 | align_1: 9-10 | align_2: 10-15 | entity: Red Orbs - Red Orbs |    „ With giving people the ability to purchase Red Orbs , it ’s something we want to give people as an option . ||| „ Wenn wir Leuten die Möglichkeit geben , „ Red Orbs " käuflich zu erwerben , dann ist das etwas , das wir ihnen als Option bereitstellen möchten . 

FIPs FIP | w_freq: 1 - 6 | wiki_freq: 28 - 177 | sentence_idx: 983791 | align_1: 18-19 | align_2: 19-24 | entity: none - FIP |    In our efforts to make sustainable fishing the only option , we actively support fisheries improvement projects ( FIPs ) in some of the world ’s major fishing grounds , such as Mauritania and Mexico . ||| Bei unserm Engagement , aus der nachhaltigen Fischerei die einzige Option zu machen , unterstützen wir aktiv Fischereiverbesserungsprojekte ( FIP , Fishery Improvement Projects ) , in einigen der wichtigsten Fangebiete der Welt wie Mauretanien und Mexiko . 

Coronaviruses Coronaviren | w_freq: 1 - 3 | wiki_freq: 80 - 423 | sentence_idx: 994858 | align_1: 12-12 | align_2: 13-17 | entity: Coronaviruses - none |    The BBC also reports that this virus is just one of six Coronaviruses known to infect people . ||| Die BBC berichtet auch , dass dieses Virus nur einer von sechs Coronaviren ist , von denen bekannt ist , dass sie Menschen infizieren . 

