E-32 E-32 | w_freq: 15 - 16 | wiki_freq: 14 - 1 | sentence_idx: 13808 | align_1: 0-0 | align_2: 1-5 | ner_entity: none-E-32 |    E-32 I was just given a new Bible . ||| E-32 Tout récemment , on m' a offert une nouvelle Bible .
al-Burooj sourat | w_freq: 2 - 2 | wiki_freq: 0 - 2 | sentence_idx: 431886 | align_1: 22-24 | align_2: 23-29 | ner_entity: al-Burooj-none |    “ By the witnessing day [ Friday ] and by the witnessed day [ the Day of Arafah ] . ” [ al-Burooj 85:3 ] . ||| d’ ici - bas et au Jour [ dernier ] où se dresseront les Témoins ( les Anges de protection ) . » [ sourat Ghafir / ‘ ayah 51 ]

al-Burooj Ghafir | w_freq: 2 - 3 | wiki_freq: 0 - 6 | sentence_idx: 431886 | align_1: 22-25 | align_2: 23-29 | ner_entity: al-Burooj-Ghafir |    “ By the witnessing day [ Friday ] and by the witnessed day [ the Day of Arafah ] . ” [ al-Burooj 85:3 ] . ||| d’ ici - bas et au Jour [ dernier ] où se dresseront les Témoins ( les Anges de protection ) . » [ sourat Ghafir / ‘ ayah 51 ]

MERC MERC | w_freq: 1 - 1 | wiki_freq: 119 - 41 | sentence_idx: 440073 | align_1: 1-0 | align_2: 2-5 | ner_entity: MERC-MERC |    Does MERC actively look for employment opportunities for me ? ||| MERC cherche t’ il pro activement des opportunités d’ emploi pour moi ?

E-163 E-163 | w_freq: 9 - 9 | wiki_freq: 0 - 1 | sentence_idx: 443942 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-E-163 |    E-163 I was thinking of another hungry person . ||| E-163 ( 133 ) Je pensais à un autre affamé .

E-52 E-52 | w_freq: 23 - 24 | wiki_freq: 3 - 1 | sentence_idx: 452996 | align_1: 0-0 | align_2: 1-5 | ner_entity: none-E-52 |    E-52 I may never see you again , friends . ||| E-52 Peut - être que je ne vous reverrai plus jamais , ami .

Shu'aib ayb | w_freq: 2 - 2 | wiki_freq: 29 - 28 | sentence_idx: 459577 | align_1: 11-6 | align_2: 12-13 | ner_entity: Shu'aib-Chou’ ayb |    [ 7.92 ] It seemed as if those who had belied Shu'aib had never lived there . ||| 7 92 Ceux qui rejetèrent Chou’ ayb disparurent , comme s’ ils n’ avaient jamais existé .

Shu'aib Chou’ | w_freq: 2 - 1 | wiki_freq: 29 - 0 | sentence_idx: 459577 | align_1: 11-5 | align_2: 12-13 | ner_entity: Shu'aib-Chou’ ayb |    [ 7.92 ] It seemed as if those who had belied Shu'aib had never lived there . ||| 7 92 Ceux qui rejetèrent Chou’ ayb disparurent , comme s’ ils n’ avaient jamais existé .

E-82 E-82 | w_freq: 17 - 19 | wiki_freq: 12 - 1 | sentence_idx: 469152 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-E-82 |    E-82 The beast , churches , called churches , they are not churches . ||| E-82 ( 185 ) La bête , les églises , appelées églises , elles ne sont pas des églises .

Optina Optina | w_freq: 1 - 1 | wiki_freq: 105 - 98 | sentence_idx: 471971 | align_1: 5-5 | align_2: 6-9 | ner_entity: Optina-Optina |    Among the people who visited Optina were the names of well-known figures of those years . ||| Parmi les personnes qui visitaient Optina , il y avait les noms de figures bien connues de ces années -là .

Draejan Draejan | w_freq: 2 - 2 | wiki_freq: 0 - 0 | sentence_idx: 474241 | align_1: 7-7 | align_2: 8-12 | ner_entity: Draejan-Draejan |    None of the other nobles , including Draejan reacted in a suspicious manner . ||| Aucun des autres nobles , y compris Draejan , personne n’ avait réagi de manière suspicieuse .

Kaspersky Kaspersky | w_freq: 19 - 19 | wiki_freq: 760 - 219 | sentence_idx: 477620 | align_1: 4-6 | align_2: 5-11 | ner_entity: Kaspersky-Kaspersky |    Yet when experts of Kaspersky examined these devices , it has been shown that the Absolute Software ’s program was indeed present . ||| Pourtant , lorsque les experts de Kaspersky ont procédé à l’ examen de ces appareils , il a été démontré que le programme d’ Absolute Software était bel et bien présent .

DevBlog DevBlog | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 479530 | align_1: 3-5 | align_2: 4-10 | ner_entity: DevBlog-DevBlog |    We wrote a DevBlog that might interest developers ( 2D or not ): WEB ! ||| Nous avons publié un nouveau DevBlog ( en anglais ) qui pourrait intéresser les développeurs ( 2D ou non ) : WEB !

E-43 E-43 | w_freq: 13 - 14 | wiki_freq: 6 - 1 | sentence_idx: 479938 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-E-43 |    E-43 If this day being so important , one of the greatest days , let us look at three different things that day meant to us . ||| E-43 ( 26 ) Si ce jour est tellement important qu' il est l' un des plus grands jours , examinons trois choses distinctes que ce jour représentait pour nous .

SADC SADC | w_freq: 30 - 31 | wiki_freq: 866 - 132 | sentence_idx: 483789 | align_1: 2-4 | align_2: 3-9 | ner_entity: SADC Investment Protocol-Protocole de la SADC |    The 2006 SADC Investment Protocol , for its part , states the need to integrate foreign investment into the larger framework of sustainable development . ||| Le Protocole de la SADC de 2006 sur l’ investissement affirme pour sa part la nécessité d’ intégrer l’ investissement étranger au cadre plus large du développement durable .

Grubach Grubach | w_freq: 2 - 2 | wiki_freq: 6 - 3 | sentence_idx: 494007 | align_1: 4-5 | align_2: 5-12 | ner_entity: Paul Grubach-Paul Grubach |    At the time Paul Grubach had not shrunk from writing : " Mark Weber is to be congratulated [ … ] . ||| A l’ époque , Paul Grubach , pour sa part , n’ avait pas craint d’ écrire : « Mark Weber is to be congratulated [ … ] .

CONF.171/1 CONF.171/1 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 495538 | align_1: 2-2 | align_2: 3-7 | ner_entity: none-CONF.171/1 |    A / CONF.171/1 Provisional Agenda in English and French ; ||| A / CONF.171/1 , Ordre du Jour Provisoire , en Anglais et Français ;

Sougou Sougou | w_freq: 1 - 1 | wiki_freq: 43 - 36 | sentence_idx: 504233 | align_1: 2-2 | align_2: 3-6 | ner_entity: Modou Sougou-Modou Sougou |    ” Modou Sougou is one of my sons and one of our brothers . ||| « Modou Sougou , lui , est un de mes fils et l’ un de nos frères .

Furs Furs | w_freq: 2 - 1 | wiki_freq: 763 - 107 | sentence_idx: 505449 | align_1: 5-5 | align_2: 6-12 | ner_entity: Venus in Furs-Venus in Furs |    A book like Venus in Furs reminds us of what we are - blackness and light . ||| Un livre comme Venus in Furs ( Vénus en Fourrures ) nous rappelle ce que nous sommes - noirceur et lumière .

FONASBA FONASBA | w_freq: 1 - 2 | wiki_freq: 0 - 0 | sentence_idx: 510961 | align_1: 0-0 | align_2: 1-5 | ner_entity: FONASBA Quality Standard-none |    FONASBA Quality Standard now covers 35 countries , 500 companies ||| FONASBA : Le standard de qualité FONASBA couvre désormais 35 pays , 500 entreprises

Yea Annaha | w_freq: 1 - 1 | wiki_freq: 532 - 0 | sentence_idx: 516124 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-Annaha al |    Yea ! verily this is the Truth , this is the Truth , this is the TRUTH . ||| Annaha al - haqq : elle est la vérité .

DNSSEC DNSSEC | w_freq: 4 - 4 | wiki_freq: 276 - 43 | sentence_idx: 520287 | align_1: 6-7 | align_2: 7-11 | ner_entity: DNSSEC-DNSSEC |    A more secure DNS protocol called DNSSEC aims to solve some of these problems , but it has not been widely adopted yet . ||| Un protocole DNS plus sécurisé , appelé DNSSEC , a pour objectif de résoudre certains de ces problèmes , mais il n’ est pas encore largement adopté .

Lampedusa Lampedusa | w_freq: 20 - 20 | wiki_freq: 524 - 449 | sentence_idx: 534123 | align_1: 4-5 | align_2: 5-10 | ner_entity: Lampedusa-Lampedusa |    When I went to Lampedusa three years ago , this phenomenon had already started . ||| Quand je suis allé à Lampedusa , il y a trois ans , ce phénomène commençait déjà .

Iblìs Iblis | w_freq: 1 - 3 | wiki_freq: 0 - 150 | sentence_idx: 537980 | align_1: 12-12 | align_2: 13-16 | ner_entity: Iblìs-Iblis |    So she was turned out of Paradise , and , consorting with Iblìs , became the mother of devils . ||| Alors elle a été chassée du paradis et , en compagnie d' Iblis ( Satan ) , est devenue la mère des diables .

Limbs Limbs | w_freq: 2 - 2 | wiki_freq: 487 - 37 | sentence_idx: 538958 | align_1: 10-11 | align_2: 11-15 | ner_entity: Life Without Limbs-Life Without Limbs |    " The biggest event that our team at Life Without Limbs has seen and maybe the largest event ever in Europe — 800,000 people in the streets of Kyiv Ukraine ! ||| « Le plus grand événement que notre équipe à Life Without Limbs ( LWL ) a vu et peut-être le plus grand événement jamais organisé en Europe – 800 000 personnes rassemblées dans les rues de Kiev en Ukraine !

IVAW IVAW | w_freq: 1 - 1 | wiki_freq: 29 - 0 | sentence_idx: 540180 | align_1: 4-3 | align_2: 5-8 | ner_entity: IVAW-IVAW |    WW : Will the IVAW also confront recruiters ? ||| WW : l' IVAW va - t' elle aussi affronter les recruteurs ?

SAAHA SAAHA | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 547377 | align_1: 6-6 | align_2: 7-14 | ner_entity: SAAHA-SAAHA |    South African Animal Health Association ( SAAHA ) ( 1 ) representing industry ||| South African Animal Health Association ( SAAHA - Association sud-africaine pour la santé animale ) ( 1 ) représentant l’ industrie

KAIST KAIST | w_freq: 6 - 6 | wiki_freq: 361 - 38 | sentence_idx: 562821 | align_1: 2-3 | align_2: 3-8 | ner_entity: KAIST-KAIST |    L’X and KAIST already identified fields of cooperation : ||| L’ X et KAIST ont d’ ores et déjà identifié des domaines de collaboration :

1,638 638 | w_freq: 1 - 4 | wiki_freq: 143 - 584 | sentence_idx: 576306 | align_1: 1-2 | align_2: 2-6 | ner_entity: 1,638-none |    And 1,638 are in need of emergency assistance in the northern town of Galkayo . ||| Et 1 638 d’ entre elles ont besoin d' une aide d' urgence dans la ville de Galkayo , au nord .

Beiral Beiral | w_freq: 1 - 1 | wiki_freq: 2 - 0 | sentence_idx: 579545 | align_1: 7-7 | align_2: 8-11 | ner_entity: Beiral-Beiral |    But after he made the people , Beiral realised that the people had no lands ! ||| Mais après avoir créé le peuple , Beiral s’ est rendu compte que les gens n’ avaient pas de terre !

Kaizuka Kaizuka | w_freq: 1 - 1 | wiki_freq: 131 - 38 | sentence_idx: 587864 | align_1: 0-0 | align_2: 1-4 | ner_entity: Kaizuka-Kaizuka |    Kaizuka actually joined in the production of the song when it was almost complete . ||| Kaizuka s’ est en fait joint à la production de la chanson quand elle était presque terminée .

Badoer Badoer | w_freq: 1 - 1 | wiki_freq: 452 - 236 | sentence_idx: 592121 | align_1: 10-11 | align_2: 11-16 | ner_entity: Luca Badoer-Luca Badoer |    “ For sure it is an important race for Luca Badoer next weekend . ||| « Bien sûr , c' est une course importante pour Luca Badoer le week - end prochain .

Arthro-5 Arthro-5 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 610300 | align_1: 9-9 | align_2: 10-13 | ner_entity: none-Arthro-5 |    We do not know a more potent product than Arthro-5 in the whole world . ||| Nous ne connaissons aucun produit plus puissant que l' Arthro-5 , nulle part dans le monde !

C‑44 C‑44 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 619764 | align_1: 7-7 | align_2: 8-15 | ner_entity: Bill C‑44-C‑44 |    “ The infrastructure bank portion of Bill C‑44 will be studied for just one hour . ||| « La portion du projet de loi C‑44 portant sur la Banque de l’ infrastructure sera étudiée pendant une heure seulement .

Vaccinations Vaccinations | w_freq: 9 - 1 | wiki_freq: 227 - 22 | sentence_idx: 624960 | align_1: 4-5 | align_2: 5-9 | ner_entity: none-Vaccinations |    The Forgotten History of Vaccinations You Need to Be Aware Of by Dr. Mercola ||| - L' histoire oubliée des Vaccinations , de que vous devez être au courant par le Dr Mercola

Jomtien Jomtien | w_freq: 6 - 6 | wiki_freq: 79 - 18 | sentence_idx: 625932 | align_1: 4-3 | align_2: 5-8 | ner_entity: Jomtien-Jomtien |    The commitment made at Jomtien 10 years ago promised education as a reality for all in 2000 . ||| L’ engagement de Jomtien , il y a dix ans , promettait l’ éducation comme une réalité pour tous en l’ an 2000 .

El-Azar-us Azar | w_freq: 1 - 4 | wiki_freq: 0 - 211 | sentence_idx: 639384 | align_1: 8-11 | align_2: 9-21 | ner_entity: El-Azar-us-El - Azar |    He performed miracles and raised one man , El-Azar-us , from the dead . ||| Il effectua des miracles et éleva un homme , El - Azar - us ( ' El - Osiris ' ) , d’ entre les morts .

WEB WEB | w_freq: 349 - 363 | wiki_freq: 257 - 122 | sentence_idx: 640522 | align_1: 16-20 | align_2: 17-26 | ner_entity: none-WEB |    The most blatant example , is the report on " Education and Gender Equality " [ WEB issued in January 2005 . ||| L' exemple le plus flagrant , est le rapport sur " l' éducation et l' égalité des sexes " [ WEB en Anglais , qui est sorti en janvier 2005 .

NASB Ivano | w_freq: 1 - 2 | wiki_freq: 145 - 531 | sentence_idx: 645040 | align_1: 5-2 | align_2: 6-9 | ner_entity: NASB-Ivano |    The NET Bible and the NASB read , “ The kingdom of God is in your midst , ” while the NIV says , “ within you . ” ||| Pour moi Ivano , je suis sûre que Jésus parlait au présent : " le Royaume des Cieux est au - dedans de vous " selon les traductions ou " au milieu de vous " selon d' autres .

Gottesfeld Gottesfeld | w_freq: 1 - 1 | wiki_freq: 33 - 3 | sentence_idx: 656853 | align_1: 3-2 | align_2: 4-7 | ner_entity: Marty Gottesfeld-Marty Gottesfeld |    Why was Marty Gottesfeld transferred to MDC Brooklyn and not directly to a low-security prison ? ||| Pourquoi Marty Gottesfeld a -t -il été transféré au MDC de Brooklyn et pas directement dans une prison à sécurité réduite ?

12:43 12:43 | w_freq: 1 - 1 | wiki_freq: 38 - 1 | sentence_idx: 666138 | align_1: 1-2 | align_2: 2-6 | ner_entity: 12:43-none |    Luke 12:43 reads , “ Blessed is that servant , whom his lord when he cometh shall find so doing . ” ||| Selon Luc 12:43 , Christ a déclaré : “ Heureux cet esclave , si son maître , en arrivant , le trouve faisant ainsi ! ”

Felpham Felpham | w_freq: 1 - 1 | wiki_freq: 109 - 5 | sentence_idx: 720641 | align_1: 6-6 | align_2: 7-10 | ner_entity: Felpham-Felpham |    " [ The town of ] Felpham is a sweet place for Study , because it is more spiritual than London . ||| « [ La ville de ] Felpham ( en ) est une douce place pour étudier car elle est plus spirituelle que Londres .

Truthout Truthout | w_freq: 1 - 1 | wiki_freq: 109 - 2 | sentence_idx: 724466 | align_1: 1-0 | align_2: 2-5 | ner_entity: Truthout-Truthout |    Did Truthout not notice that Obama continued the policy of “ killing them ( Muslims ) over there ” ? ||| Truthout n' a -t -il pas remarqué qu' Obama a poursuivi la politique de " les tuer ( musulmans ) là - bas " ?

Dalli Dalli | w_freq: 2 - 2 | wiki_freq: 304 - 47 | sentence_idx: 735720 | align_1: 4-4 | align_2: 5-10 | ner_entity: John Dalli-M. John Dalli |    Statement by Commissioner John Dalli : The adoption of Food Information regulation is good news for consumers ||| Déclaration de M. John Dalli , membre de la Commission : l’ adoption d’ un règlement relatif à l’ information sur les denrées alimentaires est une bonne nouvelle pour les consommateurs

FPF FPF | w_freq: 5 - 5 | wiki_freq: 639 - 325 | sentence_idx: 736378 | align_1: 4-5 | align_2: 5-11 | ner_entity: FPF-FPF |    In the case of FPF even to avoid speculation and in defense of the institution itself . ||| Dans le cas de la FPF , je l’ ai fait même pour éviter la spéculation et pour défendre l’ institution elle-même .

Kauppi Kauppi | w_freq: 1 - 1 | wiki_freq: 153 - 33 | sentence_idx: 737295 | align_1: 41-46 | align_2: 42-51 | ner_entity: Piia-Noora Kauppi-Noora Kauppi |    Jean-Pierre Audy ( PPE-DE ) , in writing . – ( FR ) I voted in favour of the European Parliament resolution on tax treatment of losses in cross-border situations , based on the own-initiative report by my excellent colleague Piia-Noora Kauppi in response to a communication from the European Commission on the same subject . ||| Jean-Pierre Audy ( PPE - DE ) , par écrit . – ( FR ) J’ ai voté la résolution du parlement européen sur le traitement fiscal des pertes dans les situations transfrontalières prise sur le rapport d’ initiative de mon excellente collègue Piia - Noora Kauppi et , ce , en réponse à une communication de la commission européenne sur le même sujet .

Beracah Beraca | w_freq: 2 - 2 | wiki_freq: 5 - 0 | sentence_idx: 752876 | align_1: 31-32 | align_2: 32-40 | ner_entity: Beracah-Beraca |    On the fourth day they assembled themselves in the valley of Beracah ; for there they blessed the Lord , therefore the name of that place was called The valley of Beracah to this day . ||| Le quatrième jour , ils s ’ assemblèrent [ qahal ] dans la vallée de Beraca , où ils bénirent l’ Eternel ; c’ est pourquoi ils appelèrent ce lieu vallée de Beraca , nom qui lui est resté jusqu’ à ce jour .

HAVE Ayez | w_freq: 28 - 49 | wiki_freq: 268 - 52 | sentence_idx: 778318 | align_1: 2-0 | align_2: 3-4 | ner_entity: none-Ayez |    THEREFORE , HAVE HOPE BECAUSE A GREATER POWER is in the world . ||| Ayez donc de l’ espoir car un pouvoir supérieur est dans le monde .

E-13 E-13 | w_freq: 18 - 18 | wiki_freq: 19 - 3 | sentence_idx: 787103 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-E-13 |    E-13 Now , before you can have a victory , there has to be a battle . ||| E-13 ( 36 ) Maintenant , avant que vous ne puissiez remporter une victoire , il doit y avoir une bataille .

Paraty Paraty | w_freq: 2 - 2 | wiki_freq: 169 - 86 | sentence_idx: 787364 | align_1: 5-5 | align_2: 6-13 | ner_entity: Paraty-Paraty |    In Angra dos Reis and Paraty credit card use is more difficult , especially in Ilha Grande . ||| Dans Angra dos Reis et Paraty , l’ utilisation de la carte de crédit est plus difficile , en particulier dans Ilha Grande .

Motorcycling Motorcycling | w_freq: 1 - 1 | wiki_freq: 278 - 1 | sentence_idx: 802324 | align_1: 5-5 | align_2: 6-13 | ner_entity: International Foundation for Motorcycling-International Foundation for Motorcycling |    IFM ( International Foundation for Motorcycling ): In May the Board approved on principle the creation of a Foundation for the FIM . ||| IFM ( International Foundation for Motorcycling , Fondation internationale pour la moto ) : en mai , le conseil d' administration a approuvé en principe la création d' une fondation pour la FIM .

E-15 E-15 | w_freq: 29 - 28 | wiki_freq: 34 - 6 | sentence_idx: 804677 | align_1: 0-0 | align_2: 1-5 | ner_entity: none-E-15 |    E-15 Not long ago , when we were coming into Bombay , I just ... ||| E-15 Il n’ y a pas longtemps , quand nous sommes arrivés à Bombay , je ...

Daesh Daesh | w_freq: 75 - 39 | wiki_freq: 371 - 205 | sentence_idx: 817230 | align_1: 6-4 | align_2: 7-10 | ner_entity: Daesh-Daesh |    “ We must combat all of Daesh including its financiers and its propagandists . ||| “ nous devons combattre Daesh dans son intégralité , y compris ses financiers et ses propagandistes .

Joyners Joyners | w_freq: 1 - 1 | wiki_freq: 8 - 0 | sentence_idx: 840191 | align_1: 2-2 | align_2: 3-6 | ner_entity: Joyners-Joyners |    Thanks to Joyners manage more than 85 users through its platform . ” ||| Grâce à Joyners , nous nous occupons de plus de 85 utilisateurs sur sa plateforme . ”

ANSES Anses | w_freq: 3 - 2 | wiki_freq: 97 - 381 | sentence_idx: 840748 | align_1: 10-8 | align_2: 11-13 | ner_entity: none-Anses |    So , how were these 13 new pollutants identified by ANSES ? ||| Comment ces 13 nouveaux polluants identifiés par l’ Anses ont -ils été choisis ?

Narbonnaise Narbonnaise | w_freq: 1 - 1 | wiki_freq: 11 - 743 | sentence_idx: 857060 | align_1: 4-2 | align_2: 5-7 | ner_entity: Narbonnaise-Narbonnaise |    The whole of the Narbonnaise produces the same fruits as Italy . ||| Toute la Narbonnaise , en effet , produit les mêmes fruits que l' Italie

Petitjean Petitjean | w_freq: 1 - 1 | wiki_freq: 137 - 491 | sentence_idx: 858980 | align_1: 1-1 | align_2: 2-5 | ner_entity: Claude Petitjean-Claude Petitjean |    Claude Petitjean prefers to talk about his role and " simple , but determined gestures . " ||| Claude Petitjean , lui , préfère parler de son rôle et de “ gestes simples , mais déterminés . ”

Diadeis Diadeis | w_freq: 1 - 1 | wiki_freq: 0 - 12 | sentence_idx: 862690 | align_1: 6-6 | align_2: 7-10 | ner_entity: Diadeis-Diadeis |    It is in this context that Diadeis acquired DIALOGUE Engine . ||| C’ est dans ce contexte que Diadeis a fait l’ acquisition de DIALOGUE Engine .

BOYS GARÇONS | w_freq: 1 - 1 | wiki_freq: 105 - 8 | sentence_idx: 863391 | align_1: 19-19 | align_2: 20-23 | ner_entity: none-LES GARÇONS |    Like , they ’d need a restraining order and four polizia to make me leave — I LOVE YOU BOYS ALL SO VERY VERY VERY VERY MUCH ( call me ) . ||| Du genre , il leur faudrait un mandat d’ arrêt et quatre polizia pour me faire partir – LES GARÇONS , JE VOUS AIME VRAIMENT VRAIMENT VRAIMENT BEAUCOUP ( appelez -moi ) .

Salesians Salésiens | w_freq: 15 - 11 | wiki_freq: 771 - 178 | sentence_idx: 875115 | align_1: 3-4 | align_2: 4-9 | ner_entity: Salesians-Salésiens |    “ When the Salesians first came in 1938 , they wanted to spread faith and culture to this periphery of Bratislava . ||| « Quand a les Salésiens arrivèrent , pour la première fois , en 1938 , ils voulaient diffuser la foi et la culture en cette périphérie de Bratislava .

Syriza Syriza | w_freq: 93 - 95 | wiki_freq: 532 - 44 | sentence_idx: 898287 | align_1: 3-1 | align_2: 4-7 | ner_entity: Syriza-Syriza |    And even if Syriza never fully clarified its position on the euro , it did always reject the logic of “ the euro at any price . ” ||| Et Syriza , s’ il n’ avait jamais clarifié sa position sur l’ euro , avait toujours refusé la logique de « l’ euro à tout prix » .

E-85 E-85 | w_freq: 13 - 14 | wiki_freq: 22 - 3 | sentence_idx: 908344 | align_1: 0-0 | align_2: 1-6 | ner_entity: none-E-85 |    E-85 Anybody in here believe that you can be healed right now ? ||| E-85 Y a -t -il quelqu' un ici qui croit qu' il peut être guéri à l' instant même ?

E-56 E-56 | w_freq: 14 - 15 | wiki_freq: 2 - 3 | sentence_idx: 912292 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-E-56 |    E-56 No wonder they could n't see Him . ||| E-56 Ce n’ est pas étonnant qu’ ils n’ aient pas pu Le voir .

Norvinic Norvinic | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 920690 | align_1: 3-3 | align_2: 4-7 | ner_entity: Norvinic-Norvinic |    In 2004 , Norvinic acquired other trucks to increase its fleet to four vehicles . ||| En 2004 , Norvinic a fait l’ acquisition d’ autres camions pour augmenter sa flotte à 4 véhicules .

E-5 E-5 | w_freq: 26 - 29 | wiki_freq: 264 - 32 | sentence_idx: 929956 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-E-5 |    E-5 Now , this brother , the brethren forgot it , but he is holding a meeting here in your city . ||| E-5 ( 3 ) Eh bien , ce frère , les frères avaient oublié cela , mais il tient une série de réunions ici dans votre ville .

RtCW RtCW | w_freq: 1 - 1 | wiki_freq: 1 - 4 | sentence_idx: 944462 | align_1: 11-12 | align_2: 12-17 | ner_entity: RtCW-RtCW |    No real support from Activision , except a free copy of RtCW sent by them ! ||| Pas de véritable support d’ Activision , sauf une copie gratuite de RtCW qu’ ils m’ avaient envoyée !

E-36 E-36 | w_freq: 27 - 30 | wiki_freq: 2 - 2 | sentence_idx: 945746 | align_1: 0-0 | align_2: 1-5 | ner_entity: E-36-none |    E-36 Such a person and such a man , such a time and how they felt ... ||| E-36 ( 38 ) Une telle personne et un tel homme , un tel moment et comment ils ont senti ...

76:23 76:23 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 950204 | align_1: 0-0 | align_2: 1-6 | ner_entity: 76:23-none |    76:23 We have sent down to you the Quran at once . ||| 76:23 En vérité , c’ est Nous qui t’ avons révélé le Coran graduellement .

Fora Fora | w_freq: 2 - 3 | wiki_freq: 845 - 322 | sentence_idx: 957535 | align_1: 40-42 | align_2: 41-50 | ner_entity: Juiz de Fora-Holy House of Juiz de Fora |    " First , I wish to thank God for the fact that I am alive , that a truly miraculous operation was done ( on me ) by the hands of the professionals of the Holy House of Juiz de Fora ( hospital ) . ||| «   En premiers lieux , je veux remercier Dieu pour le fait que je sois toujours vivant , qu’ une opération vraiment miraculeuse ait été faite ( sur moi ) par les mains des professionnels de la Holy House of Juiz de Fora [ Maison Sainte de Juiz de Fora ( hôpital)].

Deployed Deployed | w_freq: 3 - 2 | wiki_freq: 733 - 1 | sentence_idx: 957980 | align_1: 5-7 | align_2: 6-15 | ner_entity: none-Remember Everyone Deployed |    Red for " Remember Everyone Deployed . " ||| " RED " pour " Remember Everyone Deployed " ( Pensées aux troupes projetées ) .

Gowdie Gowdie | w_freq: 1 - 1 | wiki_freq: 104 - 11 | sentence_idx: 959303 | align_1: 3-3 | align_2: 4-7 | ner_entity: Vern Gowdie-Vern Gowdie |    You and Vern Gowdie tried to buy it . ||| Toi et Vern Gowdie , vous aviez essayé d’ en acheter .

E-205 E-205 | w_freq: 6 - 8 | wiki_freq: 0 - 0 | sentence_idx: 959918 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-E-205 |    E-205 And , yet , of all the gifts that we have received , many of us has never received that great Gift yet . ||| E-205 ( 204 ) Et , malgré tous les cadeaux que nous avons reçus , beaucoup parmi nous n' ont pas encore reçu ce grand cadeau .

Googlewash Googlewash | w_freq: 1 - 1 | wiki_freq: 1 - 0 | sentence_idx: 970086 | align_1: 2-3 | align_2: 3-7 | ner_entity: Googlewash-Googlewash |    And this Googlewash took just 42 days . ||| Et ce « Googlewash » n’ a pris que 42 jours .

Chinaski Chinaski | w_freq: 1 - 1 | wiki_freq: 132 - 16 | sentence_idx: 984705 | align_1: 7-8 | align_2: 8-13 | ner_entity: Chinaski-Chinaski |    Well , you ai n't God , Chinaski , relax and have another drink . ||| Enfin , tu n' es pas Dieu , Chinaski , détends - toi , prends un truc , un autre verre .

E-145 E-145 | w_freq: 8 - 9 | wiki_freq: 2 - 1 | sentence_idx: 986860 | align_1: 0-0 | align_2: 1-4 | ner_entity: E-145-none |    E-145 God will bless , but that blessing 's got to come under certain circumstances , certain requirements that you must meet . ||| E-145 ( 54 ) Dieu bénira , mais cette bénédiction doit venir sous certaines circonstances , certaines exigences que vous devez remplir .

VOCALOIDs VOCALOIDs | w_freq: 1 - 1 | wiki_freq: 4 - 0 | sentence_idx: 987345 | align_1: 7-8 | align_2: 8-12 | ner_entity: none-VOCALOIDs |    BIGHEAD : I do not think that VOCALOIDs themselves have personalities . ||| BIGHEAD : Je ne pense pas que les VOCALOIDs en eux - mêmes aient une personnalité .

5.2.3 5.2.3 | w_freq: 2 - 2 | wiki_freq: 11 - 0 | sentence_idx: 993640 | align_1: 0-0 | align_2: 1-5 | ner_entity: 5.2.3-none |    5.2.3 CRA employees will not allow a prospect for future employment to give rise to a conflict of interest . ||| 5.2.3 Les employés de l’ ARC ne permettront pas qu’ une perspective future d’ emploi donne lieu à un conflit d’ intérêts .

Repent Repentez | w_freq: 2 - 2 | wiki_freq: 161 - 7 | sentence_idx: 995991 | align_1: 0-0 | align_2: 1-5 | ner_entity: none-Repentez |    Repent , for the Kingdom of Heaven is near , ||| Repentez -vous ( metanoeo ) , car le royaume des cieux est proche .

L-58 E-58 | w_freq: 2 - 29 | wiki_freq: 2 - 2 | sentence_idx: 999179 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-E-58 |    L-58 Why did there ... was there mysteries that was still hid ? ||| E-58 ( 45 ) Pourquoi y a -t -il eu ... y avait -il des mystères qui étaient encore cachés ?

