11.1 11.1 | w_freq: 10 - 11 | wiki_freq: 4843 - 61 | sentence_idx: 2411 | align_1: 0-0 | align_2: 1-5 | entity: 11.1 Party - none |    11.1 Party autonomy , as recognised by the Principles , is not absolute . ||| 11.1 L’ autonomie de la volonté , telle que reconnue par les Principes , n’ est pas absolue . 
TFEU TFUE | w_freq: 29 - 27 | wiki_freq: 445 - 278 | sentence_idx: 264970 | align_1: 2-3 | align_2: 3-8 | entity: Article 24 TFEU - TFUE |    Article 24 TFEU directly governs the way in which the European institutions work regarding the use of the twenty-four languages . ||| L' article 24 TFUE régit , de façon directe , le mode de travail des institutions européennes quant à l' utilisation des vingt-quatre langues . 

UI UI | w_freq: 15 - 20 | wiki_freq: 3315 - 251 | sentence_idx: 266876 | align_1: 12-11 | align_2: 13-15 | entity: UI - UI |    Why not put in an additional 20 % and create our own UI which we are pretty adept at anyway . ||| Pourquoi ne pas y ajouter 20 % et créer notre propre UI , ce à quoi nous sommes plutôt habitués de toute façon . 

WMO WMO | w_freq: 5 - 1 | wiki_freq: 816 - 17 | sentence_idx: 276689 | align_1: 3-4 | align_2: 4-14 | entity: WMO - WMO |    ‘ Even if WMO agrees , I will still not pass on the data . ||| « Même si la WMO [ Organisation mondiale de la météorologie ] est d’ accord , je ne vais toujours pas transmettre les données . 

11.13 11.13 | w_freq: 2 - 2 | wiki_freq: 121 - 4 | sentence_idx: 277971 | align_1: 0-0 | align_2: 1-5 | entity: 11.13 - none |    11.13 Are there new passport requirements for travel to the United States under the VWP ? ||| 11.13 Y - a -t -il de nouvelles exigences concernant les passeports pour voyager aux USA via le VWP ? 

Mohamud Mohamud | w_freq: 1 - 1 | wiki_freq: 680 - 18 | sentence_idx: 280811 | align_1: 2-1 | align_2: 3-11 | entity: Mohamud - Mohamud |    Somalia President Mohamud also acknowledged that this is a major difficulty . ||| M. Mohamud , le président de la Somalie , a lui aussi reconnu qu’ il s’ agissait d’ une difficulté majeure . 

Delivering Livrer | w_freq: 8 - 1 | wiki_freq: 544 - 9 | sentence_idx: 281668 | align_1: 5-5 | align_2: 6-10 | entity: none - Croyance # 3 : « Livrer de la valeur d’ affaires |    Belief # 3 : “ Delivering business value is more important than individual employee utilization . ” ||| Croyance # 3 : «   Livrer de la valeur d’ affaires est plus important que l’ utilisation individuelle des employés .   » 

Abed Abed | w_freq: 6 - 6 | wiki_freq: 1724 - 309 | sentence_idx: 282928 | align_1: 3-4 | align_2: 4-9 | entity: Abed - Abed |    And I took Abed and we went to see this awful building . ||| Et j’ ai pris Abed [ son chauffeur ] et nous sommes allés voir ce terrible bâtiment . 

Alsatian alsacien | w_freq: 11 - 4 | wiki_freq: 1540 - 3805 | sentence_idx: 285306 | align_1: 6-8 | align_2: 7-13 | entity: Alsatian - none |    Was the teaching of German and Alsatian replaced by Arabic and Turkish in a primary school in Alsace ? ||| L’ enseignement de l’ allemand et de l' alsacien a -t -il été remplacé par l’ arabe et le turc dans une école primaire d’ Alsace ? 

Fernanda Fernanda | w_freq: 5 - 5 | wiki_freq: 2248 - 598 | sentence_idx: 289560 | align_1: 2-2 | align_2: 3-7 | entity: Fernanda - Fernanda |    My beloved Fernanda is making this same transition in her own way in Mexico , in her own context . ||| Ma bien-aimée Fernanda , elle aussi , opère cette même transition , à sa manière au Mexique , dans son contexte . 

E-194 E-194 | w_freq: 8 - 6 | wiki_freq: 0 - 0 | sentence_idx: 295564 | align_1: 0-0 | align_2: 1-4 | entity: none - E-194 |    E-194 But God has got a Christmas Present for you tonight . ||| E-194 ( 193 ) Mais Dieu a un Cadeau de Noël pour vous ce soir . 

CRM CRM | w_freq: 67 - 68 | wiki_freq: 1677 - 377 | sentence_idx: 300253 | align_1: 5-5 | align_2: 6-11 | entity: CRM - CRM |    We like to think of CRM as an invisible personal assistant . ||| Nous aimons penser que le CRM , c’ est un peu comme un assistant personnel invisible . 

Galton Galton | w_freq: 9 - 9 | wiki_freq: 1907 - 491 | sentence_idx: 300738 | align_1: 7-7 | align_2: 8-12 | entity: Galton - Galton |    The only solution received did not please Galton ... ||| La seule solution n' a pas reçu Galton s’ il vous plaît ... 

Muzito Muzito | w_freq: 1 - 1 | wiki_freq: 61 - 115 | sentence_idx: 303887 | align_1: 1-1 | align_2: 2-6 | entity: Adolphe Muzito - Adolphe Muzito |    Adolphe Muzito therefore believes that the Congolese people generally need moral and psychological support . ||| Adolphe Muzito pense , de ce fait , que le peuple congolais a besoin de manière générale d’ un soutien moral et psychologique . 

Imams imams | w_freq: 9 - 33 | wiki_freq: 1807 - 778 | sentence_idx: 307049 | align_1: 6-7 | align_2: 7-13 | entity: Imams - none |    We are also in talks with Imams to determine what might be considered haram , and therefore , be blocked ” . ||| Nous sommes également en pourparlers avec les imams [ érudits musulmans ] , pour déterminer ce qui pourrait être considéré comme haram et donc d' être bloqué " . 

Mataji Mataji | w_freq: 18 - 18 | wiki_freq: 239 - 37 | sentence_idx: 313739 | align_1: 7-5 | align_2: 8-9 | entity: Mataji - Mataji |    They started saying , " When is Mataji coming ? ||| Ils ont commencé à dire:"Quand Mataji va -t -elle venir ? 

E-35 E-35 | w_freq: 22 - 25 | wiki_freq: 12 - 1 | sentence_idx: 316833 | align_1: 0-0 | align_2: 1-4 | entity: none - E-35 |    E-35 And then , we seen all along the road the hand of the Lord . ||| E-35 ( 33 ) Et puis , nous avons vu , tout le long du chemin , la main du Seigneur . 

Morag Morag | w_freq: 5 - 5 | wiki_freq: 897 - 53 | sentence_idx: 317961 | align_1: 5-8 | align_2: 6-13 | entity: Morag - Morag |    Just as they supported destroying Morag eight years ago . ||| Exactement comme ils ont soutenu la destruction de Morag , il y a huit ans . 

Nomads Nomades | w_freq: 6 - 4 | wiki_freq: 1809 - 209 | sentence_idx: 325240 | align_1: 5-6 | align_2: 6-11 | entity: World Nomads - Nomades |    The cool thing about World Nomads is that they are travelers too so they created a service that covers the way they traveled . ||| Ce qui est cool avec les Nomades du Monde , c’ est qu’ ils sont aussi des voyageurs , alors ils ont créé un service qui couvre la façon dont ils ont voyagé . 

Basques Basques | w_freq: 10 - 7 | wiki_freq: 1758 - 1298 | sentence_idx: 326796 | align_1: 5-10 | align_2: 6-15 | entity: Rimouski-Neigette—Témiscouata—Les Basques - Les Basques |    Does the member for Rimouski-Neigette—Témiscouata—Les Basques not find that the budget is an improvement ? ||| Le député de Rimouski - Neigette — Témiscouata — Les Basques ne trouve -t -il pas que le budget constitue une amélioration ? 

Shu'aib Chuaïb | w_freq: 2 - 3 | wiki_freq: 29 - 0 | sentence_idx: 330047 | align_1: 11-5 | align_2: 12-14 | entity: Shu'aib - Chuaïb |    [ 7.92 ] It seemed as if those who had belied Shu'aib had never lived there . ||| 7 92 Ceux qui traitaient Chuaïb de menteur ( disparurent ) comme s´ils n´y avaient jamais vécu . 

Azerbaijanis azerbaïdjanais | w_freq: 7 - 24 | wiki_freq: 2321 - 2558 | sentence_idx: 334358 | align_1: 18-21 | align_2: 19-25 | entity: Azerbaijanis - none |    This is the only path before us , just as it was in my case when talking with Azerbaijanis changed my view on many things . ||| C’ est le seul moyen avant nous , juste comme cela fut le cas pour moi lorsque , parlant avec des azerbaïdjanais , j’ ai changé mon opinion sur une multitude de choses . 

Cohenim Cohenim | w_freq: 1 - 1 | wiki_freq: 1 - 0 | sentence_idx: 338349 | align_1: 6-8 | align_2: 7-12 | entity: Cohenim - Cohenim |    My parents actually thought we were Cohenim — the real thing . ||| Mes parents croyaient en effet que nous étions Cohenim ( sic ) – le vrai du vrai . 

Guidelines Lignes | w_freq: 73 - 38 | wiki_freq: 4619 - 3010 | sentence_idx: 338498 | align_1: 7-7 | align_2: 8-12 | entity: none - Lignes directrices |    Finally according to section 3.2.1 of the Guidelines for Applicants “ Only projects whose immediate objective is non commercial are eligible . ||| Enfin , selon la section 3.2.1 des Lignes directrices à l’ intention des Demandeurs « seuls les projets dont l’ objectif immédiat est de nature non commerciale sont éligibles . 

Rommel Rommel | w_freq: 4 - 4 | wiki_freq: 4372 - 1626 | sentence_idx: 344516 | align_1: 7-8 | align_2: 8-18 | entity: Rommel - général Rommel |    Eventually , at 4 a.m. , General Rommel attempted intimidation again . ||| Enfin , à 4 heures , le général Rommel a fait , une fois de plus , une tentative d' intimidation . 

E-383 E-383 | w_freq: 4 - 1 | wiki_freq: 0 - 0 | sentence_idx: 351854 | align_1: 0-0 | align_2: 1-4 | entity: none - E-383 |    E-383 How many women in here this morning ... ||| E-383 ( 382 ) Combien de femmes ici ce matin ... 

3.2.10 3.2.10 | w_freq: 1 - 1 | wiki_freq: 9 - 1 | sentence_idx: 352341 | align_1: 0-0 | align_2: 1-4 | entity: 3.2.10 Auto Invest - none |    3.2.10 Auto Invest invests in loans on the secondary market ? ||| 3.2.10 Est -ce que Auto Invest investit dans des prêts sur le marché secondaire ? 

Gnosis Gnose | w_freq: 29 - 30 | wiki_freq: 389 - 103 | sentence_idx: 352421 | align_1: 5-7 | align_2: 6-12 | entity: none - Gnose |    But really , religion and Gnosis disagree with this because we understand the consciousness in a very different way from Western psychology . ||| Mais réellement , la religion et la Gnose ne sont pas d’ accord avec cela parce que nous comprenons la Conscience d’ une manière très différente de la psychologie occidentale . 

Slutwalk Slutwalk | w_freq: 1 - 1 | wiki_freq: 46 - 9 | sentence_idx: 355867 | align_1: 16-19 | align_2: 17-27 | entity: Slutwalk - Slutwalk |    It would appear that , through lack of clarity , something has finally become clear : Slutwalk has lost me . ||| Il semblerait que , par manque de clarté , quelque chose est finalement devenu très clair : la « Slutwalk » ( Marche des salopes ) m’ a perdue . 

MEE MEE | w_freq: 7 - 7 | wiki_freq: 90 - 19 | sentence_idx: 360679 | align_1: 7-6 | align_2: 8-11 | entity: MEE - MEE |    All the young refugees who spoke to MEE emphasised that they do not view the Nakba as simply a historical event which began and ended in 1948 . ||| Tous les jeunes réfugiés avec qui MEE s’ est entretenu ont insisté sur le fait qu’ ils ne considèrent pas la Nakba comme un simple événement historique qui a commencé et s’ est terminé en 1948 . 

Moriah Moriya | w_freq: 6 - 2 | wiki_freq: 946 - 90 | sentence_idx: 361314 | align_1: 6-5 | align_2: 7-10 | entity: Moriah - Moriya |    “ Go to the land of Moriah … on one of the mountains that I shall show you . ” ||| Pars pour le pays de Moriya et là , tu l’ offriras en holocauste sur celle des montagnes que je t’ indiquerai . » 

Kerviel Kerviel | w_freq: 2 - 2 | wiki_freq: 129 - 223 | sentence_idx: 366317 | align_1: 5-5 | align_2: 6-9 | entity: Jérôme Kerviel - Jérôme Kerviel |    ( II ): how Jérôme Kerviel managed to get out of this framework ? ||| II ) : comment Jérôme Kerviel a -t -il réussi à sortir de ce cadre ? 

Syriza Syriza | w_freq: 93 - 95 | wiki_freq: 532 - 44 | sentence_idx: 371356 | align_1: 2-1 | align_2: 3-6 | entity: Syriza - Syriza |    Why was Syriza not able to reach an agreement with the Communist Party ( KKE ) ? ||| Pourquoi Syriza n’ a -t -il pas été en mesure de parvenir à un accord avec le Parti communiste grec ( KKE ) ? 

weblogs Weblogs | w_freq: 1 - 1 | wiki_freq: 171 - 6 | sentence_idx: 379405 | align_1: 15-14 | align_2: 16-19 | entity: none - Weblogs |    [ May 28 , 1999 ] In April 1997 I started one of the first weblogs , Scripting News . ||| [ 28 mai 1999 ] En avril 1997 j' ai démarré un des premiers Weblogs ( carnets Web ) , Scripting News . 

OpKKK OpKKK | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 379516 | align_1: 7-9 | align_2: 8-16 | entity: none - OpKKK |    You should 've expected us . # OpKKK continues to be a success . ||| " Vous auriez dû nous voir venir . # OpKKK [ leur actionanti - KKK ] continue d' être un succès . 

IEM IEM | w_freq: 3 - 4 | wiki_freq: 514 - 213 | sentence_idx: 382145 | align_1: 9-11 | align_2: 10-15 | entity: IEM - none |    In 1988 was created the first prediction market : IEM – the electronic market of Iowa . ||| En 1988 fut créé le premier marché de prédictions : l' IEM ( en ) - le marché électronique de l' Iowa . 

Politico Politico | w_freq: 10 - 10 | wiki_freq: 2534 - 228 | sentence_idx: 388247 | align_1: 8-11 | align_2: 9-15 | entity: Politico - Politico |    Merkel convinces Canada and Japan on CO2 ( Politico ) ||| Merkel convainc le Canada et le Japon sur le CO2 ( Politico , en anglais ) 

Preobrazhensky Préobrazhensky | w_freq: 1 - 1 | wiki_freq: 433 - 0 | sentence_idx: 388251 | align_1: 10-12 | align_2: 11-16 | entity: Preobrazhensky - Préobrazhensky |    If Marx had not been very clear about this , Preobrazhensky had been very clear . ||| Si Marx n’ avait pas été très clair à ce sujet , Préobrazhensky , lui , avait été très clair . 

Abadi Abadi | w_freq: 6 - 8 | wiki_freq: 533 - 176 | sentence_idx: 390924 | align_1: 3-4 | align_2: 4-8 | entity: Abadi - Abadi |    This is what Abadi failed to do throughout his term in office , despite his recent electoral speech about his will to fight corruption . ||| C’ est ce qu’ Abadi n’ a pas réussi à faire tout au long de son mandat , malgré son discours électoral récent sur sa volonté de combattre la corruption . 

Euros Euros | w_freq: 136 - 56 | wiki_freq: 3098 - 524 | sentence_idx: 394524 | align_1: 27-29 | align_2: 28-34 | entity: between 10 and 14 Euros - Euros |    We can do so , but what these taxes could fund , under pretty optimistic assumptions , is an EU-wide monthly Euro-dividend of between 10 and 14 Euros . ||| Nous pouvons le faire , mais ce que ces impôts pourraient financer , avec des hypothèses très optimistes , serait un Euro - dividende mensuel de 10 à 14 Euros partout dans l’ UE . 

Eldred Eldred | w_freq: 4 - 6 | wiki_freq: 1106 - 99 | sentence_idx: 395050 | align_1: 4-5 | align_2: 5-10 | entity: this the Eldred Act - Loi Eldred |    We called this the Eldred Act , but that was just to give it a name . ||| Nous l' appelâmes la Loi Eldred ( NdT : Eldred Act ) , mais c' était juste pour lui donner un nom . 

Precursor Precursor | w_freq: 2 - 1 | wiki_freq: 713 - 35 | sentence_idx: 403693 | align_1: 1-1 | align_2: 2-5 | entity: none - Sentinel-5 Precursor |    Sentinel-5 Precursor focussing on gases and aerosols ; ||| Sentinel-5 Precursor , qui se focalise sur les gaz et les aérosols ; 

Circles Circles | w_freq: 19 - 3 | wiki_freq: 2750 - 181 | sentence_idx: 404163 | align_1: 6-7 | align_2: 7-16 | entity: Swimming in Circles - Swimming in Circles |    They form the whole Swimming in Circles , we can read . ||| Ils forment l' ensemble « Swimming in Circles » ( « nager en cercle » ) , peut -on lire . 

Bourbons Bourbons | w_freq: 6 - 7 | wiki_freq: 1227 - 2947 | sentence_idx: 404180 | align_1: 10-9 | align_2: 11-14 | entity: Bourbons - Bourbons |    Take care , if you remake the bed of the Bourbons not to sleep in 10 years . ||| Prenez garde , si vous refaites le lit des Bourbons , de n’ y pas coucher dans dix ans . 

AIS AIS | w_freq: 12 - 11 | wiki_freq: 2792 - 541 | sentence_idx: 407160 | align_1: 1-0 | align_2: 2-5 | entity: AIS - AIS |    Basically AIS only recognises another ship if that ship is also using AIS . ||| AIS , en effet , ne reconnaît un autre bateau que si celui-ci utilise aussi AIS . 

85/337 85/337 | w_freq: 3 - 3 | wiki_freq: 5 - 3 | sentence_idx: 407447 | align_1: 11-18 | align_2: 12-22 | entity: Article 10a of Directive 85/337 - none |    Article 11 of Directive 2011/92 was originally Article 10a of Directive 85/337 . ||| L’ article 11 de la directive 2011/92 était à l’ origine l’ article 10 bis de la directive 85/337 ( 10 ) . 

tomorrow demain | w_freq: 1307 - 1358 | wiki_freq: 4903 - 2889 | sentence_idx: 409994 | align_1: 7-9 | align_2: 8-13 | entity: tomorrow - none |    It was n't very productive and if tomorrow is dry I will be facing completely new conditions . ||| Il n' a pas été très productif et si demain , la piste est sèche , je ferais face à des conditions complètement nouvelles . 

IPP IPP | w_freq: 3 - 4 | wiki_freq: 1224 - 258 | sentence_idx: 414382 | align_1: 5-7 | align_2: 6-12 | entity: IPP - none |    To obtain permits , the IPP already has several cards in hand , since it has previously concluded an agreement with the central government in Nairobi . ||| Pour l’ obtention des permis , l’ IPP détient d’ ores et déjà plusieurs cartes en mains , puisqu’ il a préalablement conclu un accord avec le gouvernement central à Nairobi . 

Caligastia Caligastia | w_freq: 2 - 2 | wiki_freq: 1 - 0 | sentence_idx: 416846 | align_1: 18-21 | align_2: 19-25 | entity: Caligastia - Caligastia |    But it became impossible for these souls to leave these places around Earth in the way Lucifer and Caligastia acted . ||| Mais cela devenait impossible pour ces âmes de quitter ces lieux autour de la terre de la façon dont Lucifer et Caligastia s’ y sont pris . 

ROTC ROTC | w_freq: 1 - 1 | wiki_freq: 3399 - 47 | sentence_idx: 417877 | align_1: 11-13 | align_2: 12-19 | entity: Army ROTC - ROTC |    Now , during Civil Air Patrol , I also took Army ROTC . ||| Maintenant , pendant la patrouille aérienne civile , j’ ai aussi pris le ROTC de l’ armée de terre . 

106,000 106000 | w_freq: 2 - 1 | wiki_freq: 456 - 9 | sentence_idx: 420072 | align_1: 3-4 | align_2: 4-8 | entity: 106,000 - none |    Costsofwar.com has tallied 106,000 Americans wounded in Iraq and Afghanistan or evacuated from those war zones because of accident or disease . ||| Costsofwar.com a évalué à 106000 le nombre d’ américains blessés en Irak et en Afghanistan , ou évacués de ces zones de guerre , pour cause d’ accident , ou de maladie . 

5.8The 5.8La | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 425184 | align_1: 0-0 | align_2: 1-8 | entity: 5.8The Abortion Information Act - none |    5.8The Abortion Information Act can be described as a system of strict State control governing the manner in which information must be given . ||| 5.8La loi sur l’ information relative à l’ avortement peut être décrite comme un système de contrôle étatique strict régissant la manière dont l’ information doit être fournie . 

millennials Millenials | w_freq: 81 - 4 | wiki_freq: 944 - 10 | sentence_idx: 427874 | align_1: 9-12 | align_2: 10-16 | entity: none - Millenials |    So then , the real question … Do us millennials travel only to take pictures ? ||| La vraie question est donc … Est -ce que nous , les Millenials , on ne voyage que pour prendre des photos ? 

BDS BDS | w_freq: 97 - 96 | wiki_freq: 2109 - 422 | sentence_idx: 429895 | align_1: 19-12 | align_2: 20-18 | entity: none - BDS |    We are now beginning to harvest the fruits of 10 years of strategic , morally consistent and undeniably effective BDS human rights campaigning . ||| Nous commençons maintenant à récolter les fruits de 10 ans de campagne BDS pour les droits de l’ Homme , stratégique , moralement cohérente et indéniablement efficace . 

LUXEMBOURG LUXEMBOURG | w_freq: 2 - 2 | wiki_freq: 8 - 7 | sentence_idx: 431244 | align_1: 0-0 | align_2: 1-4 | entity: LUXEMBOURG - LUXEMBOURG |    LUXEMBOURG – If you want your past to be forgotten on the internet , it might be best to move to Europe . ||| LUXEMBOURG ( Reuters ) – Si vous souhaitez que votre passé soit oublié sur Internet , le mieux est peut-être de déménager en Europe . 

al-Burooj sourat | w_freq: 2 - 2 | wiki_freq: 0 - 2 | sentence_idx: 431886 | align_1: 22-24 | align_2: 23-29 | entity: al-Burooj - none |    “ By the witnessing day [ Friday ] and by the witnessed day [ the Day of Arafah ] . ” [ al-Burooj 85:3 ] . ||| d’ ici - bas et au Jour [ dernier ] où se dresseront les Témoins ( les Anges de protection ) . » [ sourat Ghafir / ‘ ayah 51 ] 

al-Burooj Ghafir | w_freq: 2 - 3 | wiki_freq: 0 - 6 | sentence_idx: 431886 | align_1: 22-25 | align_2: 23-29 | entity: al-Burooj - Ghafir |    “ By the witnessing day [ Friday ] and by the witnessed day [ the Day of Arafah ] . ” [ al-Burooj 85:3 ] . ||| d’ ici - bas et au Jour [ dernier ] où se dresseront les Témoins ( les Anges de protection ) . » [ sourat Ghafir / ‘ ayah 51 ] 

Iranians Iraniens | w_freq: 185 - 202 | wiki_freq: 4598 - 1064 | sentence_idx: 435461 | align_1: 6-7 | align_2: 7-11 | entity: Iranians - Iraniens |    Furthermore , an increasing number of Iranians within and outside Iran have denounced the persecution . ||| En outre , un nombre croissant d’ Iraniens , à l’ intérieur et à l’ extérieur de l’ Iran , ont dénoncé la persécution . 

Passover Pâque | w_freq: 21 - 21 | wiki_freq: 3664 - 586 | sentence_idx: 435482 | align_1: 8-7 | align_2: 9-11 | entity: none - Pâque |    “ Let the children of Israel keep the Passover at its appointed time ||| Que les enfants d’ Israël célèbrent la Pâque [ pecach ] au temps fixé . 

MERC MERC | w_freq: 1 - 1 | wiki_freq: 119 - 41 | sentence_idx: 440073 | align_1: 1-0 | align_2: 2-5 | entity: MERC - MERC |    Does MERC actively look for employment opportunities for me ? ||| MERC cherche t’ il pro activement des opportunités d’ emploi pour moi ? 

E-163 E-163 | w_freq: 9 - 9 | wiki_freq: 0 - 1 | sentence_idx: 443942 | align_1: 0-0 | align_2: 1-4 | entity: none - E-163 |    E-163 I was thinking of another hungry person . ||| E-163 ( 133 ) Je pensais à un autre affamé . 

E-52 E-52 | w_freq: 23 - 24 | wiki_freq: 3 - 1 | sentence_idx: 452996 | align_1: 0-0 | align_2: 1-5 | entity: none - E-52 |    E-52 I may never see you again , friends . ||| E-52 Peut - être que je ne vous reverrai plus jamais , ami . 

mid-December mi-décembre | w_freq: 15 - 14 | wiki_freq: 3448 - 1550 | sentence_idx: 454575 | align_1: 7-10 | align_2: 8-15 | entity: mid-December - none |    A trip to Turkey and Israel in mid-December impressed on me the surprisingly weak position of a mere prime minister in both countries . ||| Un voyage en Turquie et en Israël , à la mi-décembre , m' a bien fait comprendre la position étonnamment faible de simple Premier ministre dans les deux pays . 

Shu'aib ayb | w_freq: 2 - 2 | wiki_freq: 29 - 28 | sentence_idx: 459577 | align_1: 11-6 | align_2: 12-13 | entity: Shu'aib - Chou’ ayb |    [ 7.92 ] It seemed as if those who had belied Shu'aib had never lived there . ||| 7 92 Ceux qui rejetèrent Chou’ ayb disparurent , comme s’ ils n’ avaient jamais existé . 

Shu'aib Chou’ | w_freq: 2 - 1 | wiki_freq: 29 - 0 | sentence_idx: 459577 | align_1: 11-5 | align_2: 12-13 | entity: Shu'aib - Chou’ ayb |    [ 7.92 ] It seemed as if those who had belied Shu'aib had never lived there . ||| 7 92 Ceux qui rejetèrent Chou’ ayb disparurent , comme s’ ils n’ avaient jamais existé . 

E-82 E-82 | w_freq: 17 - 19 | wiki_freq: 12 - 1 | sentence_idx: 469152 | align_1: 0-0 | align_2: 1-4 | entity: none - E-82 |    E-82 The beast , churches , called churches , they are not churches . ||| E-82 ( 185 ) La bête , les églises , appelées églises , elles ne sont pas des églises . 

Optina Optina | w_freq: 1 - 1 | wiki_freq: 105 - 98 | sentence_idx: 471971 | align_1: 5-5 | align_2: 6-9 | entity: Optina - Optina |    Among the people who visited Optina were the names of well-known figures of those years . ||| Parmi les personnes qui visitaient Optina , il y avait les noms de figures bien connues de ces années -là . 

Draejan Draejan | w_freq: 2 - 2 | wiki_freq: 0 - 0 | sentence_idx: 474241 | align_1: 7-7 | align_2: 8-12 | entity: Draejan - Draejan |    None of the other nobles , including Draejan reacted in a suspicious manner . ||| Aucun des autres nobles , y compris Draejan , personne n’ avait réagi de manière suspicieuse . 

Kaspersky Kaspersky | w_freq: 19 - 19 | wiki_freq: 760 - 219 | sentence_idx: 477620 | align_1: 4-6 | align_2: 5-11 | entity: Kaspersky - Kaspersky |    Yet when experts of Kaspersky examined these devices , it has been shown that the Absolute Software ’s program was indeed present . ||| Pourtant , lorsque les experts de Kaspersky ont procédé à l’ examen de ces appareils , il a été démontré que le programme d’ Absolute Software était bel et bien présent . 

DevBlog DevBlog | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 479530 | align_1: 3-5 | align_2: 4-10 | entity: DevBlog - DevBlog |    We wrote a DevBlog that might interest developers ( 2D or not ): WEB ! ||| Nous avons publié un nouveau DevBlog ( en anglais ) qui pourrait intéresser les développeurs ( 2D ou non ) : WEB ! 

E-43 E-43 | w_freq: 13 - 14 | wiki_freq: 6 - 1 | sentence_idx: 479938 | align_1: 0-0 | align_2: 1-4 | entity: none - E-43 |    E-43 If this day being so important , one of the greatest days , let us look at three different things that day meant to us . ||| E-43 ( 26 ) Si ce jour est tellement important qu' il est l' un des plus grands jours , examinons trois choses distinctes que ce jour représentait pour nous . 

SADC SADC | w_freq: 30 - 31 | wiki_freq: 866 - 132 | sentence_idx: 483789 | align_1: 2-4 | align_2: 3-9 | entity: SADC Investment Protocol - Protocole de la SADC |    The 2006 SADC Investment Protocol , for its part , states the need to integrate foreign investment into the larger framework of sustainable development . ||| Le Protocole de la SADC de 2006 sur l’ investissement affirme pour sa part la nécessité d’ intégrer l’ investissement étranger au cadre plus large du développement durable . 

Stupid stupide | w_freq: 19 - 269 | wiki_freq: 3054 - 1068 | sentence_idx: 489680 | align_1: 6-7 | align_2: 7-11 | entity: How I Became Stupid - Comment je suis devenu stupide |    Martin Page , How I Became Stupid , 2001 . ||| Martin Page , Comment je suis devenu stupide , Le Dillettante , 2001 . 

Tarzan-themed Tarzan | w_freq: 1 - 10 | wiki_freq: 1 - 1496 | sentence_idx: 493565 | align_1: 13-14 | align_2: 14-22 | entity: Tarzan-themed - Tarzan |    “ So the boys are obsessed with Tarzan , and we have a Tarzan-themed birthday party in a jungle in my house . ||| “ Ainsi , les garçons sont obsédés par Tarzan , et nous avons un Tarzan sur le thème de la fête d’ anniversaire dans une jungle dans ma maison . 

Grubach Grubach | w_freq: 2 - 2 | wiki_freq: 6 - 3 | sentence_idx: 494007 | align_1: 4-5 | align_2: 5-12 | entity: Paul Grubach - Paul Grubach |    At the time Paul Grubach had not shrunk from writing : " Mark Weber is to be congratulated [ … ] . ||| A l’ époque , Paul Grubach , pour sa part , n’ avait pas craint d’ écrire : « Mark Weber is to be congratulated [ … ] . 

CONF.171/1 CONF.171/1 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 495538 | align_1: 2-2 | align_2: 3-7 | entity: none - CONF.171/1 |    A / CONF.171/1 Provisional Agenda in English and French ; ||| A / CONF.171/1 , Ordre du Jour Provisoire , en Anglais et Français ; 

EPO EPO | w_freq: 18 - 6 | wiki_freq: 1951 - 917 | sentence_idx: 500257 | align_1: 2-2 | align_2: 3-7 | entity: EPO - none |    When was EPO banned as a performance enhancing substance ? ||| Quand l’ EPO a -t -elle été interdite comme une substance améliorant la performance ? 

EPO EPO | w_freq: 18 - 6 | wiki_freq: 1951 - 917 | sentence_idx: 500258 | align_1: 2-2 | align_2: 3-7 | entity: EPO - none |    When was EPO banned as a performance enhancing substance ? ||| Quand l' EPO a -t -elle été interdite comme une substance améliorant la performance ? 

Sougou Sougou | w_freq: 1 - 1 | wiki_freq: 43 - 36 | sentence_idx: 504233 | align_1: 2-2 | align_2: 3-6 | entity: Modou Sougou - Modou Sougou |    ” Modou Sougou is one of my sons and one of our brothers . ||| « Modou Sougou , lui , est un de mes fils et l’ un de nos frères . 

Furs Furs | w_freq: 2 - 1 | wiki_freq: 763 - 107 | sentence_idx: 505449 | align_1: 5-5 | align_2: 6-12 | entity: Venus in Furs - Venus in Furs |    A book like Venus in Furs reminds us of what we are - blackness and light . ||| Un livre comme Venus in Furs ( Vénus en Fourrures ) nous rappelle ce que nous sommes - noirceur et lumière . 

FONASBA FONASBA | w_freq: 1 - 2 | wiki_freq: 0 - 0 | sentence_idx: 510961 | align_1: 0-0 | align_2: 1-5 | entity: FONASBA Quality Standard - none |    FONASBA Quality Standard now covers 35 countries , 500 companies ||| FONASBA : Le standard de qualité FONASBA couvre désormais 35 pays , 500 entreprises 

Reward Reward | w_freq: 22 - 9 | wiki_freq: 1075 - 83 | sentence_idx: 515452 | align_1: 14-15 | align_2: 15-21 | entity: “ Just Reward - Just Reward |    Israel , however , immediately launched a wide-scale military campaign , dubbed “ Just Reward , ” to free the two soldiers . ||| Israël , cependant , lança immédiatement une campagne militaire à grande échelle surnommée " Just Reward " ( Juste récompense ) , pour libérer les deux soldats . 

