11.1 11.1 | w_freq: 10 - 11 | wiki_freq: 4843 - 61 | sentence_idx: 2411 | align_1: 0-0 | align_2: 1-5 | ner_entity: 11.1 Party-none |    11.1 Party autonomy , as recognised by the Principles , is not absolute . ||| 11.1 L’ autonomie de la volonté , telle que reconnue par les Principes , n’ est pas absolue .
E-51 E-51 | w_freq: 24 - 25 | wiki_freq: 13 - 2 | sentence_idx: 214596 | align_1: 0-0 | align_2: 1-5 | ner_entity: E-51-E-51 |    E-51 Another hand or two before we go further ? ||| E-51 Y a -t -il encore une ou deux mains avant que nous allions plus loin ?

Antarik Antarik | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 216051 | align_1: 24-24 | align_2: 25-28 | ner_entity: Antarik-Antarik |    I did not expect , however , that the most beautiful week of my life will be on your course of Spiritual Regression in Antarik ! ||| Je ne me attendais pas , cependant , que la plus belle semaine de ma vie sera sur votre cours de régression spirituelle dans Antarik ( Cz ) !

Lac-Mégantic Mégantic | w_freq: 9 - 10 | wiki_freq: 265 - 595 | sentence_idx: 217192 | align_1: 9-12 | align_2: 10-16 | ner_entity: Lac-Mégantic-Lac - Mégantic |    The fact that 47 people were burned alive in Lac-Mégantic is not a conspiracy . ||| Le fait que 47 personnes aient été brûlées vives à Lac - Mégantic , ce n' est pas un complot .

MBS MBS | w_freq: 17 - 18 | wiki_freq: 1474 - 283 | sentence_idx: 218101 | align_1: 0-0 | align_2: 1-5 | ner_entity: MBS-MBS |    MBS also failed to contain the loss he “ inherited ” from the failures of previous Saudi policies in Lebanon and Iraq . ||| MBS n’ a pas non plus réussi à contenir la perte qu’ il a « hérité » des échecs des précédentes politiques saoudiennes au Liban et en Irak .

mighty Puissant | w_freq: 142 - 16 | wiki_freq: 5690 - 451 | sentence_idx: 220324 | align_1: 10-10 | align_2: 11-15 | ner_entity: none-Puissant |    For a nation has come up into my land , mighty and without number . ||| Car un peuple est venu fondre sur mon pays , Puissant [ ` atsuwm ] et innombrable .

Priority Priority | w_freq: 65 - 3 | wiki_freq: 4585 - 126 | sentence_idx: 223388 | align_1: 2-2 | align_2: 3-10 | ner_entity: none-Name Resolution Priority |    Name Resolution Priority : This refers to the name resolution on the Windows network . ||| Name Resolution Priority ( Priorité de résolution de nom ) : Cela concerne la résolution de nom sur le réseau Windows .

E-95 E-95 | w_freq: 13 - 15 | wiki_freq: 3 - 1 | sentence_idx: 223424 | align_1: 0-0 | align_2: 1-5 | ner_entity: none-E-95 |    E-95 Not long ago , an old Baptist preacher out there ... ||| E-95 Il n’ y a pas longtemps , un vieux prédicateur baptiste là - bas ...

Maybe Peut | w_freq: 1086 - 2306 | wiki_freq: 6736 - 3705 | sentence_idx: 224642 | align_1: 13-14 | align_2: 14-19 | ner_entity: none-Peut |    He ’s not going to get away with it ! ” or “ Maybe he had good reason to drive like that , a medical emergency for example . “ . ||| Il ne va pas s’ en tirer comme ça ! » ou bien « Peut - être a -t -il de bonnes raisons de conduire ainsi , une urgence médicale par exemple . » .

Modi Modi | w_freq: 46 - 45 | wiki_freq: 7988 - 710 | sentence_idx: 227025 | align_1: 4-2 | align_2: 5-7 | ner_entity: Nirav Modi-Nirav Modi |    Why could n’t Nirav Modi just pay it back ? ||| Pourquoi Nirav Modi ne pourrait -il pas simplement le rembourser ?

Ernman Ernman | w_freq: 2 - 2 | wiki_freq: 100 - 36 | sentence_idx: 227553 | align_1: 2-1 | align_2: 3-6 | ner_entity: Malena Ernman-Malena Ernman |    Did Malena Ernman not publish a book with her husband just a few days before the start of Greta 's strike ? ||| Malena Ernman n’ a -t -elle pas publié un livre , avec son conjoint , quelques jours à peine avant le début de la grève de Greta ?

Abs Abs | w_freq: 8 - 7 | wiki_freq: 542 - 58 | sentence_idx: 228006 | align_1: 14-17 | align_2: 15-23 | ner_entity: Abs-Abs |    When I visited Yemen in September , I went to the northern city of Abs , where we support the only fully functioning hospital in a rural area . ||| Lorsque j’ ai visité le Yémen en septembre , je me suis rendu dans la ville d’ Abs , au Nord du pays , où nous soutenons le seul hôpital pleinement fonctionnel en zone rurale .

swear jure | w_freq: 236 - 213 | wiki_freq: 5814 - 3384 | sentence_idx: 230378 | align_1: 1-5 | align_2: 2-11 | ner_entity: none-Je jure par l"âme |    I swear to guard the Soul of Nature , ||| Mais non ! , Je jure par l"âme qui ne cesse de se blâmer . .

31.12 31.12 | w_freq: 1 - 1 | wiki_freq: 28 - 1 | sentence_idx: 235639 | align_1: 4-6 | align_2: 5-10 | ner_entity: 31.12-none |    A third sit-in on 31.12 was also once again violently broken up . ||| Un troisième sit - in le 31.12 . , a été une fois de plus dispersé violemment .

Oriflame Oriflame | w_freq: 5 - 5 | wiki_freq: 57 - 6 | sentence_idx: 240383 | align_1: 6-6 | align_2: 7-10 | ner_entity: Oriflame-Oriflame |    It turns out that the company Oriflame except cosmetics produces good vitamins ! . ||| Il s' avère que la société Oriflame , à l' exception des cosmétiques , produit de bonnes vitamines ! .

Al-Hashir Hashir | w_freq: 1 - 1 | wiki_freq: 0 - 6 | sentence_idx: 242006 | align_1: 2-4 | align_2: 3-10 | ner_entity: Al-Hashir-Hashir |    I am Al-Hashir who will be the first to be resurrected , with the people being resurrected Hereafter . ||| je suis al - Hashir ( le rassembleur ) , qui sera le premier à être ressuscité et après qui les gens seront ressuscités ;

Oasis oasis | w_freq: 27 - 42 | wiki_freq: 7218 - 2940 | sentence_idx: 244662 | align_1: 6-7 | align_2: 7-11 | ner_entity: Oasis-none |    I love animals and love the Oasis -- it 's a great project to help these tigers that are facing extinction . ” ||| Je adore les animaux et adore l' oasis [ sanctuaire ] -C' est un grand projet pour aider ces tigres qui sont menacées d' extinction " .

ECB BCE | w_freq: 271 - 279 | wiki_freq: 2989 - 1178 | sentence_idx: 249978 | align_1: 4-4 | align_2: 5-8 | ner_entity: ECB-BCE |    Conversely though , the ECB uses and abuses ineffective monetary policies which have terrible repercussions on our daily lives . ||| En revanche , la BCE , elle , use et abuse de politiques monétaires inefficaces qui ont de terribles conséquences sur notre quotidien .

EIONET EIONET | w_freq: 1 - 1 | wiki_freq: 1 - 6 | sentence_idx: 251586 | align_1: 13-12 | align_2: 14-25 | ner_entity: none-EIONET |    According to a study of the European Environment Information and Observation Network ( EIONET ) , European countries generate high percentages of packaging waste . ||| Selon une étude de du European Environment Information and Observation Network ( EIONET ) ( Réseau d' observation et d' informations sur l' environnement européen ) , les pays européens génèrent d' importants pourcentages de déchets d' emballage .

O'kanada kanada | w_freq: 2 - 2 | wiki_freq: 0 - 4 | sentence_idx: 251870 | align_1: 3-8 | align_2: 4-12 | ner_entity: Simon O'kanada-Simon O' kanada |    My friend Simon O'kanada wondered why his son was always sick . ||| " Une de mes amies , Simon O' kanada , s’ est demandé pourquoi son fils était toujours malade .

O'kanada kanada | w_freq: 2 - 2 | wiki_freq: 0 - 4 | sentence_idx: 251871 | align_1: 3-8 | align_2: 4-12 | ner_entity: Simon O'kanada-Simon O' kanada |    My friend Simon O'kanada wondered why his son was always sick . ||| " Une de mes amies , Simon O' kanada , s’ est demandé pourquoi son fils était toujours malade .

Twyfelfontein Twyfelfontein | w_freq: 1 - 1 | wiki_freq: 33 - 16 | sentence_idx: 252476 | align_1: 3-3 | align_2: 4-8 | ner_entity: Twyfelfontein-Twyfelfontein |    The elephants at Twyfelfontein two days ago must have been one group . ||| Les éléphants de Twyfelfontein , il y a deux jours a doivent être un groupe .

flyers Flyers | w_freq: 9 - 2 | wiki_freq: 2778 - 2204 | sentence_idx: 256371 | align_1: 28-32 | align_2: 29-36 | ner_entity: none-Flyers |    The answer that many business owners , entrepreneurs and marketers ( including me ) have come up with is : yes , but they need to be good flyers . ||| La réponse que de nombreux propriétaires d`entreprises , les entrepreneurs et les commerçants ( y compris moi ) sont venus avec est : Oui , mais ils ont besoin d`être de bons Flyers ( ici ) .

E-7 E-7 | w_freq: 23 - 21 | wiki_freq: 243 - 16 | sentence_idx: 257369 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-E-7 |    E-7 And so , I 'll try to let you out each night if ... ||| E-7 ( 18 ) Et ainsi , je vais essayer de vous laisser partir chaque soir si ...

Grubach Grubach | w_freq: 2 - 2 | wiki_freq: 6 - 3 | sentence_idx: 259554 | align_1: 4-5 | align_2: 5-12 | ner_entity: Paul Grubach-Paul Grubach |    At the time Paul Grubach had not shrunk from writing : “ Mark Weber is to be congratulated [ … ] . ||| A l’ époque , Paul Grubach , pour sa part , n’ avait pas craint d’ écrire : « Mark Weber is to be congratulated [ … ] .

Dhamma Dhamma | w_freq: 18 - 17 | wiki_freq: 1093 - 36 | sentence_idx: 264772 | align_1: 6-6 | align_2: 7-14 | ner_entity: Dhamma-Dhamma |    This , then , is why Dhamma is not yet an effective means to cure the world . ||| Voilà la raison pour laquelle le Dhamma , à l’ heure actuelle , n’ est pas encore un moyen efficace pour guérir le monde .

TFEU TFUE | w_freq: 29 - 27 | wiki_freq: 445 - 278 | sentence_idx: 264970 | align_1: 2-3 | align_2: 3-8 | ner_entity: Article 24 TFEU-TFUE |    Article 24 TFEU directly governs the way in which the European institutions work regarding the use of the twenty-four languages . ||| L' article 24 TFUE régit , de façon directe , le mode de travail des institutions européennes quant à l' utilisation des vingt-quatre langues .

UI UI | w_freq: 15 - 20 | wiki_freq: 3315 - 251 | sentence_idx: 266876 | align_1: 12-11 | align_2: 13-15 | ner_entity: UI-UI |    Why not put in an additional 20 % and create our own UI which we are pretty adept at anyway . ||| Pourquoi ne pas y ajouter 20 % et créer notre propre UI , ce à quoi nous sommes plutôt habitués de toute façon .

Dignity dignité | w_freq: 31 - 393 | wiki_freq: 2915 - 8145 | sentence_idx: 269788 | align_1: 16-20 | align_2: 17-25 | ner_entity: the 2014 Revolution of Dignity-Révolution de la dignité |    Yet as The Economist magazine noted recently , ‘ the energy of the 2014 Revolution of Dignity has not dissipated . ||| Cependant , tel que le magazine The Economist a récemment souligné , « l’ énergie de la Révolution de la dignité de 2014 ne s’ est pas dissipée .

WMO WMO | w_freq: 5 - 1 | wiki_freq: 816 - 17 | sentence_idx: 276689 | align_1: 3-4 | align_2: 4-14 | ner_entity: WMO-WMO |    ‘ Even if WMO agrees , I will still not pass on the data . ||| « Même si la WMO [ Organisation mondiale de la météorologie ] est d’ accord , je ne vais toujours pas transmettre les données .

11.13 11.13 | w_freq: 2 - 2 | wiki_freq: 121 - 4 | sentence_idx: 277971 | align_1: 0-0 | align_2: 1-5 | ner_entity: 11.13-none |    11.13 Are there new passport requirements for travel to the United States under the VWP ? ||| 11.13 Y - a -t -il de nouvelles exigences concernant les passeports pour voyager aux USA via le VWP ?

Mohamud Mohamud | w_freq: 1 - 1 | wiki_freq: 680 - 18 | sentence_idx: 280811 | align_1: 2-1 | align_2: 3-11 | ner_entity: Mohamud-Mohamud |    Somalia President Mohamud also acknowledged that this is a major difficulty . ||| M. Mohamud , le président de la Somalie , a lui aussi reconnu qu’ il s’ agissait d’ une difficulté majeure .

Emir Emir | w_freq: 10 - 7 | wiki_freq: 7300 - 785 | sentence_idx: 280839 | align_1: 6-7 | align_2: 7-12 | ner_entity: none-Emir |    " If you met the same Emir two years ago , he was praising Assad , and considered him a dear friend . ||| « Si vous aviez rencontré ce même Emir , il y a deux ans , il faisait l' éloge d' Assad et le considérait comme un ami très cher .

Delivering Livrer | w_freq: 8 - 1 | wiki_freq: 544 - 9 | sentence_idx: 281668 | align_1: 5-5 | align_2: 6-10 | ner_entity: none-Croyance # 3 : « Livrer de la valeur d’ affaires |    Belief # 3 : “ Delivering business value is more important than individual employee utilization . ” ||| Croyance # 3 : «   Livrer de la valeur d’ affaires est plus important que l’ utilisation individuelle des employés .   »

Abed Abed | w_freq: 6 - 6 | wiki_freq: 1724 - 309 | sentence_idx: 282928 | align_1: 3-4 | align_2: 4-9 | ner_entity: Abed-Abed |    And I took Abed and we went to see this awful building . ||| Et j’ ai pris Abed [ son chauffeur ] et nous sommes allés voir ce terrible bâtiment .

Gong Gong | w_freq: 60 - 61 | wiki_freq: 9404 - 2790 | sentence_idx: 283154 | align_1: 4-4 | align_2: 5-8 | ner_entity: Falun Gong-Falun Gong |    In addition to Falun Gong were other groups protesting in Palm Beach . ||| En plus du Falun Gong , il y avait d’ autres groupes qui protestaient à Palm Beach .

Alsatian alsacien | w_freq: 11 - 4 | wiki_freq: 1540 - 3805 | sentence_idx: 285306 | align_1: 6-8 | align_2: 7-13 | ner_entity: Alsatian-none |    Was the teaching of German and Alsatian replaced by Arabic and Turkish in a primary school in Alsace ? ||| L’ enseignement de l’ allemand et de l' alsacien a -t -il été remplacé par l’ arabe et le turc dans une école primaire d’ Alsace ?

Fernanda Fernanda | w_freq: 5 - 5 | wiki_freq: 2248 - 598 | sentence_idx: 289560 | align_1: 2-2 | align_2: 3-7 | ner_entity: Fernanda-Fernanda |    My beloved Fernanda is making this same transition in her own way in Mexico , in her own context . ||| Ma bien-aimée Fernanda , elle aussi , opère cette même transition , à sa manière au Mexique , dans son contexte .

E-194 E-194 | w_freq: 8 - 6 | wiki_freq: 0 - 0 | sentence_idx: 295564 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-E-194 |    E-194 But God has got a Christmas Present for you tonight . ||| E-194 ( 193 ) Mais Dieu a un Cadeau de Noël pour vous ce soir .

CRM CRM | w_freq: 67 - 68 | wiki_freq: 1677 - 377 | sentence_idx: 300253 | align_1: 5-5 | align_2: 6-11 | ner_entity: CRM-CRM |    We like to think of CRM as an invisible personal assistant . ||| Nous aimons penser que le CRM , c’ est un peu comme un assistant personnel invisible .

Galton Galton | w_freq: 9 - 9 | wiki_freq: 1907 - 491 | sentence_idx: 300738 | align_1: 7-7 | align_2: 8-12 | ner_entity: Galton-Galton |    The only solution received did not please Galton ... ||| La seule solution n' a pas reçu Galton s’ il vous plaît ...

Muzito Muzito | w_freq: 1 - 1 | wiki_freq: 61 - 115 | sentence_idx: 303887 | align_1: 1-1 | align_2: 2-6 | ner_entity: Adolphe Muzito-Adolphe Muzito |    Adolphe Muzito therefore believes that the Congolese people generally need moral and psychological support . ||| Adolphe Muzito pense , de ce fait , que le peuple congolais a besoin de manière générale d’ un soutien moral et psychologique .

Imams imams | w_freq: 9 - 33 | wiki_freq: 1807 - 778 | sentence_idx: 307049 | align_1: 6-7 | align_2: 7-13 | ner_entity: Imams-none |    We are also in talks with Imams to determine what might be considered haram , and therefore , be blocked ” . ||| Nous sommes également en pourparlers avec les imams [ érudits musulmans ] , pour déterminer ce qui pourrait être considéré comme haram et donc d' être bloqué " .

Matters Pourquoi | w_freq: 36 - 5014 | wiki_freq: 7957 - 3602 | sentence_idx: 309327 | align_1: 13-15 | align_2: 14-19 | ner_entity: none-Pourquoi C’ est important |    • You ’re Not Listening : What You ’re Missing and Why It Matters by Kate Murphy is published by Harvill Secker ( £ 16.99 ) . ||| • Vous n’ êtes Pas à l’ Écoute : Ce qu’ il Vous Manque et Pourquoi C’ est important de Kate Murphy est publié par Harvill Secker ( £ 16.99 ) .

O2 O2 | w_freq: 15 - 15 | wiki_freq: 6933 - 755 | sentence_idx: 310128 | align_1: 22-25 | align_2: 23-31 | ner_entity: none-O2 |    " So we are concerned that the smallest mobile network , Three proposes to become the biggest by acquiring its rival , O2 . ||| " Nous sommes inquiets du fait que le plus petit réseau mobile , Three , propose de devenir le plus gros en rachetant son rival O2 " , lâche -t -elle .

Mataji Mataji | w_freq: 18 - 18 | wiki_freq: 239 - 37 | sentence_idx: 313739 | align_1: 7-5 | align_2: 8-9 | ner_entity: Mataji-Mataji |    They started saying , " When is Mataji coming ? ||| Ils ont commencé à dire:"Quand Mataji va -t -elle venir ?

E-35 E-35 | w_freq: 22 - 25 | wiki_freq: 12 - 1 | sentence_idx: 316833 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-E-35 |    E-35 And then , we seen all along the road the hand of the Lord . ||| E-35 ( 33 ) Et puis , nous avons vu , tout le long du chemin , la main du Seigneur .

Morag Morag | w_freq: 5 - 5 | wiki_freq: 897 - 53 | sentence_idx: 317961 | align_1: 5-8 | align_2: 6-13 | ner_entity: Morag-Morag |    Just as they supported destroying Morag eight years ago . ||| Exactement comme ils ont soutenu la destruction de Morag , il y a huit ans .

Otherwise Sinon | w_freq: 416 - 356 | wiki_freq: 7795 - 1775 | sentence_idx: 318928 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-Sinon |    Otherwise , I do not really drink spirits and I keep this space of consumption for wine . ||| Sinon , en effet , je ne sirote guère de spiritueux et je garde cet espace de consommation pour le vin .

Nomads Nomades | w_freq: 6 - 4 | wiki_freq: 1809 - 209 | sentence_idx: 325240 | align_1: 5-6 | align_2: 6-11 | ner_entity: World Nomads-Nomades |    The cool thing about World Nomads is that they are travelers too so they created a service that covers the way they traveled . ||| Ce qui est cool avec les Nomades du Monde , c’ est qu’ ils sont aussi des voyageurs , alors ils ont créé un service qui couvre la façon dont ils ont voyagé .

Basques Basques | w_freq: 10 - 7 | wiki_freq: 1758 - 1298 | sentence_idx: 326796 | align_1: 5-10 | align_2: 6-15 | ner_entity: Rimouski-Neigette—Témiscouata—Les Basques-Les Basques |    Does the member for Rimouski-Neigette—Témiscouata—Les Basques not find that the budget is an improvement ? ||| Le député de Rimouski - Neigette — Témiscouata — Les Basques ne trouve -t -il pas que le budget constitue une amélioration ?

Shu'aib Chuaïb | w_freq: 2 - 3 | wiki_freq: 29 - 0 | sentence_idx: 330047 | align_1: 11-5 | align_2: 12-14 | ner_entity: Shu'aib-Chuaïb |    [ 7.92 ] It seemed as if those who had belied Shu'aib had never lived there . ||| 7 92 Ceux qui traitaient Chuaïb de menteur ( disparurent ) comme s´ils n´y avaient jamais vécu .

Egg Egg | w_freq: 30 - 13 | wiki_freq: 8190 - 786 | sentence_idx: 334228 | align_1: 13-15 | align_2: 14-20 | ner_entity: Scrambled Egg-Scrambled Egg |    " I remember Paul playing to me Yesterday and he called it Scrambled Egg . ||| « Je me souviens de Paul qui me jouait Yesterday et il l’ appelait Scrambled Egg ( oeufs brouillés ) .

Azerbaijanis azerbaïdjanais | w_freq: 7 - 24 | wiki_freq: 2321 - 2558 | sentence_idx: 334358 | align_1: 18-21 | align_2: 19-25 | ner_entity: Azerbaijanis-none |    This is the only path before us , just as it was in my case when talking with Azerbaijanis changed my view on many things . ||| C’ est le seul moyen avant nous , juste comme cela fut le cas pour moi lorsque , parlant avec des azerbaïdjanais , j’ ai changé mon opinion sur une multitude de choses .

Cohenim Cohenim | w_freq: 1 - 1 | wiki_freq: 1 - 0 | sentence_idx: 338349 | align_1: 6-8 | align_2: 7-12 | ner_entity: Cohenim-Cohenim |    My parents actually thought we were Cohenim — the real thing . ||| Mes parents croyaient en effet que nous étions Cohenim ( sic ) – le vrai du vrai .

Guidelines Lignes | w_freq: 73 - 38 | wiki_freq: 4619 - 3010 | sentence_idx: 338498 | align_1: 7-7 | align_2: 8-12 | ner_entity: none-Lignes directrices |    Finally according to section 3.2.1 of the Guidelines for Applicants “ Only projects whose immediate objective is non commercial are eligible . ||| Enfin , selon la section 3.2.1 des Lignes directrices à l’ intention des Demandeurs « seuls les projets dont l’ objectif immédiat est de nature non commerciale sont éligibles .

Rommel Rommel | w_freq: 4 - 4 | wiki_freq: 4372 - 1626 | sentence_idx: 344516 | align_1: 7-8 | align_2: 8-18 | ner_entity: Rommel-général Rommel |    Eventually , at 4 a.m. , General Rommel attempted intimidation again . ||| Enfin , à 4 heures , le général Rommel a fait , une fois de plus , une tentative d' intimidation .

E-383 E-383 | w_freq: 4 - 1 | wiki_freq: 0 - 0 | sentence_idx: 351854 | align_1: 0-0 | align_2: 1-4 | ner_entity: none-E-383 |    E-383 How many women in here this morning ... ||| E-383 ( 382 ) Combien de femmes ici ce matin ...

3.2.10 3.2.10 | w_freq: 1 - 1 | wiki_freq: 9 - 1 | sentence_idx: 352341 | align_1: 0-0 | align_2: 1-4 | ner_entity: 3.2.10 Auto Invest-none |    3.2.10 Auto Invest invests in loans on the secondary market ? ||| 3.2.10 Est -ce que Auto Invest investit dans des prêts sur le marché secondaire ?

Gnosis Gnose | w_freq: 29 - 30 | wiki_freq: 389 - 103 | sentence_idx: 352421 | align_1: 5-7 | align_2: 6-12 | ner_entity: none-Gnose |    But really , religion and Gnosis disagree with this because we understand the consciousness in a very different way from Western psychology . ||| Mais réellement , la religion et la Gnose ne sont pas d’ accord avec cela parce que nous comprenons la Conscience d’ une manière très différente de la psychologie occidentale .

Slutwalk Slutwalk | w_freq: 1 - 1 | wiki_freq: 46 - 9 | sentence_idx: 355867 | align_1: 16-19 | align_2: 17-27 | ner_entity: Slutwalk-Slutwalk |    It would appear that , through lack of clarity , something has finally become clear : Slutwalk has lost me . ||| Il semblerait que , par manque de clarté , quelque chose est finalement devenu très clair : la « Slutwalk » ( Marche des salopes ) m’ a perdue .

MEE MEE | w_freq: 7 - 7 | wiki_freq: 90 - 19 | sentence_idx: 360679 | align_1: 7-6 | align_2: 8-11 | ner_entity: MEE-MEE |    All the young refugees who spoke to MEE emphasised that they do not view the Nakba as simply a historical event which began and ended in 1948 . ||| Tous les jeunes réfugiés avec qui MEE s’ est entretenu ont insisté sur le fait qu’ ils ne considèrent pas la Nakba comme un simple événement historique qui a commencé et s’ est terminé en 1948 .

Moriah Moriya | w_freq: 6 - 2 | wiki_freq: 946 - 90 | sentence_idx: 361314 | align_1: 6-5 | align_2: 7-10 | ner_entity: Moriah-Moriya |    “ Go to the land of Moriah … on one of the mountains that I shall show you . ” ||| Pars pour le pays de Moriya et là , tu l’ offriras en holocauste sur celle des montagnes que je t’ indiquerai . »

Senna Senna | w_freq: 14 - 14 | wiki_freq: 6263 - 2200 | sentence_idx: 366243 | align_1: 3-3 | align_2: 4-8 | ner_entity: Senna-Senna |    Despite this , Senna initially did not believe he would continue in motorsport . ||| Malgré cela , Senna n’ a tout d’ abord pas cru qu’ il allait continuer dans le sport automobile .

Kerviel Kerviel | w_freq: 2 - 2 | wiki_freq: 129 - 223 | sentence_idx: 366317 | align_1: 5-5 | align_2: 6-9 | ner_entity: Jérôme Kerviel-Jérôme Kerviel |    ( II ): how Jérôme Kerviel managed to get out of this framework ? ||| II ) : comment Jérôme Kerviel a -t -il réussi à sortir de ce cadre ?

Syriza Syriza | w_freq: 93 - 95 | wiki_freq: 532 - 44 | sentence_idx: 371356 | align_1: 2-1 | align_2: 3-6 | ner_entity: Syriza-Syriza |    Why was Syriza not able to reach an agreement with the Communist Party ( KKE ) ? ||| Pourquoi Syriza n’ a -t -il pas été en mesure de parvenir à un accord avec le Parti communiste grec ( KKE ) ?

weblogs Weblogs | w_freq: 1 - 1 | wiki_freq: 171 - 6 | sentence_idx: 379405 | align_1: 15-14 | align_2: 16-19 | ner_entity: none-Weblogs |    [ May 28 , 1999 ] In April 1997 I started one of the first weblogs , Scripting News . ||| [ 28 mai 1999 ] En avril 1997 j' ai démarré un des premiers Weblogs ( carnets Web ) , Scripting News .

OpKKK OpKKK | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 379516 | align_1: 7-9 | align_2: 8-16 | ner_entity: none-OpKKK |    You should 've expected us . # OpKKK continues to be a success . ||| " Vous auriez dû nous voir venir . # OpKKK [ leur actionanti - KKK ] continue d' être un succès .

IPA API | w_freq: 15 - 136 | wiki_freq: 5081 - 3801 | sentence_idx: 381556 | align_1: 2-1 | align_2: 3-8 | ner_entity: IPA-none |    Will the IPA translate my presentation : No . ||| L' API se chargera -t -elle de la traduction de ma présentation : Non .

IEM IEM | w_freq: 3 - 4 | wiki_freq: 514 - 213 | sentence_idx: 382145 | align_1: 9-11 | align_2: 10-15 | ner_entity: IEM-none |    In 1988 was created the first prediction market : IEM – the electronic market of Iowa . ||| En 1988 fut créé le premier marché de prédictions : l' IEM ( en ) - le marché électronique de l' Iowa .

Himself Lui | w_freq: 312 - 1229 | wiki_freq: 2348 - 8176 | sentence_idx: 386799 | align_1: 2-3 | align_2: 3-8 | ner_entity: none-Lui |    2 Giving Himself is all He knows , and so it is all knowledge . ||| 2 Se donner Lui - même , c’ est tout ce qu’ il connaît , or donc c’ est toute la connaissance .

Politico Politico | w_freq: 10 - 10 | wiki_freq: 2534 - 228 | sentence_idx: 388247 | align_1: 8-11 | align_2: 9-15 | ner_entity: Politico-Politico |    Merkel convinces Canada and Japan on CO2 ( Politico ) ||| Merkel convainc le Canada et le Japon sur le CO2 ( Politico , en anglais )

Preobrazhensky Préobrazhensky | w_freq: 1 - 1 | wiki_freq: 433 - 0 | sentence_idx: 388251 | align_1: 10-12 | align_2: 11-16 | ner_entity: Preobrazhensky-Préobrazhensky |    If Marx had not been very clear about this , Preobrazhensky had been very clear . ||| Si Marx n’ avait pas été très clair à ce sujet , Préobrazhensky , lui , avait été très clair .

Carla Carla | w_freq: 32 - 32 | wiki_freq: 9983 - 2783 | sentence_idx: 388830 | align_1: 11-12 | align_2: 12-16 | ner_entity: Carla-Carla |    QUESTION : How did the 5th density negative entity who attacked Carla penetrated the quarantine ? ||| QUESTION : Comment l’ entité négative de 5ème densité qui a attaqué Carla a -t -elle pénétré la quarantaine ?

Brexit Brexit | w_freq: 303 - 300 | wiki_freq: 7769 - 2015 | sentence_idx: 389926 | align_1: 13-18 | align_2: 14-22 | ner_entity: none-Brexit |    " The guarantees are still not enough and Spain maintains its veto to Brexit . ||| " Les garanties ne sont toujours pas suffisantes et l' Espagne maintient son droit de veto sur le Brexit ( ... ) .

Abadi Abadi | w_freq: 6 - 8 | wiki_freq: 533 - 176 | sentence_idx: 390924 | align_1: 3-4 | align_2: 4-8 | ner_entity: Abadi-Abadi |    This is what Abadi failed to do throughout his term in office , despite his recent electoral speech about his will to fight corruption . ||| C’ est ce qu’ Abadi n’ a pas réussi à faire tout au long de son mandat , malgré son discours électoral récent sur sa volonté de combattre la corruption .

Euros Euros | w_freq: 136 - 56 | wiki_freq: 3098 - 524 | sentence_idx: 394524 | align_1: 27-29 | align_2: 28-34 | ner_entity: between 10 and 14 Euros-Euros |    We can do so , but what these taxes could fund , under pretty optimistic assumptions , is an EU-wide monthly Euro-dividend of between 10 and 14 Euros . ||| Nous pouvons le faire , mais ce que ces impôts pourraient financer , avec des hypothèses très optimistes , serait un Euro - dividende mensuel de 10 à 14 Euros partout dans l’ UE .

Eldred Eldred | w_freq: 4 - 6 | wiki_freq: 1106 - 99 | sentence_idx: 395050 | align_1: 4-5 | align_2: 5-10 | ner_entity: this the Eldred Act-Loi Eldred |    We called this the Eldred Act , but that was just to give it a name . ||| Nous l' appelâmes la Loi Eldred ( NdT : Eldred Act ) , mais c' était juste pour lui donner un nom .

Maybe Peut | w_freq: 1086 - 2306 | wiki_freq: 6736 - 3705 | sentence_idx: 395989 | align_1: 7-10 | align_2: 8-14 | ner_entity: none-Peut |    The Light-Vest , perhaps already heard of Maybe you have already heard of the Ligt-Vest . ||| The Light - Vest , peut-être déjà entendu parler de Peut - être que vous avez déjà entendu parler du Ligt - Vest .

Ferrovia Chemins | w_freq: 1 - 10 | wiki_freq: 255 - 6036 | sentence_idx: 400414 | align_1: 33-34 | align_2: 34-38 | ner_entity: none-Chemins de fer |    And now I will say to you : for four years I have come with you , every year children here come by train , and let us say thank you to the Ferrovia which gives us the train , thank you , many thanks ! ||| Et maintenant je vais vous dire : cela fait quatre ans que je viens avec vous , tous les ans les enfants , les jeunes viennent par le train , et disons merci aux Chemins de fer , qui nous donne le train , merci , merci beaucoup !

