Golang Golang | w_freq: 2 - 2 | wiki_freq: 21 - 11 | sentence_idx: 2076 | align_1: 4-3 | align_2: 5-8 | ner_entity: Golang-none |    IronFunctions is written on Golang and really supports functions in any language . ||| IronFunctions 是 在 Golang 上 编写 的 ， 并且 真正 支持 任何 语言 的 函数 。
Robinhood Robinhood | w_freq: 8 - 7 | wiki_freq: 665 - 24 | sentence_idx: 349649 | align_1: 4-6 | align_2: 5-11 | ner_entity: Robinhood-Robinhood |    We want to make Robinhood a tantalizing target for researchers and it 's important that , as a researcher , you know your time wo n't be wasted finding potential bugs in our software . " ||| ” 我们 想 让 罗宾汉 ( Robinhood ) 成为 研究 人员 的 诱人 目标 ， 作为 一 名 研究 人员 ， 重要 的 是 ， 你 知道 你 的 时间 不 会 浪费 在 寻找 我们 软件 中 的 潜在 漏洞 上 。

Saqar 赛盖尔 | w_freq: 5 - 2 | wiki_freq: 30 - 0 | sentence_idx: 356161 | align_1: 7-4 | align_2: 8-16 | ner_entity: Saqar-赛盖尔 |    And what can let you know What Saqar is ? ||| 什么 使 你 知道 赛盖尔 是 什么 ？ 你 怎 能 知道 火狱 [ 究竟 ] 是 什么 ？

CHLT-TV CHLT-TV | w_freq: 1 - 2 | wiki_freq: 10 - 0 | sentence_idx: 356740 | align_1: 0-0 | align_2: 1-8 | ner_entity: CHLT-TV-none |    CHLT-TV , 50 years of looking at it our way ||| CHLT-TV ， 50年 的 发展 历程 （ CHLT-TV , 50 Years of Looking at It Our Way ）

Moorehead Moorehead | w_freq: 3 - 3 | wiki_freq: 811 - 3 | sentence_idx: 363410 | align_1: 3-5 | align_2: 4-10 | ner_entity: Moorehead-none |    Finally , says Moorehead “ The best way to get more distributors is to get more customers . ||| 最后    ， Moorehead 表示   ： “ 获得 更 多 分销商 的 最佳 途径 是 获取 更 多 客户    。

MSRESIN MSRESIN | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 363424 | align_1: 4-3 | align_2: 5-7 | ner_entity: MSRESIN ATRATE-none |    18 , I ask MSRESIN ATRATE , the TYPE is what type of plastic , what is the name , the price is the number of production ? ||| 18 、 请问 MSRESIN   , ATRATE   , TYPE 是 什么 类型 的 塑料    , 名称 是 什么    , 价格 是 多少    , 有 什么 产 的    ?

YORK YORK | w_freq: 50 - 7 | wiki_freq: 199 - 16 | sentence_idx: 382774 | align_1: 1-2 | align_2: 2-6 | ner_entity: NEW YORK-N EW YORK |    NEW YORK - Barbara Corcoran expects entrepreneurs to listen to what she says , and then do what they want . ||| N EW YORK （ 美联社 ） - Barbara Corcoran 希望 企业家 能 听取 她 的 意见 ， 然后 做 他们 想 做 的 事 。

Soaga Soaga | w_freq: 1 - 1 | wiki_freq: 36 - 0 | sentence_idx: 384634 | align_1: 11-13 | align_2: 12-18 | ner_entity: Lupe Ole Soaga-none |    Like AS , Marist just need to win against Lupe Ole Soaga and hope the first game ’s result on Friday goes their way . ||| 像 AS 一样   ， Marist 只 需要 赢得 对阵 Lupe Ole Soaga 的 比赛  ， 并 希望 周五 的 第一 场 比赛 结果 能够 顺利 进行   。

Putinfarce Putinfarce | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 386221 | align_1: 12-12 | align_2: 13-17 | ner_entity: Putinfarce-none |    By Monday , it should have its own Twitter hashtag : # Putinfarce . ||| 在 周一 ， 它 应该 拥有 自己 的 Twitter 标签 ： # Putinfarce （ 普京 闹剧 ） 。

Lauster Lauster | w_freq: 2 - 1 | wiki_freq: 47 - 0 | sentence_idx: 387545 | align_1: 4-7 | align_2: 5-11 | ner_entity: Emily Lauster-Emily Lauster |    According to 22-year-old Emily Lauster , “ You can always hear that the girl is not very interested , or tell the boy that she is tired , but the boy does not give her a space story . ||| 根据 22 岁 的 艾米丽·劳斯特 ( Emily Lauster ) 所 说 ， “ 你 总是 能 听到 女孩 不是 很 感 兴趣 ， 或者 告诉 男生 她 累 了 ， 而 男生 却 不 给 她 空间 的 故事 。

Allaah 安拉 | w_freq: 62 - 167 | wiki_freq: 28 - 280 | sentence_idx: 390386 | align_1: 1-1 | align_2: 2-6 | ner_entity: Allaah-安拉 |    And Allaah is the Guide to the Straight Path . ||| “ 安拉 的 引导 ， 才 是 正导 。

Belmonts Belmonts | w_freq: 3 - 4 | wiki_freq: 257 - 0 | sentence_idx: 394762 | align_1: 5-3 | align_2: 6-12 | ner_entity: The Belmonts-none |    11 ) Dion and The Belmonts , " I Wonder Why " ||| Dion and the Belmonts （ 英语 ： Dion and the Belmonts ） （ " I Wonder Why （ 英语 ： I Wonder Why ） " ）

Systemantics systemfunny | w_freq: 1 - 1 | wiki_freq: 9 - 0 | sentence_idx: 395297 | align_1: 7-7 | align_2: 8-14 | ner_entity: Systemantics-none |    As John Gall argues in his book Systemantics , every successful large system was grown from smaller systems that already worked . ||| 正如 John Gall 在 其 著作 《 systemfunny 》 中 所 指出 的 那样 ， 每 一个 成功 的 大型 系统 都 是 从 已经 运行 的 小型 系统 发展 而 来 的 。

eBook 成全 | w_freq: 16 - 64 | wiki_freq: 657 - 294 | sentence_idx: 396777 | align_1: 9-7 | align_2: 10-12 | ner_entity: eBook-none |    Do you know what it takes to create an eBook ( and a cover , like the one above ) ? ||| 你们 知道 怎样 才 是 一个 「 成全 的 人 」 ？ （ 一个 成全 的 人 ， 怀有 一 颗 慈悲 的 心 ， 并 懂得 去 「 爱 」 人 ）

L.S. LS | w_freq: 1 - 17 | wiki_freq: 405 - 198 | sentence_idx: 397462 | align_1: 2-2 | align_2: 3-7 | ner_entity: L.S.-none |    6 ) L.S. When and above all why did you decide to disclose these information about classified space missions and is there anybody who is protecting you ? ||| 6 、 LS ： 你 是 什么 时候 ， 最 主要 的 是 你 为什么 要 决定 揭露 这些 绝密 太空 任务 的 信息 ， 是否 有人 在 保护 你 呢 ？

RIP RIP鲍 | w_freq: 23 - 1 | wiki_freq: 851 - 0 | sentence_idx: 400582 | align_1: 0-0 | align_2: 1-4 | ner_entity: RIP-none |    RIP Bob Venturi , so many of our lives would not have been the same without you . ||| RIP鲍 勃·文图 里 ( Bob Venturi ) ， 没有 你 ， 我们 的 许多 生活 将 是 不 一样 的 。

Verily 誓 | w_freq: 128 - 241 | wiki_freq: 279 - 535 | sentence_idx: 405012 | align_1: 8-7 | align_2: 9-15 | ner_entity: Verily-none |    Inna can also be translated to be “ Verily ” . ||| 宝贝 ， 听 我 说 ： " 誓 " 本来 就是 " 拆开 的 语言 " 。

oseph UF | w_freq: 2 - 2 | wiki_freq: 0 - 0 | sentence_idx: 409506 | align_1: 2-2 | align_2: 3-6 | ner_entity: none-Europe UF  |    of J oseph ( ||| 澳大利亚 Europe UF  - ' ( 

YORK YORK | w_freq: 50 - 7 | wiki_freq: 199 - 16 | sentence_idx: 414034 | align_1: 1-2 | align_2: 2-6 | ner_entity: NEW YORK-none |    NEW YORK — Maybe the middle child really should be the favorite . ||| N EW YORK （ 美联社 ） - 也许 中间 孩子 真的 应该 是 最 喜欢 的 ...

CENTCOM Centcom | w_freq: 4 - 1 | wiki_freq: 480 - 0 | sentence_idx: 414435 | align_1: 0-0 | align_2: 1-4 | ner_entity: CENTCOM-none |    CENTCOM will restore service to its Twitter and YouTube accounts as quickly as possible . ||| Centcom 表示 ， 它 将 “ 尽快 ” 恢复 其 Twitter 和 YouTube 帐户 的 服务 。

HL7 HL | w_freq: 5 - 8 | wiki_freq: 275 - 103 | sentence_idx: 424194 | align_1: 5-3 | align_2: 6-8 | ner_entity: HL7 International-none |    For example , at the HL7 International level , there are 10 different CMETs for the concept of " Patient " . ||| 例如 ， 在 HL 7 国际 （ HL7 International ） 层面 上 ， 对于 “ 患者 ” 这 一 概念 ， 就 有 10 个 不同 的 CMET 。

Civaux Civaux | w_freq: 2 - 2 | wiki_freq: 17 - 0 | sentence_idx: 424235 | align_1: 5-4 | align_2: 6-12 | ner_entity: Civaux-Civaux ) |    Everybody I spoke to in Civaux loves the fact their region was chosen . ||| 我 在 西沃 ( Civaux ) 所 交谈 的 每个 人 都 喜欢 他们 所在 地区 的 选择 。

Infosys Infosys | w_freq: 6 - 5 | wiki_freq: 979 - 6 | sentence_idx: 424738 | align_1: 8-6 | align_2: 9-11 | ner_entity: Infosys-none |    He asked them to build a company like Infosys and lift people out of poverty . ||| 他 让 他们 成立 一个 像 Infosys 那样 的 公司 ， 和 帮助 人民 脱贫 。

Ethereum Ethereum | w_freq: 84 - 43 | wiki_freq: 652 - 12 | sentence_idx: 430720 | align_1: 1-1 | align_2: 2-7 | ner_entity: Ethereum-none |    Like Ethereum , Tron has its own smart contracts , Dapps and a wallet . ||| 与 Ethereum （ 以 太坊 ） 一样 ， TRON 拥有 自己 的 智能 合约 、 Dapps 和 钱包 。

Damianos 主Damianos | w_freq: 2 - 1 | wiki_freq: 71 - 0 | sentence_idx: 431102 | align_1: 4-4 | align_2: 5-9 | ner_entity: Damianos-none |    But in 1900 Patriarch Damianos revived it for one day in the year , not 23 October but 31 December . ||| 但是 ， 在 1900年 主Damianos ， 东正教 主教 ， 恢复 它 一 天 的 一 年 ， 而 不是 10月 23日 ， 但 12月 31日 。

Lacerta Lacerta | w_freq: 2 - 2 | wiki_freq: 332 - 11 | sentence_idx: 443001 | align_1: 4-5 | align_2: 5-12 | ner_entity: Lacerta-none |    Please call me " Lacerta " , this is the name I generally use when I´m among humans and talk with them . ||| 请 叫 我 「勒斯塔 （ Lacerta ， 意 为 蜥蜴 属 ） 」 好 了 ， 这是 当 我 在 人类 当中 走动 并 和 他们 谈话 的 时候 通常 用 的 名字 。

Ishi 伊施 | w_freq: 1 - 2 | wiki_freq: 451 - 4 | sentence_idx: 447813 | align_1: 16-15 | align_2: 17-25 | ner_entity: Ishi-伊施 |    16 Yehovah says , “ When that day comes , you ’ll call Me Husband [ Ishi ] and you will never again call Me Lord [ Baal ] ! ||| ” 16 耶和华 说 ： “ 到 那 日 ， 你 必 称呼 我 ‘ 伊施 ’ （ “ 伊施 ” 意即 “ 我 夫 ” ） ， 不再 称呼 我 ‘ 巴力 ’ （ “ 巴力 ” 意即 “ 我 主 ” ） 。

Magnum—powerful Smith&Wesson.357Magnum-- | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 450975 | align_1: 13-11 | align_2: 14-16 | ner_entity: Magnum—powerful-none |    I could see that his pistol was a short-barreled Smith & Wesson .357 Magnum—powerful enough to blow holes in Mohr 's BSA cylinder head , if necessary—but at arm 's length it hardly mattered . ||| 我 可以 看到 他 的 手枪 是 一个 很 短 的 Smith&Wesson.357Magnum-- 足够 强大  ， 足以 在 Mohr 的 BSA 气缸 盖 中 炸 开孔  ， 如果 必要 的话 -- 但是 在 手臂 的 长度 上 它 几乎 不 匹 配  。

DIAZ Diaz | w_freq: 1 - 10 | wiki_freq: 6 - 83 | sentence_idx: 454402 | align_1: 0-1 | align_2: 1-10 | ner_entity: DIAZ-none |    DIAZ Do n't clean up this blood ||| 《 Diaz ， 不要 清理 血迹 》 ( Diaz : Don’t Clean Up This Blood )

Kiphart Kiphart | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 468245 | align_1: 8-7 | align_2: 9-12 | ner_entity: Kiphart-none |    Carter , would you like to be a Kiphart and be our son and brother ? ” ||| 卡特 ， 你 愿意 成为 吉普哈特 （ Kiphart ） 的 一 分子 ， 做 我们 的 儿子 和 弟弟 吗 ？ 」

Mastery Mastery | w_freq: 6 - 3 | wiki_freq: 686 - 7 | sentence_idx: 470855 | align_1: 8-9 | align_2: 9-14 | ner_entity: Mastery-none |    But as Robert Greene explains in his book Mastery , you can learn to love this internal resistance . ||| 不过 ， Robert Greene 在 他 的 书 《 Mastery 》 中 解释 道 ， 你 可以 学会 喜欢 这种 内在 的 阻力 。

Expedia Expedia | w_freq: 19 - 19 | wiki_freq: 421 - 51 | sentence_idx: 474078 | align_1: 4-5 | align_2: 5-11 | ner_entity: Expedia Business Services-none |    We are creating an Expedia Business Services organization which will be comprised of Expedia Partner Solutions and Egencia . ||| 我们 正在 建立 一个 “ Expedia 商务 服务 ” （ Expedia Business Services ） 组织 ， 将 由 Expedia 合作 伙伴 解决 方案 和 Egencia 组成 。

Gillon Gillon | w_freq: 2 - 1 | wiki_freq: 524 - 3 | sentence_idx: 478562 | align_1: 1-1 | align_2: 2-5 | ner_entity: Raanan Gillon-none |    Raanan Gillon reviews the case of M , a woman in minimally conscious state , who was the subject of a court of protection ruling last year . ||| Raanan Gillon （ 图 ） 回顾 了 M 的 案例 ， 一个 处于 最低 意识 状态 的 女人 ， 他 是 去年 保护 法庭 裁决 的 对象 。

Hottie Hottie | w_freq: 2 - 2 | wiki_freq: 155 - 2 | sentence_idx: 480665 | align_1: 22-24 | align_2: 23-33 | ner_entity: Hottie-none |    Very soon after at 2:16 , he says , “ Have any of you enjoyed this special pizza here tonight called the Hottie ? … If you have n’t had it , you should try it , it ’s delicious . ” ||| 之后 不久 ， 在 2:16 ， 他 说 ： “ 你们 有 没有 人 享受 过 今晚 这里 的 这个 特别 的 披萨 叫 Hottie （ 字面 上 是 辣妹 的 意思 ） ？ …… 如果 你 还 没有 ， 你 应该 试 一下 ， 它 很 美味 。

Ivashintsova Ivashintsova | w_freq: 1 - 1 | wiki_freq: 9 - 0 | sentence_idx: 484451 | align_1: 6-8 | align_2: 7-12 | ner_entity: Ivashintsova-none |    Expect to be hearing more from Ivashintsova as her family considers opportunities to sell and exhibit her work . ||| 我们 可能 未来 会 听到 更 多 有关 Ivashintsova 的 事 ， 因为 她 的 家人 正在 考虑 出售 和 展览 她 作品 的 机会 。

DVI DVI | w_freq: 5 - 5 | wiki_freq: 601 - 119 | sentence_idx: 499240 | align_1: 11-9 | align_2: 12-15 | ner_entity: DVI-none |    You ’re short by one port ( two if you hate DVI ) , but it ’s close enough . ||| 您 只有 一个 端口 （ 如果 您 不 喜欢 DVI ， 则 两 个 端口 ） 短 ， 但 距离 足够 近 。

williams 威廉斯 | w_freq: 2 - 14 | wiki_freq: 169 - 981 | sentence_idx: 504692 | align_1: 3-4 | align_2: 4-11 | ner_entity: none-威廉斯 |    Tag : robin williams : come inside my head ||| 开眼 ﹥ 电影 ﹥罗宾 威廉斯 ： 我 心 深处 Robin Williams : Come Inside My Mind

Weah Weah | w_freq: 8 - 6 | wiki_freq: 514 - 3 | sentence_idx: 506142 | align_1: 1-1 | align_2: 2-5 | ner_entity: George Weah-none |    George Weah wants 6,000 Nigerian teachers ||| George Weah 说 ， 利比里亚 需要 来自 尼日利亚 的 6000 名 教师

Dyers 染发 | w_freq: 1 - 2 | wiki_freq: 391 - 106 | sentence_idx: 509222 | align_1: 22-16 | align_2: 23-20 | ner_entity: Dyers-none |    He had always seen her from time to time , for he had often been called to the farm or to the Dyers and had watched her at play . ||| 他 总是 时不时 地 看到 她   ， 因为 他 经常 被 叫到 农场 或者是 染发   ， 并且 看 着 她 玩   。

Bergner Bergner | w_freq: 1 - 1 | wiki_freq: 491 - 2 | sentence_idx: 510801 | align_1: 3-1 | align_2: 4-14 | ner_entity: Daniel Bergner-Daniel Bergner |    According to Daniel Bergner ( What Do Women Want ? ||| Daniel Bergner 在 他 的 2013年 《 女人 要 的 是 什么 ？ 》 ( What Do Women Want ?

Caixin 财新 | w_freq: 3 - 2 | wiki_freq: 107 - 120 | sentence_idx: 515138 | align_1: 0-0 | align_2: 1-4 | ner_entity: Caixin-none |    Caixin : What role do you think China should play on the international financial stage in , for example , the euro crisis or an even greater crisis ? ||| 财新 《 新世纪 》 ： 你 认为 中国 在 国际 金融 舞台 上 应该 扮演 什么样 的 角色 ， 比如 在 欧债 危机 、 甚至 更 大 的 危机 之中 ？

Wherein 奉丧 | w_freq: 11 - 1 | wiki_freq: 175 - 2 | sentence_idx: 515651 | align_1: 2-2 | align_2: 3-12 | ner_entity: none-奉丧 |    Yusuf Ali Wherein they shall remain for ever : ||| 丞 相亮 奉丧 还 成都 ， 以 李 严 为 中都 护 ， 留镇 永安 。

Sonsierra Sonsierra | w_freq: 1 - 1 | wiki_freq: 20 - 0 | sentence_idx: 515828 | align_1: 10-7 | align_2: 11-12 | ner_entity: San Vicente de la Sonsierra-none |    Do you know the wines from San Vicente de la Sonsierra ? ||| 你 了解 “ San Vicente de la Sonsierra ” 品牌 红酒 吗 ?

Brejcha Brejcha | w_freq: 1 - 1 | wiki_freq: 21 - 0 | sentence_idx: 516525 | align_1: 2-1 | align_2: 3-5 | ner_entity: Brejcha-none |    According to Brejcha people will be able to buy the tomatoes in ordinary shops . ||| 根据 Brejcha 的 说法 ， 人们 可以 在 普通 商店 购买 这些 西红柿 。

Redfin Redfin | w_freq: 17 - 16 | wiki_freq: 163 - 10 | sentence_idx: 522194 | align_1: 12-12 | align_2: 13-20 | ner_entity: Redfin-none |    He also recognizes that while both companies may have been inspired by Redfin , they opted for very different and , in retrospect , more accessible business models . ||| 他 也 承认 ， 尽管 两 家 公司 可能 都 是 被 Redfin 所 启发 ， 但 现在 回想 起来 ， 他们 选择 了 非常 不同 、 却 也 更 可行 的 商业 模式 。

AIPAC AIPAC | w_freq: 4 - 2 | wiki_freq: 596 - 13 | sentence_idx: 525866 | align_1: 9-8 | align_2: 10-16 | ner_entity: AIPAC Annual Policy Conference-none |    I had the pleasure of being invited to the AIPAC Annual Policy Conference in March of this year where 18,000 people congregated to discuss Israel and US-Israel relations , global affairs , and policy . ||| 我 有幸 受邀 参加 今年 3月 举行 的 AIPAC （ 美国 以色列 公共 事务 委员会 ） 年度 政策 会议 ， 会上 有 1.8万 人 聚集一堂 讨论 以色列 及 美 以 关系 、 全球 事务 和 政策 。

Adleth Adleth | w_freq: 2 - 2 | wiki_freq: 1 - 0 | sentence_idx: 526016 | align_1: 5-4 | align_2: 6-8 | ner_entity: Jack Adleth-none |    Former undercover police officer Jack Adleth returns to London seeking those who tried to have him killed in Amsterdam . ||| 前 卧底 警官 Jack Adleth   ， 返回 伦敦 寻找 那些 试图 在 阿姆斯特丹 杀 他 的 人   。

F4F f4f | w_freq: 2 - 2 | wiki_freq: 355 - 0 | sentence_idx: 532046 | align_1: 2-4 | align_2: 3-10 | ner_entity: F4F-none |    We created F4F as a platform that helps children around the globe make their voices heard , and we are happy to see more than 200 countries from every continent contributing to the project this year . ||| 我们 已经 启动 了 f4f 计划 ， 并 使 之 成为 一个 平台 ， 帮助 世界 各地 的 儿童 听到 他们 的 声音 ， 我们 高兴 地 看到 来自 各 大洲 的 200多 个 国家 参加 了 今年 的 f4f 计划 。

Juda 犹大王国 | w_freq: 4 - 2 | wiki_freq: 398 - 93 | sentence_idx: 532973 | align_1: 12-10 | align_2: 13-15 | ner_entity: Juda-犹大王国 |    In chapter 2 the prophet develops his threats against the Kingdom of Juda and gives his reasons for them . ||| 在 第2 章 先知 ​​ 的 发展 对 他 的 犹大王国 ​​ 的 威胁 ， 并 给出 了 他们 他 的 理由 。

SDT SDT | w_freq: 3 - 3 | wiki_freq: 345 - 21 | sentence_idx: 533564 | align_1: 5-5 | align_2: 6-9 | ner_entity: SDT-none |    I ’m currently reading about SDT for potential research next year . ||| 我 目前 正在 阅读 关于 SDT 的 文章 ， 以便 明年 进行 潜在 的 研究 。

EMK EMK | w_freq: 51 - 25 | wiki_freq: 76 - 2 | sentence_idx: 537811 | align_1: 14-16 | align_2: 15-20 | ner_entity: EMK-none |    Very true that emotionally a divorce can be dreadful and I do concur with EMK that individuals tender their feelings in different ways….countless variables to consider . ||| 非常 真实 的 是 ， 在 情感 上 离婚 可能 是 可怕 的 ， 我 同意 EMK 的 观点 ， 即 个人 以 不同 的 方式 抚慰 自己 的 感情 …… 需要 考虑 的 变量 数不胜数 。

Alesha 阿莱莎 | w_freq: 4 - 2 | wiki_freq: 518 - 1 | sentence_idx: 543004 | align_1: 8-9 | align_2: 9-13 | ner_entity: Alesha-阿莱莎 |    Lord Matthew continued : " When you saw Alesha your reaction was ' a moment of opportunity ' . ||| 马修 勋爵 接着 说 ： “ 当 你 看到 阿莱莎 的 时候 ， 你 的 反应 是 ‘ 一个 机会 的 时刻 ’ 。

Madiba 马迪巴 | w_freq: 6 - 3 | wiki_freq: 108 - 4 | sentence_idx: 544929 | align_1: 6-5 | align_2: 7-9 | ner_entity: Madiba-马迪巴 |    " Over the past 24 years Madiba taught us how to come together and to believe in ourselves and each other . ||| “ 过去 24年 来 ， 马迪巴 （ 曼德拉 ） 教会 我们 如何 团结 ， 如何 相信 自己 和 彼此 。

Rothbard 默里·罗斯巴德 | w_freq: 7 - 1 | wiki_freq: 909 - 2 | sentence_idx: 550166 | align_1: 4-3 | align_2: 5-8 | ner_entity: Murray Rothbard-默里·罗斯巴德 |    As the late Murray Rothbard pointed out , all banks are technically insolvent . ||| 正如 已故 的 默里·罗斯巴德 （ MurrayRothbard ） 所 指出 的 那样 ， 所有 银行 在 技术 上都 是 无力偿债 的 。

DataMatrix DataMatrix | w_freq: 1 - 1 | wiki_freq: 7 - 0 | sentence_idx: 554469 | align_1: 13-14 | align_2: 14-18 | ner_entity: DataMatrix-none |    The two most popular types are Quick Response ( QR ) Code and DataMatrix but there are other options available . ||| 两 种 最 流行 的 类型 是 快速 响应 （ QR ） 代码 和 DataMatrix   ， 但 还有 其他 选项 可用    。

Sinim 希尼 | w_freq: 3 - 3 | wiki_freq: 16 - 56 | sentence_idx: 555148 | align_1: 15-24 | align_2: 16-37 | ner_entity: Sinim-希尼 |    these from the north and from the west ; and these from the land of Sinim . ” ||| 看 哪 ， 这些 从 远方 来 ， 这些 从 北方 、 从 西方 来 ， 这些 从 秦国 来 （ 秦 原文 为 希尼 ， 因 有些 解经家 认为 这是 指 中国 ， 故译 秦国 ） 。

Easyway Easyway | w_freq: 1 - 1 | wiki_freq: 29 - 0 | sentence_idx: 556215 | align_1: 16-21 | align_2: 17-26 | ner_entity: Easyway-none |    When you are ready to have your final cigarette you ’ll understand why Allen Carr ’s Easyway method has sold more than 15 MILLION books worldwide almost entirely on the strength of word of mouth ; it works ! ||| 当 你 准备 好 你 要 吸 的 最后 一 根 香烟 时 ， 你 会 明白 为什么 亚伦.卡尔 的 “ Easyway － 易 为 ” 方法 已经 在 全世界 销售 了 超过 1500万 本书 ， 几乎 完全 靠 口碑 的 力量 ; 有用 ！

Dontae Dontae | w_freq: 1 - 1 | wiki_freq: 59 - 0 | sentence_idx: 574070 | align_1: 17-16 | align_2: 18-22 | ner_entity: Dontae-none |    “ She said I ’d signed a form when I was pregnant to say she could take Dontae away for half an hour for a medical check . ||| 她 说 我 怀孕 的 时候 签署 了 一 封 表格 ， 说 她 可以 将 Dontae （ 乌拉 的 儿子 ） 带走 半 个 小时 接受 医疗 检查 。

LVM LVM | w_freq: 3 - 6 | wiki_freq: 119 - 15 | sentence_idx: 574199 | align_1: 8-8 | align_2: 9-14 | ner_entity: LVM-none |    I have to tell you that , when LVM first made its appearance in Fedora Linux , I resisted it rather strongly . ||| 我 想 告诉 你 的 是 ， 当 LVM （ 逻辑 卷 管理 ） 首次 出现 在 Fedora Linux 中时 ， 我 是 非常 抗拒 它 的 。

Jor-el 乔˙艾尔 | w_freq: 1 - 1 | wiki_freq: 5 - 0 | sentence_idx: 578794 | align_1: 13-13 | align_2: 14-18 | ner_entity: Jor-el-乔˙艾尔 |    I was actually born on Krypton and sent here by my father , Jor-el , to save the Planet Earth . '' ||| 其实 我 是 出生 在 氪普顿 星球 上 ， 然后 被 我 父亲 乔˙艾尔 （ 超人 的 生父 ） 派 过来 拯救 这个 星球 － 地球 」 。

Liardon Liardon | w_freq: 1 - 1 | wiki_freq: 9 - 0 | sentence_idx: 583128 | align_1: 5-11 | align_2: 6-18 | ner_entity: Roberts Liardon-Roberts Liardon |    God 's Generals , Roberts Liardon , Whitaker House , 1996 . ||| God's Generals （ 《 神 的 将领 》 ） ， Roberts Liardon （ 罗 拔士 ． 李亚敦 ） ， Whitaker House , 1996 .

Newswire Newswire | w_freq: 1 - 2 | wiki_freq: 232 - 7 | sentence_idx: 583818 | align_1: 10-10 | align_2: 11-23 | ner_entity: PR Newswire-none |    I am a manager of customer content services at PR Newswire ( talking about the job ) . ||| I am a manager of customer content services at PR Newswire . （ 我 是 美通社 的 一 名 客户 内容 服务 经理 （ 谈 到 工作 ） 。

KISA KISA | w_freq: 1 - 2 | wiki_freq: 36 - 3 | sentence_idx: 591314 | align_1: 15-13 | align_2: 16-20 | ner_entity: KISA Personal Information Protection Center-none |    02 ) In case of any additional counseling regarding personal information , you may consult KISA Personal Information Protection Center ( WEB or Cyber Terror Response Center ( WEB ||| 02 ) 有关 个人 信息 的 任何 其他 咨询 ， 您 可以 咨询 KISA 个人 信息 保护 中心 ( KISA Personal Information Protection Center ) ( WEB 或 网络 反恐 中心 ( Cyber Terror Response Center ) ( WEB

Va’igashu 阿罗汉 | w_freq: 1 - 6 | wiki_freq: 0 - 408 | sentence_idx: 596409 | align_1: 0-1 | align_2: 1-6 | ner_entity: none-阿罗汉 |    Va’igashu And they came near . ||| 菩萨度 阿罗汉 ， 阿罗 汉度 众生 ， 他们 接近 。

Va’igashu 菩萨度 | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 596409 | align_1: 0-0 | align_2: 1-6 | ner_entity: none-菩萨度 |    Va’igashu And they came near . ||| 菩萨度 阿罗汉 ， 阿罗 汉度 众生 ， 他们 接近 。

CovalX CovalX | w_freq: 1 - 1 | wiki_freq: 7 - 0 | sentence_idx: 603647 | align_1: 6-4 | align_2: 7-9 | ner_entity: CovalX-none |    He also is a co-founder of CovalX and has extensive experience developing and expanding businesses on a worldwide basis . ||| 他 也 是 一个 CovalX 的 创始人 之一 ， 并 拥有 丰富 的 经验 ， 发展 和 扩大 在 全球 范围 内 的 企业 。

Rancher Rancher | w_freq: 5 - 6 | wiki_freq: 492 - 16 | sentence_idx: 610265 | align_1: 1-1 | align_2: 2-8 | ner_entity: Rancher-none |    Slime Rancher – Developed by Monomi Park ||| Slime Rancher （ 英语 ： Slime Rancher ） – 由 Monomi Park 开发

Ennahda 恩纳 | w_freq: 3 - 1 | wiki_freq: 330 - 79 | sentence_idx: 610303 | align_1: 8-8 | align_2: 9-13 | ner_entity: Ennahda-恩纳 达 |    The case of Tunisia is different , because Ennahda — the Islamic party — was persecuted and banned under Ben Ali . ||| 突尼斯 的 情况 是 不同 的 ， 因为 恩纳 达 （ ENNAHDA ） --- 伊斯兰 政党 --- 遭到 本·阿里 迫害 和 禁止 。

Gerstein Gerstein | w_freq: 3 - 2 | wiki_freq: 563 - 5 | sentence_idx: 611380 | align_1: 0-0 | align_2: 1-4 | ner_entity: Gerstein-none |    Gerstein suggested that regulations like the Kimberley Process may be less effective in practice than initially intended . ||| Gerstein （ 格斯坦 ） 表示 ， 金伯利 进程 等 规定 在 实践 中 并 不如 最初 预期 那般 有效 。

PostgreSQL PostgreSQL | w_freq: 26 - 27 | wiki_freq: 618 - 168 | sentence_idx: 614011 | align_1: 8-9 | align_2: 9-15 | ner_entity: PostgreSQL Global Development Group-PostgreSQL 全球 发展 团队 ( PostgreSQL Global Development Group |    After almost 9 months of development , the PostgreSQL Global Development Group is proud to announce that development on PostgreSQL 8.0.0 has now finished , and is ready for some serious testing . ||| 在 将近 九 个 月 的 发展 后 ， PostgreSQL 全球 发展 团队 ( PostgreSQL Global Development Group ) 很 荣幸 地 宣布 PostgreSQL 8.0.0 已经 完成 发展 ， 并 准备 接受 严格 的 测试 。

