Dhamma Dhamma | w_freq: 49 - 45 | wiki_freq: 1093 - 92 | sentence_idx: 4829 | align_1: 1-0 | align_2: 2-6 | ner_entity: none-Dhamma |    ‘ Dhamma is good , but what is dhamma ? ||| Dhamma [ oder heute Dahrma ] ist gut , aber was ist Dhamma ?
ANP ANP | w_freq: 4 - 4 | wiki_freq: 899 - 176 | sentence_idx: 224215 | align_1: 19-21 | align_2: 20-25 | ner_entity: ANP-ANP |    Studies under this program were done until May 1951 when NEPA was replaced by the Aircraft Nuclear Propulsion ( ANP ) program . ||| Die Studien im Rahmen dieses Projekts wurden bis zum Mai 1951 fortgesetzt , als das NEPA vom Aircraft Nuclear Propulsion ( ANP ) ( Flugzeug-Nuklearantrieb ) Programm abgelöst wurde .

Amnesty Amnesty | w_freq: 100 - 83 | wiki_freq: 11733 - 2608 | sentence_idx: 230648 | align_1: 3-3 | align_2: 4-7 | ner_entity: Amnesty-Amnesty International |    An NGO told Amnesty they knew of 20 such cases . ||| Eine NGO berichtete Amnesty International , dass sie von zwanzig solcher Fälle wisse .

Generali-Arena Generali-Arena | w_freq: 1 - 1 | wiki_freq: 0 - 4 | sentence_idx: 231688 | align_1: 14-13 | align_2: 15-17 | ner_entity: Generali-Arena-Generali-Arena |    ABB has installed its new and innovative technologies throughout the stadium , making the Generali-Arena what it is today : the most modern and beautiful stadium in Austria . " ||| ABB hat im gesamten Stadion seine neuen innovativen Technologien installiert , damit die Generali-Arena das wird , was sie heute ist : das modernste und schönste Stadion in Österreich . “

Eclipse Eclipse | w_freq: 39 - 33 | wiki_freq: 9531 - 1517 | sentence_idx: 236629 | align_1: 14-8 | align_2: 15-18 | ner_entity: Eclipse-Eclipse |    ( When he ’s staring at her on the bottom of page 173 in Eclipse , he ’s trying to make himself imprint on her . ||| ( Als er sie auf Seite 173 in Eclipse [ englische Version , deutsch Seite 177 ] anstarrt , versucht er selbst sich auf sie zu prägen .

EA EA | w_freq: 61 - 53 | wiki_freq: 9003 - 2069 | sentence_idx: 237519 | align_1: 7-8 | align_2: 8-14 | ner_entity: EA-none |    I have more confidence trading with my EA knowing that widening spreads wo n’t sabotage my trading strategy . ||| Ich habe mehr Vertrauen , Handel mit mein EA zu , in dem Sie wissen , dass die Ausweitung der Spreads werden nicht sabotieren meine trading-Strategie .

Novgorod Novgorod | w_freq: 5 - 5 | wiki_freq: 10691 - 74 | sentence_idx: 238670 | align_1: 13-14 | align_2: 14-19 | ner_entity: republic of Novgorod-Novgorod |    The veche was the highest legislature and judicial authority in the republic of Novgorod until 1478 . ||| Der veche war die höchste gesetzgebende Körperschaft und gerichtliche Instanz in der Republik von Novgorod ( Novgorod Republik ) bis 1478.

Bled Bled | w_freq: 7 - 7 | wiki_freq: 1071 - 863 | sentence_idx: 240170 | align_1: 13-11 | align_2: 14-15 | ner_entity: Bled-Bled |    This is , I think , one of the best day trips from Bled you can do . ||| Dies ist , denke ich , einer der besten Tagesausflüge von Bled aus , die Sie machen können .

Aad Ad | w_freq: 15 - 53 | wiki_freq: 187 - 2159 | sentence_idx: 242639 | align_1: 18-15 | align_2: 19-25 | ner_entity: Aad-Ad |    “ If I were to meet them , then I would kill them , as the people of Aad were killed . ”(4 ) . ||| Sollte ich sie jemals treffen , würde ich sie töten wie die Leute von ‘ Ad [ das antike Volk , das von Allah ausgelöscht wurde ] . “

Jew Jude | w_freq: 210 - 178 | wiki_freq: 14358 - 6686 | sentence_idx: 245313 | align_1: 11-14 | align_2: 12-18 | ner_entity: Jew-none |    ‘ Oh Muslim , servant of Allah , there is a Jew behind me , come and kill him . ’ " ||| Oh , du Muslim , oh , du Diener Allahs , dies ist ein Jude , der sich hinter mir versteckt , komm und bring ihn um !

Aman Aman | w_freq: 6 - 5 | wiki_freq: 3937 - 635 | sentence_idx: 251849 | align_1: 16-13 | align_2: 17-18 | ner_entity: Darul Aman-Darul Aman |    " And that I will be able to tell my son that his parents rebuilt Darul Aman because we were so full of hope for Afghanistan . " ||| Und dass ich meinem Sohn dann erklären kann , dass seine Eltern Darul Aman wieder aufgebaut haben , weil wir voller Hoffnung für Afghanistan waren . "

Sian Sian | w_freq: 5 - 5 | wiki_freq: 1487 - 167 | sentence_idx: 253703 | align_1: 12-14 | align_2: 13-19 | ner_entity: Sian-Sian |    We were kind of into American history and culture anyway but then Sian was reading about this guy and we thought we 'd link it to that . " ||| Wir waren Art in die amerikanische Geschichte und Kultur irgendwie , aber dann dachte Sian ( Sian Evans ) war über diesen Kerl lesend , und wir , dass wir uns es dazu verbinden würden . "

ayatollahs Ayatollahs | w_freq: 9 - 10 | wiki_freq: 47 - 4 | sentence_idx: 259337 | align_1: 4-5 | align_2: 5-10 | ner_entity: none-Ayatollahs |    What about the mad ayatollahs obtaining atomic bombs and annihilating us ? " ||| Was ist mit den verrückten Ayatollahs , die die Atombomben erhalten und uns vernichten wollen ? “

Thunberg Thunberg | w_freq: 17 - 13 | wiki_freq: 1179 - 666 | sentence_idx: 264246 | align_1: 23-21 | align_2: 24-26 | ner_entity: Greta Thunberg-Greta Thunberg |    " Away from camera flashes we need to make sure that the enthusiasm that this Parliament showed today in the presence of Greta Thunberg remains and is transformed into real action . ||| „ Abseits der Blitzlichter müssen wir dafür sorgen , dass der Enthusiasmus , den dieses Parlament heute in Anwesenheit von Greta Thunberg gezeigt hat , erhalten bleibt und in echte Taten umgesetzt wird .

Khloe khloe | w_freq: 11 - 3 | wiki_freq: 137 - 0 | sentence_idx: 265294 | align_1: 3-3 | align_2: 4-8 | ner_entity: Khloe-khloe |    Those closest to Khloe fear that her desire for a family will make her ultimately stay with Tristan . ||| Diejenigen , die khloe am nächsten sind , befürchten , dass ihr wunsch nach einer familie sie letztendlich dazu bringen wird , bei tristan zu bleiben .

Quran Qur | w_freq: 183 - 81 | wiki_freq: 13254 - 33 | sentence_idx: 265715 | align_1: 5-8 | align_2: 6-13 | ner_entity: Holy Quran-Qur ’ an |    Allah says in the Holy Quran that Musa ( a.s . ) was raised in His own care ! ||| Allah ( Gebriesen sei ER ) sagt im Qur ’ an über Mose , Allahs Friede auf ihm :

rustbelt Belt | w_freq: 1 - 25 | wiki_freq: 12 - 1797 | sentence_idx: 267351 | align_1: 19-23 | align_2: 20-28 | ner_entity: none-Rust Belt |    Whatever the cause of job loss , in every election the parties promised to help workers in the so-called rustbelt of the upper Midwest , but nothing improved . ||| Was auch immer der Grund für Arbeitsplatzverlust ist : Bei jeder Wahl versprachen die Parteien Hilfe für die Arbeiter des sogenannten „ Rust Belt “ ( Rostgürtel ) des oberen Mittleren Westens , aber nichts verbesserte sich .

rustbelt Rust | w_freq: 1 - 11 | wiki_freq: 12 - 2115 | sentence_idx: 267351 | align_1: 19-22 | align_2: 20-28 | ner_entity: none-Rust Belt |    Whatever the cause of job loss , in every election the parties promised to help workers in the so-called rustbelt of the upper Midwest , but nothing improved . ||| Was auch immer der Grund für Arbeitsplatzverlust ist : Bei jeder Wahl versprachen die Parteien Hilfe für die Arbeiter des sogenannten „ Rust Belt “ ( Rostgürtel ) des oberen Mittleren Westens , aber nichts verbesserte sich .

Easing Lockerung | w_freq: 5 - 36 | wiki_freq: 103 - 1192 | sentence_idx: 271373 | align_1: 6-6 | align_2: 7-10 | ner_entity: Quantitative Easing-quantitative Lockerung |    It ’s not exactly “ Quantitative Easing I , II , and III , ” but it will have some of the same effects . ||| Es ist nicht gerade " quantitative Lockerung ( QE ) I , II und III " , aber es wird ähnliche Auswirkungen haben .

Novorossiya Noworossija | w_freq: 3 - 2 | wiki_freq: 336 - 8 | sentence_idx: 275748 | align_1: 7-7 | align_2: 8-14 | ner_entity: Novorossiya-Noworossija |    “ Why are Donetsk and Luhansk ‘ Novorossiya , ’ but when a passenger jet crashes in its territory , it is instantly transformed into Ukraine ? ” ||| “ Warum sind Donezk und Luhansk ‘ Noworossija ’ ( ‘ Neurussland ’ ) , aber wenn ein Passagierflugzeug in seinem Hoheitsgebiet abstürzt , verwandelt es sich sofort wieder in die Ukraine ? ”

Satan Satan | w_freq: 545 - 431 | wiki_freq: 10944 - 2179 | sentence_idx: 276468 | align_1: 24-30 | align_2: 25-35 | ner_entity: Satan-Satan |    38 The field is the world , and the seed represents the people of the Kingdom ; the thistles are the people belonging to Satan . ||| 38 Der Acker steht für die Welt , die Saat für die Menschen , die zu Gottes himmlischem Reich gehören , und das Unkraut für die Leute , die dem Satan gehorchen [ f ] .

Allah Allah | w_freq: 728 - 635 | wiki_freq: 12189 - 1130 | sentence_idx: 284278 | align_1: 4-0 | align_2: 5-16 | ner_entity: Allah-Allah |    Therefore , Moses is Allah . ||| Allah ist Er (= El oder Al ) , der Gott ( ilah ) = Moses .

Pharaoh Fir | w_freq: 384 - 20 | wiki_freq: 5590 - 125 | sentence_idx: 293083 | align_1: 3-3 | align_2: 4-7 | ner_entity: Pharaoh-Fir |    Go thou to Pharaoh ; he has rebelled . ||| " Geh zu Fir ´ aun , denn gewiß , er überschreitet das Maß ( an Frevel ) .

Ponte Ponte | w_freq: 4 - 4 | wiki_freq: 5337 - 3984 | sentence_idx: 293206 | align_1: 12-8 | align_2: 13-14 | ner_entity: Carla Del Ponte-Carla Del Ponte |    Altogether , more than 11,000 deaths have been reported to Carla Del Ponte by her prosecutors . ||| Zusammen sind mehr als 11.000 Todesfälle Carla Del Ponte ( Carla Del Ponte ) von ihren Anklägern berichtet worden .

Alliandre Alliandre | w_freq: 2 - 2 | wiki_freq: 1 - 1 | sentence_idx: 304759 | align_1: 13-11 | align_2: 14-16 | ner_entity: Alliandre-Alliandre |    “ Lord Perrin , your Lady wife and I were hunting with Queen Alliandre when we were attacked by Aiel . ||| » Lord Perrin , Eure Gemahlin und ich waren mit Königin Alliandre auf der Jagd , als wir von Aiel angegriffen wurden .

Siena Siena | w_freq: 16 - 17 | wiki_freq: 10363 - 5737 | sentence_idx: 310686 | align_1: 2-2 | align_2: 3-8 | ner_entity: Province of Siena-Siena |    Province of Siena , an Italian province ( two letter provincial designator ) ||| Provinz von Siena ( Provinz von Siena ) , eine italienische Provinz ( zwei Brief provinzieller designator )

Honor–one Ehre | w_freq: 1 - 447 | wiki_freq: 0 - 9435 | sentence_idx: 320271 | align_1: 9-8 | align_2: 10-16 | ner_entity: Legion of Honor–one-Legion der Ehre |    He was a Grand Croix of the Legion of Honor–one of only 75 in all of France . ||| Er war ein Großartiger Croix der Legion der Ehre ( Legion der Ehre ) - einer von nur 75 im ganzen Frankreich .

swears swt | w_freq: 21 - 7 | wiki_freq: 2327 - 37 | sentence_idx: 321216 | align_1: 1-1 | align_2: 2-6 | ner_entity: none-Allah swt |    Allah swears by the pen and by what is written by the pen in another Sura . ||| Allah swt hat diesen Vertrag , in der Thora , im Evangelium und im Quran niedergeschrieben .

Brexit Brexit | w_freq: 342 - 286 | wiki_freq: 7769 - 819 | sentence_idx: 321368 | align_1: 8-7 | align_2: 9-12 | ner_entity: Brexit-Brexit |    Some well-known Jews have expressed personal opinions on Brexit which are not based on their being Jewish . ||| Einige bekannte Juden haben persönliche Meinungen zum Brexit zum Ausdruck gebracht , die nicht auf ihrem Jüdisch sein basieren .

donepezil Donepezil | w_freq: 2 - 2 | wiki_freq: 74 - 35 | sentence_idx: 325048 | align_1: 8-12 | align_2: 9-19 | ner_entity: none-Donepezil |    “ We observed that patients who continued taking donepezil were better able to remember , understand , communicate and perform daily tasks for at least a year longer than those who stopped taking the drugs . ” ||| " Wir haben festgestellt , dass Patienten , die sich weiter mit Donepezil befanden , sich in der Lage waren , sich zu erinnern , zu verstehen , zu kommunizieren und tägliche Aufgaben für mindestens ein Jahr länger zu leisten , als diejenigen , die die Drogen nicht mehr aufgaben .

Messenia Messenia | w_freq: 1 - 2 | wiki_freq: 864 - 6 | sentence_idx: 328443 | align_1: 17-18 | align_2: 18-24 | ner_entity: Messenia-Messenia |    This term was sometimes used to refer to all the regions under direct Spartan control , including Messenia . ||| Dieser Begriff wurde manchmal gebraucht , um sich auf alle Gebiete unter der direkten spartanischen Kontrolle , einschließlich Messenia ( Messenia ) zu beziehen .

Voll Voll | w_freq: 4 - 26 | wiki_freq: 324 - 1050 | sentence_idx: 328750 | align_1: 1-1 | align_2: 2-6 | ner_entity: Reinhold Voll-Reinhold Voll |    Reinhold Voll was awarded three times , here are his most important awards : ||| Reinhold Voll ( Reinhold Voll ) wurde dreimal verliehen , hier sind seine wichtigsten Auszeichnungen :

EFSA EFSA | w_freq: 66 - 62 | wiki_freq: 513 - 334 | sentence_idx: 331996 | align_1: 15-19 | align_2: 16-23 | ner_entity: EFSA-EFSA |    A cooperation project on ciguatoxin food poisoning involving 13 organisations from six Member States and EFSA is taking shape . ||| Ein Kooperationsprojekt zur Ciguatoxin-Lebensmittelvergiftung ( „ Ciguatera “ ) , an dem 13 Organisationen aus sechs Mitgliedstaaten und die EFSA beteiligt sind , nimmt Gestalt an .

UNEP UNEP | w_freq: 15 - 15 | wiki_freq: 1386 - 456 | sentence_idx: 333210 | align_1: 8-8 | align_2: 9-14 | ner_entity: UNEP-UNEP |    According to the United Nations Environment Program ( UNEP ) , 127 State members have some kind of plastic bag legislation . ||| Nach Angaben des United Nations Environment Program ( UNEP = Umweltprogramm der Vereinten Nationen ) haben 127 Mitgliedsstaaten irgendeine Form von Plastiktütengesetz .

Peoples'.(3 Peoples | w_freq: 1 - 6 | wiki_freq: 0 - 721 | sentence_idx: 334769 | align_1: 31-34 | align_2: 32-44 | ner_entity: The Rights of Indigenous Peoples'.(3-The Rights of Indigenous Peoples |    Since they do not specify anything in particular , I am choosing to look at the UN Fact Sheet No . 9 ( Rev. 1 ) , The Rights of Indigenous Peoples'.(3 ) ||| Da sie nichts weiter gesondert spezifizieren , entscheide ich mich einen Blick auf „ UN Fact Sheet No . 9 ( Rev.1 ) [ UN Faktenblatt Nr. 9 ] , The Rights of Indigenous Peoples “ [ Die Rechte einheimischer Völker ] zu werfen.(3 )

Korah Korah | w_freq: 19 - 21 | wiki_freq: 379 - 13 | sentence_idx: 336610 | align_1: 0-1 | align_2: 1-5 | ner_entity: Korah-Korah |    Korah was a man from the people of Moses . ||| " Korah ( Qaaruun ) gehörte zum Volk Moses .

Directive Card-Richtlinie | w_freq: 752 - 1 | wiki_freq: 8800 - 0 | sentence_idx: 343336 | align_1: 30-29 | align_2: 31-33 | ner_entity: Blue Card Directive-none |    To reduce the reliance on irregular routes going forward , the Commission is also preparing a package of measures on legal migration , including a reform of the Blue Card Directive . ||| Um die zunehmende Abhängigkeit von irregulären Routen zu verringern , bereitet die Kommission auch ein Paket von Maßnahmen für die legale Zuwanderung , einschließlich einer Reform der „ Blue Card-Richtlinie “ , vor .

ayatollahs Ayatollahs | w_freq: 9 - 10 | wiki_freq: 47 - 4 | sentence_idx: 346304 | align_1: 4-5 | align_2: 5-10 | ner_entity: none-Ayatollahs |    What about the mad ayatollahs obtaining atomic bombs and annihilating us ? " ||| Was ist mit den verrückten Ayatollahs , die die Atombomben erhalten und uns vernichten wollen ? "

NFPA NFPA | w_freq: 2 - 2 | wiki_freq: 619 - 37 | sentence_idx: 346488 | align_1: 12-14 | align_2: 13-19 | ner_entity: NFPA 1901-NFPA |    As a result of this experience we also offer the assurance of NFPA 1901 compliance when and where this additional level of performance is required . ||| Als Ergebnis dieser Erfahrung bieten wir Ihnen auch die Zusicherung für die Einhaltung des NFPA ( Amerikanischer Brandschutzverband ) 1901 , wann und wo immer ein solches zusätzliches Leistungsniveau erforderlich ist .

Goethe Goethe | w_freq: 49 - 37 | wiki_freq: 8669 - 11048 | sentence_idx: 346699 | align_1: 10-14 | align_2: 11-19 | ner_entity: Goethe-Goethe |    Arthur attended her parties , usually when he knew that Goethe would be thereâthough the famous writer and statesman did n't even seem to notice the young and unknown student . ||| Arthur besuchte ihre Parteien , in der Regel , wenn er wußte , daß Goethe es , wenn auch wäre der berühmte Schriftsteller und Staatsmann nicht einmal schien den jungen und unbekannten Student zu bemerken .

TRUMAN Truman | w_freq: 1 - 39 | wiki_freq: 58 - 2382 | sentence_idx: 350967 | align_1: 1-1 | align_2: 2-6 | ner_entity: HARRY TRUMAN-Harry Truman |    HARRY TRUMAN : Having found the atomic bomb , we have used it . ||| Harry Truman ( über die Atombombe ): Da wir eine Atombombe haben , haben wir sie benutzt .

Mattis Mattis | w_freq: 13 - 12 | wiki_freq: 929 - 259 | sentence_idx: 351884 | align_1: 5-5 | align_2: 6-9 | ner_entity: [ James ] Mattis-Mattis |    “ General [ James ] Mattis described it very well : it would be a horrific war , unfortunately ” . ||| “ General [ James ] Mattis ( Verteidigungsminister ) beschrieb es sehr gut : Es wäre ein schrecklicher Krieg , leider ” .

Poroshenko Poroschenko | w_freq: 40 - 32 | wiki_freq: 1578 - 463 | sentence_idx: 354826 | align_1: 21-22 | align_2: 22-27 | ner_entity: Poroshenko-Poroschenko |    As to “ democratic values ” , well , it will be amusing to watch NATO ’s reactions to Ukraine President Poroshenko trying to avoid the election . ||| Was die „ demokratischen Werte “ betrifft , so wird es amüsant sein , die Reaktionen der NATO auf den ukrainischen Präsidenten Poroschenko zu beobachten , der versucht , die Wahlen zu vermeiden .

Poroshenko Poroschenko | w_freq: 40 - 32 | wiki_freq: 1578 - 463 | sentence_idx: 354827 | align_1: 21-22 | align_2: 22-27 | ner_entity: Poroshenko-Poroschenko |    As to “ democratic values ” , well , it will be amusing to watch NATO ’s reactions to Ukraine President Poroshenko trying to avoid the election . ||| Was die " demokratischen Werte " betrifft , so wird es amüsant sein , die Reaktionen der NATO auf den ukrainischen Präsidenten Poroschenko zu beobachten , der versucht , die Wahlen zu vermeiden .

Domplatz Domplatz | w_freq: 1 - 1 | wiki_freq: 60 - 1068 | sentence_idx: 355679 | align_1: 13-18 | align_2: 14-23 | ner_entity: Domplatz-none |    You and your escort lady should definitely climb the 70 steps from the Domplatz to see the ensemble from near . ||| Sie und Ihre Escort Dame sollten es sich auf keinen Fall nehmen lassen , die 70 Stufen vom Domplatz aus zu erklimmen , um das Ensemble aus der Nähe betrachten zu können .

Yasua Yasua | w_freq: 2 - 2 | wiki_freq: 2 - 0 | sentence_idx: 362207 | align_1: 20-16 | align_2: 21-20 | ner_entity: Yasua-Yasua |    “ The children , all under 15 , four of them , they said , ‘ No , we love Yasua . ||| « Die vier Kinder – alle unter 15 Jahren – sagten ' Nein , wir lieben Yasua ( Jesus ) !

Musa Musa | w_freq: 93 - 72 | wiki_freq: 11287 - 2031 | sentence_idx: 363194 | align_1: 0-2 | align_2: 1-6 | ner_entity: Musa-Musa |    Musa , peace be upon him , was one of those who were in danger . ||| Zur Zeit Musa ( Moses ) -Friede sei auf ihm- war die Zauberei eine sehr verbreitete , hohe Kunst .

Mexicans Mexikaner | w_freq: 44 - 41 | wiki_freq: 5505 - 2038 | sentence_idx: 363933 | align_1: 4-4 | align_2: 5-10 | ner_entity: Mexicans-none |    But also for us Mexicans it is a disaster , an extraordinary loss , even for what our country stands for . ||| Aber auch für uns Mexikaner , auch für uns ist es eine Schande , ein außerordentlicher Verlust , auch ein Verlust für das , für das unser Land steht .

mañana mañana | w_freq: 1 - 1 | wiki_freq: 188 - 53 | sentence_idx: 372566 | align_1: 17-19 | align_2: 18-26 | ner_entity: none-mañana |    It seemed that the favorite word of the Spanish officials he had to deal with was “ mañana , ” and Orwell made it a running joke throughout the book . ||| Es schien , als sei das Lieblingswort der spanischen Offiziellen , mit denen er zu tun hatte , „ mañana “ [ „ morgen “ ] , und Orwell machte daraus das ganze Buch hindurch einen Dauerscherz .

Generali Generali | w_freq: 4 - 6 | wiki_freq: 969 - 903 | sentence_idx: 373738 | align_1: 12-8 | align_2: 13-13 | ner_entity: Assicurazioni Generali-Assicurazioni Generali |    On November 1 , 1907 , he was hired at the Assicurazioni Generali , an aggressive Italian insurance company , where he worked for nearly a year . ||| Am 1. November 1907 wurde er am Assicurazioni Generali ( Assicurazioni Generali ) , eine italienische Versicherungsgesellschaft angestellt , wo er seit fast einem Jahr arbeitete .

EU-committee EU-Gremium | w_freq: 1 - 1 | wiki_freq: 2 - 1 | sentence_idx: 383509 | align_1: 4-5 | align_2: 5-9 | ner_entity: EU-committee-none |    Young politicians in the EU-committee can be of considerable importance , since the average age of the EU-commission is 53,4 years . ||| Junge Politiker , die im EU-Gremium vertreten sind , können von grosser Bedeutung sein , denn das Durchschnittsalter in der EU-Kommission liegt bei 53,4 Jahren .

Chaldeans Chaldeans | w_freq: 4 - 1 | wiki_freq: 745 - 1 | sentence_idx: 386976 | align_1: 9-15 | align_2: 10-20 | ner_entity: Chaldeans-none |    Since the Iraq War many Christians ( Assyrians and Chaldeans ) from Iraq have settled permanently or temporarily in Jordan . ||| Krieg von Since the Iraq ( Krieg von Irak ) viele Christen ( Assyrians / Chaldeans ( Assyrische Leute ) ) vom Irak ( Der Irak ) hat sich dauerhaft oder provisorisch im Jordan niedergelassen .

OnTheWaterfront OnTheWaterfront | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 389532 | align_1: 7-9 | align_2: 8-14 | ner_entity: OnTheWaterfront-OnTheWaterfront |    Our last Flickr Friday theme was # OnTheWaterfront , and these are some of your submissions . ||| Unser Flickr Friday Thema der letzten Woche war # OnTheWaterfront ( Am Wasser ) , und dies sind einige eurer Beiträge .

LORD bitte | w_freq: 217 - 1135 | wiki_freq: 627 - 1693 | sentence_idx: 393091 | align_1: 3-2 | align_2: 4-8 | ner_entity: LORD God-none |    9“Now , O LORD God , Your promise to my father David is fulfilled , for You have made me king over a people as numerous as the dust of the earth . ||| 9 Ich bitte dich , mein Herr und Gott : Halte doch das Versprechen , das du meinem Vater David gegeben hast , denn du hast mich zum König über ein Volk gemacht , das so zahlreich ist wie die Staubkörner der Erde !

Dianna Dianna | w_freq: 4 - 4 | wiki_freq: 606 - 48 | sentence_idx: 396857 | align_1: 3-2 | align_2: 4-6 | ner_entity: Dianna-Dianna |    I would cast Dianna as Cinderella , because Dianna ’s beautiful . ||| Ich würde Dianna [ Agron ] als Cinderella casten , weil Dianna schön ist .

Principles Principles | w_freq: 112 - 21 | wiki_freq: 11318 - 676 | sentence_idx: 397737 | align_1: 6-6 | align_2: 7-12 | ner_entity: DAA Self-Regulatory Principles-DAA Self-Regulatory Principles |    We also support the DAA Self-Regulatory Principles and the DAAC Self-Regulatory Principles . ||| Wir unterstützen auch die DAA Self-Regulatory Principles , die EDAA Self-Regulatory Principles und die DAAC Self-Regulatory Principles .

Spider-man Spider-Man | w_freq: 3 - 33 | wiki_freq: 89 - 1165 | sentence_idx: 398383 | align_1: 1-1 | align_2: 2-5 | ner_entity: Spider-man-Superior Spider-Man |    Superior Spider-man after successfully complete all 12 combat challenges . ||| Superior Spider-Man - Erhält man wenn man alle 12 Kampf-Herausforderungen abgeschlossen hat .

Quran Qur | w_freq: 183 - 81 | wiki_freq: 13254 - 33 | sentence_idx: 405037 | align_1: 6-5 | align_2: 7-10 | ner_entity: Quran-Qur ´ an |    Description : The origin of the Quran we hold in our hands today . ||| Beschreibung : Der Ursprung des Qur ´ an , den wir heute in unseren Händen

Bushnell Bushnell | w_freq: 2 - 1 | wiki_freq: 2586 - 295 | sentence_idx: 406489 | align_1: 7-7 | align_2: 8-11 | ner_entity: Richard Bushnell-Richard Bushnell |    " Bowling for Truth " by Richard Bushnell , criticism of several key scenes and arguments of the film ||| " Bowling for Truth " von Richard Bushnell ( en ) , Kritik an mehreren Schlüsselszenen und Argumenten des Films

Maryam Maryam | w_freq: 25 - 16 | wiki_freq: 2582 - 575 | sentence_idx: 410948 | align_1: 15-18 | align_2: 16-23 | ner_entity: Maryam-Isa ibn Maryam |    “ Do not lavish praise on me as the Christians did with the son of Maryam . ||| Widersetzt euch mir nicht , wie sich die Jünger Jesus , dem Sohn der Maria ( Isa ibn Maryam ) , widersetzt haben . ”

SOMETIME Sometime | w_freq: 1 - 3 | wiki_freq: 0 - 44 | sentence_idx: 411775 | align_1: 5-4 | align_2: 6-8 | ner_entity: none-Everybody's Got To Learn Sometime |    EVERYBODY 'S GOT TO LEARN SOMETIME by The Korgis ||| Everybody's Got To Learn Sometime , bekannt geworden durch The Korgis

Generali Generali | w_freq: 4 - 6 | wiki_freq: 969 - 903 | sentence_idx: 416324 | align_1: 11-8 | align_2: 12-13 | ner_entity: Assicurazioni Generali-Assicurazioni Generali |    On 1 November 1907 , he was hired at the Assicurazioni Generali , a large Italian insurance company , where he worked for nearly a year . ||| Am 1. November 1907 wurde er am Assicurazioni Generali ( Assicurazioni Generali ) , eine italienische Versicherungsgesellschaft angestellt , wo er seit fast einem Jahr arbeitete .

Griffiss Griffiss | w_freq: 1 - 2 | wiki_freq: 243 - 6 | sentence_idx: 417503 | align_1: 9-10 | align_2: 10-15 | ner_entity: Townsend Griffiss-Townsend Griffiss |    All five crew and four passengers ( including Townsend Griffiss ) were killed . ||| Die ganze fünf Mannschaft und vier Passagiere ( einschließlich Townsend Griffiss ( Townsend Griffiss ) ) wurden getötet .

93/104 104 | w_freq: 2 - 65 | wiki_freq: 4 - 6899 | sentence_idx: 424628 | align_1: 14-16 | align_2: 15-21 | ner_entity: Directive 93/104-none |    Those principles were subsequently developed in a series of individual directives , including Directive 93/104 . ||| Diese Grundsätze sind später durch eine Reihe von Einzelrichtlinien , zu denen die Richtlinie 93 / 104 gehört , fortentwickelt worden .

Assault Assault | w_freq: 17 - 8 | wiki_freq: 8902 - 660 | sentence_idx: 428143 | align_1: 10-9 | align_2: 11-14 | ner_entity: Sexual Assault-Sexual Assault |    The young woman had started an initiative called Revolt Sexual Assault and I have continued to work with them as they campaign for policy reform . ||| Die junge Frau hatte eine Initiative namens Revolt Sexual Assault ins Leben gerufen , und ich habe weiterhin mit ihnen zusammengearbeitet , während sie für eine politische Reform kämpften .

Musa SUMA | w_freq: 93 - 1 | wiki_freq: 11287 - 10 | sentence_idx: 429901 | align_1: 10-7 | align_2: 11-12 | ner_entity: Musa-SUMA |    He was talking about Moses , or Moshe , or Musa . ||| AMUS ist MUSA ( Moses ) oder SUMA ( die Summe ) .

Chagai-II Chagai-II | w_freq: 1 - 1 | wiki_freq: 62 - 3 | sentence_idx: 431288 | align_1: 6-5 | align_2: 7-10 | ner_entity: Chagai-II-Chagai-II |    The second nuclear test — Codename Chagai-II — was conducted and supervised by the Pakistan Atomic Energy Commission ( PAEC ) in May 30 , 1998 . ||| Der zweite Kerntest - Codename Chagai-II ( Chagai-I ich ) - wurde geführt und von der Atomenergie-Kommission von Pakistan ( Atomenergie-Kommission von Pakistan ) ( PAEC ) im Mai 30 , 1998 beaufsichtigt .

Commandments Gebote | w_freq: 68 - 152 | wiki_freq: 3094 - 2751 | sentence_idx: 432173 | align_1: 5-4 | align_2: 6-9 | ner_entity: Ten Commandments-none |    You must follow the Ten Commandments exactly as they were given by My Father , otherwise , you can not say you are of Me . ||| Ihr müsst die Zehn Gebote befolgen , und zwar genau so , wie sie von Meinem Vater gegeben wurden , sonst könnt ihr nicht sagen , dass ihr zu Mir gehört .

DAESH DAESH | w_freq: 3 - 2 | wiki_freq: 10 - 1 | sentence_idx: 442170 | align_1: 12-13 | align_2: 13-18 | ner_entity: DAESH-DAESH |    We strongly condemn treating a terrorist organization as a partner in fighting DAESH . ||| Dabei verurteilen wir die Behandlung einer Terrororganisation als einen Partner im Kampf gegen DAESH , auf das Schärfste .

