Dhamma Dhamma | w_freq: 49 - 45 | wiki_freq: 1093 - 92 | sentence_idx: 4829 | align_1: 1-0 | align_2: 2-6 | ner_entity: none-Dhamma |    ‘ Dhamma is good , but what is dhamma ? ||| Dhamma [ oder heute Dahrma ] ist gut , aber was ist Dhamma ?
NFPA NFPA | w_freq: 2 - 2 | wiki_freq: 619 - 37 | sentence_idx: 346488 | align_1: 12-14 | align_2: 13-19 | ner_entity: NFPA 1901-NFPA |    As a result of this experience we also offer the assurance of NFPA 1901 compliance when and where this additional level of performance is required . ||| Als Ergebnis dieser Erfahrung bieten wir Ihnen auch die Zusicherung für die Einhaltung des NFPA ( Amerikanischer Brandschutzverband ) 1901 , wann und wo immer ein solches zusätzliches Leistungsniveau erforderlich ist .

TRUMAN Truman | w_freq: 1 - 39 | wiki_freq: 58 - 2382 | sentence_idx: 350967 | align_1: 1-1 | align_2: 2-6 | ner_entity: HARRY TRUMAN-Harry Truman |    HARRY TRUMAN : Having found the atomic bomb , we have used it . ||| Harry Truman ( über die Atombombe ): Da wir eine Atombombe haben , haben wir sie benutzt .

Mattis Mattis | w_freq: 13 - 12 | wiki_freq: 929 - 259 | sentence_idx: 351884 | align_1: 5-5 | align_2: 6-9 | ner_entity: [ James ] Mattis-Mattis |    “ General [ James ] Mattis described it very well : it would be a horrific war , unfortunately ” . ||| “ General [ James ] Mattis ( Verteidigungsminister ) beschrieb es sehr gut : Es wäre ein schrecklicher Krieg , leider ” .

Poroshenko Poroschenko | w_freq: 40 - 32 | wiki_freq: 1578 - 463 | sentence_idx: 354826 | align_1: 21-22 | align_2: 22-27 | ner_entity: Poroshenko-Poroschenko |    As to “ democratic values ” , well , it will be amusing to watch NATO ’s reactions to Ukraine President Poroshenko trying to avoid the election . ||| Was die „ demokratischen Werte “ betrifft , so wird es amüsant sein , die Reaktionen der NATO auf den ukrainischen Präsidenten Poroschenko zu beobachten , der versucht , die Wahlen zu vermeiden .

Poroshenko Poroschenko | w_freq: 40 - 32 | wiki_freq: 1578 - 463 | sentence_idx: 354827 | align_1: 21-22 | align_2: 22-27 | ner_entity: Poroshenko-Poroschenko |    As to “ democratic values ” , well , it will be amusing to watch NATO ’s reactions to Ukraine President Poroshenko trying to avoid the election . ||| Was die " demokratischen Werte " betrifft , so wird es amüsant sein , die Reaktionen der NATO auf den ukrainischen Präsidenten Poroschenko zu beobachten , der versucht , die Wahlen zu vermeiden .

Domplatz Domplatz | w_freq: 1 - 1 | wiki_freq: 60 - 1068 | sentence_idx: 355679 | align_1: 13-18 | align_2: 14-23 | ner_entity: Domplatz-none |    You and your escort lady should definitely climb the 70 steps from the Domplatz to see the ensemble from near . ||| Sie und Ihre Escort Dame sollten es sich auf keinen Fall nehmen lassen , die 70 Stufen vom Domplatz aus zu erklimmen , um das Ensemble aus der Nähe betrachten zu können .

Yasua Yasua | w_freq: 2 - 2 | wiki_freq: 2 - 0 | sentence_idx: 362207 | align_1: 20-16 | align_2: 21-20 | ner_entity: Yasua-Yasua |    “ The children , all under 15 , four of them , they said , ‘ No , we love Yasua . ||| « Die vier Kinder – alle unter 15 Jahren – sagten ' Nein , wir lieben Yasua ( Jesus ) !

mañana mañana | w_freq: 1 - 1 | wiki_freq: 188 - 53 | sentence_idx: 372566 | align_1: 17-19 | align_2: 18-26 | ner_entity: none-mañana |    It seemed that the favorite word of the Spanish officials he had to deal with was “ mañana , ” and Orwell made it a running joke throughout the book . ||| Es schien , als sei das Lieblingswort der spanischen Offiziellen , mit denen er zu tun hatte , „ mañana “ [ „ morgen “ ] , und Orwell machte daraus das ganze Buch hindurch einen Dauerscherz .

Generali Generali | w_freq: 4 - 6 | wiki_freq: 969 - 903 | sentence_idx: 373738 | align_1: 12-8 | align_2: 13-13 | ner_entity: Assicurazioni Generali-Assicurazioni Generali |    On November 1 , 1907 , he was hired at the Assicurazioni Generali , an aggressive Italian insurance company , where he worked for nearly a year . ||| Am 1. November 1907 wurde er am Assicurazioni Generali ( Assicurazioni Generali ) , eine italienische Versicherungsgesellschaft angestellt , wo er seit fast einem Jahr arbeitete .

EU-committee EU-Gremium | w_freq: 1 - 1 | wiki_freq: 2 - 1 | sentence_idx: 383509 | align_1: 4-5 | align_2: 5-9 | ner_entity: EU-committee-none |    Young politicians in the EU-committee can be of considerable importance , since the average age of the EU-commission is 53,4 years . ||| Junge Politiker , die im EU-Gremium vertreten sind , können von grosser Bedeutung sein , denn das Durchschnittsalter in der EU-Kommission liegt bei 53,4 Jahren .

Chaldeans Chaldeans | w_freq: 4 - 1 | wiki_freq: 745 - 1 | sentence_idx: 386976 | align_1: 9-15 | align_2: 10-20 | ner_entity: Chaldeans-none |    Since the Iraq War many Christians ( Assyrians and Chaldeans ) from Iraq have settled permanently or temporarily in Jordan . ||| Krieg von Since the Iraq ( Krieg von Irak ) viele Christen ( Assyrians / Chaldeans ( Assyrische Leute ) ) vom Irak ( Der Irak ) hat sich dauerhaft oder provisorisch im Jordan niedergelassen .

OnTheWaterfront OnTheWaterfront | w_freq: 1 - 1 | wiki_freq: 0 - 0 | sentence_idx: 389532 | align_1: 7-9 | align_2: 8-14 | ner_entity: OnTheWaterfront-OnTheWaterfront |    Our last Flickr Friday theme was # OnTheWaterfront , and these are some of your submissions . ||| Unser Flickr Friday Thema der letzten Woche war # OnTheWaterfront ( Am Wasser ) , und dies sind einige eurer Beiträge .

LORD bitte | w_freq: 217 - 1135 | wiki_freq: 627 - 1693 | sentence_idx: 393091 | align_1: 3-2 | align_2: 4-8 | ner_entity: LORD God-none |    9“Now , O LORD God , Your promise to my father David is fulfilled , for You have made me king over a people as numerous as the dust of the earth . ||| 9 Ich bitte dich , mein Herr und Gott : Halte doch das Versprechen , das du meinem Vater David gegeben hast , denn du hast mich zum König über ein Volk gemacht , das so zahlreich ist wie die Staubkörner der Erde !

Dianna Dianna | w_freq: 4 - 4 | wiki_freq: 606 - 48 | sentence_idx: 396857 | align_1: 3-2 | align_2: 4-6 | ner_entity: Dianna-Dianna |    I would cast Dianna as Cinderella , because Dianna ’s beautiful . ||| Ich würde Dianna [ Agron ] als Cinderella casten , weil Dianna schön ist .

Spider-man Spider-Man | w_freq: 3 - 33 | wiki_freq: 89 - 1165 | sentence_idx: 398383 | align_1: 1-1 | align_2: 2-5 | ner_entity: Spider-man-Superior Spider-Man |    Superior Spider-man after successfully complete all 12 combat challenges . ||| Superior Spider-Man - Erhält man wenn man alle 12 Kampf-Herausforderungen abgeschlossen hat .

Bushnell Bushnell | w_freq: 2 - 1 | wiki_freq: 2586 - 295 | sentence_idx: 406489 | align_1: 7-7 | align_2: 8-11 | ner_entity: Richard Bushnell-Richard Bushnell |    " Bowling for Truth " by Richard Bushnell , criticism of several key scenes and arguments of the film ||| " Bowling for Truth " von Richard Bushnell ( en ) , Kritik an mehreren Schlüsselszenen und Argumenten des Films

Maryam Maryam | w_freq: 25 - 16 | wiki_freq: 2582 - 575 | sentence_idx: 410948 | align_1: 15-18 | align_2: 16-23 | ner_entity: Maryam-Isa ibn Maryam |    “ Do not lavish praise on me as the Christians did with the son of Maryam . ||| Widersetzt euch mir nicht , wie sich die Jünger Jesus , dem Sohn der Maria ( Isa ibn Maryam ) , widersetzt haben . ”

SOMETIME Sometime | w_freq: 1 - 3 | wiki_freq: 0 - 44 | sentence_idx: 411775 | align_1: 5-4 | align_2: 6-8 | ner_entity: none-Everybody's Got To Learn Sometime |    EVERYBODY 'S GOT TO LEARN SOMETIME by The Korgis ||| Everybody's Got To Learn Sometime , bekannt geworden durch The Korgis

Generali Generali | w_freq: 4 - 6 | wiki_freq: 969 - 903 | sentence_idx: 416324 | align_1: 11-8 | align_2: 12-13 | ner_entity: Assicurazioni Generali-Assicurazioni Generali |    On 1 November 1907 , he was hired at the Assicurazioni Generali , a large Italian insurance company , where he worked for nearly a year . ||| Am 1. November 1907 wurde er am Assicurazioni Generali ( Assicurazioni Generali ) , eine italienische Versicherungsgesellschaft angestellt , wo er seit fast einem Jahr arbeitete .

Griffiss Griffiss | w_freq: 1 - 2 | wiki_freq: 243 - 6 | sentence_idx: 417503 | align_1: 9-10 | align_2: 10-15 | ner_entity: Townsend Griffiss-Townsend Griffiss |    All five crew and four passengers ( including Townsend Griffiss ) were killed . ||| Die ganze fünf Mannschaft und vier Passagiere ( einschließlich Townsend Griffiss ( Townsend Griffiss ) ) wurden getötet .

Chagai-II Chagai-II | w_freq: 1 - 1 | wiki_freq: 62 - 3 | sentence_idx: 431288 | align_1: 6-5 | align_2: 7-10 | ner_entity: Chagai-II-Chagai-II |    The second nuclear test — Codename Chagai-II — was conducted and supervised by the Pakistan Atomic Energy Commission ( PAEC ) in May 30 , 1998 . ||| Der zweite Kerntest - Codename Chagai-II ( Chagai-I ich ) - wurde geführt und von der Atomenergie-Kommission von Pakistan ( Atomenergie-Kommission von Pakistan ) ( PAEC ) im Mai 30 , 1998 beaufsichtigt .

Commandments Gebote | w_freq: 68 - 152 | wiki_freq: 3094 - 2751 | sentence_idx: 432173 | align_1: 5-4 | align_2: 6-9 | ner_entity: Ten Commandments-none |    You must follow the Ten Commandments exactly as they were given by My Father , otherwise , you can not say you are of Me . ||| Ihr müsst die Zehn Gebote befolgen , und zwar genau so , wie sie von Meinem Vater gegeben wurden , sonst könnt ihr nicht sagen , dass ihr zu Mir gehört .

DAESH DAESH | w_freq: 3 - 2 | wiki_freq: 10 - 1 | sentence_idx: 442170 | align_1: 12-13 | align_2: 13-18 | ner_entity: DAESH-DAESH |    We strongly condemn treating a terrorist organization as a partner in fighting DAESH . ||| Dabei verurteilen wir die Behandlung einer Terrororganisation als einen Partner im Kampf gegen DAESH , auf das Schärfste .

Varkiza Varkiza | w_freq: 2 - 4 | wiki_freq: 95 - 39 | sentence_idx: 444943 | align_1: 11-10 | align_2: 12-16 | ner_entity: Treaty of Varkiza-Treaty of Varkiza |    In February 1945 the various Greek parties signed the Treaty of Varkiza , with the support of all the Allies . ||| Im Februar 1945 , unterzeichneten verschiedene griechische Parteien Treaty of Varkiza ( Treaty of Varkiza ) , mit Unterstützung alle Verbündete .

CCUs CCUs | w_freq: 1 - 1 | wiki_freq: 12 - 0 | sentence_idx: 450036 | align_1: 17-17 | align_2: 18-24 | ner_entity: none-CCUs |    “ Will the Hulls ( or at least the Hull A ) be flying in AC before CCUs or whatever they ’re turning into in the future goes away forever ? ” – Valensiakol ||| “ Werden die Hulls ( oder zumindest die Hull A ) im AC fliegen , bevor die CCUs ( cross Chassis Upgrades ) , oder in was sie sich in Zukunft verwandeln werden , für immer verschwinden ? ” – Valensiakol

As'ad Dibenz | w_freq: 2 - 1 | wiki_freq: 305 - 6 | sentence_idx: 453030 | align_1: 1-2 | align_2: 2-8 | ner_entity: As'ad al-Azzouni-none |    by As'ad al-Azzouni ||| Synthese eines Dibenz [ e , h ] azulens

heralds Pharao | w_freq: 7 - 332 | wiki_freq: 1009 - 2745 | sentence_idx: 454580 | align_1: 4-3 | align_2: 5-14 | ner_entity: none-Pharao |    26:53 Then Pharaoh sent heralds to ( all ) the Cities , ||| 26:53 Da sandte Pharao ( Boten ) aus , die ( die Leute ) in den Städten versammelten ( und ihnen zuriefen )

GOD Ochse | w_freq: 74 - 7 | wiki_freq: 576 - 537 | sentence_idx: 462881 | align_1: 14-8 | align_2: 15-12 | ner_entity: none-Ochse |    Thus in effect , Aaron was the mouth of Moses , and Moses was GOD to Aaron . ||| Moses ist Levi , und Moses ist der Ochse , der sich mit ihnen verbunden hatte .

Chulin Chulin | w_freq: 2 - 2 | wiki_freq: 52 - 3 | sentence_idx: 463183 | align_1: 4-4 | align_2: 5-8 | ner_entity: Chulin 4a-Chulin |    For example , in Chulin 4a , he comments about a phrase , " We do not read this . ||| Zum Beispiel , in Chulin ( Kodashim ) 4a , kommentiert er über einen Ausdruck , " Wir lesen das nicht .

PS5 PS5 | w_freq: 8 - 6 | wiki_freq: 148 - 20 | sentence_idx: 466815 | align_1: 19-19 | align_2: 20-24 | ner_entity: PS5-PS5 |    The PS4 was revealed during a special event in February 2013 , and a similar approach to announce the PS5 would make sense . ||| Die PS4 wurde enthüllt während einer besonderen Veranstaltung im Februar 2013 , und eine ähnliche Vorgehensweise , um die PS5 bekannt zu geben , würde Sinn machen .

eTA eTA | w_freq: 11 - 10 | wiki_freq: 48 - 7 | sentence_idx: 470500 | align_1: 31-28 | align_2: 32-33 | ner_entity: eTA-eTA |    Secondly , you can not leave the country if you were diagnosed with tuberculosis and finally , it 's your obligation to be aware of what the Australian tourist visa or eTA permits you to do in Australia . ||| Zweitens können Sie das Land nicht verlassen , wenn Sie mit Tuberkulose diagnostiziert wurden und schließlich ist es Ihre Verantwortung zu wissen , was das Touristenvisum Australien oder eTA ( ESTA ) Ihnen erlaubt , in Australien zu tun .

402 402 | w_freq: 10 - 8 | wiki_freq: 3530 - 1784 | sentence_idx: 474497 | align_1: 12-12 | align_2: 13-17 | ner_entity: Dayton Audio MK 402-402 |    Having introduced you to its smaller brethren , the Dayton Audio MK 402 , it is only fair to include the MK 442 in the list . ||| Nachdem Sie Sie mit den kleineren Brüdern , dem Dayton Audio MK 402 , vertraut gemacht haben , ist es nur fair , den MK 442 in die Liste aufzunehmen .

TGA TGA | w_freq: 3 - 3 | wiki_freq: 593 - 155 | sentence_idx: 475223 | align_1: 9-7 | align_2: 10-13 | ner_entity: TGA-TGA |    We were looking for a realistic presentation ( for TGA ) , so we had to make changes to the tools and other adjustments to the engine . ||| Wir strebten eine realistische Präsentation ( für TGA [ The Game Awards ] ) an , also mussten wir einige Änderungen an den Tools und Anpassungen an der Engine vornehmen .

d’Or d'Or | w_freq: 6 - 4 | wiki_freq: 405 - 491 | sentence_idx: 476809 | align_1: 6-6 | align_2: 7-13 | ner_entity: Ballon d’Or-Ballon d'Or |    We are talking about the Ballon d’Or as if we were talking about politics . ||| Sprechen wir heute über den Ballon d'Or , dann ist es so , als würden wir über Politik sprechen .

PSL PSL | w_freq: 6 - 6 | wiki_freq: 2656 - 550 | sentence_idx: 477094 | align_1: 6-7 | align_2: 7-11 | ner_entity: PSL-none |    So my advice : Choose the PSL you like best ( whether it ’s from DD or Mickey D ’s ) and enjoy it as an occasional treat . ||| Also mein Rat : Wählen Sie die PSL , die Sie am besten gefällt ( ob it's aus DD oder Mickey D's ) und genießen Sie es als eine gelegentliche behandeln .

B5 LG | w_freq: 18 - 45 | wiki_freq: 1183 - 2764 | sentence_idx: 482211 | align_1: 0-0 | align_2: 1-7 | ner_entity: none-LG München I |    B5 - 0723 , 0729 and 0730/2001 ||| LG München I , Entscheidung vom 20.10.2009 - 27 O 7314 / 09 -

Euro-state Euro-Staat | w_freq: 1 - 1 | wiki_freq: 0 - 2 | sentence_idx: 486303 | align_1: 5-4 | align_2: 6-9 | ner_entity: Euro-state-none |    Your obsession with creating this Euro-state means that you ’re happy to destroy democracy . ||| Ihre Besessenheit , diesen Euro-Staat schaffen zu wollen , bedeutet , dass Sie glücklich darüber sind , Demokratie zu zerstören .

Amu Amu | w_freq: 2 - 2 | wiki_freq: 1184 - 164 | sentence_idx: 487377 | align_1: 4-4 | align_2: 5-8 | ner_entity: Amu-none |    There are only five Amu then circling round ? ||| Es gibt nur fünf Amu , die sich dann umkreisen ?

Colosseum Kolosseum | w_freq: 24 - 23 | wiki_freq: 2094 - 424 | sentence_idx: 493709 | align_1: 6-5 | align_2: 7-10 | ner_entity: Colosseum-Kolosseum |    You have n't truly seen the Colosseum unless you 've explored the tunnels beneath the amphitheatre . ||| Sie haben nicht wirklich das Kolosseum gesehen , es sei denn , Sie die Tunnel unterhalb des Amphitheaters erkundet haben .

Baal Ba | w_freq: 42 - 14 | wiki_freq: 2281 - 1711 | sentence_idx: 494635 | align_1: 6-3 | align_2: 7-11 | ner_entity: Baal-Ba |    037.125 " Will ye call upon Baal and forsake the Best of Creators,- ||| 37:125 Wollt ihr Ba ’ l ( euren Götzen ) anrufen und den besten Schöpfer verlassen ,

donepezil Donepezil | w_freq: 2 - 2 | wiki_freq: 74 - 35 | sentence_idx: 495005 | align_1: 8-12 | align_2: 9-19 | ner_entity: none-Donepezil |    ' We observed that patients who continued taking donepezil were better able to remember , understand , communicate and perform daily tasks for at least a year longer than those who stopped taking the drugs . ||| " Wir haben festgestellt , dass Patienten , die sich weiter mit Donepezil befanden , sich in der Lage waren , sich zu erinnern , zu verstehen , zu kommunizieren und tägliche Aufgaben für mindestens ein Jahr länger zu leisten , als diejenigen , die die Drogen nicht mehr aufgaben .

Peleg Peleg | w_freq: 4 - 4 | wiki_freq: 472 - 99 | sentence_idx: 498085 | align_1: 8-3 | align_2: 9-9 | ner_entity: Peleg-Peleg |    The name of ha'echad , the one was Peleg , for in his days the earth was divided . ||| Der erste hieß Peleg - » Teilung « - , denn zu seinen Lebzeiten wurde das Land geteilt .

Al-Jawad Al-Jawad | w_freq: 1 - 1 | wiki_freq: 23 - 1 | sentence_idx: 511444 | align_1: 1-1 | align_2: 2-5 | ner_entity: Imam Al-Jawad-Imam Al-Jawad |    Imam Al-Jawad is the Representative of Allah ||| Imam Al-Jawad ( as ) ist der Repräsentant von Allah

Myrtha Myrtha | w_freq: 1 - 1 | wiki_freq: 61 - 27 | sentence_idx: 512558 | align_1: 9-10 | align_2: 10-16 | ner_entity: Myrtha-Myrtha |    But you are already a woman ... " says Myrtha approaching her and taking her by the hand . ||| Aber du bist ja schon eine Frau ... » sagt Myrtha , indem sie sich ihr nähert und sie bei der Hand nimmt .

Assagioli Assagioli | w_freq: 5 - 5 | wiki_freq: 91 - 37 | sentence_idx: 522228 | align_1: 13-12 | align_2: 14-20 | ner_entity: Roberto Assagioli-Roberto Assagioli |    * [ WEB The Will Project ] was a project proposed by Roberto Assagioli to explore all aspects and manifestations of the Will . ||| [ WEB war Das Wille-Projekt ] ein Projekt , das von Roberto Assagioli ( Roberto Assagioli ) vorgeschlagen ist , um alle Aspekte und Manifestationen des Willens zu erforschen .

Mom Mom | w_freq: 185 - 61 | wiki_freq: 4921 - 579 | sentence_idx: 531129 | align_1: 6-7 | align_2: 7-16 | ner_entity: Dear Future Mom-Dear Future Mom |    It ’s titled “ Dear Future Mom . ” ||| Es trägt den Titel „ Dear Future Mom “ ( „ Liebe zukünftige Mama “ ) .

Cantons Cantons | w_freq: 7 - 1 | wiki_freq: 1006 - 71 | sentence_idx: 536705 | align_1: 8-7 | align_2: 9-17 | ner_entity: Rojava Cantons-Constitution of the Rojava Cantons |    Article 41 of the Constitution of the Rojava Cantons clearly upholds property rights : ||| Artikel 41 der Constitution of the Rojava Cantons [ Verfassung der Kantone von Rojava ] bestätigt Eigentumsrechte eindeutig :

Summits Summits | w_freq: 12 - 8 | wiki_freq: 1354 - 305 | sentence_idx: 538650 | align_1: 5-5 | align_2: 6-13 | ner_entity: Volcanic Seven Summits-Seven Summits |    When climbing the Volcanic Seven Summits is concerned it is not difficult to find where to go ! ||| Beim Erklimmen der Vulkan Seven Summits [ Finden Sie die besten Link ] geht , ist nicht schwer zu finden , wohin sie gehen !

Tough liebe | w_freq: 25 - 2148 | wiki_freq: 3984 - 3557 | sentence_idx: 547857 | align_1: 5-2 | align_2: 6-7 | ner_entity: Love Must Be Tough-none |    The book Love Must Be Tough may be a good one for you to read . ||| Das buch liebe muss hart sein , kann eine gute für sie sein , um zu lesen .

d’Azur Azur | w_freq: 12 - 12 | wiki_freq: 129 - 3233 | sentence_idx: 551258 | align_1: 5-5 | align_2: 6-10 | ner_entity: Côte d’Azur-Côte d’ Azur |    Learning French on the Côte d’Azur means choosing to take time for life ||| Französisch an der Côte d’ Azur zu lernen , das bedeutet , sich Zeit zum Leben zu nehmen

Helpline Helpline | w_freq: 3 - 6 | wiki_freq: 476 - 19 | sentence_idx: 554148 | align_1: 12-12 | align_2: 13-17 | ner_entity: Homeopathic Helpline-Homeopathic Helpline |    I wanted to know what it was like working on the Homeopathic Helpline , which is such a valuable service . ||| Ich wollte wissen , was es bedeutete , für die ‘ Homeopathic Helpline ’ , zu arbeiten , die ein so wertvoller Service ist .

Bulfin Bulfin | w_freq: 1 - 2 | wiki_freq: 163 - 19 | sentence_idx: 558840 | align_1: 21-19 | align_2: 22-25 | ner_entity: William Bulfin-William Bulfin |    However , the game was not actively promoted until 1900 when it came to the attention of author and newspaperman William Bulfin . ||| Jedoch wurde das Spiel bis 1900 nicht aktiv gefördert , als es zur Aufmerksamkeit des Autors und Journalisten William Bulfin ( William Bulfin ) kam .

Sana'a Sana'a | w_freq: 1 - 4 | wiki_freq: 1764 - 49 | sentence_idx: 576915 | align_1: 13-14 | align_2: 14-21 | ner_entity: Sana'a-Sana'a |    The legal system includes separate commercial courts and a Supreme Court based in Sana'a . ||| Das Rechtssystem schließt getrennte kommerzielle Gerichte und ein Oberstes Gericht ein , das in Sana'a ( San'a ' ) basiert ist .

Farming Farming | w_freq: 20 - 11 | wiki_freq: 3764 - 221 | sentence_idx: 585939 | align_1: 15-14 | align_2: 16-19 | ner_entity: The Natural Way Of Farming-The Natural Way Of Farming |    Here is a PDF-file of a book by Masanobu Fukuoka , The Natural Way Of Farming , if you want to go deeper into the matter . ) ||| Hier ist eine PDF-Datei eines Buches von Masanobu Fukuoka , The Natural Way Of Farming ( in Englisch ) , falls Sie tiefer in die Sache einsteigen möchten . )

Brahm Vak | w_freq: 1 - 1 | wiki_freq: 572 - 19 | sentence_idx: 589677 | align_1: 1-1 | align_2: 2-6 | ner_entity: Brahm-Vak |    And Brahm was to them the Supreme Being . ||| Und Vak ( das Wort ) war wahrhaftig der höchste Brahma

Kinloss Kinloss | w_freq: 1 - 2 | wiki_freq: 531 - 128 | sentence_idx: 589865 | align_1: 4-4 | align_2: 5-9 | ner_entity: RAF Kinloss-RAF Kinloss |    A third , RAF Kinloss will be closed as an RAF unit in 2013–14 . ||| Ein Drittel , RAF Kinloss ( RAF Kinloss ) wird als eine Einheit von RAF in 2013 - 14 geschlossen .

Ishmael Ismael | w_freq: 7 - 8 | wiki_freq: 3118 - 1010 | sentence_idx: 591445 | align_1: 5-3 | align_2: 6-11 | ner_entity: Ishmael-Ismael |    “ You will name him Ishmael , for the Lord has heard of your misery . ” ||| Den solle sie Ismael ( " Gott hört " ) nennen , " denn der HERR hat auf dein Elend gehört . "

Bhakti Bhakti | w_freq: 5 - 6 | wiki_freq: 2081 - 204 | sentence_idx: 596470 | align_1: 8-9 | align_2: 9-13 | ner_entity: Bhakti-Bhakti |    As with most things on the path of Bhakti , there are no prescribed rules as to how one should perform rituals , as each person has a unique and different relationship to God . ||| Wie bei den meisten Dingen auf dem Weg des Bhakti , der Hingabe , gibt keine vorgeschriebenen Regeln , wie man Rituale durchführen sollte , da jeder Mensch eine einzigartige und unterschiedliche Beziehung zu Gott hat .

Prompt prompten | w_freq: 6 - 1 | wiki_freq: 412 - 41 | sentence_idx: 608072 | align_1: 9-8 | align_2: 10-13 | ner_entity: Prompt Global Strike-none |    We are closely following the development of the so-called Prompt Global Strike system , which is being actively developed by some countries . ||| Wir verfolgen die Entwicklung des Systems des sogenannten prompten weltweiten Schlages ( Prompt Global Strike System ) sehr genau , das von einigen Ländern aktiv ausgearbeitet wird .

Stronger Stärkere | w_freq: 15 - 16 | wiki_freq: 2501 - 281 | sentence_idx: 615041 | align_1: 5-5 | align_2: 6-10 | ner_entity: The Stronger-Das Stärkere |    His notable contribution was The Stronger ( 1889 ) . ||| Sein bemerkenswerter Beitrag war Das Stärkere ( Das Stärkere ) ( 1889 ) .

ayatollahs Ayatollahs | w_freq: 9 - 10 | wiki_freq: 47 - 4 | sentence_idx: 622904 | align_1: 4-5 | align_2: 5-10 | ner_entity: none-Ayatollahs |    What about the mad ayatollahs obtaining atomic bombs and annihilating us ? ” ||| Was ist mit den verrückten Ayatollahs , die die Atombomben erhalten und uns vernichten wollen ? “

Salat as-salat | w_freq: 4 - 1 | wiki_freq: 337 - 0 | sentence_idx: 633015 | align_1: 5-4 | align_2: 6-11 | ner_entity: none-as-salat |    Al-Janazah prayer is part of Salat ( prayer ): one of the Five Pillars of Islam . ||| das rituelle Gebet [ as-salat ( ar . ) oder namaz ( pers. ) ] ist einer der Fünf Säulen des Islams .

Kashfi Kashfi | w_freq: 2 - 4 | wiki_freq: 73 - 31 | sentence_idx: 639136 | align_1: 1-1 | align_2: 2-6 | ner_entity: Ja'far Kashfi-Ja'far Kashfi |    Ja'far Kashfi defines " ta'wil " as ' to lead back or to bring something back to its origin or archetype ' . ||| Ja'far Kashfi ( Ja'far Kashfi ) definiert ta'wil als , ' um zurück zu führen oder etwas seinem Ursprung oder Archetyp zurückzubringen ' .

Newmarch Newmarch | w_freq: 1 - 2 | wiki_freq: 223 - 30 | sentence_idx: 643837 | align_1: 13-10 | align_2: 14-15 | ner_entity: Rosa Newmarch-Rosa Newmarch |    In the same year he went to England at the invitation of Rosa Newmarch . ||| In dasselbe Jahr er ging nach England an Einladung Rosa Newmarch ( Rosa Newmarch ) .

Tatmadaw Tatmadaw | w_freq: 2 - 3 | wiki_freq: 822 - 15 | sentence_idx: 648059 | align_1: 24-22 | align_2: 25-28 | ner_entity: Tatmadaw-Tatmadaw |    It has been alleged that the SPDC forcibly recruited children – some as young as 10 – to serve in its army , the Tatmadaw . ||| Es hat gewesen behauptete , dass SPDC gewaltsam Kinder - einige ebenso jung rekrutierte wie 10 - um in seiner Armee , Tatmadaw ( Tatmadaw ) zu dienen .

Trafficking Trafficking | w_freq: 25 - 5 | wiki_freq: 3274 - 70 | sentence_idx: 660117 | align_1: 13-12 | align_2: 14-18 | ner_entity: End Child Prostitution and Trafficking-End Child Prostitution and Trafficking |    We are an active participant of the ECPAT ( End Child Prostitution and Trafficking ) initiative , for which we regularly provide logistics support . ||| Wir beteiligen uns aktiv an der ECPAT [ End Child Prostitution and Trafficking ( Beendigung von Kinderprostitution und Menschenhandel)]-Initiative , bezüglich derer wir regelmäßig logistische Unterstützung erbringen .

Supper Abendessens | w_freq: 14 - 6 | wiki_freq: 4566 - 163 | sentence_idx: 661978 | align_1: 16-10 | align_2: 17-18 | ner_entity: Lord 's Supper-none |    On the other hand , he denied having defended Wycliffe 's doctrine of the Lord 's Supper , or the forty-five articles ; he had only opposed their summary condemnation . ||| Andererseits , er bestritt , die Doktrin von Wycliffe des Abendessens des Herrn ( Das Abendessen des Herrn ) oder die fünfundvierzig Artikel verteidigt ; er hatte nur ihrer zusammenfassenden Verurteilung entgegengesetzt .

Valposchiavo Valposchiavo | w_freq: 1 - 1 | wiki_freq: 8 - 8 | sentence_idx: 666226 | align_1: 23-21 | align_2: 24-25 | ner_entity: Valposchiavo-Valposchiavo |    One of the most beautiful places in Europe ( yes , that is right ) is a place that hardly anyone knows : Valposchiavo . ||| Einer der schönsten Orte in Europa ( ja , das stimmt ) ist ein Ort , den kaum jemand kennt : Valposchiavo ( Puschlav ) .

Democracies Democracies | w_freq: 10 - 3 | wiki_freq: 478 - 43 | sentence_idx: 668796 | align_1: 14-14 | align_2: 15-22 | ner_entity: Foundation for the Defense of Democracies-Foundation for the Defense of Democracies |    To say that Clifford May , founder of the Foundation for the Defense of Democracies , loves war would be an understatement . ||| Zu sagen , dass Clifford May , Gründer der Foundation for the Defense of Democracies ( Stiftung zur Verteidigung der Demokratien ) , den Krieg liebt , wäre eine Untertreibung .

